-53.7746 -34.4811 | 0.368685 -0.270382 | -192.329 -418.617
46.9583 -73.9996 | -0.519653 -0.736673 | -80.1524 -296.106
-13.614 61.6077 | 0.841093 0.376836 | 48.6109 105.894
-15.381 -12.6931 | -0.125403 -0.411297 | -9.09495e-13 -9.09495e-13
-58.8587 8.91119 | 0.503081 0.160114 | 3.18323e-12 1.50067e-11
-41.1836 46.3137 | -0.176296 1.41724 | 8.60733 -15.4719
65.6508 42.2838 | -1.18716 0.0546634 | -7.95808e-12 5.45697e-12
14.5313 20.851 | 0.239588 0.403602 | 327.246 720.87
-78.5829 35.0097 | -0.0638043 0.250978 | 79.2297 -1325.8
-70.6229 27.1949 | 0.420224 -0.0741938 | -1573.48 239.27
6.12712 -56.4485 | 0.901318 -0.797575 | -1564.66 -1037.94
5.13987 -42.4602 | 0.188835 -0.0689581 | -6.82121e-13 3.29692e-12
64.2209 34.1435 | -1.41812 -0.617073 | 0.810517 5.09019
-13.5129 -87.0501 | -1.32871 0.000222902 | 3.40033 28.0602
-29.1864 -70.4815 | -0.472353 -0.992797 | -135.327 -92.4356
-78.5028 30.5874 | 0.324563 0.167942 | -300.583 -147.251
0.682641 -58.4547 | -0.338958 -0.111102 | 1.36424e-12 -1.36424e-12
20.1713 57.7014 | 1.95544 0.726286 | 456.55 -5718.27
-44.3281 58.5438 | 0.738815 0.545352 | 1.55241 29.5475
53.1763 -18.4844 | -0.0797085 -0.773523 | -930.45 -1432.5
35.9601 -57.147 | 1.15274 -1.84143 | -1833.4 -1795.58
33.393 -77.605 | -0.451873 -0.636464 | -191.418 373.926
13.5189 71.7615 | -0.141865 -0.534817 | 145.334 -321.653
-22.2363 -20.0038 | 0.311933 -0.195102 | 1177.94 886.423
69.088 -29.6702 | 0.00534421 1.07959 | -2.72848e-12 8.18545e-12
-52.8567 61.9336 | -1.44673 -0.574865 | -87.7923 -1034.73
-18.7889 -39.2835 | 0.594044 -1.42889 | -1.02318e-11 -1.36424e-12
75.0621 -15.5913 | -0.424824 0.196898 | -269.262 -209.461
15.5935 -57.7116 | -0.13044 -0.118248 | 1564.66 1037.94
-42.4815 81.524 | 0.264574 1.11171 | -73.4531 -3986.62
28.3893 -5.43408 | -0.686179 0.247911 | 41.7314 -53.5361
-52.965 78.5671 | -1.13633 -0.432808 | 40.7141 3845.13
7.04198 17.0716 | 0.531077 0.63219 | -11.3922 19.7433
38.5472 28.902 | 0.278707 0.160795 | 8.84703 -78.3395
-74.7191 45.7783 | 0.918131 0.507159 | -842.923 2177.09
48.8404 -70.5639 | -0.714385 -0.0738233 | 211.314 311.057
18.4034 -71.9043 | -0.121638 0.37542 | 41.2454 -195.426
42.9772 64.9885 | 0.772856 -0.0536006 | -809.038 1267.94
54.6695 44.7636 | -0.683597 -0.447277 | 7.27596e-12 3.63798e-12
-65.3793 -51.3038 | 0.0989111 -0.48882 | -190.633 404.999
-16.9263 71.6619 | -0.374239 0.0349067 | -706.07 -2936.36
8.43179 28.9631 | -0.345815 -0.117377 | -0.543773 -1.31973
79.8916 -4.43087 | 0.353978 -0.794806 | 90.7669 242.848
-8.13844 -42.2295 | 0.573392 0.181462 | -7.95808e-13 -1.93268e-12
-10.1558 -81.0814 | 0.0406539 -0.490557 | 22.5617 -68.719
-11.7486 82.4373 | 1.5943 -0.507058 | 64.4585 32.9119
8.56875 96.5683 | 0.442051 -0.173196 | 4.14668 15.9967
-21.2809 30.3944 | 0.267831 -0.0319294 | -1.81899e-12 3.63798e-12
23.0842 34.2503 | -1.1117 0.411607 | -1.36424e-11 9.09495e-13
52.9465 5.7604 | -0.191755 -0.159911 | -41.7314 53.5361
-26.1509 -90.8044 | 0.404379 -0.0694394 | -3.40033 -28.0602
-15.0926 -7.66158 | -0.116485 -0.303261 | -122.891 321.083
12.0782 -68.5412 | 0.794711 -1.07555 | -5.56139 -26.913
-10.4581 -72.9819 | -0.125369 -0.0845376 | 96.4342 -186.327
-32.8394 -36.217 | -1.03652 -0.641267 | -3.63798e-12 -5.45697e-12
-0.496407 5.47682 | -0.0272803 0.276519 | 62.9766 848.059
3.1571 58.7621 | 0.706461 -0.0365872 | -1146.11 4767.27
25.2589 9.03275 | -0.482199 -0.110404 | -415.13 756.711
11.7401 15.707 | -0.497166 -0.226172 | 123.383 -36.6949
78.3939 3.19841 | 0.227596 -0.144523 | 655.415 444.894
31.3046 70.5305 | -0.483899 1.29761 | 245.157 -1203.12
-31.2686 -8.64804 | 0.248296 0.364616 | 122.891 -321.083
-53.9415 35.062 | -0.55811 0.739825 | 341.152 602.082
-29.8214 -65.8124 | 1.06792 -1.4504 | -191.09 2323.9
-54.9444 -44.4261 | -0.0541124 -0.0723414 | -4.54747e-13 0
-56.5857 -40.4114 | 1.31857 -0.947941 | 29.6128 46.4701
-52.3984 -55.6927 | 0.238815 0.279364 | 0.23833 -2006.76
-78.0553 -2.03191 | -0.375747 -0.371743 | 1063.82 -2313.2
-60.6438 17.1904 | -0.889749 0.633208 | 4.54747e-13 1.59162e-12
40.9829 -46.0867 | -1.47259 -0.327202 | -1958.63 2033.85
18.1454 82.9204 | -1.23159 -0.0568936 | -7.7307e-12 8.29914e-12
-12.6129 74.1784 | -0.34348 -0.350089 | 3873.08 2389.98
73.1883 -10.8333 | -0.403782 0.247914 | 156.832 193.952
63.5464 -17.5375 | 1.28973 -0.739262 | 930.45 1432.5
-13.3029 4.45511 | -0.673704 0.095799 | 82.2053 -174.755
42.8883 57.4009 | -1.29182 -0.272579 | 2483.26 -5795.67
-6.33872 56.1032 | 0.0328991 0.548108 | 639.011 2274.99
34.7812 -28.9634 | 0.0638129 -0.998666 | -4.68044 142.571
12.8401 -20.7291 | -0.415525 -1.41981 | 3.63798e-12 -4.54747e-13
62.1162 37.3361 | -0.493296 -0.851914 | -8.84703 78.3395
78.6347 -34.7101 | 0.0509819 -0.359761 | -434.355 363.6
-47.2698 -28.4845 | 0.639992 -1.17661 | -2922.19 5371.12
-3.16698 94.1835 | 0.286114 0.0993253 | 2.44427e-11 -7.27596e-12
42.8225 -28.3162 | 0.33995 -0.961149 | 2.72848e-12 -4.49063e-12
76.3268 -24.5654 | 0.890297 -0.393831 | 415.91 358.662
-22.9341 49.5071 | -0.560097 0.938524 | 52.3906 188.106
-1.2613 1.5927 | 0.537182 -0.667194 | -438.53 -285.635
-70.9718 -0.369776 | -2.07477 0.730028 | -993.054 2325.03
-70.8426 -26.8141 | 0.61715 0.489005 | -430.378 -2868.9
55.3698 20.6421 | -0.63968 0.0181622 | 101.653 1064.61
14.0074 40.8783 | -1.25769 0.431988 | 53.37 591.892
-8.62838 83.1168 | 0.0198485 -0.124922 | -1230.65 -2074.05
75.3822 -38.125 | -0.337876 -0.742015 | 426.489 -444.407
60.327 -0.887139 | -0.674235 -0.0306742 | -2.72848e-12 5.00222e-12
-41.6121 41.0428 | -0.522065 0.784132 | 345.533 -623.627
4.68064 -47.1784 | 0.600167 -0.175588 | 7.36885 286.073
23.1012 72.5783 | -0.412251 -0.965968 | 82.0637 -7.41733
-59.5143 20.5625 | -0.422137 0.58123 | 19.1054 -109.541
-31.9001 74.7006 | -0.331084 -0.532483 | -2.72848e-12 -5.45697e-12
39.3892 -9.34365 | -0.0925892 -0.129743 | -1.13687e-11 9.09495e-13
-55.8309 -14.7803 | 0.156723 -0.0558366 | 824.479 3116.17
-73.9715 3.0231 | -0.894444 -0.805788 | -8.18545e-12 -1.36424e-12
-11.932 39.268 | -0.00715739 0.717672 | 0 4.3201e-12
10.5121 10.9744 | -0.208992 -0.28317 | -110.36 3632.27
-32.7273 13.3509 | -0.0183099 0.741389 | -111.99 16.9516
-59.611 63.9745 | 1.01102 0.105795 | 603.475 593.691
