-52.4003 -36.0376 | 0.430698 -0.231148 | -269.725 1296
44.5365 -75.8165 | -1.28306 0.193554 | -424.282 8774.99
-11.6829 60.5468 | -0.156522 -0.345212 | 95.9023 492.912
-17.1008 -13.9716 | -0.811126 -0.623451 | -396.808 -760.789
-57.5437 9.52464 | 0.32992 0.103094 | 5.85358 -7.57752
-41.3845 49.9329 | -0.219289 0.991286 | 591.79 -1498.08
62.0292 41.5367 | -1.07491 -0.938321 | -4.94015 -96.6095
14.8576 21.4785 | -0.0347506 0.427889 | 3.17613e-12 -5.91172e-12
-76.0804 35.5113 | 1.38886 -0.283257 | 215.837 -628.884
-70.6156 27.838 | -0.288267 -0.24225 | 362.905 -105.795
6.40429 -58.3495 | -0.306497 0.244249 | -4.54747e-12 -1.13687e-12
5.48696 -43.0787 | 0.312224 -0.486781 | 30.5227 -33.6033
60.9665 32.7416 | -0.60079 -0.361395 | 406.135 1041.13
-18.7462 -86.6603 | -1.84884 -0.269525 | 769.946 -1615.3
-30.6188 -72.8836 | -0.416292 -1.16583 | -35.9513 -263.571
-77.4886 30.0656 | -0.116256 -0.264845 | -578.85 -3207.86
0.666148 -58.7475 | 0.215949 -0.496027 | 2379.33 3002.06
26.2325 59.4623 | 1.53399 1.13746 | -138.109 -847.259
-42.6821 59.626 | 0.786422 0.392292 | -1022.99 -1001.26
52.4833 -20.3081 | -0.634965 0.353246 | -127.847 269.448
38.6651 -58.0275 | 0.427052 0.401477 | -24.9753 31.3959
31.4298 -78.9901 | -0.615835 0.274365 | -595.268 -1162.5
12.8993 70.4829 | -0.423106 -0.418279 | 165.362 -821.495
-20.681 -21.4823 | 0.648896 -0.730995 | 423.786 1451.82
67.1774 -29.385 | -0.984733 -1.02637 | -866.902 1534.01
-54.8024 61.5832 | 0.825536 0.396658 | 384.939 739.896
-17.1403 -40.9988 | 0.461953 -0.0603148 | 4.54747e-13 4.54747e-12
73.7778 -13.7692 | -0.595842 0.276548 | 96.7333 -1377.66
14.6809 -57.9022 | -0.254848 -0.0227912 | 27.0792 110.298
-43.2848 80.7792 | -1.13773 -0.789629 | -196.272 3287.2
26.556 -5.56266 | -0.319779 -0.916798 | 275.898 -445.7
-54.9761 77.1622 | -0.281723 -0.409658 | -140.384 177.767
8.20179 18.1754 | 0.299359 -0.485869 | -396.486 408.464
