32.3147 25.2114 | 0.2581 0.159886 | 0.00408736 -0.130725
-22.3816 -92.2377 | 0.60142 0.291731 | 1932.44 -385.252
-34.522 -26.7708 | 0.276796 -0.62418 | -249.333 -789.193
21.0813 50.7496 | 0.217617 0.57332 | 622.607 -1614.81
29.9717 3.07497 | -0.650403 0.756391 | 234.71 713.006
66.304 -24.8304 | 0.446071 -0.228862 | -5.00222e-12 1.81899e-12
-33.7331 69.5699 | 0.867377 -0.735243 | -168.097 -119.627
-56.4618 55.2476 | 0.693721 -0.556977 | 6.36646e-12 -1.36424e-12
50.5396 -2.81173 | 0.319872 0.456164 | -3.63798e-12 -1.08002e-12
-27.1301 -6.39603 | 0.405714 -0.370967 | 20.3922 39.525
73.935 -52.8388 | 0.105749 0.0611926 | 1608.59 505.061
-13.3317 -73.2638 | 0.00696858 -0.566216 | -769.244 -8149.19
-68.2108 -42.9133 | 0.528251 0.214417 | 132.466 -1873.47
-50.2357 -59.2042 | 1.0915 -0.425229 | -4138.22 3317.6
-49.1876 41.5652 | 0.773059 0.0959055 | 9.09495e-13 3.41061e-12
14.0265 72.6687 | -0.555457 -0.214446 | 53.5283 290.788
-13.6268 -67.7825 | 0.327622 0.22616 | -1988 3611.27
-66.78 -60.1637 | 0.267012 0.76317 | 1041.91 87.5358
-9.08043 -56.5895 | -0.898883 0.158578 | 6.93301 740.893
-35.8715 -74.5215 | -0.707163 0.0492946 | -65.8282 -951.774
-51.3658 65.1058 | -0.337386 -1.09275 | 10.6094 -3178.29
30.0608 -30.4649 | -0.228539 -0.380016 | -149.938 -116.842
-50.9914 -67.2359 | -0.345584 -0.244055 | -192.386 13.1195
43.529 37.7973 | -0.327301 1.066 | 736.343 2285.3
-33.6348 -41.0895 | 0.573401 -0.255285 | -1.81899e-12 3.18323e-12
-79.5128 -6.169 | 0.328235 -0.0850799 | -3.59037 0.820853
-54.2092 -51.3967 | 1.64797 -0.375648 | -115.408 136.345
24.1449 -67.2398 | -0.387634 -0.0366454 | -1127.51 -1644.66
24.4484 19.5723 | -0.00565507 0.811148 | 7.58678 13.2677
21.6393 -74.2451 | 0.140604 -0.260166 | -411.743 2410.88
-2.28799 52.9959 | -0.222174 0.485007 | 1015.94 1600.94
-72.5335 58.0672 | 0.221413 0.679621 | -437.585 -239.5
34.2586 68.121 | 0.19159 -0.595902 | -22.3206 21.2528
-47.2014 72.5731 | 0.162087 -0.103439 | 118.06 812.826
-5.28032 64.4161 | 0.457383 -0.145449 | -1702.61 -2914.79
14.9655 44.9857 | -0.347372 0.335704 | 440.577 -653.26
-6.82089 73.1913 | -1.17066 0.0382491 | 225.232 -471.163
37.8149 66.3795 | -0.365225 -0.12272 | -312.588 729.745
12.8789 38.5245 | -0.551714 1.02425 | 3.16192e-13 -2.6148e-12
-30.2237 22.8083 | -0.703026 0.858364 | 1.81899e-12 3.63798e-12
-14.9297 89.2402 | -0.0930782 0.141301 | -389.839 -1530.34
-40.0435 16.3874 | 0.121435 0.111257 | 9.67057 -83.5795
30.0573 -14.8658 | 0.531365 -0.311999 | 3404.52 -5216.49
89.7649 -14.3051 | 0.580607 -0.316395 | 130.179 19.3739
-68.3918 -21.5979 | 0.588171 -0.331259 | -4.77485e-12 -5.54223e-12
51.7269 -49.0115 | -0.356909 -0.813288 | 3966.01 -2442.38
-2.65966 -11.0456 | -0.753469 -0.0130992 | 2.72848e-12 5.58487e-12
21.6098 -58.1294 | 0.163958 0.0441679 | 122.29 236.304
31.2796 -23.7498 | -0.412137 -0.8298 | 600.716 401.247
31.2975 27.6923 | -0.453864 0.0876118 | -0.00408736 0.130725
7.78462 93.3138 | 0.863418 0.5873 | 366.909 1888.5
-68.5344 -28.7971 | 0.686087 -0.36801 | 272.589 34.1164
-50.4044 2.58484 | 0.206828 0.145499 | 3.63798e-12 -2.27374e-12
-29.2266 6.91501 | -0.198748 0.0467001 | -9.09495e-13 6.36646e-12
-42.1864 -23.9384 | -0.529404 -0.391834 | 938.572 3558.04
-56.2582 -61.047 | 0.94839 0.484026 | 2606.23 -2976.94
49.2915 -24.6611 | -0.34166 -0.871825 | -3.93003 -7.38922
-54.1431 18.3634 | -0.463143 0.0568372 | 209.637 -215.931
-38.556 66.0576 | 0.561537 -1.43837 | 734.011 4881.65
-20.0153 -28.7354 | -0.186248 -1.51989 | -3.63798e-12 -6.13909e-12
28.4389 86.9222 | -0.0156273 -0.068518 | -1.72804e-11 8.18545e-12
73.6799 -15.7864 | 0.370838 -0.662438 | -1.13687e-11 -2.50111e-12
14.117 -35.8351 | 0.589093 -0.841564 | -164.657 -132.527
41.4395 1.81276 | 0.0401785 0.507308 | 482.372 539.731
-5.22508 38.6279 | -0.629022 0.619948 | 2.72848e-12 0
59.3744 -13.8877 | -1.11041 -0.586215 | -4.37804 -30.2159
26.4105 -92.643 | -0.452453 0.550299 | -1427.19 5182.6
-59.754 -35.0685 | 1.68647 0.341232 | -4701.75 3297.1
-55.8336 -57.0242 | 1.10457 0.186939 | 372.581 205.911
62.2864 12.697 | -1.47478 0.592832 | 8.45678 7.77055
-19.6227 -90.6206 | -0.746931 -0.571563 | 597.428 -946.322
-24.1113 -71.2373 | -0.527831 -0.670005 | 3228.7 4986.15
-27.565 -68.8149 | -0.220751 0.0297725 | 96.471 -1584.04
-28.9686 -17.797 | 0.274258 0.228646 | -245.929 316.965
68.4804 34.3488 | -0.649363 0.831766 | 159.134 221.371
40.2336 39.0808 | -0.298303 1.01183 | 418.081 -1429.15
71.2162 31.3604 | -0.338599 -0.169626 | 2830.52 4203.41
-65.5662 57.5982 | -0.491677 0.0808492 | 53.1799 -787.483
-54.2491 8.92992 | -0.770474 0.416426 | 166.57 -175.942
-72.3991 -47.5766 | -0.029778 0.764075 | -1.72804e-11 1.18803e-11
-35.0833 -35.3446 | -0.645918 -1.66982 | 4460.68 -1886.61
54.6234 -27.9141 | 0.447739 -0.548428 | -1.7053e-12 3.63798e-12
-25.915 -43.2728 | -0.0971746 -0.0808943 | 1.02318e-12 -2.27374e-12
-63.0676 32.5118 | -0.0607469 0.8582 | 71.3695 127.006
48.0663 55.2625 | 0.934027 -0.219229 | 520.445 981.771
-33.6007 20.4613 | -1.199 0.662262 | 2.72848e-12 2.44427e-12
-26.7003 79.6817 | 0.753082 -1.44911 | -598.113 2973.25
76.4599 18.8363 | -0.696783 0.094606 | -218.198 -443.405
52.4546 -66.0593 | 0.895867 0.330049 | 1180.63 1555.31
17.7078 14.0559 | -0.0910821 0.811482 | -107.712 87.9658
13.8964 86.7423 | -0.409315 1.11826 | 10.0568 -53.67
-63.8104 55.8017 | 0.595581 0.0346439 | 2.50111e-12 5.91172e-12
13.9909 5.65498 | -0.131327 0.76121 | -460.158 -711.736
20.7037 -77.1205 | 0.377915 0.540237 | -123.297 -313.071
54.3545 72.7468 | 0.474517 0.436836 | -41.1042 -849.688
62.7254 38.9692 | 0.078931 0.21399 | 65.2573 -2362.96
45.6824 -54.0568 | 0.202512 -0.878982 | -464.596 1622.32
2.18926 -84.7392 | 0.220735 -0.0980842 | -1980.07 -2148.7
87.9128 10.9803 | -0.0899425 -0.247723 | 227.833 -204.253
24.6925 69.0913 | 0.229449 0.509575 | 691.263 -1392.53
-26.9771 -83.6933 | -0.332073 -0.256718 | 328.175 512.826
-27.4548 62.7188 | -0.11619 -0.452187 | -13.4396 -22.2639
56.0392 59.8302 | 0.0538485 0.388815 | 138.76 -106.926
-40.6256 -76.4075 | -0.0680057 -0.0835456 | 212.051 -39.847
-37.3832 -25.0542 | -0.934902 -0.392758 | -443.309 -3085.81
-75.1243 -21.4908 | 0.0360691 -0.536251 | 19.0419 -18.9943
-81.9182 8.93085 | 0.000810236 0.465446 | -219.308 299.511
2.15491 -61.3992 | -0.435921 -0.398068 | -4.54747e-13 -9.09495e-13
1.7888 -50.2112 | 0.29402 -0.218715 | -159.331 686.405
-57.7374 11.7734 | 1.07871 0.456992 | -452.043 -646.813
6.02651 56.516 | -0.29423 0.688736 | 4.3201e-12 -6.25278e-13
-74.2298 42.603 | 0.969109 0.15528 | 2539.08 -1704.24
-6.66679 90.4533 | 1.16769 0.06664 | 2.14425 -259.415
-30.4126 -65.9619 | -0.332901 0.342852 | 131.74 -158.717
-51.553 50.3795 | -0.756923 -0.851458 | -2436.18 2161.33
53.8439 -63.5989 | 0.211707 -0.420369 | -1016.6 -1376.85
65.7094 -9.57849 | -0.951691 -0.368875 | 4.37804 30.2159
63.9532 -37.6078 | -0.0560651 -0.216007 | 198.96 -554.634
38.4272 -58.2908 | -0.491932 -0.273869 | 108.742 -550.487
-42.9993 44.7874 | 0.570462 0.234949 | -151.324 -509.836
-33.2121 77.3534 | -0.0807191 -0.848604 | 1064.77 -1085.67
-28.3591 85.3138 | 0.955255 -0.0746901 | 7.27596e-12 -9.54969e-12
41.3306 -70.3423 | -0.167767 0.749982 | -7.7307e-12 -2.27374e-12
33.8433 74.5169 | -0.248404 -0.429486 | -366.891 3161.48
-33.4433 -9.29564 | -0.481921 0.141077 | -66.4125 -225.597
0.149979 -87.3574 | 0.86852 0.440371 | -493.785 -474.823
28.1376 -35.0583 | 0.466466 -1.39546 | -520.605 161.336
37.7963 -48.3392 | -1.03261 -0.519571 | 344.666 -1891.55
-78.6737 22.5037 | 0.363369 0.145229 | -561.33 1243.78
62.0594 55.4039 | 0.155187 -0.555394 | 621.141 -2002.99
23.507 -88.2238 | -0.100561 -0.90932 | 638.561 -1367.36
-17.2704 30.5536 | 0.230699 0.652756 | -4.09273e-12 1.81899e-12
63.0985 7.9664 | 0.175603 1.00367 | -1.81899e-12 -8.6402e-12
61.8562 -42.582 | -0.703274 -0.657257 | -107.869 65.8187
34.7458 46.5339 | 0.0894101 0.92143 | -271.596 406.324
-40.0122 58.8727 | -0.0639131 -1.11598 | 123.604 751.516
-74.8447 -16.7248 | 0.310267 -0.665361 | -19.0419 18.9943
-15.4068 -89.5771 | 0.0363099 0.158763 | -1095.17 2715.71
-58.2533 35.7712 | 0.348576 0.610079 | 2271.92 -2579.83
51.9502 17.5806 | -0.509594 0.762531 | 4001.89 -7821.8
18.0643 -42.2859 | -0.083248 -1.63403 | 193.377 250.485
88.5159 13.6214 | 0.194915 -0.586711 | -495.66 425.421
65.7064 47.2831 | 0.539596 0.888626 | -903.374 -6449.57
38.1135 -53.707 | -0.283998 0.357789 | -182.096 -993.809
80.6486 -49.6568 | -0.289463 -0.37634 | -130.179 -19.3739
-34.3121 73.3734 | 0.054284 -0.859149 | 1350.77 851.833
4.0961 25.9294 | 0.16195 0.550124 | 6.82121e-12 4.54747e-12
-74.6933 32.5046 | -0.622139 0.36454 | -1845.41 2349.7
6.1807 -83.7003 | 0.528289 -0.00924145 | 1835.3 3990.88
27.5851 -54.5416 | 0.233233 -0.583068 | 50.5888 -135.919
61.4178 19.7846 | 0.295986 0.0162117 | -4073.74 7820.77
61.1606 69.2549 | 0.272727 0.594468 | -283.268 -919.264
52.0937 62.0578 | 0.109438 -0.0512382 | -153.264 1689.56
37.6067 -81.1488 | 0.170642 0.0374227 | -187.322 -209.736
47.0722 53.2176 | 0.139183 0.291935 | -1198.8 1990.24
-80.5277 -0.929811 | -0.451874 -0.18395 | 2.27374e-12 2.16005e-12
-46.0266 14.4142 | -0.582014 0.420509 | 285.473 822.755
-60.8661 -53.8718 | 0.399551 0.518324 | 78.6003 -108.371
-60.644 67.6655 | 0.00341663 0.0155268 | -520.089 -2211.46
36.2537 80.688 | 0.0951789 0.106904 | -7.27596e-12 -5.91172e-12
-73.2127 46.185 | 0.00957165 -0.360327 | -19.924 45.7463
74.7714 -18.5286 | -0.188038 -0.0552442 | 3.93003 7.38922
38.0971 -8.75782 | 0.800022 0.110453 | -3404.52 5216.49
-26.4502 26.8495 | -0.264349 1.20476 | -1.59162e-12 -7.95808e-13
4.67563 96.0961 | -0.0839092 -0.675032 | -0.585003 1.53566
-54.6474 -64.464 | -0.435262 0.381172 | -580.607 2736.16
20.9431 -81.5729 | -0.720796 0.845089 | 176.086 150.093
40.6986 11.1756 | -0.573568 0.432839 | 598.638 681.117
16.8814 30.3925 | 0.516053 0.518051 | -374.681 -2310.32
50.4895 64.7447 | -0.400037 -0.0989337 | -366.654 -48.8498
35.7457 82.8671 | -0.439278 -0.879978 | 4.09273e-12 -9.09495e-12
40.2281 -85.3369 | -1.13272 0.137443 | -3.09228e-11 -1.40972e-11
13.0229 -22.284 | 0.678605 -0.574643 | 22.6784 271.921
-34.2863 -3.15525 | 0.179918 0.201113 | 46.0203 186.072
82.9508 23.6799 | 1.01149 -0.12104 | -2503.63 -4202.54
-37.9974 -79.6786 | -1.31568 0.781737 | -80.1514 -216.714
-31.1991 83.7464 | -0.265273 -0.116905 | -1.27329e-11 -1.72804e-11
-10.2099 -96.3748 | 0.168906 0.327484 | -337.235 -7083.94
7.44805 -39.2597 | 0.344466 -0.333034 | -4504.06 4083.44
-74.1622 -12.1117 | 0.0442148 -0.0447702 | 1696.34 -1594.17
-35.4552 0.614948 | -0.0947748 -0.0217171 | 1.81899e-12 -4.66116e-12
-64.2294 -24.4204 | 1.02481 -0.731751 | -163.987 428.858
-81.186 -10.7368 | 0.700415 -0.663469 | -1692.75 1593.35
-86.0184 27.2887 | -0.650245 -0.920321 | -426.512 230.133
-4.85961 49.4107 | 0.0677202 -0.364231 | -1015.94 -1600.94
84.7072 6.49012 | -0.653201 0.186504 | 71.8502 1.02627
-68.2376 -63.5702 | 0.15094 0.116678 | 702.466 -3683.18
-16.1535 83.7787 | 0.165183 -0.425036 | -214.159 428.762
3.41152 -1.15147 | -0.695552 -0.372966 | -763.893 -1331.12
-73.7826 22.7576 | -0.130131 0.73106 | 203.721 -1235.6
44.9092 42.2096 | 0.249494 1.53601 | -887.956 2212.28
