32.307 25.5071 | -0.290394 0.704832 | -834.677 1388.91
-21.5331 -92.3372 | 0.773882 -0.221725 | -1.66035 -8.76524
-34.3615 -27.7737 | 0.262107 -0.780597 | -23.7015 182.112
21.3455 51.2805 | 0.478633 0.0880161 | 2614.29 -3996.93
29.3167 3.82317 | -0.640002 0.844283 | 53.9045 488.501
66.7585 -25.0548 | 0.504744 -0.117128 | -4.09273e-12 -3.29692e-12
-33.4368 68.7257 | 0.691679 -0.312383 | 2000.09 2677.21
-55.7321 54.5504 | 0.507695 -0.652005 | -4314.25 5893.75
50.8595 -2.35557 | 0.319872 0.456164 | -1.81899e-12 6.22435e-12
-26.6401 -6.51371 | 0.431796 0.149904 | -48.6312 39.0423
74.1797 -52.5792 | 0.308581 0.358098 | -319.474 -2937.86
-13.4583 -73.5834 | -0.369636 -0.553545 | -139.515 880.916
-68.0155 -43.2599 | -0.160311 -0.595976 | 1.81899e-12 5.11591e-12
-49.0385 -58.9561 | 1.46566 1.01433 | 1420.57 1674.06
-48.4014 41.6575 | 0.461789 0.683871 | -241.003 226.691
13.5117 72.6757 | -0.539816 -0.183515 | 4.3201e-12 -4.54747e-12
-13.2875 -67.3444 | 0.0813261 -0.0370058 | -4.09273e-12 5.22959e-12
-66.8392 -59.6064 | -0.0851893 0.216791 | 1031.11 745.856
-9.72229 -56.338 | -0.480689 0.161731 | 1.10845e-12 5.68434e-13
-37.0012 -75.0095 | -1.23286 -0.174478 | 116.091 -157.703
-51.9631 63.9664 | -0.869895 -0.900407 | -1709.74 413.369
29.8178 -31.3373 | -0.0999392 -1.06165 | 3.41061e-12 -1.02318e-11
-51.6525 -67.2764 | -0.911283 0.304171 | -5604.88 3777.95
43.4664 38.7006 | 0.118081 0.705341 | 4.16399 209.075
-33.0763 -41.2197 | 0.563696 -0.192236 | 509.89 -960.698
-79.2504 -6.49433 | 0.230628 -0.239144 | -14.2058 1086.88
-53.1063 -51.4677 | 0.708976 0.153758 | 65.4441 -1270.15
23.8058 -67.3058 | -0.375406 -0.0703943 | -5.91172e-12 -4.77485e-12
24.5102 20.4557 | -0.0508725 0.917238 | 834.677 -1388.91
21.9764 -74.1841 | 0.439458 0.227844 | -2.27374e-12 -6.36646e-12
-2.41803 53.4007 | -0.189737 0.227769 | 4.09273e-12 2.27374e-12
-72.2078 58.3288 | 0.622566 -0.40864 | 1152.68 -2039.53
33.8978 67.8563 | -0.447023 -0.410265 | 105.307 -158.875
-46.9984 72.5892 | -0.0727563 -0.853324 | -1407.14 198.479
-4.42093 64.0757 | 1.03123 -0.661011 | -61.9855 94.781
14.745 45.5202 | -0.265182 0.808604 | -68.5643 54.697
-7.9911 73.0962 | -0.996391 0.226484 | -618.461 4813.25
37.4782 66.3494 | -0.333558 -0.0567608 | -8.80022 12.1364
12.3014 39.3981 | -0.346789 1.05933 | 528.588 -285.972
-30.9267 23.6666 | -0.703026 0.858364 | -6.36646e-12 8.95284e-12
-14.7925 88.8251 | 0.345304 -0.723166 | -3.00133e-11 1.54614e-11
-39.9979 16.5077 | -0.11627 0.880322 | 165.767 450.025
30.6492 -15.2481 | 0.483959 -0.0377602 | -373.367 582.272
90.2326 -14.46 | 0.412572 -0.16101 | 182.676 -59.0707
-67.8121 -21.6293 | 0.546507 -0.0117304 | -230.393 -1706.64
51.5215 -49.6491 | -0.368191 -0.525595 | 216.56 905.014
-3.21174 -10.8274 | -0.435908 0.358988 | 9.09495e-13 -7.36122e-12
21.916 -58.3744 | 0.303726 -0.463277 | -951.231 -1051.62
30.9042 -24.6763 | -0.300879 -1.14447 | 156.168 -296.212
30.9482 27.9145 | -0.330151 0.237103 | -2.72848e-12 -9.09495e-12
8.82362 93.7934 | 0.955479 0.509184 | 188.91 1223.11
-68.1203 -28.8409 | 0.365609 0.271381 | 571.449 -412.597
-50.0938 2.84865 | 0.383192 0.287953 | -436.655 -724.158
-29.4212 6.95644 | -0.173272 0.0450145 | 436.655 724.158
-42.6363 -24.281 | -0.405308 -0.429251 | -146.753 68.6452
-55.3457 -60.6407 | 0.722989 0.13511 | -1516.97 -1440.14
48.9749 -25.2553 | -0.282539 -0.353234 | 4.09273e-12 -4.54747e-13
-54.7153 18.7117 | -0.675942 0.746332 | 6.82121e-13 -3.18323e-12
-37.8289 65.0436 | 1.01722 -0.445435 | 805.183 2261.41
-20.3254 -29.9866 | -0.374323 -1.12488 | 19.5261 -168.827
28.3701 86.8871 | -0.130929 -0.0492091 | 961.258 -723.902
74.1828 -16.1977 | 0.434138 0.0996926 | 0.610717 45.4873
14.506 -36.7588 | 0.474213 -0.808217 | -75.5814 -144.194
41.4812 2.25972 | -0.0158611 0.221858 | -53.9045 -488.501
-5.96998 39.1901 | -0.760989 0.135713 | 277.378 -50.2505
58.1867 -14.5139 | -1.19001 -0.634957 | 373.367 -582.272
26.0129 -92.3641 | -0.126686 -0.24828 | -50.4218 -109.425
-58.375 -34.6713 | 0.972677 -0.0120005 | -921.325 411.65
-54.762 -57.0454 | 1.09669 -0.0902999 | -2.72848e-12 -4.54747e-13
60.8772 13.2685 | -1.27204 0.483839 | 47.8315 52.0001
-20.2173 -90.5406 | -0.377397 0.437192 | 1.66035 8.76524
-24.1451 -71.7825 | 0.0731661 0.211858 | -1473.12 -868.549
-28.0635 -68.9655 | -0.314055 -0.32611 | 1787.65 1308.88
-28.9071 -17.6589 | -0.0457602 0.0927178 | 1.36424e-12 -1.27329e-11
67.9676 35.0054 | -0.371 0.410019 | 429.611 665.784
39.7684 40.2144 | -0.534699 1.15985 | -1.81899e-12 9.09495e-13
71.0029 31.7687 | -0.140468 0.583404 | -420.774 -656.655
-66.0057 57.6488 | -0.290408 0.142169 | -2.48549 -134.095
-54.8605 9.22691 | -0.504726 0.195359 | -2706.55 2086.96
-72.4087 -46.8023 | 0.170132 1.09415 | 3.63798e-12 -3.63798e-12
-35.457 -36.7923 | -0.18065 -1.24759 | 415.611 535.764
55.0842 -28.1869 | 0.299825 -0.33631 | 6.36646e-12 -1.09139e-11
-25.5812 -43.1359 | 0.685107 0.461535 | -65.4441 1270.15
-63.3539 33.0965 | -0.664269 0.791671 | 1.81899e-12 -1.59162e-12
49.0465 55.1998 | 1.00814 -0.197481 | 1158.02 134.129
-34.7647 21.233 | -1.1592 0.787952 | 110.448 175.248
-25.7836 78.8341 | 1.00742 -0.570959 | -186.056 -10.2169
75.6612 18.6191 | -0.962128 -0.524642 | 416.256 579.469
53.2981 -65.5898 | 0.824966 -0.523988 | 164.286 -1148.73
17.5447 14.8142 | 0.0138427 0.437932 | -4.83169e-12 -1.59162e-12
13.5602 87.5686 | -0.437536 0.456444 | -1150.17 -499.209
-63.2392 55.7933 | 0.554612 -0.432161 | -421.599 3006.76
13.7886 6.1405 | -0.160592 0.479602 | -22.4825 -67.8066
21.0578 -76.7335 | 0.403792 0.0963058 | 784.172 704.772
54.7415 73.2274 | 0.185985 0.221578 | -10.5181 -3571.89
62.7059 39.159 | -0.168693 0.0874108 | -4.16399 -209.075
46.0847 -53.7283 | 0.0947247 -0.0684898 | 42.5007 -672.536
2.2554 -84.6418 | -0.0342648 -0.514588 | 2130.13 -2904.04
87.8139 10.801 | -0.635869 -0.186791 | -4876.05 124.35
25.009 69.4759 | 0.381311 0.576238 | 191.288 1696.33
-27.3396 -83.8349 | -0.643539 -0.231647 | -6.98714 29.9839
-27.7624 61.986 | -0.60808 -0.818417 | 0 1.13687e-12
56.1472 59.927 | 0.321574 -0.397365 | -783.605 3338.72
-40.5149 -76.4532 | 0.174232 -0.0274484 | 131.151 336.431
-37.8953 -25.4535 | -0.312515 -0.543484 | 146.753 -68.6452
-75.0631 -22.0241 | 0.314789 -0.544183 | 230.393 1706.64
-81.9213 9.40284 | 0.174092 0.332901 | 1768.31 -1410.87
1.75922 -61.6656 | -0.339012 -0.0870658 | 3328.73 5172.33
1.93932 -49.8972 | 0.0601664 0.488008 | -5.68434e-12 2.78533e-12
-57.1453 12.0649 | 0.209782 0.10696 | -901.787 -2190.16
5.75703 57.0305 | -0.206508 0.532884 | 341.002 1497.27
-73.1904 42.5205 | 0.870888 -0.295716 | -721.938 1560.13
-5.8829 91.1672 | 0.635727 1.09069 | -8.41283e-12 2.27374e-11
-30.4708 -65.9383 | 0.240571 -0.332834 | 1905.82 -9092.2
-52.3891 49.5823 | -0.858026 -0.759349 | -120.3 -41.6739
54.1022 -63.8978 | 0.496601 0.619008 | 1238.1 479.149
64.7727 -10.0113 | -0.904013 -0.696601 | -1.93268e-12 4.94538e-12
63.9512 -37.9801 | -0.0277661 -0.579321 | -140.307 -683.578
37.9208 -58.7242 | -0.392741 -0.190998 | 7384.28 -5485.92
-42.4732 45.186 | 0.404 0.803468 | -124.724 -201.441
-33.1442 76.5718 | -0.111094 -0.908947 | 417.916 -5338.31
-27.4972 84.9927 | 0.754483 -0.592593 | -6.13909e-12 -1.00044e-11
41.1018 -69.959 | -0.240897 0.0751064 | -254.637 -474.139
33.5918 74.8329 | -0.126058 0.328739 | 787.37 -1298.49
-34.019 -9.44219 | -0.52504 -0.487527 | 101.32 -808.043
0.912519 -87.2509 | 0.604191 0.0825533 | -685.566 88.0528
28.646 -36.2255 | 0.501118 -1.14926 | 75.5814 144.194
36.8788 -49.2928 | -0.578936 -0.640343 | 229.41 -2107.09
-78.2536 22.7218 | 0.796866 0.146872 | -138.624 1880.57
62.2378 55.0906 | 0.0747035 -0.147298 | 834.307 -4316.96
23.3091 -88.7034 | -0.451987 0.595655 | -321.207 261.773
-17.0955 31.1642 | 0.105458 0.533397 | 3.63798e-12 -3.18323e-12
63.1379 8.79352 | -0.0691039 0.702511 | -77.295 -117.786
61.1082 -43.354 | -0.896658 -0.666913 | -2.72848e-12 -2.95586e-12
34.8982 47.5642 | 0.0832613 1.04081 | -612.677 482.966
-40.1472 57.7978 | -0.146385 -1.04208 | 153.422 -1184.06
-74.4102 -17.489 | 0.348925 -0.709314 | -9.09495e-13 -1.42109e-12
-15.6271 -89.1767 | -0.450067 -0.345227 | -9.55962 -263.045
-57.7425 36.47 | 0.9215 0.581312 | 1.13687e-12 -1.81899e-12
51.5959 18.346 | -0.383484 0.988066 | 482.694 -810.528
17.892 -43.7556 | -0.213453 -1.55834 | -479.864 1890.21
88.4004 12.9066 | 0.227096 -0.461524 | 5119.58 450.725
65.4795 47.2837 | -0.467682 0.246468 | 3.64762 -18.3719
37.609 -54.4047 | -0.581258 -0.204635 | -8.60634 -15.5953
80.1833 -50.1715 | -0.530155 -0.565888 | -1113.04 1091.44
-33.9349 72.239 | 0.572857 -0.976115 | 23.0374 29.5224
