-53.0509 -36.3967 | -0.352276 0.406837 | -3.63798e-12 3.06954e-12
42.234 -76.3667 | -0.388872 -0.89498 | 759.495 -8.13271
-12.151 61.9483 | -0.14712 0.469598 | 900.572 228.634
-18.2711 -15.132 | 0.00422601 -0.14403 | 125.718 -731.857
-56.6694 10.444 | 0.293346 1.06429 | -113.529 2753.68
-42.6562 50.292 | -0.48075 -0.176019 | 87.8981 752.799
59.4708 40.0472 | -0.817229 0.0346189 | 4.89177 -31.6957
14.3967 22.1725 | -0.33874 0.00615397 | -381.385 -1878
-73.2845 35.5166 | 0.756462 -0.00167054 | 489.344 -768.617
-72.9072 26.7372 | -1.03948 -0.886502 | 245.162 27.6381
5.42906 -57.1739 | -0.475247 0.353133 | -15.6904 -7.4111
7.04815 -44.4655 | 0.975267 -0.981605 | -540.909 2824.18
60.3497 32.9544 | -0.00616895 0.149029 | -2.72848e-12 5.91172e-12
-22.2398 -87.6678 | -0.581107 -0.39214 | 653.931 -1909.84
-32.7303 -74.8626 | -1.31225 -0.0578216 | 4.54747e-13 5.00222e-12
-78.1442 28.6796 | -0.0822451 -1.45211 | -52.0386 -327.786
1.02593 -59.9115 | 0.0234208 -0.568772 | -7.27596e-12 3.41061e-12
29.5705 60.3501 | 1.33382 0.241895 | 1512.33 -1928.39
-41.1536 60.5603 | -0.0762578 0.40987 | -23.7101 -2232.54
50.9825 -20.1059 | -0.676028 0.0416992 | 7.27596e-12 -2.27374e-12
38.8382 -57.3709 | -0.0881882 -0.333412 | 2.84027 16.3892
29.9414 -79.805 | -0.225462 -0.150581 | 255.688 -725.93
13.1096 70.1711 | 0.286946 0.426932 | -579.621 -1031.18
-18.871 -23.4556 | 0.306851 -0.869874 | -958.208 -2200.68
65.5782 -31.5852 | -0.152307 -0.822782 | 473.987 -1192.95
-52.0378 62.8119 | 1.28072 0.221932 | 127.549 -78.2442
-15.6969 -41.1538 | 0.670827 0.0295426 | 2270.34 -3387.19
71.8046 -14.5432 | -0.504468 -0.210177 | -2.00089e-11 1.13687e-11
14.7764 -57.6655 | 0.0598566 -0.420235 | 137.212 465.948
-46.455 79.9178 | -0.56424 -1.35908 | -113.59 441.953
25.284 -7.59756 | -0.567301 -0.734716 | 3.63798e-12 2.41585e-13
-55.889 77.0249 | -0.345919 0.105574 | 846.034 -3268.39
7.76632 18.8092 | -0.293971 0.967263 | 5.11591e-12 3.41061e-13
37.0035 29.3456 | -0.800292 0.0617586 | -6.82121e-13 4.09273e-12
-74.1063 45.6563 | -0.121817 -1.02286 | 0 -6.36646e-12
45.5037 -72.5066 | -0.579237 -0.651449 | -63.3303 -309.951
18.4477 -74.9303 | -0.759263 -0.534141 | -2467.23 3580.04
46.3701 64.8731 | -0.0276466 -0.601366 | -390.151 719.939
49.7941 42.6269 | 0.0148538 -0.425597 | 1247.15 3839.52
-62.4313 -50.9737 | 0.0969177 0.427956 | 313.924 -1545.88
-19.3739 72.2743 | -0.0602001 -0.112435 | 1.23919e-11 3.18323e-12
7.74515 31.1312 | -0.323049 -0.0485352 | 9.09495e-13 -2.6148e-12
77.1593 -5.66657 | -0.183304 0.962832 | 292.577 -1196.47
-3.99959 -43.1113 | 0.478181 0.0316988 | -7.27596e-12 -3.18323e-12
-8.5405 -82.3049 | 0.175263 -0.0164519 | -627.145 -698.215
-10.9724 80.893 | 0.271015 0.156124 | -1313.63 -1881.8
13.4174 95.0558 | 0.726118 0.0148659 | -285.239 718.804
-20.1285 31.8586 | 0.39127 1.04772 | -4.54747e-12 -4.54747e-13
18.5002 36.7076 | -0.443333 0.701421 | -4.89177 31.6957
51.1489 4.82148 | -0.499291 -0.059407 | -197.937 792.835
-22.1894 -89.8738 | 0.630696 -0.769604 | -278.381 -333.533
-14.7291 -8.23257 | 0.828217 0.0318946 | 31.4105 57.1939
12.5509 -71.8548 | -1.34908 -0.605931 | 246.075 535.207
-11.7494 -76.2494 | -0.217256 -0.336307 | 164.094 733.044
-36.9002 -39.9036 | -0.251026 -0.134126 | -2210.6 4011.79
-0.90959 5.23676 | -0.0473016 0.0802301 | -2.72848e-12 -5.00222e-12
6.67756 59.5752 | 0.781225 -0.046254 | -555.898 2955.42
20.1476 8.29996 | -0.544333 -0.367579 | 599.202 -1114.39
10.6772 16.4729 | -0.0604176 0.0175457 | 3.18323e-12 1.13687e-12
77.6063 4.32741 | -0.399024 -0.253617 | -1024.55 -1059.45
31.8783 69.0718 | -0.192958 -0.197192 | 710.146 -293.414
-28.4627 -9.19748 | -0.358259 -0.242238 | -31.4105 -57.1939
-57.3868 37.4592 | -0.613321 0.515558 | 210.975 1657.8
-28.8013 -67.8509 | -0.147628 -0.244174 | 909.638 3270.75
-52.1958 -46.8014 | 1.3515 -0.279862 | -4.54747e-12 4.54747e-12
-52.6513 -42.8849 | 0.363231 -0.467103 | -70.5817 -552.984
-50.8086 -56.3535 | 0.261359 -0.240322 | -561.618 -2075.65
-76.0678 -5.43005 | 1.09373 -0.0767442 | -486.199 885.725
-64.7985 18.9475 | -0.189489 -0.579477 | -368.313 1139.2
37.3788 -49.1792 | 0.223756 0.288578 | 12.1752 -74.7073
19.5283 83.3945 | 1.21391 0.588415 | -1352.13 2791.84
-14.4496 74.5457 | -1.14668 0.326337 | 97.2654 19.7359
72.5372 -11.2863 | -0.205534 0.297492 | -1.81899e-12 3.63798e-12
67.278 -19.032 | 0.185191 -0.225128 | -5.00222e-12 1.36424e-12
-12.9721 4.03197 | 0.422963 -0.807621 | 5.57066e-12 -5.91172e-12
38.698 53.4092 | -1.03329 -0.624263 | -3.63798e-12 1.81899e-12
-8.26649 56.0969 | -0.680319 0.0635163 | -1415.63 1702.12
35.5634 -33.0785 | 0.368608 -0.565869 | -49.4964 32.8295
10.6369 -26.7766 | -0.344541 -0.307306 | -18.0596 285.504
55.9903 36.2249 | -1.48892 -0.404785 | -9.09495e-12 -5.00222e-12
75.5725 -37.705 | -0.581362 -1.09108 | -1574.55 3522.19
-45.899 -30.1219 | 0.137066 0.339215 | 0 -1.00044e-11
-2.55317 94.1664 | 0.638069 -0.204136 | 285.239 -718.804
45.2712 -31.554 | -0.0668653 -0.646767 | -33.8023 129.148
75.174 -25.6832 | -0.161435 -0.476696 | 2.72848e-12 2.50111e-12
-21.7913 53.5002 | 0.838104 -0.669662 | -1304.95 -2328.93
-2.63348 0.422523 | -0.441953 0.0589946 | 1.36424e-12 4.68958e-12
-75.7711 0.842278 | -0.406527 -0.085526 | 800.798 -279.53
-70.122 -26.8849 | 0.0469634 -0.0597367 | -52.2265 -192.757
51.4943 21.1249 | -1.0005 -0.251168 | -380.286 -1006.93
9.63142 43.7932 | -0.423545 0.329968 | 211.886 -805.808
-5.84303 81.4169 | 0.16466 -0.43386 | 1266.92 1728.77
71.4129 -41.5821 | -0.613619 -0.638441 | 1574.55 -3522.19
55.2933 -1.33274 | -1.11139 -0.74481 | 0 -2.27374e-13
-41.9655 43.7225 | 0.42402 0.71946 | -317.499 453.018
7.25107 -49.7248 | 0.0961846 -0.298876 | 528.734 -2749.47
24.5486 70.9509 | 0.181869 -0.0938574 | 7.32936 573.982
-62.3658 23.0363 | -0.346931 0.618991 | -31.0308 38.8468
-36.464 74.3553 | -1.15665 0.654089 | 77.6869 117.936
37.8772 -10.3403 | -0.410888 -0.202891 | 7.27596e-12 -4.54747e-12
-51.8764 -15.4232 | 0.898035 -0.791651 | -47.2927 383.733
-77.873 4.76268 | -0.304385 0.384856 | 824.75 -132.848
-12.7957 42.227 | -0.229802 0.506518 | 433.545 516.196
9.30519 11.6062 | -0.298014 0.576144 | -229.185 3691.95
-34.5644 16.4901 | -0.21495 0.368199 | 399.344 -1178.05
-56.4021 64.5489 | -0.257749 -0.536828 | 267.559 -173.444
-71.7979 -24.5787 | 1.59388 -0.333308 | 52.2265 192.757
-50.3356 -70.9174 | -0.054497 -0.0839016 | -2741.4 -2165.57
-42.4149 71.1076 | -0.198829 0.33027 | 573.932 -2145.77
22.7858 46.6 | -0.140258 -0.702418 | -211.886 805.808
58.0638 60.4638 | 0.693208 -0.804606 | 300.433 473.651
40.1973 -36.8229 | -1.18566 -0.0493772 | 83.2987 -161.977
-2.81291 -27.9972 | -0.146426 -1.45672 | -1.68257e-11 7.95808e-12
27.0757 70.0173 | 0.600255 -0.0225549 | -827.002 27.104
73.4425 19.1023 | -0.697476 0.151843 | -1.45519e-11 -2.72848e-12
15.6592 -91.6371 | 0.357542 -0.230166 | 0.410339 -0.851729
77.0595 8.26936 | -0.135027 -0.566488 | 5.22959e-12 3.18323e-12
-86.5755 -6.2206 | 0.223458 -0.781093 | -797.953 269.863
-44.7184 -75.2529 | 0.573745 -0.332714 | 1147.73 -2180.59
48.819 67.8621 | -0.166476 -0.00528333 | -759.643 -1447.14
-65.0376 13.1692 | 0.251556 0.0228328 | 71.4546 316.198
-10.5561 45.2661 | 0.068881 -0.217124 | -21.5061 -58.9643
-64.2782 27.6414 | -0.674578 0.669668 | 59.3676 -27.3328
-40.5154 -10.092 | -0.130622 0.0182741 | 358.437 -95.1809
40.0811 -70.0357 | 0.258423 0.432092 | 265.92 -505.882
-13.9855 89.6259 | 0.647668 -0.751107 | 46.7095 153.033
16.6402 -55.3926 | 0.843604 -0.0522827 | 21.9834 261.252
47.0756 -64.4513 | 0.683124 -0.0223145 | -434.075 -139.537
-66.7572 64.9788 | -0.0490962 0.00851324 | -660.337 2064.14
-17.4957 -5.88591 | -0.142536 0.334944 | 6.82121e-13 1.81899e-12
-0.440474 -63.4909 | -0.412042 -0.266568 | 1.36424e-12 3.86535e-12
-28.048 -83.0753 | -0.108205 -0.103613 | -116.799 1809.99
-62.2182 -33.6209 | 0.656037 -0.0678795 | 680.439 -4143.06
64.8465 -44.9785 | -0.762341 -0.299003 | -4.68958e-12 9.09495e-13
4.76298 -4.35515 | -0.0173001 -0.571642 | 13.4292 -16.3232
-52.8512 -58.5227 | 0.604214 -0.964735 | -1021.29 1516.46
55.0103 69.787 | 0.669928 0.1777 | 863.673 1121.56
-35.6317 58.6378 | -0.442843 -0.0709162 | 1331.37 2372.61
-58.4735 46.4598 | -0.154493 -0.138102 | -258.417 -542.084
85.5303 7.09408 | -0.766765 0.300517 | 501.74 68.3869
-24.4263 -78.0412 | -1.34232 0.167273 | -422.845 -299.669
62.4679 -38.2717 | -0.458663 -0.156529 | -3.86535e-12 -7.7307e-12
70.8782 -8.34441 | -0.897131 -0.393331 | -3.97904e-12 1.13687e-12
-69.4697 7.34322 | -0.292117 0.037092 | 36.5791 -3159.04
-10.694 -93.015 | -0.278213 0.11865 | 1.09139e-11 -1.04592e-11
62.1577 22.5617 | -0.423417 0.144711 | -268.61 225.182
0.162235 -81.1449 | 0.900454 -0.406733 | 561.407 1049.94
24.3381 87.0089 | 0.529328 0.431518 | -1.27329e-11 1.36424e-11
3.26542 33.6006 | -0.376305 0.362801 | -433.545 -516.196
-12.8136 -19.3742 | -0.136672 -0.684099 | 889.399 2489.23
49.7853 58.2639 | 0.866484 0.1081 | -279.436 -558.056
59.362 -51.0803 | 0.504413 -0.515426 | -2011.83 1773
-35.0768 62.2873 | 0.585553 0.841125 | -658.719 -618.828
-54.4447 -63.9056 | 1.45962 -0.274938 | -159.154 -81.8101
-59.1654 -19.5067 | 0.69622 -0.133865 | 653.067 -995.377
49.1346 -67.1414 | 0.776345 0.0941245 | 46.6332 186.881
62.3697 -27.6306 | -0.974323 0.201875 | -473.987 1192.95
54.5202 -55.6528 | 0.0962331 -0.574588 | 1025.32 -1351.88
-86.376 30.0747 | 0.408804 0.314923 | -828.921 247.399
30.2733 -88.2767 | 0.917341 0.0986489 | -0.410339 0.851729
74.0923 -48.8081 | 0.104013 -0.785176 | 986.512 -421.121
79.471 15.4454 | -1.03294 0.52869 | 1.63709e-11 7.27596e-12
-60.7721 -43.7069 | -0.131383 -0.590412 | 10.8402 -71.6169
-75.4502 55.72 | 0.656874 -0.321275 | -264.161 167.858
32.7325 -86.3154 | -0.711589 -1.36544 | 1.81899e-11 -3.63798e-12
-71.5838 54.5442 | 0.340724 0.80118 | -290.957 566.112
15.1663 -38.9509 | 0.504317 -0.453035 | 3.18323e-12 -1.36424e-12
-10.007 -25.1707 | 0.0837058 -1.25836 | 68.8092 -288.552
46.1286 43.956 | -0.497392 -0.113721 | -183.367 399.604
-19.7431 75.0127 | -1.09445 -0.567073 | 375.462 -605.708
-36.7149 -65.335 | 0.379421 -0.129375 | -9.09495e-13 1.81899e-12
-56.7954 -48.4626 | 0.388703 -0.425554 | 234.161 510.712
50.9297 -76.1044 | -0.0211877 0.49373 | 1482.15 -1848.46
59.2632 27.9301 | -1.11405 0.0749965 | 271.443 451.383
-53.8521 -50.2707 | 0.151949 -0.532016 | -548.086 1035.17
18.0982 48.6824 | -0.21961 0.0350989 | 786.048 -1267.07
-28.4694 27.9548 | 0.200109 0.945257 | -139.885 -1269.39
34.0296 79.0066 | -0.254244 0.519038 | 573.091 1070.93
60.6894 43.7191 | -0.616575 -0.622108 | -1018.41 -4279.83
19.5783 10.9599 | -0.344272 0.427557 | -370.017 -2577.56
-59.0033 -54.5577 | 0.132816 -0.408235 | 544.163 2144.38
-75.4726 -12.4643 | 0.792549 -1.07533 | 4.09273e-12 -5.22959e-12
36.4822 -83.2008 | -0.213561 0.240964 | -147.109 -1574.5
1.30641 -15.9157 | 0.641385 -0.403195 | 2.04345 -58.6868
65.5181 20.6126 | -0.901336 -0.0331171 | 268.61 -225.182
-7.83752 -1.3083 | -0.497893 -0.513013 | -13.4292 16.3232
70.2765 31.418 | -1.26472 -0.220116 | 108.843 555.55
-50.9065 81.4142 | -0.897223 -0.082995 | -1205.17 3412.41
11.4393 -97.0291 | -1.0172 -0.238555 | 1.00044e-11 -4.45652e-11
23.3018 81.5392 | 0.0500122 0.323335 | 1352.13 -2791.84
7.23824 24.2657 | 0.384259 -0.222689 | 381.385 1878
-50.5419 -66.6007 | 1.24283 0.0666411 | 1881.93 -427.963
-30.9569 -35.0684 | -0.0258091 -0.524513 | -662.38 3857.55
82.7102 -6.09812 | -0.256212 -0.146924 | -94.64 403.631
-62.5081 25.5308 | 0.0121 0.489672 | 9.08965 -9.75532
57.6337 8.39919 | -0.075103 -0.107352 | 522.809 991.066
59.834 -58.3997 | 0.358614 0.88012 | -24.8236 -277.641
-65.5152 -17.6004 | 0.0521446 -0.109028 | -605.774 611.643
48.5967 50.2729 | 0.999823 -0.290106 | -45.3744 40.7058
-76.6327 27.0263 | 0.481037 0.441491 | -327.175 37.9977
