63.7039 -70.0947 | -1.10404 0.472675 | 706.666 -29.269
46.5489 9.99609 | -1.15852 0.210348 | -5.45697e-12 1.59162e-12
-2.48229 -65.3781 | 0.238177 -1.36305 | -884.409 1482.03
6.29052 88.3208 | -0.27045 -0.451825 | -1562.78 -3143.35
-20.029 34.4228 | -0.215914 0.530591 | 7.04858e-12 -1.13687e-12
-31.7835 -71.405 | -0.306047 0.0657308 | -1600.92 1019.09
-80.2717 -6.40795 | -0.37177 -0.523018 | 148.541 -121.623
79.7773 -31.4636 | 0.554296 -1.20076 | 7.27596e-12 6.48015e-12
29.7327 70.1218 | -0.266871 -0.108731 | 5.00222e-12 -9.09495e-13
-29.8786 87.3675 | -0.647754 -0.866589 | 0.102502 781.834
36.1653 -0.721531 | 0.197757 -0.268712 | -7.50333e-12 1.00044e-11
-1.45727 -22.8598 | -0.785405 -0.294319 | 41.041 -80.4514
22.8294 22.0489 | 0.426908 0.578905 | -151.826 1998.45
71.5079 -46.095 | 0.443274 -0.157214 | 1.36424e-12 0
-80.6714 39.6301 | -0.613906 -0.00782202 | 0 -1.81899e-12
48.6896 72.3847 | -0.30342 1.12804 | 2.55795e-13 -5.91172e-12
-12.9476 -21.2345 | 0.107594 -0.996876 | -41.041 80.4514
-51.2008 9.15164 | -0.0471432 1.42721 | -1.81899e-12 2.72848e-12
-53.1569 61.9552 | 1.2305 0.316678 | -3.63798e-12 -2.16431e-11
-0.629804 42.0899 | -0.28074 0.368898 | -7.27596e-12 -1.36424e-12
-55.3294 56.124 | -0.681766 0.320972 | 58.5827 676.985
34.7342 79.724 | 0.350389 -0.234899 | -4.54747e-12 -3.41061e-12
82.5614 41.9758 | 0.289708 -0.337571 | -233.561 -128.517
-32.8497 27.6888 | 0.398703 0.163245 | 1.81899e-12 7.27596e-12
-89.4707 -6.16138 | -0.504444 -0.0367987 | -156.772 123.587
74.7123 6.34468 | -0.37325 0.763218 | -51.1838 -87.7999
62.8466 -67.2164 | 0.666686 0.20421 | -706.666 29.269
-3.78825 -49.3668 | -0.226167 -0.162402 | 603.934 -1155.46
-48.2571 12.5859 | -0.87574 0.583594 | 9.09495e-13 -5.79803e-12
49.99 -14.7999 | 1.13242 -0.126819 | -319.677 -1363.21
-11.8403 9.1713 | -0.013983 0.193043 | 4.718e-12 -3.63798e-12
-21.8028 48.8193 | -0.724698 1.18982 | 0 -1.13687e-12
-16.8731 63.4643 | -0.333335 0.570043 | 0 -7.04858e-12
-10.8373 74.6214 | 0.154027 1.55832 | 0 1.25056e-12
-43.9769 41.5428 | -0.604416 0.59608 | -3.86535e-12 -2.04636e-12
-9.89162 -93.9455 | 0.639225 -0.692358 | -1.45519e-11 -3.18323e-12
-6.82929 -37.8022 | -0.716288 0.441948 | -3.63798e-12 0
-71.3948 -25.5941 | 0.0738194 0.6717 | 2.27374e-12 4.54747e-13
16.2182 31.0307 | 0.0891991 0.547633 | -4.54747e-12 1.81899e-12
-46.6966 -1.54433 | -0.273647 0.647077 | -4.54747e-12 -9.09495e-13
-14.4257 93.8977 | 0.0203835 0.0320156 | 7.04858e-12 0
-21.9827 -88.3461 | 0.381352 -1.33108 | -31.7076 -52.8355
63.3747 -58.4973 | -1.25031 -0.246093 | -3.63798e-12 1.09139e-11
-7.59611 -16.94 | -0.149419 0.268233 | -1.79057e-12 7.38964e-13
16.7515 -82.0167 | -0.394563 -0.182266 | -1520.51 -1690.26
-35.3464 65.2586 | -0.594806 0.115656 | -9.09495e-12 3.18323e-12
74.2983 55.2237 | 0.607973 -0.738005 | 233.561 128.517
-54.2167 73.5683 | -0.397011 0.223638 | 33.6446 -32.6583
28.4541 -64.0282 | 0.412296 -2.15037 | -5.00222e-12 -9.09495e-13
39.9273 -7.75082 | 0.0369584 -0.122893 | 985.112 2398.89
49.5246 51.313 | -0.289442 0.78049 | 1.36424e-12 7.27596e-12
-47.8144 -61.6567 | 1.05031 0.393036 | 6.36646e-12 3.18323e-12
45.4949 -40.5151 | -0.0486834 -0.988574 | 9.09495e-13 -1.81899e-12
47.2915 61.8012 | -0.138488 -0.068621 | -8.86757e-12 4.54747e-12
54.7824 42.1477 | -0.775849 0.279724 | -3.63798e-12 -6.82121e-12
-16.4823 -13.4126 | -0.52883 -0.185807 | 4.09273e-12 -7.95808e-13
14.8571 -69.9216 | 0.226782 0.386348 | 884.409 -1482.03
-43.644 -43.2481 | -0.203784 -0.982531 | 1.47793e-12 -1.3074e-11
17.6401 13.9152 | 0.432253 -0.00794605 | 19.8061 -161.46
25.9423 5.53714 | -0.952366 -0.181247 | 5.34328e-12 4.3201e-12
87.5672 19.3518 | 0.535317 -0.437889 | 51.1838 87.7999
38.5328 -28.1057 | 0.280718 -0.768 | -2.27374e-13 -4.43379e-12
7.2223 -73.2557 | 1.04616 -0.95273 | -2.27374e-13 0
6.27105 63.0805 | 0.0626649 0.639944 | 1.1994e-11 1.0516e-12
-36.5921 -83.9217 | -1.59215 0.899382 | -53.5723 -186.016
-51.0352 -76.9637 | -0.451871 0.313057 | 53.5723 186.016
