-14.5428 -59.8944 | 0.847494 0.297464 | 7.61702e-12 -8.41283e-12
-17.7954 53.9224 | 0.437997 0.947563 | -7.7307e-12 7.27596e-12
46.3031 -33.9285 | 0.738721 -0.0546254 | -205.14 -142.96
-68.3935 -25.8248 | -0.32624 0.19573 | 5.68434e-13 -5.45697e-12
-23.9401 -36.8149 | 0.332137 -0.0801042 | 1.59162e-12 -6.82121e-12
-22.3303 -89.6777 | 0.918106 -0.37997 | 7.27596e-12 -8.6402e-12
63.5278 -11.2356 | 0.580512 0.14367 | -4.54747e-12 4.54747e-12
-52.8886 -32.9998 | 0.454293 -0.384878 | -9.09495e-13 -9.09495e-13
50.9207 75.5205 | 0.339616 0.0773999 | 154.333 170.133
-70.0829 31.1136 | -0.100617 -0.145355 | -486.716 -897.433
-2.90005 92.8854 | 0.690809 -0.296984 | -219.268 -761.228
-17.4218 17.3806 | -0.383739 0.284415 | 147.35 -1992.2
12.7619 -59.4356 | 0.293141 -0.391952 | 4.54747e-12 -1.00044e-11
-73.7327 -0.987903 | -0.19037 0.525935 | -5.00222e-12 -7.04858e-12
24.3967 90.8388 | 0.786328 1.04096 | -5.36809 33.4263
-77.8328 30.2108 | 0.141689 -0.0480977 | -3680.21 -1928.39
-74.8696 -21.6657 | 0.800305 0.500176 | -3.63798e-12 -4.3201e-12
12.6421 56.9377 | -0.900199 -0.00951375 | 617.59 -483.4
45.7814 39.1976 | 0.248992 0.442518 | -829.427 -3389.9
94.611 -9.89752 | 0.267889 -1.1548 | -2.72848e-12 -4.54747e-12
54.8907 -28.6645 | -0.729646 0.500803 | -480.632 1731.39
-41.8832 -13.4811 | -0.138164 -0.022811 | 572.305 842.985
48.7783 26.9895 | 0.425675 1.14534 | 2.84217e-12 7.27596e-12
52.9908 -41.8692 | -0.377448 0.220489 | -7.27596e-12 -6.82121e-12
50.0823 -57.0505 | 0.868709 0.00193508 | -73.1928 46.3948
-12.5208 -44.8534 | -0.554004 -0.508948 | 9.09495e-12 5.00222e-12
-37.6568 -7.83994 | -1.17419 -0.641944 | 3.41061e-12 3.41061e-12
-86.9387 23.0349 | -0.695084 1.19234 | 4.54747e-12 0
-0.215197 -29.194 | 0.55983 -0.802798 | 2.72848e-12 8.52651e-13
73.1713 -35.5762 | 0.223021 -0.766629 | 0 -7.27596e-12
-3.79046 -52.1293 | 0.70235 -1.09617 | -4.09273e-12 -2.27374e-12
-77.0289 -12.7563 | -1.05823 -1.02052 | -572.305 -842.985
-7.24217 0.800946 | 0.198078 -0.0514355 | -4.54747e-12 0
67.8644 -5.90442 | 0.0223867 0.315955 | 2.72848e-12 9.09495e-12
-0.215644 27.3074 | -0.649755 1.02985 | -147.35 1992.2
-7.15665 85.0082 | -0.214229 -0.147315 | -100.682 142.265
-17.2691 94.3555 | -0.154027 0.47926 | 219.268 761.228
25.5634 69.2728 | 0.0346083 0.84964 | -756.714 306.035
-52.7539 63.4988 | -1.0427 -0.231142 | -7.27596e-12 -6.36646e-12
8.3566 -37.6116 | 1.07636 -0.784593 | -1.47793e-12 -2.6148e-12
-66.8001 43.0161 | -0.199723 -0.401019 | 3961.5 2410.08
-36.6526 55.2768 | 0.134993 -0.187868 | 742.09 437.817
78.2813 -0.50234 | 1.54364 0.221374 | 5.45697e-12 -2.27374e-12
-56.6403 -54.1423 | 1.17875 -0.160844 | 331.192 6837.52
73.6692 49.8377 | -0.0869737 -1.07375 | 2.50276 14.5555
45.6111 14.7234 | 0.258417 0.385883 | 2.72848e-12 8.6402e-12
-40.0143 4.24064 | 0.2009 -0.150896 | -9.09495e-12 5.91172e-12
32.6884 59.1854 | -0.356704 0.431319 | -67.7054 975.425
67.41 -42.0742 | 0.480935 -0.212425 | 685.773 -1588.43
-51.1362 -56.5467 | 1.63278 -0.385803 | -331.192 -6837.52
36.127 50.3702 | 0.731634 1.26098 | 0 -9.32232e-12
70.9818 34.9196 | -0.0279938 -0.381184 | -150.65 1205.3
-51.9593 31.4982 | 0.540551 -0.498285 | -3.63798e-12 -5.45697e-12
17.701 39.9777 | 0.345622 0.545887 | -3.63798e-12 -1.81899e-12
-28.8911 16.2606 | -0.300795 -0.10042 | -1.81899e-12 9.09495e-13
3.45768 -88.1908 | -0.689648 -1.57164 | -2.27374e-12 -7.27596e-12
40.8496 55.1016 | 0.026405 -0.220831 | 85.5605 -1050.65
30.3144 -88.7875 | 0.6211 -0.041485 | 3.63798e-12 2.36469e-11
-7.85014 -71.9233 | -0.354002 -0.875278 | 13.9697 15.7146
-0.295526 -18.1219 | -0.424229 -0.820915 | 2.72848e-12 -6.13909e-12
-60.5984 -33.8438 | -0.779005 -0.815886 | -2.27374e-13 -3.86535e-12
-32.9927 67.9919 | 0.0966688 -1.14829 | -2.27374e-13 5.40012e-12
33.0124 -74.2856 | -0.495506 -0.0936852 | 4.54747e-13 -1.22782e-11
-73.5601 -45.4947 | 0.432692 -0.0930736 | -5.45697e-12 -8.6402e-12
73.77 26.4941 | -0.279496 0.270022 | -9.09495e-12 -1.80194e-11
59.4179 -50.7424 | -0.61527 0.528098 | 8.18545e-12 -1.00044e-11
-62.2126 10.5267 | -0.474152 -0.213152 | -5.00222e-12 -1.19371e-11
48.0036 0.545457 | 0.646921 -0.391099 | 1.00044e-11 5.45697e-12
-2.1894 -2.37429 | 0.297112 -0.402172 | -1.81899e-12 2.72848e-12
35.0817 87.0012 | 0.0857786 -0.0502853 | 5.36809 -33.4263
-85.7468 -2.38773 | -0.376954 0.472538 | 9.09495e-12 4.8459e-12
4.32589 14.4982 | -0.553064 0.00872698 | -6.9349e-12 -5.00222e-12
-7.40611 34.4854 | 0.568917 0.126318 | -8.18545e-12 -4.3201e-12
73.7703 -15.2102 | 0.0892628 0.0763507 | 4.54747e-12 2.50111e-12
-43.1374 53.4964 | 0.00605339 0.817209 | -742.09 -437.817
26.542 -1.99323 | 0.613128 -0.729171 | -1.36424e-12 -7.3328e-12
-42.9314 -63.4104 | -0.272384 -0.104856 | 236.146 212.782
12.3742 67.3634 | 0.148734 0.492936 | -15.2086 7.23209
-34.568 -73.8946 | -0.558307 0.375196 | 268.887 185.824
77.0256 20.0944 | -0.520024 -0.0550943 | 5.00222e-12 1.5234e-11
-15.7128 77.0965 | 0.294088 0.348732 | 1.81899e-12 3.35376e-12
-50.1954 39.4284 | 0.774219 0.229338 | 8.25651e-12 -5.28644e-12
-33.1874 -77.4288 | -0.366418 0.371031 | -519.003 -414.32
-21.7116 76.6619 | 0.234134 0.107171 | 5.45697e-12 -3.63798e-12
25.5064 82.5286 | 0.160532 0.47265 | 100.682 -142.265
36.4957 -69.4006 | -0.203993 0.102802 | 1.02318e-12 3.18323e-12
80.8539 -39.5589 | 0.629901 0.288383 | -2.31921e-11 -9.09495e-13
-54.776 28.2699 | 0.353749 -1.08068 | -3.97904e-12 5.00222e-12
-53.0464 -72.7605 | 0.557709 0.850806 | 376.193 275.417
-14.5337 7.85635 | -0.659536 -0.0664455 | 4.09273e-12 -6.82121e-12
60.7643 -55.5617 | -0.720746 -0.280994 | 73.1928 -46.3948
60.4485 44.7572 | 0.366826 0.151265 | 829.427 3389.9
42.1744 29.5924 | 0.879411 0.168827 | 150.65 -1205.3
53.656 63.4375 | 0.870014 0.0560046 | -20.3579 60.6714
-52.6162 -47.2856 | -0.433007 -1.08796 | 4.54747e-13 -2.27374e-13
-0.175021 78.3179 | 0.346186 1.66918 | -2.95586e-12 4.5759e-12
44.9303 -64.3149 | 1.0588 0.0516384 | 2.16005e-12 -9.09495e-13
-54.6707 49.9699 | 0.541544 0.726669 | 205.431 415.751
-48.6702 75.9018 | 0.112922 -0.147648 | -1.36424e-11 -1.81899e-12
-42.3974 -81.0054 | 0.0810103 -0.195009 | -376.193 -275.417
