-54.0373 -35.5973 | 0.229087 0.265854 | -48.5499 -202.499
43.0508 -75.9638 | 0.361367 0.11764 | -7.27596e-12 9.09495e-13
-14.3749 62.8261 | -0.508498 0.78547 | -69.1729 1568.38
-16.948 -14.6415 | 0.22935 -0.184198 | 310.462 -1078.69
-56.4097 12.7127 | 0.167313 -0.253838 | 266.423 811.182
-44.3524 51.159 | -0.544547 -0.377917 | 2.72848e-12 2.72848e-12
56.8581 39.0617 | -0.724538 0.320409 | -9.05196 14.5129
14.014 22.92 | -0.244462 0.154651 | -58.3871 -476.784
-74.2524 34.9918 | -0.0587714 -0.440259 | 117.175 371.131
-73.7775 25.2775 | 0.0931371 0.0550384 | -94.8996 51.9187
4.32939 -59.156 | 0.61066 -0.783674 | -6.36646e-12 3.18323e-12
9.9656 -45.6666 | 0.112146 -0.739427 | -784.642 -915.928
59.8656 33.0645 | -0.394679 0.222484 | -34.3504 3.52646
-19.1287 -87.772 | 1.72856 0.0834961 | -487.123 1289.69
-32.1416 -74.7754 | 0.816564 0.0206112 | 686.634 -1257.56
-77.7449 29.1208 | 0.12573 0.559792 | -3.86535e-12 1.81899e-12
0.382415 -62.1404 | 0.0482435 0.0723745 | -45.7059 105.243
32.2324 61.0356 | -0.0319071 -0.820906 | 4.54178 -24.9183
-41.2642 58.6301 | 0.366384 -0.617468 | 974.809 2274.89
48.4215 -20.9653 | -0.344946 -0.652834 | -171.983 541.829
39.7895 -56.6133 | 0.344617 0.472486 | -40.0152 165.893
30.4423 -81.6697 | 0.210895 0.123515 | 1067.81 2570.76
16.3268 73.9579 | 0.104795 1.30144 | -7241.89 -71.4041
-18.6328 -26.4123 | -0.105335 -0.710106 | -1.81899e-12 3.63798e-12
65.9236 -32.039 | -0.366376 -0.215687 | -7.95808e-13 3.63798e-12
-49.0353 61.8777 | -0.141203 -0.679736 | -1.92024e-12 0
-12.1775 -42.3006 | 0.433351 -0.500049 | -2.89901e-12 1.81899e-12
69.8457 -14.8066 | -0.460595 0.268828 | 5.45697e-12 -7.27596e-12
16.2725 -57.8552 | 0.129255 0.261418 | 16.7783 237.308
-48.1782 79.3872 | 0.157316 -0.0105997 | 61.9327 -1464.7
24.9706 -10.9966 | 0.0571358 -0.712132 | 1.57008 -11.6336
-58.0275 75.4014 | -0.610385 -0.406088 | 3161.07 -5746.22
5.59939 20.2485 | -0.611452 0.259259 | 1.36424e-11 3.63798e-12
33.9475 29.1768 | -0.842916 -0.688103 | -4.54747e-12 3.29692e-12
-76.504 43.5544 | -0.773033 -0.134393 | -344.944 153.264
45.5821 -72.3926 | 0.677304 0.339541 | 4.09273e-12 4.43379e-12
13.5352 -74.9143 | -0.811909 -0.228776 | -5.45697e-12 -5.45697e-12
47.6151 64.3142 | 0.413701 -0.203268 | 89.2924 -159.338
52.1609 42.2454 | 0.281871 -0.866875 | -615.914 -1581.1
-63.9497 -53.4724 | 0.000974214 -0.149671 | 1169.62 -778.732
-19.0463 72.7314 | 0.375258 0.419707 | 91.7735 -133.325
5.85503 31.3058 | -0.536397 -0.0254193 | -6.82121e-13 5.91172e-12
75.6203 -5.52282 | -0.721325 -0.41386 | 994.756 642.566
-1.23624 -45.178 | 0.408567 -0.282381 | 166.91 523.845
-10.3619 -83.761 | -0.451533 -0.293179 | -1659.99 2249.96
-8.32979 80.2054 | 1.02387 -0.174525 | 3368.15 3906.35
16.1486 94.93 | 0.405182 -0.951784 | -6.41194e-11 3.86535e-12
-19.3294 34.5823 | -0.328975 0.436357 | -68.4818 -28.3568
18.0144 36.571 | 0.368249 -0.11191 | 18.1069 -104.968
48.7893 2.95531 | -0.483764 -0.588904 | -23.7013 16.795
-20.7472 -90.334 | -0.0399904 -0.11756 | 835.829 -1762.35
-14.03 -8.99571 | -0.307444 -0.100502 | 638.974 2329.56
7.67534 -71.9157 | -0.473739 0.613262 | -2221.71 -2242.01
-15.7263 -77.2807 | -1.01838 -0.330806 | -434.232 -1741.74
-37.1344 -39.921 | 0.312308 -0.220469 | 1.10276e-11 -6.82121e-12
-2.00685 4.7761 | -0.222081 -0.0603454 | 40.5562 36.242
10.7004 61.9339 | 0.91848 0.653181 | 4.54747e-12 5.45697e-12
18.7773 7.23389 | -0.288669 0.0211426 | 1.81899e-12 9.09495e-13
9.27322 18.1662 | -0.0264136 -0.0818406 | -33.1553 800.594
75.4573 3.03236 | -0.152282 -0.314502 | 4.3201e-12 -4.54747e-13
32.273 69.0003 | 0.371043 0.187912 | -534.234 -2321.66
-29.4209 -8.23784 | 0.361062 0.348185 | -949.436 -1250.87
-55.4311 39.5388 | 0.559787 -0.163623 | -76.1906 -413.386
-28.8338 -68.6742 | 0.287519 -0.129017 | 3017.99 -2445.69
-50.5222 -47.6687 | -0.143661 0.819568 | 3.34906 -138.013
-51.1852 -43.2903 | 0.442281 0.0666862 | 100.977 146.949
-50.3699 -58.862 | 0.0279557 -0.576139 | 6.36646e-12 -3.63798e-12
-71.4554 -5.36516 | 1.06435 -0.218436 | 127.146 1599.16
-63.353 20.0345 | 0.948347 0.308383 | -1585.66 3176.91
40.3631 -50.1093 | 1.26855 -0.821378 | 300.221 -807.727
22.4452 85.214 | 0.00859297 -0.135158 | 566.476 -1789.35
-18.1076 78.319 | 0.193542 1.41735 | 284.603 176.637
68.9915 -11.473 | -0.977216 -0.118198 | 1804.82 2259.8
66.9505 -19.7998 | -0.22628 -0.0534673 | -6.36646e-12 2.72848e-12
-12.5441 3.66432 | -0.204791 0.156744 | -40.5562 -36.242
34.7371 52.1722 | -0.633317 0.318836 | 5.45697e-12 1.18234e-11
-10.4842 57.578 | -0.185465 0.325101 | 848.692 -979.405
34.7976 -34.0066 | -0.790479 0.279982 | -348.574 -305.378
12.23 -29.5965 | 1.15363 -0.666746 | 15.5429 -167.152
50.378 35.4397 | -0.484702 -1.07265 | -2.38022 81.5541
71.3299 -41.9538 | -1.01646 -0.787799 | -40.9507 56.8033
-45.5147 -30.5497 | -0.350409 -0.307521 | 546.601 -6074.28
2.49223 92.6092 | 1.33488 -0.328428 | 3.36513e-11 -1.45519e-11
42.5831 -32.1153 | -0.653471 0.793638 | 348.574 305.378
75.1409 -28.3979 | -0.0638951 -0.240101 | 251.04 -472.347
-21.3618 51.1371 | -0.45826 -0.0484487 | -582.47 -2780.88
-2.9651 -0.853207 | -0.130084 0.712112 | 181.928 771.061
-75.7293 0.446769 | 0.574526 -0.221692 | 131.023 -319.445
-68.7951 -27.4469 | 0.856776 -0.1147 | 0 4.54747e-13
46.9784 20.4411 | -0.987253 -0.417193 | -158.886 -608.464
9.82644 44.1234 | 0.120863 0.416651 | 3.41061e-12 -1.81899e-12
-4.23327 82.0878 | 0.379152 0.129335 | 1.13687e-12 -2.16005e-12
68.7815 -44.4768 | -0.226872 -0.54739 | -49.7404 743.565
52.2231 -2.75632 | -0.00145173 0.535671 | -972.624 -647.727
-39.3247 45.0924 | 0.728713 -0.206871 | 55.114 88.9042
7.48849 -50.8168 | -0.0878296 -0.456075 | 4.54747e-13 1.09139e-11
25.1377 72.3762 | 0.0951904 0.521139 | 3782.64 -4041.81
-61.8373 24.1796 | 0.128896 0.416413 | 5.45697e-12 -2.72848e-12
-41.2172 74.7514 | -0.277839 -0.596217 | -3.29194 -17.6261
34.4128 -13.1041 | -0.602492 -1.77506 | -1335.69 -2779.57
-48.4599 -18.2521 | 1.03826 -0.021617 | -691.169 -2230.5
-77.014 3.51081 | 0.309722 -0.407159 | -107.514 448.85
-12.7395 42.6422 | 0.101384 -0.721494 | -761.862 1503.68
