39.6161 -59.166 | 1.98188 -0.524665 | 1218.42 1880.46
44.1765 8.72235 | 0.338763 0.539963 | -2071.31 -1360.19
-0.375243 -45.4193 | -0.399508 0.565319 | 5.11591e-12 -6.82121e-13
5.9649 65.6513 | 0.453103 1.27338 | 19.0273 -30.3686
-17.058 27.8056 | -0.73855 -1.58536 | 266.512 -263.803
-36.456 -48.6913 | 1.12116 -0.180644 | 1.36424e-12 5.68434e-14
-64.6861 -8.15257 | -0.00732876 1.66584 | -1.33582e-12 -2.67164e-12
63.0787 -25.3677 | 0.562088 -0.464483 | 173.717 -95.3923
27.4094 49.4883 | 1.03693 -0.0648771 | 315.064 585.309
-12.7028 68.3237 | 0.616248 0.909284 | 1386.44 1290.12
38.4396 5.11444 | 1.93865 -0.288557 | 396.049 -750.12
12.755 -25.434 | -1.26771 0.982077 | 37.3641 -110.745
8.74149 20.4462 | 1.15893 -0.00315485 | 1025.4 3236.14
43.4543 -29.4881 | 2.10769 -0.761206 | 161.847 -14.8689
-55.9472 36.6733 | -1.2097 -0.202233 | -49.0365 -51.1347
48.0516 53.7692 | 1.95941 1.602 | 695.601 -1716.3
-29.7993 -18.1952 | 1.42573 0.414677 | 1962.24 -1474.93
-34.7515 0.453383 | -1.52346 0.381202 | -129.056 -216.268
-59.0624 44.5209 | -0.466473 0.388122 | 3.63798e-12 4.66116e-12
13.7618 30.8958 | -1.34561 0.684738 | -615.728 976.474
-31.8959 39.2998 | -1.03155 -0.307031 | 34.4658 42.2824
32.005 56.3237 | 0.187656 0.314868 | -2018.7 2904.62
64.1634 42.1642 | 1.58159 0.897874 | 2880.56 6456.15
-43.3569 16.5534 | -0.619681 0.972116 | -96.1265 692.833
-66.9726 -11.7895 | -1.28599 0.810482 | -179.163 153.536
59.307 10.5621 | 1.1288 -1.06615 | 0.569183 0.287204
50.9769 -51.2673 | 0.956014 1.15486 | -2.72848e-12 8.52651e-13
-14.761 -38.2113 | -0.768457 0.743076 | 231.701 -360.324
-36.1618 5.47013 | 0.174004 -0.710648 | 129.056 216.268
38.8932 -7.42384 | -0.650201 1.01484 | 1213.87 -4932.75
-11.5789 10.0565 | -0.544304 0.653835 | -1.36424e-12 -7.47491e-12
11.9067 40.8816 | -1.00672 -1.28224 | -545.027 -404.437
-5.98259 45.975 | -0.832234 -0.362339 | 544.66 403.995
-10.4349 53.6558 | 0.41755 -0.359834 | 4.54747e-13 7.21911e-12
-17.32 33.1605 | -0.756732 -0.381654 | 2658.13 -2627
-7.44333 -78.4941 | -0.442194 -3.33508 | 242.2 -338.541
10.5306 -36.385 | -0.949857 1.5504 | -121.194 -516.416
-59.8525 -17.308 | 0.948547 -0.347253 | -8.13038 -97.1995
10.4433 26.9258 | 1.27116 0.280266 | -48.95 -258.312
-30.0455 -4.85967 | 1.42351 -1.87108 | -3.63798e-12 3.86535e-12
-9.47072 73.6468 | -0.466358 1.08346 | -2744.65 1885.53
-18.8284 -71.0875 | -0.312629 -0.594221 | -1623.44 -1334.05
48.1124 -36.3548 | 0.696061 -0.818306 | 228.91 153.612
6.69324 -12.3448 | 0.852132 -1.89192 | -1.81899e-12 -3.86535e-12
21.6213 -61.1597 | -0.107905 -1.02251 | -1123.1 -1771.35
-19.7822 43.3117 | 0.997506 0.273793 | -0.631769 47.3306
53.3932 46.3447 | 1.28501 1.19705 | -453.863 -12058.5
-48.5717 53.9341 | -0.684908 2.22097 | -3.97904e-13 -6.36646e-12
30.3334 -41.099 | 1.28571 -0.166306 | -214.618 -85.9032
38.7258 -2.5657 | 0.516908 -0.701997 | -831.671 1154.41
37.5159 33.0257 | -0.517835 -0.118041 | 1.14803 -3.7624
-56.3296 -38.3254 | -1.55344 -0.527565 | -1129.19 -4481.8
28.8696 -21.4294 | -1.03739 -1.14946 | -91.7462 167.163
44.3176 40.0364 | -0.588773 0.221375 | -2880.56 -6456.15
51.9742 27.4156 | 0.453657 0.730496 | -196.471 108.029
-1.57803 -7.99729 | -0.900992 -0.911681 | -845.323 -2108.85
25.2886 -47.7176 | 0.675809 0.0468589 | -14.3875 -65.4657
-37.3295 -28.6769 | -0.33406 0.397973 | 6.82121e-13 -6.82121e-12
10.2324 11.9396 | 1.04293 -0.621226 | 1683.78 4776.98
30.4398 7.18679 | -2.41552 0.237289 | -9.08811 -2666.95
63.4875 25.0157 | -1.42356 -0.38389 | -35.8627 1606.94
19.9845 -17.4495 | -0.34342 -0.103026 | -3.86535e-12 -3.86535e-12
15.5029 -50.7474 | -1.42377 -0.15325 | 0.0959044 -2.24347
21.3014 44.8338 | -1.96344 -0.131584 | 1462.26 10285.3
-20.2457 -64.6046 | -0.387852 -1.87497 | 1340.26 1542.82
-38.8209 -60.5392 | -0.113163 -0.849307 | 40.9815 129.768
-31.3022 59.5703 | 0.211784 2.53011 | -991.346 -2092.2
51.7561 -12.5659 | -0.794713 -1.05381 | -253.868 1111.65
-43.6823 31.2364 | -0.186393 -1.47094 | -3212.73 3294.53
-0.586692 -58.3351 | -2.01472 0.238357 | -1.76215e-12 -2.24532e-12
21.8591 70.1842 | -1.06725 2.95823 | 1731.41 -1371.01
-51.9533 -14.6096 | -1.07527 0.386131 | 187.294 -56.3365
