11.8802 14.5803 | 0.305813 0.717407 | 2.27374e-12 9.09495e-13
39.8855 -50.4894 | -0.361093 -0.685145 | -84.5989 720.802
-22.5277 -44.632 | 0.259325 0.155379 | 3.18323e-12 2.72848e-12
-15.2301 76.6121 | 1.01469 0.448323 | -9.09495e-13 1.26761e-11
59.723 22.0322 | 0.281081 0.33709 | -1.59162e-12 3.18323e-12
-16.3156 87.9857 | -0.452974 -0.485431 | -4.54747e-12 1.81899e-12
-33.4949 88.9302 | -0.339411 -0.287896 | -12.2273 -15.7581
-39.5216 77.9744 | 0.115952 0.352536 | -1.27329e-11 5.45697e-12
-16.3393 10.1393 | -0.461223 -0.054551 | 1.00044e-11 -1.81899e-12
28.6439 78.5368 | 0.81584 1.0813 | -13.8565 -167.594
-53.4361 -55.4929 | -0.540847 1.5201 | 282.564 3585.5
67.842 44.3153 | -0.394828 0.150254 | 191.143 196.498
70.3084 66.2414 | 0.383164 -0.485158 | -7.7307e-12 0
23.5499 -15.4751 | 0.796627 0.221964 | -6.73595e-12 -4.77485e-12
-5.0358 -75.9061 | -0.263894 -0.731158 | 3.29692e-12 2.6148e-12
-32.1897 35.0132 | -0.049725 -0.027091 | 6.05532 -8.54248
81.897 14.099 | -0.155828 0.47774 | 169.71 176.382
13.496 62.8712 | -0.163009 0.307337 | -1.02052e-12 -1.36424e-12
75.5207 -16.6019 | -0.00996372 -0.212391 | -669.441 1535.57
18.1639 34.4128 | 0.082349 0.188573 | 5.00222e-12 7.27596e-12
-6.24009 -35.7646 | 0.0675823 -0.52423 | 5.45697e-12 1.81899e-12
83.5949 3.00166 | 0.27585 -0.467782 | -169.71 -176.382
52.4171 53.8265 | -0.380649 1.08765 | -7.27596e-12 -2.72848e-12
-46.6405 51.5772 | 0.320089 -0.300462 | 139.256 442.63
80.8039 32.7095 | 0.155131 0.0668069 | -191.143 -196.498
-13.8639 33.8076 | 0.279362 0.577184 | 4.54747e-12 5.00222e-12
47.4506 49.796 | -0.28148 -0.123538 | 8.41283e-12 -3.63798e-12
74.4217 -24.4141 | -0.0396345 0.115789 | 894.077 -1872.9
33.6629 15.208 | -0.312559 0.0528216 | -9.09495e-13 -9.09495e-13
51.924 -43.8062 | -0.0221255 -0.12349 | -19.243 -26.3307
-75.6714 15.5647 | 0.12218 -0.199488 | 1.81899e-12 -3.35376e-12
21.3485 56.5873 | 0.589253 1.21623 | 6.13909e-12 9.09495e-13
-76.6291 29.5559 | 0.791416 1.00653 | -6.36646e-12 -4.54747e-13
-80.7534 11.7848 | -0.7562 0.0658099 | -221.986 -58.5331
20.8558 -82.8436 | 1.01677 -0.681105 | -1297.67 1067.13
-26.7097 -53.675 | 0.567341 -0.58985 | 690.216 1449.38
51.4366 -1.88239 | -0.580987 0.138847 | -3.18323e-12 7.7307e-12
5.97522 85.0193 | 0.514127 0.699369 | 267.83 999.375
-25.9911 -75.5789 | 0.500424 -0.861176 | -351.522 856.439
-51.8401 47.3955 | 0.605928 0.0955026 | -145.312 -434.087
-23.4424 18.3415 | -0.818128 0.184653 | 7.27596e-12 1.81899e-12
8.99145 -95.7703 | 0.345017 0.216906 | -7.27596e-12 2.27374e-12
36.5148 27.0599 | 0.271385 0.513518 | -4.14923 -113.257
-72.1653 -27.8127 | 0.804754 -0.0793331 | -66.2407 204.704
