12.1761 15.2787 | 0.155722 0.426649 | -273.6 -640.894
39.5929 -50.7643 | -0.14872 0.0189006 | 19.9652 35.267
-22.1598 -44.4743 | 0.491131 0.100766 | 2.16005e-12 2.01794e-12
-14.1753 76.9868 | 1.58441 -0.0231592 | 3.86535e-12 -1.04592e-11
60.0041 22.3693 | 0.281081 0.33709 | 2.70006e-12 -5.68434e-13
-16.833 87.5709 | -0.613586 -0.154789 | 224.142 2356.52
-33.9532 88.4385 | -0.526561 -0.610677 | -9.09495e-12 1.72804e-11
-39.3413 78.2563 | 0.276563 0.0218935 | -224.142 -2356.52
-16.8005 10.0848 | -0.461223 -0.054551 | 2.72848e-12 4.54747e-12
29.544 79.674 | 0.733167 0.904499 | -1.87583e-12 2.27374e-13
-53.9059 -54.2093 | -0.347035 1.03238 | -9.09495e-13 -4.54747e-12
67.5523 44.4625 | -0.0431813 0.0434853 | 1894.69 2453.78
70.9051 65.8437 | 0.736707 -0.379168 | 1760.92 441.593
24.2877 -15.6784 | 0.71096 -0.354918 | -2.04636e-12 6.0254e-12
-5.31731 -76.668 | -0.322276 -0.83339 | 2.21689e-12 2.72848e-12
-32.2195 35.0175 | 0.0267899 0.0935187 | 7.38964e-12 3.18323e-12
81.9172 14.8143 | 0.031153 0.730386 | -1.18234e-11 1.18234e-11
13.3663 63.0732 | -0.0817563 0.0233485 | 3.18323e-12 -2.27374e-12
75.3152 -16.3689 | -0.352307 0.39118 | -1123.15 2589.15
18.2462 34.6014 | 0.0822731 0.189169 | -7.95262 82.4907
-6.27323 -36.109 | -0.14941 -0.13192 | -3.18323e-12 4.54747e-12
83.7157 2.46318 | 0.129433 -0.335746 | 9.09495e-12 4.54747e-12
52.0613 54.997 | -0.343566 1.21598 | 3.25429e-12 -4.77485e-12
-46.1968 51.4976 | 0.458652 -0.0539798 | -6.82121e-12 1.31877e-11
80.8232 32.5738 | -0.0930142 -0.354951 | -1894.69 -2453.78
-13.5292 34.2653 | 0.467768 0.176366 | 7.95262 -82.4907
47.1717 49.8091 | -0.41369 0.367209 | -7.84439e-12 -8.35598e-12
74.5097 -24.4878 | 0.118163 -0.157952 | 580.839 -1426.84
33.3503 15.2609 | -0.312559 0.0528216 | -3.63798e-12 1.81899e-12
51.8623 -43.9519 | -0.473458 -0.383499 | -522.94 -274.051
-75.4071 15.4156 | 0.379405 -0.115734 | 1.36424e-12 -4.54747e-12
21.9102 57.7696 | 0.401825 0.972397 | -20.7428 -22.1658
-76.0439 30.5133 | 0.38106 0.907914 | -10.1299 -4.7956
-81.4427 11.7373 | -0.7799 -0.0718367 | -298.819 30.6822
21.5336 -82.8826 | 0.45946 0.13045 | -101.227 107.706
-26.2168 -54.1062 | 0.357127 -0.312112 | 12.2465 40.4129
50.8556 -1.74355 | -0.580987 0.138847 | 2.27374e-12 7.56017e-12
6.47122 85.7043 | 0.642822 0.655861 | -6.44606 -23.6635
-25.374 -75.9486 | 0.706434 -0.075818 | 5.45697e-12 7.7307e-12
-51.4132 47.3896 | 0.279013 0.249274 | -3.63798e-12 -6.36646e-12
-24.2804 18.4948 | -0.894622 0.0640122 | -5.45697e-12 5.00222e-12
9.25661 -95.6751 | 0.151396 -0.07805 | -273.413 -1934.08
36.8035 27.4825 | 0.429441 0.687962 | 273.6 640.894
-71.3617 -27.8879 | 0.80351 -0.0752181 | 1.81899e-12 -1.13687e-11
-56.0747 24.6366 | -0.370616 0.0937054 | -3.18323e-12 4.77485e-12
-48.7008 -32.9063 | 0.405152 -0.394294 | 2.27374e-12 9.54969e-12
-0.147229 69.254 | 0.1557 1.14374 | -6.82121e-12 2.27374e-12
74.5472 -42.1889 | 0.275643 -0.668008 | -337.101 142.326
76.7021 51.9345 | 0.77407 0.161233 | -1.77351e-11 1.77351e-11
5.23515 1.66003 | 0.808249 0.549249 | -3.41061e-12 1.36424e-12
86.0216 20.9582 | -0.0566523 0.0232928 | 8.18545e-12 -2.27374e-13
25.0361 91.8405 | -0.0226491 1.29925 | 69.2155 119.402
9.22438 -67.7246 | -0.173187 0.574272 | -7.7307e-12 8.07177e-12
8.67924 93.1941 | -0.713433 0.667853 | -59.1282 -87.005
-68.3563 -3.52577 | 0.668855 0.317375 | 12.2701 120.343
-4.6416 -91.57 | 0.14363 0.589473 | -883.777 0.441985
-62.5348 -46.8156 | -0.303315 1.30649 | -12.2465 -40.4129
-13.7291 48.9498 | 1.14696 0.506509 | 9.01979 -12.3406
-24.6073 74.0611 | -0.609858 -0.571947 | -7.04858e-12 6.36646e-12
-11.6943 -85.4506 | 1.03083 0.0800545 | 3080.57 2137.96
79.7794 -1.34901 | -0.117422 0.610394 | 76.7701 -118.567
36.8977 71.755 | 0.790251 0.250987 | 20.7428 22.1658
-70.4205 -47.626 | 0.114711 0.291209 | 8.18545e-12 8.41283e-12
-86.9138 29.0571 | 1.20615 -0.494403 | 298.819 -30.6822
-41.4642 -87.6948 | 0.321473 -0.0545299 | -3080.57 -2137.96
3.21953 -2.20958 | 0.389353 -0.0408923 | -3.63798e-12 -2.72848e-12
49.0068 -38.3873 | 0.276942 0.309917 | 522.94 274.051
-60.4725 57.9712 | -0.252937 0.508956 | 4.54747e-13 -2.27374e-13
-54.7038 -77.5789 | -0.662797 0.1842 | -9.09495e-12 -1.81899e-12
-59.2741 -65.3924 | 0.369839 0.922586 | -814.273 -652.61
8.26645 -43.7017 | -0.160058 -0.744353 | -19.9652 -35.267
9.21545 -52.4787 | 0.418727 -0.370701 | 2.55795e-12 -2.10321e-12
-55.0374 -59.7309 | 0.695456 0.293797 | 814.273 652.61
-75.4042 -12.5379 | 0.298177 -0.0791388 | -12.2701 -120.343
23.036 -87.7554 | 0.723316 -0.101066 | 101.227 -107.706
29.4628 -60.941 | 0.145916 -0.163662 | -1.13687e-13 8.52651e-12
37.0192 -21.3541 | 0.651925 -0.663133 | 2.72848e-12 -1.81899e-12
6.93861 44.2496 | -0.339682 0.733753 | 9.09495e-13 -9.09495e-13
-41.8802 -70.6188 | -0.558414 -0.171348 | 9.09495e-13 5.45697e-12
58.0651 5.89482 | 0.638574 0.0891238 | -76.7701 118.567
59.0418 -32.715 | 0.281531 -0.644874 | 7.95808e-13 4.54747e-12
15.8804 26.3475 | 0.20901 0.225976 | 1.14824e-11 -4.54747e-12
44.9438 -7.88786 | 0.789913 -0.347997 | -0.0216529 0.251901
-9.92247 -10.9494 | 0.637103 0.0225677 | -1.36424e-12 0
54.5571 -24.1011 | 0.303748 0.221716 | 542.336 -1162.56
-12.201 -24.5257 | 0.202795 -0.664339 | -5.79803e-12 -6.36646e-12
-61.399 38.5399 | 0.402383 -0.725854 | 10.1299 4.7956
55.8373 72.6066 | 0.949348 -0.0982425 | -1764.56 -450.327
-41.8545 -9.19001 | -0.466151 0.439224 | 3.63798e-12 -6.53699e-13
35.118 -87.4589 | 0.226218 -0.0859586 | 1157.19 1933.64
63.0135 -65.9963 | 0.871787 -0.0519362 | -1.27329e-11 1.09139e-11
-27.7461 -33.6032 | -0.470082 -0.607594 | 9.09495e-12 -6.59384e-12
-65.8966 22.7825 | 0.209977 -0.058294 | 1.18234e-11 4.09273e-12
