12.3013 15.6099 | 0.126517 0.31252 | 3.63798e-12 -7.7307e-12
39.5165 -50.6102 | -0.0588406 0.186324 | -4.54747e-12 4.54747e-13
-21.6681 -44.373 | 0.50812 0.116912 | 400.804 378.226
-12.5653 76.928 | 1.7713 -0.319342 | 1448.61 -2982.99
60.2852 22.7064 | 0.281081 0.33709 | 4.54747e-13 6.13909e-12
-17.3937 87.6099 | -0.548864 -0.0206999 | -8.26539 -31.1341
-34.4773 87.8687 | -0.515015 -0.427354 | 8.26539 31.1341
-39.118 78.0588 | 0.204217 -0.265745 | 3.41061e-12 2.72848e-12
-17.2617 10.0302 | -0.461223 -0.054551 | 2.27374e-12 0
30.3523 80.126 | 0.971241 0.107355 | -42.6986 1213.29
-54.3233 -53.2095 | -0.440934 0.989269 | 3.35376e-12 4.77485e-12
67.6282 44.6393 | 0.0352475 0.0995134 | 6.82121e-12 -7.27596e-12
71.5162 65.0427 | 0.364021 -1.15863 | 636.922 216.485
24.9986 -16.0334 | 0.71096 -0.354918 | -4.09273e-12 -1.36424e-12
-5.7548 -77.7829 | -0.308165 -1.392 | 1.06866e-11 -3.41061e-12
-32.1927 35.111 | 0.0267899 0.0935187 | 9.09495e-13 -7.50333e-12
81.9483 15.5447 | 0.031153 0.730386 | 4.3201e-12 -9.54969e-12
13.1079 63.0428 | -0.418631 0.000862794 | 5.05906e-12 2.27374e-12
74.8598 -16.0198 | -0.643678 0.483032 | -2268.78 2318.21
18.2773 35.0101 | 0.0433751 0.469221 | 7.50333e-12 9.09495e-12
-6.42264 -36.2409 | -0.14941 -0.13192 | 0 -9.09495e-13
83.9213 2.55478 | -0.576294 0.50701 | 0.505189 1.03068
51.7215 56.1978 | -0.321931 1.09747 | -337.364 -564.138
-45.7503 51.4688 | 0.429797 0.0420347 | 5.45697e-12 6.36646e-12
80.5704 32.0108 | -0.260793 -0.573523 | -4.54747e-13 -2.72848e-12
-12.9829 34.1719 | 0.581099 -0.238581 | 8.6402e-12 0
46.7752 50.1711 | -0.377086 0.32776 | 1.81899e-12 -1.36424e-12
74.6223 -24.5486 | 0.227465 -0.0195187 | 2268.78 -2318.21
