26.4813 18.9692 | 0.935954 -0.202112 | -14209.1 -16380.6
-16.4833 -80.3858 | -0.880866 -3.81025 | 2.25953e-12 7.50333e-12
-24.1547 -18.229 | -0.462864 -2.02433 | -1274.58 705.04
16.4009 37.1997 | -0.144381 -1.01032 | 1102.86 751.149
41.0541 0.361756 | -1.08348 0.253647 | 277.222 -5648.99
48.6546 -20.2818 | -0.196785 0.0913243 | -1676.57 -64.4306
-36.032 55.0146 | -0.877317 0.659212 | -930.896 -9570.41
-38.4412 35.6347 | 0.118436 0.580597 | 1149.64 4871.08
44.2612 -6.11698 | 1.96705 -0.684112 | 1031.42 -5308.58
-20.428 -4.40711 | -0.226813 -1.00478 | -1809.69 2266.5
59.6981 -40.0913 | 3.31532 -0.514085 | -406.074 1371.54
-14.511 -55.2258 | -0.499069 -0.820128 | 841.692 -1381.76
-66.4706 -27.2244 | -0.76324 -1.07477 | -5.00222e-12 9.09495e-13
-34.8257 -38.3837 | -0.538732 -0.200252 | 1725.89 -4014.8
-44.7391 25.366 | 0.434103 0.988089 | -380.832 -1472.62
19.3322 58.8556 | 0.630646 0.782829 | 48.977 266.865
-16.1227 -48.9768 | 0.0313623 1.42649 | -239.859 -729.262
-60.36 -42.173 | -0.917214 -1.07304 | -170.795 383.866
5.02624 -41.7561 | 0.457047 -0.239864 | 670.653 -6629.2
-38.538 -58.3937 | -1.74122 -0.607167 | 372.569 1284.01
-40.9277 43.2493 | 0.194767 -0.59677 | -136.768 -46.4729
23.9802 -24.4675 | -1.9988 0.897857 | 375.17 1911.23
-50.3157 -51.2704 | -0.196401 -1.41593 | 77.6447 -183.121
45.3579 27.6091 | 1.57359 -0.776327 | -3454.96 -1139.71
-37.01 -25.5732 | 2.13228 -0.51066 | -2445.94 1165.58
-61.656 0.343414 | -0.565479 -0.0515734 | -1718.02 -4354.82
-47.0942 -31.2623 | -0.831259 -0.478777 | 175.422 374.359
24.3555 -49.5477 | 0.453898 0.196201 | -206.519 -911.179
17.1367 14.0404 | -1.02583 0.358163 | -342.154 791.214
22.5128 -53.2312 | -0.790637 0.0276978 | -814.399 -6905.66
-7.88682 46.986 | -1.17436 -0.245941 | 267.312 736.269
-60.0346 41.866 | -1.90007 0.620158 | 295.916 837.907
26.3025 50.6553 | 1.08599 -0.0920812 | 1321.79 -3107.26
-52.6399 56.4988 | -1.03522 1.30707 | -1985.13 -1475.85
-8.92301 54.7348 | 0.837431 -0.0953298 | 3170.22 12001.3
16.989 34.005 | -3.38918 -1.33295 | -641.245 -2244.11
-7.43991 61.3894 | 1.65682 0.165976 | -480.263 3057.91
33.8852 49.4777 | 1.351 -0.0928881 | -4315.67 2634.53
8.10786 31.5893 | 0.842281 -0.733916 | -424.794 1589.88
-17.41 17.6123 | -0.471964 0.84689 | 9192.04 -17018.1
-21.272 76.9867 | -0.82477 3.34867 | 1426.41 1969.24
-20.4249 10.872 | -2.59098 0.452107 | -760.386 2213.89
26.2162 -9.93894 | 0.238083 -1.17979 | -2002.8 -1932.17
76.8644 -5.56676 | 3.889 -0.0485975 | -4246.82 -6051.73
-49.6239 -11.7423 | -2.90514 -0.433909 | -1002.43 4039.82
55.9709 -34.3594 | -0.384919 -0.812622 | 295.2 54.8116
12.2151 -5.39828 | -0.69382 -0.0799254 | -293.923 1342.77
14.5878 -41.144 | 1.15829 -0.460901 | 820.646 65.0632
26.4062 -16.2829 | -1.56792 0.616381 | 79.8135 -115.506
26.1491 20.692 | 0.397923 0.293694 | 12227.4 13644.8
6.8945 81.3403 | -0.933015 3.30411 | -1.02318e-12 3.24007e-12
-59.1463 -14.5488 | 0.293985 0.414124 | -192.4 -67.4607
-37.1848 2.77302 | -1.05515 0.44781 | 1179.22 7779.32
-15.962 3.83742 | -0.712166 -0.974378 | -318.334 -1024.77
-28.113 -14.8732 | 0.768707 0.293536 | -167.283 -1054.94
-40.5601 -40.0531 | -2.27918 -0.0682215 | -669.668 5626.74
32.1288 -19.6419 | -0.62032 1.01427 | 308.99 2610.77
-34.687 12.6582 | -1.62108 1.02758 | -944.946 -1310.51
-43.2024 48.9369 | 0.686504 0.631737 | -1354.16 -6772.33
-20.8881 -21.8437 | 0.379785 -0.241516 | 702.894 -1868.09
20.9313 67.528 | 1.54945 1.80277 | -108.795 367.012
65.8266 -14.5147 | 2.41393 -0.771186 | 136.752 -238.128
-0.446804 -27.4381 | 0.95215 0.15076 | 1546.62 -1752.08
42.1731 -2.26524 | 1.28303 -0.223437 | -540.395 5811.05
-12.4526 28.8384 | 1.62677 0.247933 | -919.207 -688.753
55.7973 -11.0833 | 0.542759 0.625889 | 2815.17 -5002.21
25.8361 -76.6972 | -0.198892 -3.0412 | 40.1801 3167.95
-63.6112 -20.4139 | -0.58945 0.440766 | 118.408 -3622.75
-38.7898 -37.0817 | 1.94818 0.465218 | -2416.59 3682.94
57.8297 5.39587 | 0.928974 -0.795269 | -7753.46 -14711.6
-12.9829 -76.479 | 0.0514281 -2.32409 | -40.1801 -3167.95
-21.0826 -53.33 | 0.624311 0.310348 | 2190.56 -2706.11
-27.3681 -52.2292 | 0.743887 -0.77265 | -3069.72 4022.75
-10.2236 -11.7877 | -1.35066 -0.643318 | 1611.53 -4795.09
65.7824 25.5171 | 0.777732 1.05237 | -62.4242 -676.287
37.8941 29.1984 | 1.34679 -0.499079 | 280.28 -1565.33
70.6176 24.3218 | 1.86182 0.371705 | -352.094 -495.427
-52.0005 39.9035 | -3.37946 0.476259 | 990.021 -146.721
-36.2943 7.32445 | -2.05393 0.319208 | 1483.23 -1525.91
-65.0626 -33.1588 | -3.66263 1.02155 | -131.436 -312.383
-35.632 -23.563 | 1.57989 0.453332 | 869.401 1444.99
36.7102 -21.6994 | -0.365142 0.268054 | 1857.67 -1499.75
-31.4571 -27.5131 | 1.81825 0.321888 | 772.771 -2141.48
-54.3925 19.8468 | 2.6983 -0.870587 | 2835.24 -5737.99
35.8258 41.4043 | 1.0291 -0.226153 | 225.378 -5408.34
-15.9092 15.0115 | 1.49597 -0.766936 | 976.041 2765.92
-29.1827 62.9451 | 0.0157332 1.1509 | 416.831 -3147.38
58.6935 14.7237 | 0.204079 -0.613663 | 692.204 -2810.82
50.7508 -48.8794 | 0.229252 -0.845713 | -1832.87 -8598.87
18.8916 7.9435 | -2.36193 0.557722 | 704.077 609.035
27.2631 72.5183 | 0.118598 2.01831 | 2.38742e-12 1.13687e-12
-49.3634 38.0949 | -2.67577 -0.0169399 | -3383.29 4632.01
23.5026 3.42495 | -0.0382141 0.402245 | 526.676 -894.432
47.4923 -57.5829 | -0.0859095 -1.83058 | -88.5537 -220.165
46.4915 55.5171 | 2.17855 1.46823 | -4557.22 -5148.59
51.5885 25.7051 | 1.77107 1.16526 | 3860.36 -2998.43
50.3559 -36.0957 | 1.44843 -1.0002 | 290.86 714.991
14.0265 -60.1525 | 0.702732 -0.708851 | -1544.98 -1267.57
67.2094 15.9048 | 0.449537 0.575224 | 876.809 -1666.45
37.217 56.6805 | -2.31481 1.81279 | 2931.78 12831.6
-27.4125 -65.3521 | -2.23792 -0.982774 | 0 -4.09273e-12
-37.3519 50.6719 | 1.62092 -0.0825755 | 1541.33 6920.38
58.9492 45.7732 | 2.78444 1.2636 | 1092.32 3374.42
-39.7369 -60.3796 | -0.591129 -1.26873 | -364.776 -1311.55
-27.9393 -16.9285 | -0.144318 -0.861928 | 454.043 4860.28
-52.8618 -9.85375 | 0.126448 -0.516855 | 1447 -3092.13
-78.287 8.68707 | -2.41584 -0.637336 | -237.367 -1882.74
3.835 -46.1229 | 0.872385 0.858746 | 2.16005e-12 9.09495e-13
-3.56769 -35.4713 | -0.0273283 -0.000127368 | -127.625 -14.5123
-41.6669 8.60953 | -3.03805 -0.188538 | -1974.69 3549.37
1.23223 49.0095 | 0.976815 -0.515807 | -195.94 -417.882
-54.6186 32.145 | 0.990482 0.231245 | -1507.98 2449.14
-4.70644 75.7123 | -0.852402 2.7184 | -4.23483e-12 -2.95586e-12
-32.8071 -49.7551 | 2.43552 -0.0206865 | 288.887 769.555
-33.372 32.4825 | 0.440401 0.0122451 | 1368.03 -10537.8
52.3364 -46.9109 | 0.16767 -1.50134 | 2050.08 7958.29
59.8752 -9.21675 | 0.729403 -0.257552 | -5341.82 -7246.97
63.3006 -27.3892 | -0.126868 0.524588 | 494.679 -927.93
43.4233 -41.6479 | -2.01341 0.411255 | 1551.64 -2389.86
-39.2697 26.6855 | 0.826585 0.643262 | 618.918 2392.04
-37.2016 63.0098 | -0.625222 1.25982 | 212.075 3000.76
-33.3044 69.9324 | -2.27828 2.49358 | 1.36424e-12 -3.18323e-12
49.9485 -54.3181 | 0.358852 -0.416327 | 592.89 6123.33
45.9837 62.0555 | 0.537379 2.18547 | -10.5343 -298.284
-34.5077 -8.88244 | 2.83326 0.434104 | -211.348 7881.84
-0.927718 -66.8409 | 1.5331 -1.88646 | 0 4.43379e-12
16.8961 -25.7165 | -0.327927 -0.510573 | -461.826 294.771
40.8731 -33.2158 | -2.42756 0.0421306 | -297.44 -1086.49
-72.2517 18.4856 | -0.97726 -0.021347 | -84.5133 -941.43
55.4435 43.1399 | -0.0618246 0.769585 | -1363.53 2146.42
26.1643 -66.9707 | -1.11479 -2.12325 | 4.09273e-12 -1.59162e-12
-19.8563 21.0018 | 1.44832 0.521629 | -565.271 -263.835
53.5051 1.73743 | 0.968632 -0.266748 | 13.1126 2893.03
57.7938 -29.8599 | 1.28297 0.155743 | -759.905 -1262.72
36.9686 33.9286 | -0.588007 -0.115958 | -188.054 -523.524
-27.1207 39.9541 | -0.889561 0.771175 | 158.065 1947.76
-49.7712 -6.0221 | -1.94091 -0.562848 | 1628.28 -2981.05
-17.4978 -71.2865 | 0.961285 -0.98207 | 3.63798e-12 1.36424e-12
-45.7858 21.2436 | -2.89998 0.666297 | -6635.98 206.576
46.0202 8.93355 | -2.4166 -0.0208547 | 6772.08 15841.8
11.1878 -31.3074 | -2.27091 -0.0955035 | 803.407 1759.61
69.0774 19.1311 | 2.21015 0.838056 | -609.771 2336.91
68.2848 32.3003 | 0.562866 0.430657 | 568.499 -127.327
38.5224 -35.9597 | -1.09895 0.175054 | -331.977 -1035.79
64.6485 -43.9731 | 3.06077 -1.42945 | 81.5243 12.0012
-38.0315 58.6948 | 0.282136 0.982988 | -212.075 -3000.76
-0.170024 23.0685 | 0.676188 0.409826 | -189.825 -217.694
-65.0218 23.4147 | -0.25256 0.627495 | 3442.94 5999.08
17.6564 -59.3819 | -1.96323 -0.968175 | 1544.98 1267.57
26.8348 -38.5087 | -0.456776 0.39698 | -2308.86 1879.93
57.7985 8.92484 | 0.391018 -0.0935239 | 47.0087 -2650.75
50.4646 54.6105 | 1.06157 1.08615 | 1134.82 -2029.94
50.9694 47.4118 | 0.303375 1.81552 | -3222.78 -7872.38
35.7585 -60.4786 | 2.83416 -1.65426 | 761.212 -3421.42
33.9323 39.934 | -0.720339 0.289384 | -5.35908 681.157
-67.8764 5.29738 | 0.792845 0.657679 | -72.1639 1102.96
-23.8143 9.53218 | 2.77987 0.954385 | -165.635 -1823.14
-49.6429 -34.939 | 0.531444 -0.14579 | 460.535 976.667
-51.3436 46.9212 | 0.410505 0.0632505 | 138.647 860.668
41.8302 65.2331 | 0.780046 2.40819 | 19.946 -154.382
-52.9082 35.2126 | 0.949954 0.815879 | -149.351 -1310.51
67.9237 -16.9253 | 1.7473 0.374164 | -611.875 1015.14
32.1289 -8.39992 | -3.15572 -0.0485796 | 6060.34 14208.1
-17.3509 19.2694 | 0.0971632 0.130595 | -8649.85 16562.5
5.45152 85.5362 | 1.25287 4.41097 | -1.59162e-12 6.82121e-12
-46.5369 -45.9269 | 0.915152 -1.47432 | 93.1503 -200.744
39.7456 -58.694 | -2.36642 -1.51333 | -761.212 3421.42
40.1625 5.8537 | -0.282438 0.112585 | -211.621 1377.63
12.0546 25.5343 | -2.71083 0.606176 | 3458.46 -7.90221
48.1956 49.8423 | -3.09956 1.00011 | 6703.38 2729.08
38.5832 68.0426 | 0.366402 1.96049 | 54.2412 -148.374
39.8439 -71.0277 | 2.35082 -3.05944 | 1.19371e-12 -3.75167e-12
5.06115 -14.2553 | 0.753644 -0.650262 | -3006.41 -6862.53
-24.9848 -2.69165 | -1.92858 -0.417826 | 1753.85 -3091.59
59.1126 19.9574 | -0.981784 0.300357 | -472.416 2625.51
-34.5061 -63.8438 | -0.68715 -1.14571 | 6.82121e-13 -2.44427e-12
-34.1254 67.0204 | -0.0297432 1.55232 | 56.7513 76.3496
-1.83479 -82.4789 | 0.375684 -3.26488 | 1.15818e-12 -2.84217e-12
-5.28367 -30.2809 | 2.48542 -0.49579 | -215.448 413.7
-47.8266 -4.76886 | -1.87 -0.774655 | -1911.28 6259.9
-25.9666 0.62654 | 1.15325 -0.0144157 | 638.943 -2694.76
-75.4345 -14.5342 | -3.07954 -1.16025 | 1184.58 -2758.43
-72.9327 -2.04991 | -0.269512 -0.0188054 | -176.775 -1392.11
-69.7784 30.0495 | -0.854415 0.710213 | 233.857 754.173
-5.20518 42.2035 | -1.20774 -0.137535 | -59.4553 743.921
76.3142 9.34477 | 1.67946 -0.909758 | 170.147 1227.65
-63.3066 -49.2627 | -2.27891 -2.10803 | -3.18323e-12 0
-22.9518 72.7636 | 2.06247 1.55727 | -1426.41 -1969.24
-4.81689 -1.76053 | 2.62512 -0.596523 | -1227.68 1289.59
-67.2483 15.0593 | 0.223207 0.660855 | 1818.25 5094.34
45.9988 30.822 | -2.10718 -0.752147 | 1359.55 2239.08
-34.8469 -71.3998 | -2.02841 -2.57435 | 3.75167e-12 -1.81899e-12
67.1066 35.17 | 1.16913 1.04383 | -1887.94 3061.41
73.5528 -25.3109 | 1.29874 0.34802 | -8.86757e-12 9.77707e-12
-72.9342 12.2235 | -1.05588 -0.592343 | -1515.2 -3767.06
72.3657 -2.5631 | 2.61393 -1.18272 | 5490.27 4463.37
