66.5052 -70.1777 | 0.326604 0.16387 | 18.8256 -58.4495
32.9781 12.8219 | -1.79513 0.159106 | -6.36646e-12 8.52651e-12
-0.863039 -70.5945 | 0.00227099 -0.17971 | 110.595 167.018
0.944662 88.0581 | -0.873751 0.0879272 | 874.959 1587.52
-20.8764 41.4483 | 0.0658764 1.17938 | 1.81899e-12 5.68434e-12
-36.4903 -68.8459 | -0.136449 0.0963404 | -24.2966 -8.29114
-84.0076 -6.3571 | -0.325709 0.176135 | 7.34722 -9.19007
79.0556 -39.0521 | -0.201114 -0.503057 | -3.06954e-12 -3.63798e-12
28.1841 71.164 | -0.102489 0.0783529 | -1.81899e-12 2.27374e-12
-37.1882 84.7576 | -0.920184 -0.20782 | -8.56884 530.343
31.0456 -0.821426 | -1.04159 -0.0113182 | 589.179 1531.59
-8.42891 -28.3171 | -0.585822 -0.473257 | -7.27596e-12 -4.54747e-13
25.0358 27.0851 | 0.0513144 0.076839 | 12.8903 61.4193
75.4514 -47.1053 | -0.0997854 -0.630256 | -8.18545e-12 5.45697e-12
-85.6444 38.5695 | 0.17025 -0.545967 | 1.01181e-11 2.72848e-11
48.7829 67.0381 | 0.294312 0.184927 | -1.81899e-11 -3.63798e-12
-17.4292 -24.8497 | -1.08843 -0.378645 | -187.009 -544.513
-55.8123 13.3359 | -0.689934 -0.0602784 | -1.7053e-13 -3.63798e-12
-47.5634 63.2269 | 0.0405137 -0.899649 | -373.152 -468.498
-2.63455 45.4461 | 0.208389 0.2575 | 1.81899e-12 4.54747e-12
-55.5994 57.0033 | 0.468802 1.19797 | -1.29603e-11 -7.27596e-12
37.1903 80.811 | 0.0742852 -0.252302 | 0 3.9222e-12
85.9706 38.642 | 0.297207 -0.983098 | -2.10838 -2.60787
-30.5844 31.3842 | 0.011781 0.885266 | 3.63798e-12 -7.04858e-12
-87.4152 -5.48956 | 0.559173 -0.55559 | -7.34722 9.19007
67.0596 9.2822 | -0.605333 0.768139 | 0 -3.63798e-12
64.9218 -69.2947 | -0.30299 0.148976 | -18.8256 58.4495
-0.386818 -52.5161 | 0.0325073 -0.0832977 | -6182.65 324.004
-53.5448 21.4493 | -0.465915 0.302895 | -33.8016 -106.011
56.3797 -15.371 | 0.348769 0.143798 | 35.4329 -92.729
-11.8146 9.45813 | 0.172696 -0.554936 | -27.9358 -693.573
-26.1462 54.4777 | -0.187977 0.0533336 | -4.3201e-12 3.63798e-12
-18.4909 67.258 | 0.0675636 -0.199529 | -1.7053e-12 9.09495e-13
-10.0795 77.2057 | -0.150013 0.591048 | 1.36424e-12 -1.81899e-12
-48.6004 48.2747 | -0.380803 -0.274656 | -4.54747e-12 2.50111e-12
-2.7848 -95.43 | 0.842077 -0.286585 | -15.4853 -51.8949
-14.1922 -41.5327 | -0.661935 -0.388781 | 4.54747e-12 -3.41061e-13
-71.4745 -33.6839 | 0.618964 -1.19292 | 9.32232e-12 -1.13687e-12
16.4939 37.3971 | -0.495849 0.976228 | -1835.75 869.457
-47.4973 2.19359 | 0.0831409 0.569048 | -1.53477e-12 -1.59162e-12
-13.2373 94.7133 | 0.223848 0.0740535 | -1.81899e-12 -6.36646e-12
-15.3706 -92.2176 | 1.32324 0.268628 | -1583.82 -3843.62
60.2243 -63.2516 | 0.453344 -0.424147 | 5.79803e-12 -1.45519e-11
-11.9873 -19.2661 | -0.459318 -0.112371 | 187.009 544.513
11.9419 -84.8155 | -0.405321 -1.02024 | 299.77 -732.739
-43.4943 68.5979 | -0.579683 -0.0916396 | 373.152 468.498
83.3993 47.3352 | 0.30196 -0.98471 | 2.10838 2.60787
-55.0939 70.3088 | 0.599322 -0.199748 | -2.36469e-11 -1.56888e-11
30.7769 -71.6243 | 1.11466 0.0751658 | 1543.59 -166.217
42.8025 -9.75511 | -0.180215 -0.590292 | -35.4329 92.729
43.5444 53.717 | -0.839583 -0.0380897 | -4.54747e-12 -4.54747e-12
-41.3074 -58.3743 | 1.31348 1.2491 | -306.904 -475.329
40.7284 -44.5346 | -1.14523 0.206495 | -2.27374e-12 3.63798e-12
48.2553 59.9346 | 0.0225475 -0.251586 | 1.81899e-12 -1.81899e-12
48.1011 46.2718 | 0.164379 0.622058 | 9.09495e-13 -3.41061e-12
-18.0779 -12.8099 | -0.345538 -0.476118 | 2.04636e-12 -4.66116e-12
17.9379 -76.0552 | -0.429931 -0.412412 | -1629.88 7.49053
-44.0366 -48.0135 | -0.0324604 -0.0477597 | 23.0387 149.373
19.4115 20.0591 | -0.0164021 0.723598 | -1.81899e-12 4.09273e-12
20.5708 6.10394 | -0.35191 0.338442 | 9.54969e-12 -1.81899e-12
90.4046 16.6753 | -0.136696 -0.49668 | 4.54747e-13 2.72848e-12
40.8409 -31.9706 | -0.0556789 -0.547778 | 3.63798e-12 -5.00222e-12
14.0544 -80.8289 | 0.189386 0.335651 | 0 4.54747e-12
2.52304 69.7039 | -0.453158 0.202328 | -6.82121e-12 8.75389e-12
-49.6798 -80.1558 | -0.952915 0.31422 | -7.27596e-12 -3.18323e-12
-56.3758 -67.8572 | -1.08559 0.848335 | 3.63798e-12 2.27374e-13
-32.3965 80.4408 | 0.192305 0.211836 | -500.948 -1143.59
63.0277 -21.4551 | 0.566089 -0.283906 | -3.63798e-12 5.68434e-12
-68.0194 46.1895 | -0.42975 -0.326583 | 6.36646e-12 1.13687e-13
-9.95946 -83.6933 | -1.14081 0.293172 | -299.77 732.739
23.0966 92.1343 | -0.0855395 -0.30542 | -64.325 493.605
-65.378 -26.8956 | -0.0247448 -0.512319 | -3.41061e-12 -3.63798e-12
12.4549 22.3104 | 0.307456 0.918193 | -12.8903 -61.4193
-11.917 -7.58228 | -0.0343899 0.792366 | 3.41061e-12 0
48.0307 -29.1938 | 0.37031 -0.953077 | 5.45697e-12 -3.18323e-12
28.6088 36.817 | -0.4075 0.402807 | 1835.75 -869.457
-8.6713 -34.5832 | 0.231239 -0.206727 | 2.72848e-12 1.42109e-12
14.6202 -87.2156 | -1.14903 -0.536983 | -75.0892 136.196
54.0772 2.36851 | -0.142255 0.163918 | 1.81899e-12 -5.45697e-12
-23.5521 -51.8988 | 1.37406 0.128016 | 4.54747e-12 5.00222e-12
68.7959 16.2681 | -0.219368 0.0518183 | -1.09139e-11 -1.09139e-11
-75.994 21.7601 | 0.432714 0.255562 | -16.5739 255.262
-10.7705 -62.1652 | 0.889551 -0.312526 | 68.5106 -151.929
-92.5395 16.7616 | 0.477147 -0.357944 | 1.45519e-11 8.18545e-12
-6.99839 85.2706 | 0.452193 0.30235 | -365.442 -974.272
59.6517 49.5083 | -1.03508 0.252057 | 4.54747e-12 -4.54747e-13
71.6197 27.3849 | -0.0692655 -0.11687 | 551.37 146.115
65.3507 26.2972 | 0.188709 -0.132979 | -551.37 -146.115
-58.4536 -53.666 | -0.425513 -0.193305 | 283.865 325.956
36.7237 -5.91333 | 0.220795 0.0597997 | -589.179 -1531.59
-65.5922 -38.8094 | -0.0928265 -1.38085 | -1.13687e-11 1.81899e-12
35.1686 -57.0808 | -0.397485 -0.803452 | 6114.14 -172.075
38.5439 84.7291 | 0.305762 -0.178167 | 64.325 -493.605
76.1158 -27.5113 | 0.744498 0.185571 | 9.09495e-13 -8.6402e-12
-72.7118 -5.92475 | 0.360238 0.592971 | -4.54747e-12 -4.09273e-12
-29.7746 -77.7613 | -0.201548 -0.695926 | 2.72848e-12 -7.27596e-12
-33.2851 25.3197 | 0.885003 0.591923 | 78.3113 544.321
-25.8948 2.65257 | -0.484958 0.358024 | -1.81899e-12 -4.54747e-13
7.38163 -90.8543 | 0.25021 0.0636637 | 1674.4 3759.31
-55.2815 37.3444 | -0.000363496 0.145381 | 5.11591e-12 1.36424e-12
