28.709 33.3004 | -0.529304 0.056936 | 96.8355 199.597
-23.3391 -91.5524 | -1.13666 0.356304 | 1.22782e-11 -9.09495e-12
-32.0969 -27.5455 | 0.392339 0.269985 | -548.507 -4467.28
26.2863 53.5303 | 0.49147 -0.0653068 | -344.306 854.884
21.2553 8.58194 | -0.233729 0.11579 | 150.992 903.115
63.5906 -28.3027 | -0.704324 0.167472 | 3.63798e-12 7.27596e-12
-31.7613 65.1662 | 0.0991506 -0.019913 | 2316.81 2204.23
-53.7484 48.09 | 1.0631 -0.371436 | 1356.47 5239.29
51.5762 -0.0128377 | -0.594719 0.285235 | -115.519 99.9628
-27.223 -7.69641 | -0.00838602 -0.409216 | 11.9493 17.6653
73.8659 -44.0557 | 0.312385 0.49293 | 23.3605 -18.8301
-14.8826 -72.7486 | -0.599268 0.679748 | -612.446 2685.37
-61.3789 -41.1126 | 1.22891 -0.317312 | -278.224 3147.77
-42.9128 -55.1516 | 0.803095 0.663391 | -1.09139e-11 -9.09495e-13
-47.0366 38.0673 | 0.25999 -0.602555 | -1573.4 1970.79
10.2847 74.279 | -0.325259 0.175365 | -1539.24 1513.57
-17.6731 -66.6451 | 0.210957 0.071562 | -1580.41 2689.66
-60.9085 -53.9277 | -0.387672 0.857974 | -1520.73 1947.33
-12.0843 -54.6013 | 0.362034 0.148848 | -306.683 -271.674
-41.535 -72.9343 | 0.416364 0.125228 | 1050.45 -1656.35
-48.2906 57.535 | 0.908596 0.17778 | 2224.74 -4447.33
33.3457 -39.1772 | -0.4116 -0.118772 | -4.54747e-12 -9.15179e-12
-52.2966 -64.1378 | 0.569447 0.314411 | -832.832 1467
48.1626 40.3968 | -0.289427 0.351374 | -7.27596e-12 6.36646e-12
-30.9158 -37.7966 | 0.106509 0.144324 | 109.704 -535.201
-78.9785 -7.46793 | -0.112038 0.320987 | 2.04636e-11 2.04636e-12
-47.2491 -44.6124 | 1.02571 0.305886 | 5462.21 2590.35
22.6981 -67.2517 | -0.149512 -0.138068 | -618.817 -1303.06
19.3638 24.1121 | -0.0543599 0.210935 | 1.27329e-11 -8.18545e-12
28.5021 -74.1695 | 0.32125 -0.22861 | -218.768 -839.123
0.9548 52.9313 | 0.0171647 -0.117564 | -4.3201e-12 -5.00222e-12
-69.1132 54.18 | 0.153399 -0.152012 | 582.389 1035.82
29.0464 68.0751 | -0.340957 -0.107132 | 104.091 193.976
-46.8705 65.3318 | -0.495333 0.134748 | -2318.02 -2200.09
6.7062 69.3938 | 1.22963 0.942028 | 1539.24 -1513.57
19.2531 49.481 | -0.323821 -0.135919 | 339.61 -869.449
-8.82461 73.0936 | -0.473941 0.412756 | 347.933 -560.318
34.8951 67.1704 | -0.325915 -0.404155 | -105.258 -200.592
12.8913 45.4259 | 0.791884 0.290108 | -1687.78 -1209
-33.8983 26.5099 | 0.915943 -0.258409 | -105.887 222.918
-11.0346 90.3737 | -0.391688 0.384744 | -1.18234e-11 -7.27596e-12
-42.7468 19.5958 | 0.563661 -0.36325 | -3.63798e-12 -1.69642e-13
38.5397 -11.736 | 0.44767 -0.301644 | 3.18323e-12 1.81899e-12
89.6855 -19.9306 | -0.105857 -0.265222 | 4.54747e-12 3.63798e-11
-57.536 -22.8863 | -0.0319344 0.762099 | -107.413 151.428
48.2503 -49.014 | 0.364211 -0.0978135 | 932.028 2211.14
-7.05205 -11.7895 | -0.61681 -0.666055 | -3.18323e-12 -1.81899e-12
25.4204 -62.1304 | -0.18942 -0.24135 | -825.045 -1639.41
29.3537 -30.2757 | -0.218705 -0.0647894 | -49.5475 74.0674
29.3856 35.3049 | 0.149461 -0.325667 | 1017.22 -3605.96
10.0311 94.691 | -0.226404 -0.0736811 | 390.632 221.741
-67.5788 -32.2568 | -0.33302 0.218165 | -11.2641 106.922
-49.2277 3.38217 | 0.133991 0.228337 | -1.09139e-11 3.63798e-12
-24.3549 14.2318 | 0.23664 0.540406 | -4.54747e-12 4.54747e-12
-39.1163 -24.601 | 0.051068 0.458496 | -91.968 -2833.37
-49.8643 -55.5869 | -0.385655 1.13898 | -36.9508 1281.26
43.9324 -30.3436 | -0.273326 0.423483 | 49.5475 -74.0674
-53.6279 19.651 | -0.40788 -0.632592 | -4.09273e-12 3.63798e-12
-38.8616 59.759 | 0.150447 -0.836577 | -274.731 461.403
-16.8124 -31.0356 | 0.528085 -0.183527 | 23.1683 58.0325
25.9762 85.95 | 0.302025 0.169515 | -78.6088 464.931
67.6842 -17.3737 | -0.34843 0.0781451 | 1.11091 1.133
16.6453 -45.2386 | -1.04073 0.287482 | -110.112 -609.673
35.9796 3.96415 | -1.00479 -0.0578237 | -150.992 -903.115
-3.15938 39.6317 | 0.232351 0.719827 | 1857.31 -1841.74
52.6588 -16.8409 | -0.637985 -0.646013 | -2.72848e-12 1.81899e-12
22.5703 -92.3391 | -0.0165352 -0.189406 | -1999.47 3758.61
-56.3734 -35.8211 | 0.54229 0.0693944 | 867.718 3177.31
-48.8469 -51.4043 | -0.119072 0.240887 | -3.18323e-12 -4.54747e-12
59.6516 15.885 | -0.497471 0.356491 | 4.43379e-12 -3.18323e-12
-21.4961 -89.6509 | 0.812795 0.293835 | 1.27329e-11 3.89377e-12
-26.7941 -70.3442 | 0.0768177 0.163193 | 153.531 24.0742
-31.3977 -68.619 | 0.0792936 0.793921 | 1637.16 -2373.51
-28.6406 -20.4026 | 0.82104 0.820999 | 23.984 4014.47
66.8119 34.6132 | -0.236207 0.0154449 | 42.2465 54.5644
43.1527 42.6126 | 0.0879591 -0.126959 | 83.6492 920.493
70.6843 32.6876 | 0.294823 -0.129717 | 1.63709e-11 -7.27596e-12
-63.2874 51.7786 | 0.873611 -0.0977881 | -101.343 179.747
-55.223 9.07428 | -0.0345949 -0.0625181 | -13.4853 -51.7325
-65.2582 -44.2529 | 0.57037 0.233826 | -5193.88 -6382.66
-25.4318 -34.9902 | 0.863315 0.496827 | -1293.1 -2436.91
54.7979 -33.716 | 0.191538 -0.334046 | -5.45697e-12 6.36646e-12
-21.2246 -40.809 | -0.373268 0.352175 | 304.052 241.961
-63.8168 30.9797 | -0.661762 -1.4909 | 482.056 -3193.18
53.2509 55.8643 | 0.724371 -0.190867 | -712.882 -862.705
-37.0014 24.0321 | 0.267207 -0.710287 | 105.887 -222.918
-26.3364 75.185 | 0.334839 -0.0286904 | -979.352 2005.32
72.9709 18.0023 | -0.275508 -0.256548 | 3.18323e-12 3.63798e-12
56.9058 -67.9215 | -0.155771 0.276549 | -40.3264 268.735
15.9121 18.4565 | -0.979184 0.0385055 | 9.09495e-13 -2.84217e-12
11.4267 88.2368 | -0.110382 0.145264 | -11.9834 22.033
-62.0335 50.0521 | 0.0159728 -0.197243 | -122.856 168.673
12.5501 10.5853 | -0.61729 0.4393 | 6.76437e-12 -9.09495e-12
25.5844 -75.7964 | 0.511515 -0.0739299 | 4.53169 1947.04
49.7356 72.8577 | -0.459548 0.462245 | -16.0827 -15.0761
60.5945 36.3511 | -0.033845 -0.193277 | -446.772 4252.48
45.9357 -54.1249 | 0.0683465 -0.0135495 | -387.557 -650.43
-5.72253 -78.6832 | -1.45764 -0.499774 | 73.8144 -1242.59
83.8982 12.2598 | 0.0819796 -0.0711678 | -9.09495e-13 -1.04592e-11
22.1656 69.5109 | -0.631734 0.394647 | 5.82319 31.2785
-32.2601 -83.1529 | 0.153664 0.825554 | 390.141 478.12
-25.5304 60.3637 | 0.385427 -0.354493 | 1.00044e-11 8.18545e-12
53.8266 59.1543 | -0.197434 -0.0768577 | 461.251 -1163.67
-43.9082 -75.5615 | -0.0993085 0.148679 | -58.3596 64.2395
-33.2643 -25.6416 | 0.820537 0.874424 | 626.108 3318.6
-62.8355 -22.4568 | 0.440059 -0.0247935 | 1.81899e-12 0
-81.4069 9.95603 | 0.962292 -0.385286 | 1880.49 -662.077
-3.81656 -60.9213 | -0.15021 -1.00327 | 811.377 858.384
-2.03768 -54.7187 | 0.593685 -0.0778065 | -1493.69 3527.7
-61.5396 9.86884 | 0.341258 -0.178085 | 13.4853 51.7325
8.95547 58.1145 | 0.720374 0.406326 | -46.2944 35.6841
-72.0723 40.6599 | 0.459959 -0.897772 | 1.81899e-11 -3.23297e-12
-5.72789 92.774 | -0.788132 -0.571454 | -555.385 -618.342
-34.5939 -65.7462 | 0.69514 -0.356609 | 1885.27 -3495.49
-50.5619 44.066 | 0.239993 -0.630284 | 381.518 -1306.7
57.8563 -65.6671 | 0.768918 -0.572203 | 1587.22 -708.951
51.2789 -12.1002 | -0.695772 0.38479 | 115.519 -99.9628
63.1412 -39.9801 | -0.159951 0.227348 | 177.96 -202.66
40.6647 -60.4446 | 0.148287 -0.191411 | 858.626 1927.6
-42.4373 40.2426 | -0.230372 -0.956688 | -7.76204 58.0618
-36.2821 72.5593 | -0.714732 0.229836 | 632.005 -1446.31
-22.6388 81.1707 | -0.147055 -0.323638 | -22.477 -30.5987
43.8269 -71.5138 | -0.0497025 0.182321 | 157.757 579.864
31.8054 74.9147 | -0.963795 -1.02689 | 123.2 -278.148
-34.968 -11.1977 | 0.439439 0.488592 | -11.9493 -17.6653
-7.98759 -83.7903 | -1.21903 0.772815 | -3.86535e-12 9.09495e-12
31.2144 -42.7148 | -0.62748 0.695026 | 89.991 412.935
37.4648 -53.0211 | 0.200174 -0.281634 | -1132.38 -2215.83
-77.4109 20.8664 | 0.485779 -0.596672 | 4.67721 54.1522
66.1973 54.0286 | 0.217933 0.336658 | 712.882 862.705
19.6647 -83.8041 | -0.435244 -0.182037 | 561.26 1897.75
-14.3284 29.6286 | 0.440316 -0.229855 | -159.568 -186.658
53.5151 10.1244 | -0.312473 0.366582 | 2.27374e-12 -2.72848e-12
55.8847 -45.7893 | -0.413587 -0.167496 | -58.5142 -78.3937
38.5059 50.4648 | 0.493372 -0.244076 | -169.538 3050.74
-39.2681 51.0808 | 0.42897 -0.727762 | -575.563 -1045.07
-72.8975 -21.0682 | 0.823894 -0.0374131 | 4.54747e-12 -7.19069e-12
-19.0275 -87.6228 | -0.291798 0.04052 | 5.68434e-13 4.54747e-13
-56.9389 33.9078 | -0.135154 -0.915873 | -419.012 3094.75
49.4589 22.4281 | 0.495986 -0.667063 | -5.00222e-12 3.63798e-12
14.6096 -52.5912 | 0.313389 0.10949 | 598.183 591.666
85.0603 14.0965 | -0.343664 0.386591 | -28.8491 -130.437
66.1422 44.8284 | 0.772312 -0.682389 | 808.363 -3063.33
40.244 -57.2224 | -0.0182075 -0.295672 | 1.36424e-12 -8.81073e-12
78.4244 -48.5152 | 0.871066 0.634082 | -1587.22 708.951
-30.9311 68.1518 | -0.309564 -0.110626 | -1.77169 2.95172
3.12253 31.7719 | -0.454488 0.707081 | 159.568 186.658
-73.9399 31.3276 | 0.850758 -0.14075 | 1518.11 -1930.41
0.152067 -77.6108 | -0.398915 -0.357549 | -2137.73 -6579.04
29.5574 -58.9997 | 0.536303 0.322579 | 1675.11 -3022.02
56.7469 22.875 | -0.486142 -0.150561 | -705.541 -907.589
56.3197 68.8183 | 0.159554 -0.802394 | 11.4267 -9.58628
51.2434 62.6461 | -0.581624 -0.775734 | -414.957 1127.99
38.447 -79.9312 | 0.389572 -0.066997 | 1664.24 6882.32
50.8893 54.5471 | 0.284205 -0.0800617 | 3.63798e-12 -7.27596e-12
-78.4225 -0.962031 | 1.04249 -0.435815 | -3.63798e-12 -1.09139e-11
-46.2913 16.4359 | -0.679042 -0.302125 | -6.42331e-12 9.09495e-12
-52.5229 -48.0609 | 0.217426 1.00817 | -3.52429e-12 5.45697e-12
-53.1449 60.6734 | 1.16275 -0.873036 | -1953.86 3988.09
34.0557 81.095 | 0.489409 -0.0438536 | -123.2 278.148
-67.6101 46.0525 | -0.320218 0.257082 | -1513.79 -4281.02
69.9888 -20.1822 | -0.430268 0.100791 | -1.11091 -1.133
43.0941 -7.32125 | 0.386357 -0.330927 | 3.63798e-12 0
-34.5928 29.6181 | -0.34524 -1.25762 | -4.67721 -54.1522
5.02869 96.7013 | -0.779253 0.456133 | 164.752 396.602
-49.3542 -59.7407 | -0.0111391 0.367655 | 1529.65 -3140.61
20.7926 -76.8987 | -0.592826 -0.638246 | -4.07122 -2034.03
32.2966 15.3983 | -0.392451 -0.366732 | 1.81899e-12 -5.45697e-12
18.6424 39.076 | 0.169935 0.250727 | -87.6384 -913.58
48.4528 64.9238 | -0.381845 0.412227 | 0 2.27374e-12
34.0477 83.6932 | 0.369426 0.203413 | 283.601 -517.161
39.8543 -85.2047 | -0.926374 -0.442844 | -686.344 -2157.54
11.1667 -23.9954 | -0.586403 0.233314 | -3.63798e-12 -5.54223e-13
-26.3363 -2.88525 | 0.39217 0.382985 | 1.81899e-12 1.81899e-12
90.6548 17.5231 | 0.518462 -0.571685 | 28.8491 130.437
