66.3885 -69.8793 | -0.330179 0.248235 | -1.92764 -31.6383
30.3574 13.1666 | -1.70619 0.289911 | -3.18323e-12 -1.81899e-12
-0.799974 -70.7731 | 0.0518689 -0.103324 | -3.63798e-12 2.27374e-12
0.143689 88.8189 | -0.345034 0.254171 | -807.851 -1563.73
-20.7736 43.2079 | 0.152178 0.934632 | 261.785 -1039.3
-36.6956 -68.7016 | -0.13683 0.0961974 | 4.54747e-12 -4.65405e-12
-84.0948 -6.18838 | 0.422746 -0.00966772 | 1.18234e-11 2.27374e-12
78.7445 -39.8102 | -0.214686 -0.492847 | 1.25056e-11 -1.36424e-12
28.0241 71.2779 | -0.0653175 0.109536 | 5.00222e-12 -3.63798e-12
-38.4738 84.4306 | -0.845626 -0.185484 | -3.63798e-12 0
29.7718 -0.262209 | -0.830576 0.410546 | 1.81899e-12 -8.18545e-12
-9.12166 -29.1325 | -0.424126 -0.515947 | -9.77707e-12 6.82121e-12
25.1843 28.2249 | 0.10187 0.877093 | -29.5981 101.76
75.2729 -47.8509 | -0.166224 -0.222541 | -1.81899e-12 2.50111e-12
-85.5705 37.8619 | 0.0412213 -0.402968 | 8.18545e-12 3.63798e-12
49.2402 67.3269 | 0.306791 0.20669 | -278.877 283.622
-19.2255 -25.7062 | -1.21957 -0.563298 | 6.13909e-12 -5.45697e-12
-56.8472 13.2455 | -0.689934 -0.0602784 | -3.18323e-12 -2.27374e-12
-47.8907 62.2547 | -0.478323 -0.146082 | -0.339926 0.798567
-2.32429 45.8397 | 0.142702 0.476849 | -261.785 1039.3
-54.7059 58.1868 | 0.787505 0.202254 | 0.339926 -0.798567
37.2877 80.4099 | -0.000199051 -0.372951 | 0 0
86.4509 36.875 | 0.330223 -1.23171 | 1.63709e-11 -2.72848e-12
-30.5764 32.691 | -0.0701497 0.702845 | -1124.76 -2839.36
-86.8846 -6.30199 | 0.331984 -0.750415 | 525.161 -472.283
65.7974 10.221 | -0.947939 0.567164 | -70.4936 -30.1403
64.374 -68.6085 | -0.287197 0.461027 | 1.92764 31.6383
-0.635508 -52.2564 | -0.155153 0.406766 | 16.511 112.173
-54.0518 21.7415 | -0.114823 -0.0843565 | -5.34328e-12 0
56.9351 -15.2414 | 0.389562 0.0430034 | 5.45697e-12 7.95808e-12
-11.7217 9.02392 | -0.0166692 0.0494395 | 6.36646e-12 1.7053e-12
-26.6262 54.5838 | -0.3846 -0.00877878 | -2.27374e-12 2.72848e-12
-18.2684 66.9561 | 0.262624 -0.305918 | 0.364816 0.57968
-10.2995 78.1947 | -0.124464 0.715719 | -5.68434e-13 -2.72848e-12
-48.7251 47.4298 | 0.270871 -0.856333 | 4.54747e-13 1.00044e-11
-1.63039 -96.103 | 0.762056 -0.469031 | 9.67241 -88.0508
-15.1851 -42.1159 | -0.661935 -0.388781 | -2.27374e-13 -6.13909e-12
-70.3971 -35.4126 | 0.823959 -1.10942 | 1.36424e-12 6.36646e-12
15.6138 38.721 | -0.653686 0.609152 | 1.36424e-12 5.68434e-12
-47.3726 3.04717 | 0.0831409 0.569048 | -1.09139e-11 -9.09495e-12
-12.9015 94.8244 | 0.223848 0.0740535 | -9.09495e-12 -3.63798e-12
-13.799 -92.2357 | 0.798701 -0.360084 | -825.899 -1922.15
60.9182 -64.0784 | 0.387473 -0.652081 | -2.6148e-12 4.09273e-12
-12.5877 -19.0456 | -0.324807 0.0724287 | -5.45697e-12 -4.54747e-12
11.2504 -85.8526 | -0.623466 -0.131977 | -577.129 644.112
-43.8612 68.1146 | -0.084948 -0.397796 | -0.364816 -0.57968
83.6078 46.082 | -0.106143 -0.894844 | 278.877 -283.622
-54.4997 70.5913 | 0.30472 0.348559 | -1.45519e-11 -4.54747e-13
32.6865 -71.5252 | 1.27825 0.0659237 | 2.72848e-12 3.63798e-12
42.4999 -10.5545 | -0.221008 -0.489497 | -9.09495e-13 -1.13687e-12
42.3806 54.2981 | -0.888905 0.570632 | -9.09495e-13 3.63798e-12
-39.9798 -58.0698 | 0.779328 -0.232859 | -16.511 -112.173
39.0139 -44.195 | -1.11057 0.284635 | 351.987 537.649
48.2793 59.5496 | -0.0346905 -0.296748 | -2.72848e-12 1.36424e-12
48.2704 46.705 | 0.258263 0.301747 | 1.25056e-12 5.11591e-13
-18.6842 -13.4129 | -0.482047 -0.303747 | 4.54747e-12 4.54747e-12
17.2148 -76.3567 | -0.344874 0.0632728 | 9.09495e-12 1.81899e-12
-44.0685 -47.8746 | -0.0152439 0.0655671 | 15.7761 -77.2233
19.4217 20.7019 | 0.00653625 0.210745 | 29.5981 -101.76
20.0794 6.49084 | -0.320052 0.231986 | 4.09273e-12 -3.97904e-12
89.8073 15.7278 | -0.475071 -0.670647 | 1.81899e-12 -3.63798e-12
40.7574 -32.7923 | -0.0556789 -0.547778 | -1.04592e-11 -4.54747e-13
14.0888 -80.5101 | -0.139657 0.0257656 | -3.63798e-12 6.82121e-13
1.85443 69.8839 | -0.436874 0.0231977 | -9.09495e-12 3.63798e-12
-51.1106 -79.6946 | -0.954982 0.299281 | 9.09495e-13 -5.00222e-12
-58.0081 -66.59 | -1.14472 0.771112 | -1464.74 -1622.46
