27.9656 33.1537 | -0.482956 -0.393183 | -228.847 559.088
-24.5381 -91.0417 | -0.178801 -0.237738 | -234.564 -342.507
-31.4578 -26.958 | 0.518523 0.36448 | -1344.37 1363.64
26.7795 53.3128 | 0.369623 -0.0540007 | 142.52 288.93
20.9997 9.28042 | -0.116425 0.30498 | 22.1597 -32.1167
62.5059 -28.0338 | -0.720891 0.312106 | 274.853 917.217
-31.7181 65.4746 | 0.23212 0.457478 | 429.966 -583.974
-52.7861 48.0765 | 0.609419 -0.650238 | -84.2138 -284.799
50.5226 0.39011 | -0.638082 0.191947 | 383.253 -327.658
-27.1424 -7.98273 | 0.0460031 -0.163762 | 0 6.36646e-12
74.7508 -43.6456 | 0.622813 0.273829 | 1.47793e-12 -3.18323e-12
-15.952 -71.8616 | -0.712674 0.093589 | -1525.57 -4423.14
-59.7548 -40.6175 | 1.05756 1.05933 | 1685.94 1620.24
-42.3368 -54.0283 | -0.0927964 0.751957 | -523.662 931.161
-46.7668 37.0038 | 0.15503 -1.03905 | -1.02586 -247.131
9.99987 74.2799 | -0.185168 -0.00668683 | 0 0
-17.3147 -66.8759 | 0.267177 -0.0165689 | -5.11591e-12 -1.03455e-11
-61.5304 -53.1557 | -0.470657 0.00562757 | 1680.34 -5106.46
-11.8115 -55.4429 | 0.37651 -0.079316 | 433.098 2451.76
-40.5961 -72.7942 | 0.71676 0.460166 | -71.0089 1759.8
-46.8184 56.8444 | 1.21546 -0.343464 | -186.801 -446.561
32.8678 -38.6649 | -0.485362 0.492752 | -363.312 3401.9
-51.2751 -63.6408 | 0.686565 0.223381 | -16.69 -24.747
47.8039 40.5001 | -0.0925771 -0.0984358 | -301.696 -106.558
-30.9262 -37.7269 | 0.27191 0.0475561 | 970.165 -1973.74
-79.1985 -7.30202 | -0.0325689 -0.0648489 | -434.657 -1448.91
-45.4099 -43.6319 | 1.36148 -0.18161 | -1259.17 -2797.91
22.5186 -67.8195 | 0.216469 -0.203767 | 59.9847 213.551
19.1487 24.5673 | -0.298371 0.580671 | 229.53 -557.632
29.113 -74.4715 | 0.559618 -0.0384802 | 111.585 279.863
0.965695 52.9993 | -0.0817227 0.613297 | 371.399 740.428
-68.8624 54.0639 | 0.18062 -0.171429 | 86.1199 -263.014
28.4523 67.5397 | -0.403509 0.163423 | 408.424 -1174.89
-47.7134 65.4997 | -0.862241 -0.00900174 | 15.4947 -1545.19
8.73571 70.6437 | 1.39024 0.806848 | -1.09139e-11 -9.74865e-12
19.0222 50.0294 | -0.0138882 0.39966 | 16.9476 114.904
-9.71512 73.4844 | -0.713615 0.269345 | -217.876 -484.923
34.0488 66.759 | -0.774199 -0.0120548 | -251.3 461.887
13.9554 44.8971 | 0.491804 -0.0540064 | -95.9689 296.419
-32.4687 25.661 | 0.711375 -1.03443 | -235.482 -473.972
-11.8887 90.2839 | -0.696874 -0.435168 | -21.7363 41.9631
-41.5119 18.7356 | 0.861842 -0.249196 | -519.727 595.327
39.257 -12.2427 | 0.536672 -0.249587 | 206.445 530.131
89.8457 -20.2942 | 0.316879 -0.375903 | -848.57 -257.755
-57.8124 -21.8201 | -0.300876 0.730798 | 973.854 -3550.69
49.0736 -48.6884 | 0.634464 0.301019 | -293.788 -653.355
-7.75243 -12.2787 | -0.206891 0.389516 | 3.63798e-12 -1.36424e-12
25.4069 -62.6279 | -0.121429 0.165939 | -2056.56 8091.9
28.8772 -30.4131 | -0.44756 -0.138974 | 0 5.45697e-12
30.0815 34.536 | 0.281159 -0.219185 | 18.8516 -203.212
9.45006 94.0983 | -0.63945 -0.620267 | -6.82121e-12 -5.45697e-12
-67.4336 -31.6039 | 0.987417 -0.0195535 | 258.313 -180.7
-48.7456 3.69683 | 0.557963 0.212434 | 434.657 1448.91
-24.0188 15.0385 | 0.221922 0.539065 | -3.06954e-12 9.09495e-13
-39.0677 -24.1775 | -0.0740359 -0.0220231 | 4.718e-12 4.54747e-12
-50.4054 -54.0789 | -0.231651 0.52862 | 211.185 -1495.78
43.3854 -30.2159 | -0.449957 -0.0863252 | 8.6402e-12 -8.6402e-12
-54.3028 18.3534 | -0.601121 -1.36764 | -565.684 545.275
-38.8423 59.2512 | 0.2821 -0.222945 | 3370.11 3153.81
-15.7784 -30.6443 | 0.79746 0.695051 | 0 -7.43938e-12
26.6167 86.6152 | 0.520118 0.421049 | 112.622 -44.2617
67.4893 -17.0429 | -0.053881 -0.119319 | -737.093 3341.16
14.8908 -44.9504 | -1.27958 0.062214 | -196.415 -1072.36
34.3559 3.08433 | -1.05271 -0.443054 | 514.987 1125.87
-3.04723 40.8421 | 0.11345 0.486663 | -712.315 871.925
51.6022 -17.6665 | -0.841443 -0.242747 | 7.95808e-12 0
22.2505 -92.7889 | -0.220144 -0.333477 | 1608.17 -1718.39
-55.2188 -35.5683 | 0.937243 0.464782 | -278.522 1466.83
-48.9022 -51.0339 | 0.204212 0.627576 | -154.409 -2019.08
58.8835 15.9427 | -0.629716 -0.379951 | 166.523 956.304
-21.0002 -89.2879 | -0.0980001 0.952136 | 162.17 -100.266
-26.2852 -70.238 | 0.496464 -0.0411426 | 2186.26 2756.8
-31.2107 -68.552 | -0.348745 0.275253 | -506.121 530.091
-27.2405 -19.0041 | 1.05253 0.366056 | -76.4893 190.122
66.4238 34.8246 | -0.325734 -0.0694973 | 68.3157 -197.258
43.3344 42.9141 | 0.00218114 0.200044 | 37.4682 -66.3552
70.5855 31.9898 | -0.262663 -0.482496 | 47.5343 -12.8039
-62.412 51.5195 | 0.493553 0.590207 | 545.867 474.381
-55.2686 8.78453 | -0.00635121 -0.161322 | 2.27374e-12 -2.16005e-12
-64.3345 -43.9386 | 0.563208 0.673216 | -1686.64 5084.5
-24.6439 -35.0863 | 0.131795 -0.468762 | -1069.73 1590.17
55.0809 -33.7954 | 0.222193 0.567447 | -282.043 -855.327
-21.6288 -40.6853 | -0.501395 0.039911 | -48.6776 94.411
-64.3271 28.7486 | 0.0100797 -1.1647 | -391.877 -1843.3
53.8744 55.5365 | 0.227021 -0.0531146 | 280.818 376.923
-36.7797 23.3147 | 0.256224 -0.251603 | 36.3612 55.7885
-25.971 75.9019 | 0.297056 0.59356 | 217.876 484.923
72.9659 17.8287 | -0.0632264 -0.0158877 | 82.783 528.873
56.9656 -67.8551 | 0.193835 0.0270416 | 3325.09 -2261.52
