27.5249 32.8714 | -0.334429 -0.175941 | 489.749 1501.22
-24.3347 -91.32 | 0.534053 -1.07528 | 7.83158 -67.7893
-30.8739 -26.4128 | 0.636056 0.443929 | 1094.83 -2073.8
26.9571 53.1267 | 0.102876 -0.150263 | -1356.73 2700.12
20.821 9.2632 | -0.203787 -0.15934 | 1.81899e-12 -1.13687e-13
61.8404 -27.5288 | -0.597732 0.576218 | -272.722 -566.987
-31.4664 65.8092 | 0.233777 0.234549 | -357.934 828.866
-52.3205 47.2232 | 0.406551 -0.947072 | 0 -2.6148e-12
49.98 0.0365884 | -0.524788 -0.548395 | -7.7307e-12 -4.09273e-12
-27.0272 -7.93994 | 0.0538673 0.3676 | -782.788 826.534
75.3538 -43.3656 | 0.705988 0.203726 | 28.7499 -20.6922
-16.8217 -71.7101 | -0.636246 0.237417 | 769.606 -1489.51
-58.6023 -39.7704 | 1.1352 0.187643 | 5.00222e-12 -2.27374e-12
-42.7486 -53.1989 | -0.615012 1.10672 | -48.0363 255.001
-46.5765 35.994 | 0.0783758 -0.616654 | 2954.07 -4510.95
9.81371 74.2282 | -0.205129 0.519909 | -1184.86 5618.89
-17.0589 -67.254 | 0.400319 -0.621529 | 507.991 961.806
-61.9583 -53.2493 | -0.362639 -0.209791 | 624.473 -1149.87
-11.4896 -55.525 | 0.418965 -0.193389 | 2.82916 87.9355
-39.9052 -72.427 | 0.693025 0.157365 | -347.831 -577.734
-45.7955 56.5055 | 0.951832 -0.420614 | -26.3653 -504.032
32.4711 -38.1536 | -0.285107 0.37688 | -104.607 -294.121
-50.6907 -63.1967 | 0.345829 0.653933 | -174.495 -241.948
47.7173 40.5377 | -0.113496 0.101285 | 5.7973 53.0856
-30.5912 -37.6712 | 0.248387 0.192721 | -1.81899e-12 2.72848e-12
-79.101 -7.40403 | 0.372018 -0.113595 | 9.54969e-12 -1.22782e-11
-43.9638 -43.6697 | 1.61496 0.311474 | -775.327 1997.82
22.8082 -67.8189 | 0.132728 -0.180753 | -116.53 207.989
18.8838 25.0495 | -0.141468 0.0673834 | 451.818 -1601.43
29.6014 -74.7717 | 0.35657 -0.287618 | -1360.49 -4140.65
0.873274 53.4696 | 0.106008 -0.0259451 | -125.362 -341.641
-68.6375 53.7076 | 0.0837408 -0.0925077 | -828.125 1053.04
27.9195 67.6117 | -0.66931 -0.0340929 | -8.44616 39.0193
-48.469 65.4731 | -0.700833 0.19685 | 357.934 -828.866
10.0479 71.6537 | 1.25556 0.613867 | 1456.65 -5873.84
19.4307 50.346 | 0.760236 -0.350212 | 1676.9 -3558.86
-10.256 73.5048 | -0.45407 0.0290023 | -823.681 1818.82
33.3343 66.5565 | -0.816652 -0.138431 | 1.62329 -23.7821
14.2901 45.7353 | 0.191649 1.28323 | -2.3582 8.42036
-31.9551 24.9224 | 0.272382 -0.520479 | -316.585 347.739
-12.5992 89.8758 | -0.679605 -0.235588 | 894.95 3613.76
-40.7946 18.5077 | 0.734696 -0.70094 | -4433.2 -3105.98
39.6652 -12.1694 | 0.288991 0.405007 | -62.1762 -96.1415
90.0371 -20.5772 | 0.193471 -0.00133577 | 5.91172e-12 -1.81899e-12
-57.7562 -21.7023 | -0.0959548 0.130557 | 4.54747e-12 2.04636e-12
49.664 -48.7036 | 0.624821 -0.123417 | 0 3.41061e-13
-7.91343 -11.7373 | -0.0746866 0.895417 | -5.22959e-12 -5.45697e-12
25.5242 -62.5307 | 0.0534997 -0.396879 | -114.686 -275.382
28.4275 -30.5559 | -0.453124 -0.135333 | -192.968 763.974
30.4399 34.1299 | 0.304508 -0.174794 | -95.6439 444.673
8.8713 93.6071 | -0.39941 -0.261387 | 683.272 1103.9
-66.4944 -31.3035 | 0.951628 0.928714 | 26.0789 241.759
-48.1301 3.84861 | 0.68855 0.030701 | -7.04858e-12 9.09495e-13
-23.8048 15.5364 | 0.184432 0.34796 | 1.79057e-12 -5.91172e-12
-39.0564 -23.8683 | 0.0352398 0.406732 | 2.72848e-12 -1.59162e-12
-50.6207 -53.6695 | -0.271465 0.586185 | -572.616 964.746
42.9977 -29.9235 | -0.341529 0.691307 | 500.262 18.1396
