65.3597 -69.7876 | 0.407673 -0.601796 | 7.04858e-12 -5.00222e-12
23.2376 15.6214 | -1.41827 0.66499 | 5270.3 -7241.46
-0.569954 -71.1061 | 0.0492385 0.00426288 | 4.60432e-12 5.45697e-12
0.929984 89.624 | 0.414335 0.013306 | 3.63798e-12 -1.59162e-12
-19.6528 45.4986 | 0.210745 0.481895 | 113.95 5870.54
-37.5314 -68.5763 | -0.319066 -0.307028 | -3.18323e-12 7.50333e-12
-82.2338 -5.84738 | 0.174134 0.082717 | -327.283 -53.8535
76.6715 -40.7827 | -0.824894 0.631979 | -836.676 3806.47
28.9773 71.771 | 0.240687 0.594185 | -33.1254 189.206
-41.3843 84.3041 | -0.594833 0.0636767 | 8.18545e-12 1.09139e-11
25.8833 1.47554 | -0.960982 0.342085 | -3.63798e-12 -1.13687e-13
-10.9078 -30.5874 | -0.354605 -0.0478741 | 6.36646e-12 -4.09273e-12
25.6175 32.0124 | 0.0953357 0.929483 | -8.41283e-12 8.86757e-12
73.071 -49.0768 | -0.931172 -0.169413 | 836.676 -3806.47
-86.4345 37.6503 | -0.631217 -0.353233 | -2.04636e-11 -2.09184e-11
49.5249 70.2338 | 0.0917507 0.771447 | 0 0
-24.1471 -28.2375 | -0.873651 -0.355245 | -3.63798e-12 3.83693e-12
-59.1565 12.8581 | -0.0151037 0.350043 | 1466.76 2177.87
-51.4498 61.111 | -0.798441 0.0104477 | 2.91038e-11 -1.36424e-11
-1.67878 48.5477 | 0.317366 0.327782 | 224.275 -443.769
-51.8757 58.9933 | 0.399181 0.424233 | 6.87805e-12 -1.81899e-12
36.5886 78.953 | -0.171319 -0.188595 | -7.27596e-12 -9.9476e-12
86.3271 29.5174 | -0.125742 -1.70559 | 1.09139e-11 7.27596e-12
-30.3219 35.0018 | 0.225617 0.502051 | 4.54747e-13 8.18545e-12
-86.8935 -9.23835 | -0.117541 -0.632345 | -1.64846e-12 -5.45697e-12
60.6422 12.0188 | -1.17935 0.354286 | 2076.1 1663.71
64.7472 -67.2981 | 0.266988 0.0176364 | 2177.91 -2623.26
-1.50809 -51.3888 | -0.375845 -0.253392 | -5.45697e-12 -2.27374e-12
-53.8663 21.0003 | -0.0458424 0.0508182 | -6.36646e-12 -2.72848e-12
58.8296 -15.3619 | 0.42344 -0.0323936 | -1.81899e-12 -2.72848e-12
-12.7612 9.11525 | -0.376061 -0.324743 | 2.72848e-12 2.50111e-12
-27.4483 54.4059 | -0.162391 0.149556 | -224.275 443.769
-15.0976 68.8519 | 0.670643 0.288089 | -18.3346 313.263
-9.75123 80.6089 | 0.15226 -0.248696 | 120.55 -130.961
-48.5473 46.7886 | -0.10755 0.212939 | -3.63798e-12 1.13687e-12
2.1918 -95.7904 | 0.443448 -0.665386 | -94.0292 -162.527
-18.0369 -44.0789 | -0.424043 -0.206491 | 961.555 2080.17
-64.8811 -38.1781 | 0.937255 -0.132975 | -6.82121e-13 7.95808e-12
11.7983 39.8336 | -0.942874 0.39606 | -7.27596e-12 2.03215e-12
-47.0183 5.50176 | 0.0502473 0.392655 | 7.7307e-12 0
-12.0434 94.1593 | -0.030941 0.269602 | -3.63798e-12 -1.90994e-11
-11.3449 -92.146 | 0.109072 0.161304 | 94.0533 -434.425
62.5554 -63.2137 | 0.734518 0.17218 | -2177.91 2623.26
-13.8645 -19.9683 | -0.340562 -0.199341 | -2.72848e-12 9.09495e-13
6.5439 -85.3856 | -0.839686 0.339612 | 1.06866e-11 -1.81899e-12
-44.2413 66.3193 | -0.102187 -0.257199 | -4.54747e-12 8.6402e-12
83.5378 41.0826 | -0.0175631 -1.10416 | -1.36424e-11 2.18279e-11
-53.5529 70.6329 | 0.316241 -0.324865 | 18.3346 -313.263
35.0536 -71.2742 | -0.194095 -0.174406 | -33.3249 -303.835
41.4138 -13.0204 | -0.234848 -0.643082 | 5.45697e-12 2.27374e-12
38.7673 55.7876 | -0.77207 0.0916888 | 1.81899e-12 -2.72848e-12
-36.1627 -59.7778 | 1.10418 -0.464973 | 8.18545e-12 -6.13909e-12
34.4236 -43.169 | -0.896379 0.25647 | 0 5.91172e-12
47.4913 61.7762 | -0.237889 0.970194 | 33.1254 -189.206
50.2701 46.7781 | 0.435558 -0.545977 | -3.63798e-12 0
-21.0357 -13.427 | -0.461222 0.155528 | -1.36424e-12 1.74794e-12
16.2185 -74.8931 | -0.126342 0.44107 | 4.09273e-12 -3.63798e-12
-42.7961 -46.0746 | 0.175699 -0.418863 | -981.658 -2154.64
20.0393 21.207 | 0.234635 0.0936238 | -5270.3 7241.46
19.1742 7.8601 | -0.191354 0.15636 | -9.09495e-13 2.27374e-12
88.139 13.2198 | -0.127893 -0.210581 | 1.81899e-12 9.09495e-12
40.6016 -34.4753 | -0.0840282 -0.502464 | -39.2288 -46.083
12.636 -80.4646 | -0.45899 0.394314 | 683.965 -347.05
-0.0536804 69.7152 | -0.377855 0.204295 | -6.13909e-12 1.13687e-11
-55.5357 -76.9181 | -0.996629 0.721584 | -270.931 -61.409
-63.6593 -65.0531 | -0.99914 -0.135661 | 270.931 61.409
-34.6428 79.7889 | -0.355838 -0.0308867 | -120.55 130.961
65.213 -22.9422 | 0.165946 -0.0859569 | -5.00222e-12 2.95586e-12
-72.9079 44.6171 | -0.281719 -0.651617 | -28.8555 23.5538
-14.3213 -83.7291 | -0.541483 0.393969 | -0.0241339 596.952
19.9161 92.5723 | -0.570137 -0.61201 | -2.36469e-11 -2.72848e-11
-65.5265 -29.9695 | -0.0247448 -0.512319 | 2.72848e-12 9.09495e-13
12.9243 24.6 | -0.150763 0.297163 | -1.02318e-11 6.82121e-12
-10.5781 -7.60148 | 0.265962 -0.177798 | -4.09273e-12 3.18323e-12
50.0243 -34.1934 | 0.281271 -0.28146 | 39.2288 46.083
26.8714 41.2988 | -0.200536 0.725295 | 0 -6.0254e-12
-7.55579 -36.6916 | 0.0836102 -0.466714 | 4.3201e-12 -1.09139e-11
10.8557 -88.3384 | -0.207004 0.247372 | 0 0
52.7509 3.73334 | -0.106737 0.648605 | -2076.1 -1663.71
-15.7573 -52.2632 | 1.11601 0.421189 | -1.62004e-12 9.09495e-13
68.465 15.1084 | -0.234655 -0.804384 | 1.45519e-11 -1.00044e-11
-73.869 24.1748 | 0.389231 0.348346 | 8.18545e-12 -3.18323e-12
