-5.49519 -66.3391 | 0.377096 -0.818597 | -5.45697e-12 0
-15.3494 63.1791 | 0.1475 0.93133 | -5.45697e-12 -5.91172e-12
42.9838 -27.5385 | -0.835252 1.01998 | 5.45697e-12 -4.54747e-13
-75.349 -32.2548 | 0.363145 0.666885 | 9.09495e-12 -4.54747e-12
-21.5267 -40.1567 | 0.331162 -0.333409 | 0.0131664 -102.732
-19.153 -86.1257 | 0.507202 0.345794 | -9.09495e-12 -1.86446e-11
64.0802 -8.36058 | -0.270746 0.0499326 | -13.7243 -30.0945
-43.0421 -35.8095 | 0.674805 0.330859 | -203.35 297.222
50.3915 73.497 | -0.0190341 -0.214694 | -55.9369 -225.807
-64.7532 19.9283 | -0.0222177 0.124249 | -500.892 401.061
0.173745 91.8426 | 0.190169 0.00344779 | 18.4485 -39.5802
-19.5599 12.7069 | 0.115474 -0.482299 | -3.97904e-12 -8.6402e-12
15.501 -64.2244 | 0.10195 0.0978685 | 488.346 -241.709
-81.411 7.16573 | -0.10162 -0.0509077 | -219.007 -265.303
26.5803 89.0197 | -0.137939 -1.00026 | 17.3693 15.4903
-81.3534 28.4362 | 0.590097 0.693861 | -1.00044e-11 -5.00222e-12
-64.7698 -23.1561 | 0.74205 -0.285254 | 0 -2.95586e-12
7.00818 58.6757 | -0.78806 0.4525 | 0 2.27374e-12
45.4111 44.624 | 0.304412 0.19154 | -1.81899e-12 0
93.7067 -18.4269 | 0.397452 -0.335805 | -4.54747e-13 3.18323e-11
49.3598 -19.5444 | 0.371613 0.572683 | -4.09273e-12 1.08287e-11
-40.1712 -17.0052 | 0.174373 -0.633838 | 1.81899e-12 6.82121e-12
50.0034 31.3075 | -0.298035 -0.169457 | -5.00222e-12 8.6402e-12
51.5719 -38.4833 | 0.401508 0.523211 | -3.63798e-12 2.72848e-12
38.8821 -55.1112 | -1.22975 -0.162658 | -1.81899e-12 -1.09139e-11
-17.4703 -52.1865 | 0.0332901 0.24124 | 4.54747e-12 4.54747e-13
-46.4417 -7.87764 | -0.195424 0.188094 | -4.54747e-13 4.54747e-13
-86.2065 34.2783 | 0.366086 0.808262 | 264.392 277.291
2.5558 -39.8099 | -0.101607 -0.594267 | 7.95808e-13 1.93268e-12
76.097 -29.2547 | 0.216317 -0.0885984 | -5.11591e-12 -6.36646e-12
4.63446 -60.45 | -0.0294163 0.413901 | -488.346 241.709
-82.6409 -9.61684 | -0.115322 0.772334 | -7.50333e-12 -1.18234e-11
-4.63268 -5.31728 | 0.55115 -0.946754 | -3.29692e-12 -4.54747e-12
68.7462 -2.33605 | -0.855415 -0.0780067 | -51.8195 -2586.26
-0.0419673 31.9381 | 0.334501 0.00651616 | 4.54747e-12 1.36424e-12
-13.6544 87.2902 | -0.8022 0.202524 | 326.466 688.173
-7.4867 95.2279 | 0.529028 0.358633 | -18.4485 39.5802
17.7756 66.5797 | -0.555002 -0.16969 | -2.04636e-12 5.45697e-12
-51.5116 64.1738 | 0.749664 -1.01833 | -1.59162e-12 -2.63753e-11
22.5196 -44.1818 | 0.667086 -0.10193 | -1.15156 -0.56848
-55.8821 42.296 | 0.689059 0.0097295 | -7.27596e-12 1.45519e-11
-36.7238 55.6102 | 0.480079 0.836111 | -2.64322e-12 -1.81899e-12
79.1835 -2.11743 | -0.09049 -0.369171 | 719.332 772.221
-45.6455 -55.9093 | 0.286574 -0.758998 | -1.22782e-11 1.09139e-11
80.742 48.3486 | 0.939294 -0.0108434 | 1.81899e-12 -1.36424e-11
44.7446 13.7163 | -0.474902 -0.422049 | -3.63798e-12 5.45697e-12
-45.5372 -1.23243 | -0.713613 -0.943811 | -111.96 111.457
32.0631 60.8659 | 0.109343 -0.0961217 | -1.81899e-12 -4.54747e-12
64.4914 -42.0783 | -0.374192 -0.290828 | -88.8006 -233.783
-40.3025 -60.91 | 0.12964 -0.281697 | -1.79833 2.56808
38.4543 52.7399 | 0.117254 0.545158 | -2.60265 30.7793
76.6814 31.5614 | 0.96286 -0.427766 | 1.04592e-11 3.63798e-12
-49.1559 28.4163 | 0.242094 0.257262 | -5.45697e-12 9.09495e-13
18.3082 47.1409 | -0.231568 0.401445 | 2.60265 -30.7793
-26.8326 15.318 | 0.452 -0.0968508 | -3.63798e-12 -1.81899e-12
3.27731 -90.7063 | 0.0542108 -0.88637 | -57.7542 -230.377
42.5369 55.8987 | -0.684575 0.197687 | -8.18545e-12 -4.3201e-12
33.5155 -87.0303 | 0.206493 0.157067 | 223.566 -2554.96
-4.29371 -76.5812 | 0.94729 0.0253178 | -5.45697e-12 -7.27596e-12
2.05089 -22.4269 | 0.48675 -0.344011 | 0 5.28644e-12
-63.0236 -33.2347 | 0.560725 0.0589547 | 4.54747e-12 6.9349e-12
-37.4813 67.9471 | -0.0346718 -0.195085 | 1209.17 -2298.24
29.0065 -80.0294 | 0.0512849 -0.171033 | -165.812 2785.33
-66.5328 -46.3747 | 0.784776 0.0265762 | -2.18279e-11 -1.40403e-11
77.2532 21.4293 | 0.106602 -0.165722 | 4.54747e-12 -4.54747e-12
50.8586 -43.4862 | -0.762044 0.458258 | -1.13687e-12 -6.22435e-12
-62.1834 7.39719 | 0.976624 -0.822829 | 500.892 -401.061
57.791 1.59369 | 0.308993 0.300222 | -653.788 1844.13
2.82601 -11.5673 | 0.19786 -0.292322 | -26.1799 93.3507
38.9794 84.3398 | 0.297211 -0.0165126 | -17.3693 -15.4903
-85.2433 3.64229 | -0.316699 -0.0851043 | -45.3848 -11.988
2.44924 15.5599 | 0.291917 -0.337516 | -1.81899e-12 0
-0.752625 38.8322 | 0.726631 -0.0296699 | 2.50111e-12 9.09495e-13
74.3396 -11.7261 | -0.292436 1.15131 | -8.18545e-12 -6.36646e-12
-39.5424 51.73 | 0.534346 0.151541 | -3.18323e-12 -1.36424e-12
29.414 -6.61177 | -0.272276 0.164156 | 26.1799 -93.3507
-40.1483 -67.1573 | 0.00300882 -0.225742 | 1.79833 -2.56808
8.80887 73.1245 | -0.140582 -0.408259 | -0.140923 15.2809
-33.2176 -74.8009 | 0.16214 -0.246016 | -1128.07 2427.63
64.9958 19.675 | -0.600063 0.243307 | 9.77707e-12 0
-15.5423 81.229 | -0.217479 -0.315993 | 46.0587 222.228
-41.0651 42.5749 | -0.555381 -0.429039 | 1.81899e-12 3.86535e-12
-36.8893 -77.8281 | -0.197994 -0.896054 | 1128.07 -2427.63
-18.4479 78.4923 | 0.0923971 -0.192255 | -46.0587 -222.228
31.6916 82.3041 | 0.529236 0.324008 | 56.0778 210.527
35.0713 -69.3965 | -0.293359 -0.0216684 | -2.72848e-12 9.37916e-13
84.6125 -37.7441 | 0.0163482 0.515335 | 88.8006 233.783
-50.7648 22.9411 | -0.130009 -0.36078 | 2.95586e-12 5.00222e-12
-55.8185 -72.6492 | -0.103787 0.507756 | 6.36646e-12 1.22782e-11
-19.2885 1.63179 | -0.408535 -0.237267 | 111.96 -111.457
53.9111 -47.8298 | -0.836116 0.447077 | 1.15156 0.56848
66.4093 47.3431 | 0.274187 -0.372325 | 6.36646e-12 5.79803e-12
45.0322 34.9647 | -0.312134 -0.167541 | 2.72848e-12 9.09495e-13
65.5098 63.947 | 1.03505 0.374933 | 0 -7.27596e-12
-49.0229 -45.3998 | 0.665925 0.717352 | 203.337 -194.489
-3.68972 82.6198 | -0.077137 0.410036 | -326.466 -688.173
45.1833 -65.0453 | 0.7264 -0.220538 | -4.3201e-12 2.04636e-12
-53.0947 51.8625 | -0.249693 -0.760776 | -3.86535e-12 7.7307e-12
-43.027 73.2405 | 0.817305 0.116869 | -1209.17 2298.24
-43.7271 -83.9957 | 0.0984092 0.148173 | -2.00089e-11 4.3201e-12
