-52.4674 -4.4907 | 0.207584 0.665052 | -89.6402 31.6168
-34.6923 -45.22 | 0.394077 -0.313178 | 3.18323e-12 -5.68434e-12
9.89006 -51.3667 | 0.38819 0.212613 | -68.983 -539.431
0.0428053 35.5971 | 0.586535 0.0247347 | -427.629 -501.133
-62.2763 -62.0105 | 0.22472 0.267969 | 287.864 233.218
-63.3672 -39.8335 | -0.124224 0.254493 | 2.61838 15.4792
-18.5349 -22.9242 | 0.0274294 0.036196 | -1.81899e-12 2.27374e-12
-35.8278 35.1896 | 0.130712 -0.58963 | 236.248 -1021.64
13.3829 80.6877 | -0.741455 -0.0522438 | -468.591 -515.537
-13.3837 -75.6243 | -0.195473 -0.107209 | 70.9299 253.476
-0.764699 -80.5275 | -0.0447642 -0.803928 | -9.09495e-13 -9.09495e-13
49.8778 16.6882 | 1.09766 -0.405175 | 1.36424e-12 2.27374e-12
-18.9871 -41.7737 | 0.664982 -0.083593 | 2.72848e-12 1.18234e-11
21.2946 -62.4381 | -0.188227 0.53786 | 1133.62 2525.33
-80.2472 26.6837 | 0.12013 0.448455 | -130.589 145.347
-58.6869 17.0645 | 0.330324 -0.274682 | -825.752 1824.35
-46.8597 15.1318 | 1.31675 0.249053 | 4792.76 -875.739
82.8954 35.1222 | -0.172507 -0.706 | 5102.34 735.056
45.4012 10.263 | -1.29429 -0.565582 | 358.761 -579.802
-12.3613 29.7119 | 0.767986 0.228611 | 4.54747e-12 -6.53699e-13
58.0394 -23.5595 | 0.0894064 0.61346 | 168.378 681.121
-15.4411 -93.3789 | -0.175521 -0.11505 | -1847 -2300.65
28.3677 74.3951 | -0.439129 -0.861563 | 81.3169 178.341
49.5353 38.483 | -0.247009 -0.796307 | 7.04858e-12 9.09495e-13
-21.8992 83.9089 | -0.371027 -0.430327 | -2536.51 2297.72
9.96781 -39.9046 | -0.530623 -0.142957 | 0 9.09495e-12
53.0336 -0.150496 | -0.730677 0.39705 | 1.18234e-11 9.09495e-12
-27.0242 -30.3244 | -0.832105 0.583205 | 9.09495e-13 4.54747e-12
70.3611 -3.13056 | -0.389703 0.410182 | -8.86757e-12 3.80851e-12
24.8292 87.1015 | 0.276804 0.185034 | -1113.72 1625.71
-33.1161 51.9045 | -0.09016 0.169441 | 190.906 -1840.42
-28.8657 -17.3853 | 0.389479 0.300757 | 23.2804 134.933
-0.665193 -66.0155 | -0.691523 0.296592 | -462.353 -828.425
-19.4534 57.9904 | 0.00300051 0.203134 | 132.512 686.19
-54.7777 13.6383 | 0.222236 -0.0831993 | -4741.35 -1369.34
9.79876 -26.3584 | -0.78395 0.0247339 | 27.8483 -55.1183
25.6463 -30.3805 | -0.358456 0.875557 | 0 1.36424e-12
-74.4722 -31.3958 | -0.372811 0.757048 | -5.45697e-12 5.45697e-12
21.0401 -82.2108 | -0.368857 -0.0273881 | -1221.89 1763.33
45.1641 -73.7014 | -0.614561 -0.0549422 | -14.3467 53.8378
20.2595 73.7186 | 0.0467241 0.172712 | -395.897 1732.13
-2.42254 -77.8407 | 0.202263 -0.190845 | -70.9299 -253.476
-9.06263 -49.5452 | 0.841193 -0.59173 | -5.45697e-12 7.04858e-12
-71.6907 8.55898 | 0.300392 0.215633 | 774.342 420.73
-65.1313 63.491 | -0.0840275 0.277094 | 4.54747e-12 -8.86757e-12
40.4544 -17.4444 | 0.0890365 0.149308 | -82.1817 1528.97
-49.5043 -76.284 | 0.49285 -0.260988 | -5.45697e-12 9.09495e-13
12.7738 0.208407 | 0.071868 0.289081 | -7.27596e-12 7.7307e-12
3.62982 37.891 | 0.153463 0.0447001 | 427.629 501.133
6.44665 43.8428 | -0.27409 0.742557 | 6.25278e-12 -2.84217e-13
24.781 18.7184 | 0.390634 -1.04398 | -6.36646e-12 -1.13687e-11
7.90019 51.7354 | 0.926071 -0.270016 | -85.3329 -122.37
-22.4458 78.3206 | -0.759651 -0.114958 | -7.32046 -21.497
-75.8242 -38.417 | 0.283125 0.537363 | 0.688547 -43.5066
20.7124 50.9369 | 0.00227333 -0.403507 | -155.169 342.835
30.7814 -87.7533 | -0.0618076 0.41369 | 1166.24 -1580.36
-41.4419 -10.6072 | 0.0371315 -0.33765 | -251.863 94.1947
-18.5568 55.8979 | 0.87484 -0.524806 | -336.456 1037.69
-67.5878 -50.4215 | 0.0639263 0.667267 | 63.0975 -393.398
-17.5116 -11.6107 | 0.818481 0.509326 | 82.2397 -736.264
54.7067 -50.5266 | -0.188994 -0.137488 | 69.8698 251.003
7.9243 -10.3493 | -1.20253 0.154312 | 93.0939 -112.231
43.6278 -4.20017 | -0.362105 -0.580008 | -257.38 -499.451
37.5651 -51.79 | 0.0579338 0.109647 | -879.624 573.593
46.6993 -61.5875 | 0.217352 -0.259284 | -9.09495e-13 0
-1.18729 51.7196 | -0.149763 0.104602 | 302.228 39.0809
-24.3335 -63.4312 | 0.00617307 -0.577483 | 7.27596e-12 -3.18323e-12
21.7091 -43.654 | 0.312945 0.181551 | -5.91172e-12 -4.54747e-12
-0.251291 30.6029 | 0.891093 0.409469 | 4.54747e-13 1.02318e-12
17.6173 -91.1215 | 0.527683 -0.0451741 | -55.0081 -383.879
46.5978 -23.9912 | 0.411625 0.853317 | 2.16005e-12 5.00222e-12
-57.117 4.60386 | 0.379994 0.0376367 | -4.66087 30.174
49.0356 -79.7495 | 1.16091 0.374745 | 1450.21 -1973.17
58.014 12.6116 | -0.760169 -0.0585456 | -331.147 622.788
-44.7926 28.1695 | 0.278952 -0.608796 | -233.017 -4753.55
66.3289 -65.1451 | -0.274341 0.0404304 | 139.58 -60.5892
12.3995 -36.7902 | 0.107468 -0.55133 | 6.36646e-12 6.19593e-12
42.3812 -45.2099 | 0.172697 0.639322 | 10.7591 -16.0675
-66.0125 -24.643 | -0.0129421 -0.0729613 | -1333.14 -753.221
35.5319 -13.4175 | -0.895938 0.133826 | -344.291 -1375.59
47.9791 -59.1539 | 0.0397122 -0.00373938 | -1919.1 -3835.14
67.8788 69.0024 | 0.625041 -0.125915 | -9.09495e-13 9.09495e-12
36.4846 42.1112 | 0.128463 -0.629367 | 155.169 -342.835
30.6144 65.0646 | 0.671628 0.189082 | 2375.91 795.621
-50.5953 -7.25032 | -0.439759 0.840917 | 317.811 287.685
-25.0516 -70.4772 | 0.220848 0.0653009 | 0 4.09273e-12
49.7472 3.15749 | 0.129876 0.323228 | 286.169 -356.57
-60.3667 -43.1399 | -0.368633 -0.0294689 | -3.30692 28.0275
-69.9102 16.7772 | 0.138344 -0.507894 | -8.18545e-12 -1.59162e-12
-19.9478 51.1833 | -0.38431 -0.334995 | -71.9956 -113.046
-43.2027 68.581 | -0.277649 -0.576614 | 1.81899e-12 -1.44951e-12
-63.2915 -21.5366 | -0.0838805 0.615964 | 1107.03 500.716
1.33944 91.5241 | -0.148964 0.251035 | 129.02 1316.42
-19.8302 86.6355 | -0.436511 -0.432435 | -129.579 -1317.82
62.6618 15.3244 | -0.117511 -0.94045 | 9.09495e-12 1.81899e-12
-4.24455 -84.0276 | 0.288674 -0.23964 | 6.82121e-13 -5.00222e-12
32.2341 76.761 | -0.148055 -0.0608626 | -1.81899e-12 4.77485e-12
59.8485 45.3152 | 0.361637 0.37123 | 760.199 363.938
81.7701 -15.1958 | 0.204598 0.504327 | -1676.31 2661.07
-58.0846 -59.8941 | 0.355582 0.307514 | 7.10543e-12 -1.81899e-12
-58.2989 -67.1227 | 0.332831 0.411334 | -287.864 -233.218
-57.3388 -48.3071 | -0.330001 0.854109 | 8.29914e-12 4.54747e-13
28.7695 82.313 | -0.64105 -0.439497 | 1260.09 -1524.39
8.06007 12.5322 | 0.917093 -0.396611 | 4.54747e-12 -8.18545e-12
-43.4769 62.692 | -0.211758 -0.829876 | -380.593 -1295.6
45.365 -46.2949 | -0.0879182 0.730908 | 28.7377 40.5252
-9.24052 -4.73557 | 0.576607 -0.18098 | 108.469 413.173
42.0351 31.6285 | -0.205083 -0.235166 | 9.09495e-13 8.6402e-12
32.5214 30.0177 | -1.01532 -0.228752 | -57.2942 -252.408
5.84174 87.8124 | 0.280022 0.497184 | 2547.61 -2274.91
16.3847 -28.5497 | -0.259206 -0.189379 | -7.27596e-12 -1.02318e-12
-56.2684 56.4751 | -0.298841 0.0060073 | 859.287 -1284.82
-33.6578 41.0662 | -0.0930879 -0.844824 | -456.19 574.868
