-45.1183 -45.1209 | 7.59311 -4.65275 | 52.7234 123.978
-44.7928 -44.7412 | 6.56565 -3.74735 | -19.5237 115.131
-44.464 -44.3643 | 5.47717 -2.75895 | -114.785 122.132
-44.128 -43.9936 | 4.43955 -1.76933 | 170.773 -171.232
-43.781 -43.6334 | 3.55325 -0.84812 | -214.437 184.979
-43.4201 -43.2872 | 2.99142 -0.189442 | -246.626 272.623
-43.0421 -42.9596 | 2.73131 0.177169 | 196.925 -115.477
-42.6441 -42.6567 | 2.70806 0.268082 | 446.124 -347.338
-42.2245 -42.3841 | 2.76258 0.253618 | 682.266 -591.104
-41.7842 -42.1458 | 2.60468 0.617635 | 392.761 0.03291
-41.3263 -41.9425 | 2.40458 1.10259 | 129.905 462.47
-40.8542 -41.7737 | 2.25704 1.52648 | 86.06 453.533
-40.3707 -41.64 | 2.12974 1.9558 | 89.0213 329.604
-39.8784 -41.5429 | 2.08695 2.07828 | 167.066 -185.27
-39.3799 -41.4853 | 2.07304 2.14328 | 129.492 -456.216
-38.8782 -41.4687 | 2.08179 2.13177 | 57.4922 -516.754
-38.3767 -41.4926 | 2.10254 2.05405 | 31.7204 -583.919
-37.8784 -41.5543 | 2.15302 2.19692 | 2.1412 -603.865
-37.3851 -41.6489 | 2.25209 2.53349 | 33.9568 -298.272
-36.8973 -41.769 | 2.42027 3.07662 | 152.182 247.11
-36.4139 -41.9064 | 2.53167 3.36754 | 338.517 918.486
-35.9336 -42.0541 | 2.55098 3.33924 | 275.361 798.449
-35.4554 -42.2088 | 2.55826 3.25516 | -77.2681 -160.092
-34.9794 -42.3704 | 2.47664 2.91412 | -85.8565 -161.875
-34.5056 -42.5378 | 2.3311 2.41555 | -154.627 -312.687
-34.0333 -42.7096 | 2.19418 1.94022 | -216.135 -386.163
-33.5616 -42.8827 | 2.07022 1.4934 | -42.6473 32.9973
-33.0889 -43.0528 | 1.94478 1.0469 | -21.7377 -33.5164
-32.6135 -43.2153 | 1.81496 0.592757 | 105.863 316.805
-32.1341 -43.3656 | 1.679 0.109275 | 67.0675 219.428
-31.65 -43.5002 | 1.60846 -0.149274 | 1.53816 -58.9879
-31.1612 -43.6161 | 1.58129 -0.196094 | 86.6106 165.8
-30.6676 -43.7105 | 1.52292 -0.358695 | 110.898 350.171
-30.17 -43.7808 | 1.46942 -0.525121 | 55.9575 316.693
-29.6694 -43.826 | 1.39678 -0.924093 | 59.1174 392.298
-29.1672 -43.8465 | 1.31532 -1.47819 | 72.6775 226.244
-28.6645 -43.8441 | 1.2392 -1.8545 | 80.2018 -363.798
-28.1623 -43.8218 | 1.1756 -2.14458 | 44.2243 -150.011
-27.6612 -43.7812 | 1.12924 -2.38739 | 41.6702 -258.969
-27.1617 -43.7237 | 1.09313 -2.58587 | 77.7601 -200.71
-26.6643 -43.6496 | 1.07548 -2.83274 | 7.70368 373.463
-26.1697 -43.5586 | 1.06829 -3.00038 | 20.6551 190.084
-25.6781 -43.4522 | 0.986391 -2.71902 | 95.5324 -117.779
-25.1895 -43.3325 | 0.82527 -2.15141 | 85.6491 53.2245
-24.7038 -43.2014 | 0.596539 -1.39793 | 39.6396 224.219
-24.2206 -43.0606 | 0.310885 -0.502097 | 17.3661 235.37
