-5.67216 11.5476 | -6.86075 2.46633 | 1762.52 -669.706
-5.18249 11.6566 | -3.07833 1.15974 | 737.612 4744.83
-4.6873 11.7415 | -1.86298 1.55784 | -2920.75 -3970.88
-4.18948 11.7925 | -1.28423 -0.895628 | 2610.85 4327.36
-3.68802 11.8152 | -0.0916827 -1.77876 | 180.572 598.188
-3.18621 11.7984 | -0.199085 -0.545614 | 947.266 -6299.62
-2.68805 11.7282 | 0.111066 -1.52156 | 962.767 -3907.39
-2.19675 11.6152 | 0.497311 -1.76251 | -4645.73 3594.9
-1.7137 11.4836 | 0.949109 0.946241 | -447.069 3106.5
-1.23419 11.3462 | 2.45836 1.93281 | -2522.54 768.215
-0.758522 11.2055 | 1.3741 0.870214 | -4025.34 4630.93
-0.287338 11.0636 | -0.0428242 1.36036 | -1340.08 -6606.87
0.179984 10.9087 | 0.530265 -0.319152 | 993.825 -1130.6
0.650719 10.756 | 0.86946 -1.27242 | 12525.6 -2064.09
1.13715 10.6219 | 0.323827 -0.51699 | 8679.13 5790.7
1.63713 10.5206 | -0.260087 -2.67438 | -8707.45 -2698.59
2.13559 10.4387 | 0.30678 -3.54122 | -5228.32 -3812.84
2.63329 10.3775 | 0.48698 -1.3601 | 2888.65 7282.34
3.13599 10.3559 | -1.20781 2.68172 | 6967.19 -716.942
3.64406 10.3639 | -1.3383 2.06023 | -416.834 -6049.72
4.15095 10.3949 | -1.87531 0.989596 | -5415.89 3093.94
4.6497 10.4662 | -0.914178 -0.154312 | -2192.43 121.146
5.13729 10.5821 | 1.70029 -1.89525 | -3750.9 200.626
5.60839 10.744 | 1.31267 -0.876446 | -1891.63 1637.44
6.0615 10.9486 | 1.66341 -0.641174 | 3443.08 -4040.63
6.50061 11.1833 | 1.79706 -1.62773 | 791.667 -1479.98
6.91992 11.4525 | 0.731925 -5.20903 | -3039.54 11111.2
7.31135 11.765 | 0.775599 -3.61781 | 1966.87 -5738.51
7.68944 12.0919 | 1.76486 -0.947694 | 564.166 -3810.36
8.05987 12.4253 | 2.40573 -0.717219 | -1463.84 4214.77
8.42215 12.7685 | 1.35218 -0.312033 | 1592.73 -5651.55
8.78418 13.1098 | -1.01649 1.20828 | 2495.58 370.576
9.1434 13.4558 | -1.7678 0.488098 | -5580.87 6100.64
9.49059 13.8146 | -2.01497 -0.255266 | 3649.43 -3890.09
9.84063 14.1711 | 1.03273 1.51024 | 3243.5 1590.32
10.1949 14.5268 | 3.9913 1.6058 | -3662.08 3058.15
10.5488 14.8839 | 3.40488 -1.16673 | 7901.66 1420.5
10.914 15.2342 | 2.28477 0.0358119 | -8046.3 -5212.9
11.2801 15.5726 | 2.0291 0.517154 | -12847.6 -6797
11.6465 15.8952 | 1.44094 -0.0297718 | 4587.46 1248.36
12.0321 16.197 | 0.761078 -0.572027 | 4152.75 951.957
12.4395 16.4733 | 0.479837 -1.91411 | -4144.23 611.502
12.861 16.7238 | 0.741503 -0.441954 | -1711.19 -964.635
13.2975 16.9443 | -0.816754 -0.313518 | 679.152 1316.6
13.7497 17.1342 | -0.962775 -0.896429 | 6893.54 2183.51
14.2193 17.2927 | 0.33922 1.92249 | -950.141 3032.92
14.699 17.4206 | -1.11466 4.69592 | -443.595 -3464.91
15.1875 17.5091 | -0.640975 1.48271 | 4669.68 1675.11
15.6847 17.5651 | -0.390095 2.14847 | 4507.47 -1919.68
16.1876 17.5919 | 0.199034 3.54693 | -2240.18 1672.87
16.6899 17.6023 | 0.577214 2.39956 | -3663.99 4793.48
17.1905 17.6031 | -0.495291 2.24435 | 6001.76 -6394.81
17.6952 17.5814 | 1.59228 6.5399 | 5960.01 4003.15
18.2039 17.5496 | 1.06259 3.25064 | -1245.84 -166.627
18.7117 17.5028 | -1.98821 2.15673 | 1023.35 -4637.71
19.2182 17.4367 | -1.99983 3.37269 | -535.35 1148.47
19.723 17.3636 | -0.922742 0.713517 | -2899.39 1744.38
20.2258 17.2915 | 0.885854 0.484444 | 1459.43 629.52
20.7286 17.2229 | 0.223154 0.26728 | -7237.44 891.934
21.2262 17.1582 | -1.74945 -0.572685 | -4175.56 5145.12
21.7201 17.0976 | -1.52235 0.834711 | -1995.62 -9821.41
22.2113 17.0224 | -0.0457667 3.80494 | 3193.83 -364.828
22.7062 16.9541 | 0.553218 1.08205 | 6496.05 5306.14
23.2089 16.9141 | -0.657803 1.96967 | 1569.45 -1230.8
23.7144 16.9006 | -2.04054 3.1261 | -3205.11 -2051.53
24.2171 16.9173 | 0.973953 -0.0119051 | -7216.21 7563.33
24.7124 16.976 | 1.20346 0.52549 | 3758.92 -1685.42
25.2072 17.057 | -1.52708 3.39096 | 9461.5 -3268.98
25.7066 17.1493 | -0.921715 0.975243 | -24.1121 902.312
26.2026 17.2593 | 0.134974 -0.0654195 | -7044.8 970.386
26.6881 17.3894 | 0.153904 1.81078 | -6313.92 -6399.85
27.1629 17.5329 | -0.918929 0.232083 | -3899.67 483.538
27.627 17.701 | 0.560668 -0.926574 | 6547.36 7508.55
28.0858 17.8988 | 0.471406 0.0677609 | 4015.66 -1091.47
28.542 18.1094 | -2.14711 0.0535519 | -187.602 -4085.56
28.995 18.325 | -1.68425 0.717281 | 249.475 1579.3
29.4419 18.5521 | -0.193532 0.164358 | -7427.22 -2002.51
29.8775 18.7891 | 1.05492 -0.353327 | -1360.7 -1300.73
30.3074 19.032 | 2.15336 -1.30633 | -178.527 30.0633
30.7357 19.2778 | 0.779676 1.61974 | 3477.61 329.989
31.1678 19.523 | 1.4742 4.20544 | 4783.86 7906.93
31.6055 19.7687 | 1.23558 3.72192 | -1157.12 -9472.57
32.0499 19.9944 | 0.772966 0.270425 | -6307.02 -2636.22
32.4944 20.2099 | 2.06963 -0.374656 | 1254.3 5048.82
32.9404 20.4277 | 2.75335 -0.182141 | 7362.46 -870.843
33.393 20.644 | 4.26592 -0.997612 | 5268.16 2855.73
33.8467 20.8678 | 1.35547 -0.449515 | -10282.4 8664.7
34.291 21.1044 | -0.1273 -0.192174 | 5237.18 -7921.72
34.7464 21.3204 | 1.097 -1.56741 | 3519.88 394.312
35.2138 21.5142 | -1.16417 -1.3413 | -5799.65 3848.19
35.6876 21.6854 | -2.00521 1.73947 | 4493.5 -3558.6
36.1761 21.8138 | -0.660309 1.26429 | -2793.48 -1671.46
36.6729 21.894 | -0.552268 1.64863 | -427.565 -3701.04
37.1752 21.9246 | 0.413854 2.22718 | 6186.43 6682.25
37.6824 21.9184 | -0.382927 -1.72362 | -2617.71 -1965.89
38.1846 21.8612 | -1.02523 0.433064 | -6880.84 -13514.9
38.6732 21.7464 | -1.03513 -0.450699 | -817.402 9171.97
39.1565 21.6224 | -2.09537 -4.50875 | 456.989 12379.7
39.6392 21.5033 | 0.453197 -1.69898 | 744.266 -6977.3
40.1155 21.3559 | -0.793297 -3.01799 | 361.127 -2107.09


7.9119 -45.9242 | -5.16757 3.38075 | 3480.44 5194.84
8.41432 -45.947 | -6.56232 0.658915 | -559.479 -7905.53
8.9165 -45.9536 | -5.94103 -1.2779 | -4264.3 -1133.6
9.41522 -45.9337 | -4.875 -0.779089 | 75.2508 4708.52
9.91017 -45.8735 | -5.20421 -0.897512 | -1868.68 694.225
10.3982 -45.7789 | -4.41301 -2.53653 | -685.029 -4164.45
10.8792 -45.661 | -2.31222 -0.899353 | -4431.95 577.984
11.3495 -45.5169 | -1.76933 1.36875 | -3391.93 -2336.98
11.8107 -45.3515 | -1.43257 -0.377231 | 8479.57 7652.11
12.2718 -45.1641 | -1.42881 -2.10508 | 9229.13 -4255.2
