-4.61057 12.4943 | 3.31514 3.07073 | 4595.37 -3630
-4.10565 12.4847 | 3.03985 4.26685 | 4637.33 7121.08
-3.59969 12.4581 | 3.53733 -0.273052 | -10311.1 -1086.3
-3.10387 12.4027 | 1.23908 -0.782045 | -8752.59 -4035.71
-2.61967 12.3137 | 0.316379 0.112822 | 2611.54 6714.37
-2.1387 12.2072 | 0.0389318 1.20881 | 5659.47 -3030.44
-1.66101 12.0735 | 1.96198 -0.714408 | -7247.06 -2872.11
-1.19552 11.9129 | 4.52776 -0.876229 | -389.441 5649.83
-0.734844 11.7432 | 2.05167 0.61488 | 6880.27 1466.62
-0.27483 11.5621 | 0.205952 0.127671 | -3952.77 -6572.03
0.174683 11.3567 | 1.11135 -1.99617 | -2265.68 -43.9588
0.619851 11.142 | 1.80137 -0.124457 | 10428.1 -802.115
1.07619 10.9334 | 2.91361 1.93462 | 8179.77 -3068.94
1.54425 10.7368 | 2.03016 0.749912 | -9669.63 2073.36
2.01291 10.5614 | 2.17992 0.917545 | -12924.7 2794.82
2.48202 10.4182 | 1.13025 1.08937 | 2225.71 -2718.6
2.96354 10.3194 | -1.48127 -1.4819 | 12661.6 7515.94
3.46155 10.2841 | -0.65917 -2.42061 | -4594.18 1137.15
3.95895 10.294 | 0.0681998 -0.0370688 | -5368.98 -3688.91
4.45251 10.3243 | 1.86812 -0.240152 | 8432 -3109.23
4.95095 10.3635 | 1.87169 -1.7463 | 4516.84 -2349.33
5.45199 10.4142 | 0.580478 -3.21871 | -716.159 -5017.1
5.94864 10.4884 | 1.61735 -1.55803 | -9813.08 6469.61
6.42791 10.6162 | 1.17637 -2.76599 | -1075.88 1556.55
6.89028 10.7953 | -0.393386 -2.9354 | 10211.3 65.6206
7.34153 11.0154 | -0.759869 0.223082 | -1396.15 -487.551
7.77068 11.2749 | 0.123919 1.49274 | -6507.52 1436.4
8.17067 11.5723 | 2.32198 1.19864 | 2589.48 -3481.03
8.55186 11.8939 | -0.60745 2.80262 | 6404.27 1739.87
8.91642 12.2407 | -2.36643 1.57305 | 231.797 7167.83
9.25421 12.6186 | -0.981292 0.801795 | -6268.37 -2533
9.56405 13.0161 | -2.00133 2.21866 | 1925.07 2640.9
9.8625 13.4246 | -0.70529 3.58025 | 5925.05 -2560.83
10.1633 13.8323 | 1.9351 1.69305 | -5383.61 -3024.58
10.4588 14.2402 | 4.00042 1.73828 | 6074.83 3367.62
10.7557 14.6517 | 3.61585 2.79447 | -1417.98 1563.13
11.0449 15.0689 | 2.25594 0.629593 | -5346.98 -2517.74
11.3233 15.4892 | 2.02257 1.87899 | -504.353 -186.877
11.601 15.9093 | 1.16862 3.2167 | 4026.32 -624.799
11.8884 16.3242 | 0.613066 2.83238 | -3060.67 4828.15
12.1822 16.7351 | 1.88535 3.03615 | -4546.86 -8147.12
12.4918 17.1253 | -0.177577 2.50502 | -2150.02 -8546.15
12.8261 17.4866 | -2.6154 2.7958 | 1456.36 7155.22
13.1859 17.8283 | -1.52365 -0.278705 | 7678.36 1242.52
13.5764 18.1429 | -1.38606 -1.31786 | 798.078 942.233
13.9862 18.4326 | -2.16595 2.56817 | -12193.5 -506.859
14.4027 18.6985 | -1.56805 0.401651 | -5897.99 -3658.73
14.8353 18.9276 | -0.23639 -0.259573 | 12143 3816.42
15.2971 19.1126 | -0.40026 1.18182 | 4862.38 -2796.39
15.7804 19.2474 | -1.81477 0.946946 | 267.758 3218.5
16.2741 19.3442 | -1.9186 4.67125 | -1397.93 2702.7
16.7722 19.4043 | -2.33309 2.90631 | -6160.32 -3986.11
17.2688 19.4179 | -1.05968 0.924132 | -2153.28 -2253.71
17.7633 19.3905 | 0.0969218 1.10597 | 4762.96 3187.46
18.259 19.3385 | -2.41516 0.348082 | 2270.04 2210
18.7539 19.2651 | -2.49769 1.01556 | 233.719 -4752.43
19.2451 19.1645 | -0.722662 3.26403 | -569.535 -46.3756
19.733 19.0492 | -0.988377 2.81366 | 2387.5 4023.5
20.2212 18.9318 | -1.16577 -1.48719 | -2632.62 -1254.39
20.7066 18.8082 | 0.316112 1.34474 | 1886.23 -657.871
21.1925 18.6805 | 0.749279 -1.85611 | 3089.79 -3720.2
21.6802 18.5516 | -0.346756 -3.07605 | -6824.06 4432.5
22.1661 18.4374 | -0.45764 1.68032 | -2558.8 3664.36
22.6531 18.341 | -0.545764 1.68906 | 2797.86 -2897.54
23.1441 18.2526 | -1.38821 -0.362015 | 4149.47 -2491.21
23.6405 18.1722 | 0.881626 -1.25841 | 5741.43 2198.67
24.1422 18.1065 | 2.30704 -0.808912 | -8713.9 -2011
24.6391 18.0517 | 2.1545 -1.9325 | -7921.85 -32.8539
25.1313 18.0137 | 3.21123 -0.846811 | 2659.47 3096.57
25.6248 18.0006 | 1.92475 -1.39733 | -4367.43 -80.3064
26.1151 18.0063 | 0.230496 -1.904 | -3319.41 -2715.81
26.6026 18.0232 | -1.32675 -0.125634 | 2905.36 1226.55
27.0911 18.053 | -1.08319 0.695702 | 397.565 -1336.2
27.5798 18.0916 | 0.272382 0.934519 | 3259.48 -3905.16
28.07 18.1389 | -1.98665 -0.233392 | -273.728 3232.17
28.5575 18.2102 | -3.47019 -1.38814 | -3387.6 -1492.76
29.0391 18.3053 | -2.81433 -2.10432 | 5041.15 1811.38
29.519 18.4272 | -1.25466 -1.57194 | 6470.87 400.28
29.9979 18.5733 | -0.0576918 -2.84447 | 2529.62 3302.48
30.472 18.7448 | -0.533841 -3.73065 | 1725.86 1947.85
30.9418 18.9341 | -1.36321 1.14867 | 2139.08 -2022.8
31.4095 19.1293 | -2.03634 4.20144 | -5747.92 -3927.6
31.871 19.3273 | -1.49423 1.68326 | -1678.17 1221.67
32.3277 19.5335 | -1.36001 1.92822 | 4893.36 -125.698
32.7835 19.7467 | -2.56924 2.15957 | -6498.87 4595.98
33.2313 19.9701 | -2.10656 -0.48769 | -2718.13 -7981.15
33.6794 20.1837 | -1.77229 0.479449 | 5652.67 -2608.14
34.1319 20.3924 | -0.351252 2.4164 | -904.09 5428.49
34.5786 20.6157 | 2.13536 1.26809 | -3556.94 6048.8
35.0174 20.8535 | 2.30516 -0.1718 | 932.324 -7570.88
35.4588 21.0815 | 1.26841 0.454081 | -6987.44 1923.56
35.9003 21.3011 | 0.617835 -1.41061 | 2453.06 -534.613
36.3536 21.5002 | 1.52154 -4.39547 | 11714.3 -825.437
36.8258 21.6718 | 1.82309 -1.78306 | -1067.57 1676.33
37.304 21.8244 | 1.16004 -0.0366533 | -13338.3 732.262
37.7789 21.9608 | -1.31632 1.49954 | 5396.2 -1751.44
38.2637 22.0721 | -3.3146 3.20074 | 12415.5 4353.89
38.7618 22.1598 | -1.74529 0.0178459 | -7324.72 -4284.16
39.2594 22.2157 | 0.112809 0.489006 | -9888.88 3707.99
39.752 22.2466 | 0.408087 0.527831 | 8419.74 -2446.95


6.3718 -44.7656 | -0.0653813 1.11836 | -3444.84 -427.515
6.83808 -44.9381 | 0.13486 -0.422533 | 3007.28 4909.66
7.31872 -45.0694 | 1.118 0.661037 | -2162.59 -9896.2
7.80627 -45.1752 | 1.6013 2.63887 | 3056.23 3774.51
8.30384 -45.2331 | 0.130267 0.287855 | 5053.05 8141.92
8.80848 -45.2377 | -0.395671 -1.71113 | 1505.07 -8589.7
9.31367 -45.2169 | -0.198196 1.96135 | -5323.84 452.139
9.81235 -45.1645 | -0.390385 2.34697 | -5079.87 4229.5
10.3016 -45.0771 | -1.7019 1.08089 | -5495.41 -3703.49
10.7823 -44.9713 | -3.29255 0.229916 | -507.819 -901.405
11.2601 -44.8536 | -1.26001 0.878312 | 10262.3 -3112.98
11.7423 -44.7273 | 1.70174 0.326261 | 1615.8 4200.64
12.2206 -44.5775 | 1.24936 -0.336746 | -2237.62 3147.71
12.6902 -44.4039 | 1.21661 -1.63126 | -2325.15 1286.56
13.1539 -44.2187 | 0.714514 -1.33181 | -811.123 -6116.55
13.6192 -44.0415 | 0.192906 0.82271 | 6572.78 1426.06
14.0912 -43.8693 | 0.539699 0.521687 | 769.905 7481.49
14.5663 -43.6984 | 0.833364 -0.0590288 | -4203.48 -2460.08
15.0459 -43.5515 | 0.0277382 1.44341 | -492.026 -8463.99
15.5344 -43.4465 | -2.24642 -0.486204 | 2310.79 4088.3
16.0302 -43.3691 | -3.8545 0.273814 | 1053.59 3567.6
16.5312 -43.3199 | -2.93792 1.06076 | 2093.09 -4706.55
17.036 -43.313 | -2.57531 -0.547077 | 343.081 -2673.49
17.5406 -43.3441 | -1.60984 -0.471839 | -221.725 2169.29
