49.0732 -85.6519 | -6.02356 -2.18967 | -27818.9 -190.637
49.5143 -85.4636 | 5.47663 5.71688 | 45956.2 -8610.63
49.9817 -85.2786 | -0.674815 1.67465 | -36823.5 -518.944
50.4112 -85.0553 | 1.62508 -1.81145 | 1189.14 8804.83
50.8165 -84.7872 | 4.67635 0.546369 | 17133.8 -12141.2
51.2176 -84.5024 | -2.89978 1.53832 | -11117.5 19070.1
51.5865 -84.1693 | 1.01075 2.80777 | 31669.6 -6164.34
51.9574 -83.8216 | -3.17355 2.17788 | -36881.6 3542.85
52.2725 -83.4394 | 1.66254 -3.9565 | 13243.8 -9056.25
52.5862 -83.055 | -3.90037 -3.2596 | 10272.8 19383.6
52.9041 -82.6581 | -0.888365 5.39181 | -9473.9 -20284.6
53.2233 -82.2775 | 0.380072 2.56518 | 21761.2 -6432.34
53.5506 -81.8976 | -5.34123 3.51339 | -26816.2 26418.4
53.8137 -81.4674 | -1.3601 9.40675 | 5421.21 -23755.9
54.0527 -81.0332 | -1.12499 2.08018 | 161.925 28115.4
54.2709 -80.573 | 2.1254 -8.27279 | 9557.25 -23217.4
54.4964 -80.1277 | -5.27262 2.67487 | -6710.73 -8307.52
54.7022 -79.6823 | -10.2817 2.81667 | -17422.7 13034.4
54.8736 -79.22 | -0.878355 -2.62455 | 25209.5 -10992.3
55.072 -78.7673 | -3.48535 3.91396 | 1380.08 10608.3
55.2583 -78.3018 | -1.68297 -0.158465 | -19343.2 12105.5
55.3997 -77.8167 | -2.81257 -1.86515 | 7331.1 -11430.3
55.5446 -77.3382 | -0.0714643 -2.54497 | 2899.65 -2352.3
55.7053 -76.8677 | 4.56858 -6.06594 | -16388.9 -5735.41
55.8786 -76.4083 | -1.96016 4.71427 | 33772.3 7480.49
56.1169 -75.9653 | 2.93793 7.59437 | -25572.4 1292.2
56.3561 -75.5288 | -1.49338 1.77551 | 3719.45 -5239.91
56.6233 -75.1116 | 1.68469 -1.85321 | -8482.86 8295.04
