47.3985 -83.2374 | 3.47352 4.18749 | 14682 3782.19
47.9106 -83.2306 | 2.251 0.931551 | -16053.1 -4306.17
48.4121 -83.2083 | 0.974355 2.98085 | 10864 1051.82
48.9161 -83.1658 | 4.61674 0.210374 | -13675.4 -13869.1
49.4073 -83.1018 | 5.6301 4.95123 | -9364.5 16443.5
49.8794 -82.9655 | -1.46704 1.21465 | 15601.7 11386.4
50.3466 -82.779 | -5.33713 1.30613 | 1464.83 -21980.4
50.811 -82.5952 | 0.858116 3.21759 | -7697.2 -411.635
51.2574 -82.3854 | 4.73878 -1.05007 | -9150.69 405.864
51.6759 -82.1324 | 3.11178 0.507435 | 18110.6 15976.9
52.0786 -81.8318 | 0.0262409 -0.466342 | -6747.75 -18839.6
52.4528 -81.5149 | -1.8557 4.18159 | -18506.8 -17785.9
52.7772 -81.1705 | -2.21162 5.66416 | 747.949 29799.9
53.0587 -80.7702 | -0.743806 2.8005 | 32964.3 -1842.22
53.3512 -80.3584 | -4.51931 3.34525 | 293.073 9702.21
53.6159 -79.9193 | 2.63381 0.544449 | -21811.3 13058.7
53.8266 -79.4521 | 6.28282 0.316868 | 15624.9 -33387.6
54.0409 -79.0045 | -3.14397 3.38306 | -16841.9 152.219
54.2272 -78.5493 | 5.69057 0.00751217 | 13865.2 25903.8
54.4154 -78.0758 | 3.54682 0.623244 | -6761 -13237.2
54.6062 -77.6113 | 2.59368 -0.656682 | 16304.7 -7285.43
54.8167 -77.1581 | -2.87374 1.81594 | -26275.2 3932.17
54.9952 -76.6971 | 1.69608 -3.3753 | 11176.5 -12414.7
55.187 -76.245 | 2.22147 -0.218556 | 9644 20121.9
55.387 -75.7815 | 0.146689 -3.3074 | -28599.4 8641.65
55.5736 -75.3146 | -1.12046 -3.77126 | 29694.5 -32511.9
55.8328 -74.8976 | 0.167887 0.31009 | -22461.1 504.639
56.1072 -74.496 | -4.29937 -1.9712 | 22513.4 35241.1
56.4203 -74.0897 | 1.12905 2.96003 | -3746.34 -3966.12
56.7668 -73.715 | 4.53333 4.71588 | -9413.68 -33417.8
57.1474 -73.4026 | 3.72754 -2.91585 | -2359.37 40652.5
57.5503 -73.0984 | -1.01 -2.51471 | 25448.7 -27828.3
58.0102 -72.8814 | -6.34088 -0.0999908 | -32233.7 -6783.72
58.4716 -72.7147 | 0.133877 -5.36481 | 16582.7 19071.2
58.948 -72.558 | 0.853566 -2.41149 | -4586.92 -9978.17
59.4286 -72.4328 | -0.0724499 1.17732 | -18109.1 5562.48
59.9016 -72.3235 | -3.67801 12.9563 | 8568.43 -6628.68
60.3838 -72.247 | 1.64536 1.16616 | -4493.77 3517.36
60.8682 -72.1878 | -4.10109 -4.52174 | 16059.7 -5655.56
61.3649 -72.1428 | -2.05078 -3.41468 | 4683.9 13766
61.8647 -72.0804 | -6.83531 3.06616 | -9726.19 -9864.48
62.3589 -72.0208 | 1.00224 6.16215 | 1070.4 5772.14
62.8537 -71.9472 | 4.18997 7.90149 | 19780.2 10100.4
63.3608 -71.8651 | -4.48211 -2.683 | -10718 -16694.5
63.8652 -71.8114 | -5.83017 -3.91662 | -2031.7 1727.75
64.3688 -71.7615 | -3.03753 0.718692 | 8647.63 3193.55
64.8782 -71.6987 | -1.65165 -6.35548 | 17659.9 2125.8
65.3928 -71.6147 | 0.963691 -1.57797 | -44004.4 -11587.9
65.8724 -71.5037 | -2.29128 0.751462 | 586.736 21276.5
66.3368 -71.3354 | 0.818347 -2.69475 | 22480.8 -8365.92
66.8118 -71.1646 | 2.92643 3.76817 | -24340 -9380.34
67.276 -70.9981 | 0.999635 -7.08929 | 40800.1 4624.44
67.7623 -70.8204 | -2.27209 -2.38292 | -6830.72 18355
68.2302 -70.6015 | 3.09001 1.75814 | -47096.4 -32003.3
68.6607 -70.3857 | -0.95373 0.0552843 | 27233 11882.9
69.0989 -70.1488 | -2.86268 -0.830064 | 18808 7355.15
69.5386 -69.8824 | -1.39784 2.30629 | -7655.18 4062.57
69.9518 -69.5773 | -0.61412 -2.47013 | 5333.89 -3696.43
70.3365 -69.2406 | -0.501375 -3.27929 | -32800.2 -3341.95
70.6603 -68.8694 | -0.48761 -2.01048 | 13243.2 -24589.9
70.9714 -68.4989 | 0.655979 2.83054 | 406.429 11908
71.2424 -68.0917 | 1.53944 -0.0257839 | -11523.3 9559.33
71.4605 -67.6471 | -2.26553 1.09398 | 31393.3 11874
71.6756 -67.1815 | 5.1081 -5.48396 | -14368.6 15550.8
71.8439 -66.6938 | -2.79372 -0.0253426 | -5090.41 -52400.8
71.981 -66.2332 | 3.39462 7.29486 | -11306.1 -6925.22
72.0807 -65.7733 | -0.411904 1.75751 | 22363 15078.8
72.1779 -65.2993 | -2.9866 -3.28106 | -16601.3 22154
72.2301 -64.8042 | 2.39027 -1.97218 | 3768.62 -16305.3
72.2738 -64.3149 | -4.41139 -1.17865 | 3200.29 12777.1
72.3286 -63.8186 | -0.179096 3.23249 | -438.974 3534.77
72.4042 -63.322 | -5.24196 4.86856 | 7882.65 -2055.16
72.5132 -62.8345 | 1.15331 -1.92167 | -12938.3 -23164.6
72.6344 -62.3686 | -4.36038 -2.66183 | -2688.44 -5689.08
72.7792 -61.9144 | -1.05207 -1.81642 | 9377 17852.9
72.9606 -61.4573 | 1.8478 -4.72556 | 6679.12 18000.2
73.1712 -60.9958 | 6.55773 -0.93221 | -219.14 -2991.51
73.3998 -60.5434 | 1.37905 -5.56697 | -8789.53 -6555.07
73.6355 -60.1014 | -3.58159 -0.697715 | 4954.84 5141.52
73.8917 -59.6662 | 2.83998 1.73028 | -90.2842 6475.26
74.17 -59.2412 | -2.66289 4.53984 | -3867.92 -13058.9
74.4776 -58.8474 | 2.60431 6.08605 | -4421.43 5981.54
74.8169 -58.4813 | 0.75819 3.38038 | 13314.6 -11901.3
75.2051 -58.1664 | 0.158833 0.26765 | -14998.2 11675.9
75.6084 -57.8744 | 4.12966 5.32021 | 14583.2 -5450.27
76.0466 -57.6274 | 5.46521 -3.84171 | -11704.9 113.494
76.4975 -57.4142 | 0.242892 -2.52675 | 18732.1 3720.16
76.9725 -57.2308 | 5.79101 5.84907 | -14358.7 -5911.22
77.4466 -57.0716 | 1.42609 1.88724 | -4264.97 1849.16
77.9204 -56.9187 | -2.40851 -1.01232 | 14494.1 15882.3
78.4031 -56.7645 | -1.87599 2.18923 | -29696.9 -22613.5
78.8791 -56.6539 | -1.01119 -4.08919 | 33966.6 9930.26
79.3809 -56.5594 | -1.07713 4.02089 | 10219.4 -2164.97
79.8923 -56.4758 | 4.44277 3.84314 | -29364.5 4014.08
80.3864 -56.3839 | 1.3231 0.150372 | 23138.2 -5094.86
80.8924 -56.2905 | -3.85268 1.65367 | 1419.84 12517.4
81.3933 -56.1738 | -0.0991332 1.37641 | -41185.6 -17291
81.8659 -56.0596 | 3.57972 5.62408 | 15970.6 4139.82
82.3414 -55.9315 | 1.22514 4.46394 | -1152.73 546.574
82.8117 -55.7838 | -1.59104 5.12281 | 6758.59 1799.64


-8.63182 17.8745 | 2.16561 -0.856662 | -3302.82 1546.79
-8.15775 18.0281 | 1.66746 1.1299 | 6436.4 -4668.72
-7.66732 18.137 | 3.81026 -0.0703892 | 6165.28 5517.89
-7.16679 18.2149 | 1.38288 0.0189821 | -11816.6 -8559.74
-6.6699 18.2571 | -0.24897 1.02437 | -680.186 7008.62
-6.17265 18.2899 | -0.513008 2.56025 | 10325.8 5832.08
-5.66823 18.3113 | -0.709333 0.271434 | -4299.77 -2455.34
-5.16664 18.2978 | -0.0408771 -2.42836 | -8526.32 -597.753
-4.67509 18.2361 | -2.74885 -1.2245 | -137.903 -9429.99
-4.19254 18.1182 | -1.28388 0.471277 | 9761.15 4872.37
-3.71005 17.9745 | 1.9579 1.05791 | 4320.38 -3531.01
-3.22999 17.8086 | 1.17258 -0.472964 | -3834.79 -470.445
-2.75459 17.6325 | 1.64517 -0.988446 | 8301.29 5515.68
-2.27375 17.4606 | 0.686208 -0.130302 | 352.504 2400.16
-1.7965 17.2806 | -0.386597 -1.40826 | -9047 -7773.82
-1.33552 17.0707 | 0.800347 -2.03289 | 1178.72 -4208.17
-0.88071 16.8435 | -0.36422 -2.68226 | 4778.06 6785
-0.420432 16.624 | -1.69559 -1.43365 | 2259.87 -6611.33
0.0433919 16.4078 | -1.84337 -1.03047 | -10907.5 10584.7
0.505679 16.2141 | -1.70162 0.492152 | -10700.7 70.3979
0.966324 16.0368 | -2.24369 -1.43271 | 7930.35 -1481.67
1.43936 15.881 | -4.66024 -3.64312 | 3605.47 6678.73
1.92281 15.7514 | -2.90313 0.347967 | 3476.74 -11156.1
2.41102 15.622 | -2.77622 -0.859016 | -431.25 -6053.1
2.9029 15.5059 | -3.44846 -0.634323 | -9140.2 12295.1
3.39681 15.4402 | -3.21156 0.752256 | 6498.94 2540.64
3.89741 15.4184 | -2.43573 2.93049 | -2478.46 -8325.09
4.39635 15.422 | -2.1707 3.7011 | -8190.58 -2076.7
4.88707 15.4647 | -2.80491 1.88074 | -2046.35 5385.22
5.36804 15.5647 | -3.8081 0.336746 | 6163.19 368.23
5.8408 15.7142 | -1.75572 -1.76367 | 3452.08 3127.26
6.30206 15.9054 | -1.3881 -1.0064 | -3839.94 -1811.91
6.74999 16.1214 | -1.26564 0.407538 | 3155.19 -7043.04
7.1931 16.3493 | 0.352552 2.28836 | 12751.3 6972.55
7.63079 16.6055 | 1.29895 0.225974 | -11095.9 2644.13
8.04185 16.8954 | 1.38261 -1.12996 | -3153.4 169.862
8.43544 17.2058 | 2.72001 -1.07856 | 4678.12 387.015
8.82872 17.5197 | 1.19892 -1.33905 | 145.564 -5756.2
9.22683 17.8238 | 1.6372 -0.996381 | -1481.17 2074.46
9.62742 18.122 | 2.6123 1.10468 | -8673.37 -6876.25
10.0287 18.406 | 4.70926 -0.399764 | 1102.69 -2131.19
10.4381 18.6771 | 2.13057 -1.10183 | 3914.7 8049
10.8555 18.9444 | -1.83929 2.72373 | -3256.6 -4709.33
11.2805 19.1955 | -1.63191 3.56893 | 4354.73 6129.96
11.7179 19.4332 | -0.686422 1.09166 | 2205.43 -3296.74
12.1687 19.6444 | -2.91486 -1.25864 | -8827.13 -2892.85
12.6237 19.8305 | -3.70006 -2.15756 | -913.817 7556.71
13.0862 19.9959 | -2.66896 0.520766 | -3947.55 -7222.91
13.5591 20.1154 | -1.61628 -0.209115 | 4846.46 -154.262
14.045 20.1929 | -2.79285 -1.77289 | 11483.2 12235.3
14.5448 20.2395 | -3.51453 0.233752 | 3145.36 -12851.5
15.05 20.2243 | -1.93416 2.45883 | 1813.51 1891.48
15.5536 20.1676 | -2.11379 3.48936 | -5931.87 5157.06
16.0484 20.0815 | -5.24845 2.2488 | -3508.74 -2630.76
16.5336 19.9595 | -5.64224 3.15874 | 7224.79 -3423.26
17.015 19.8073 | -2.81522 1.65934 | -2643.59 5654.3
17.4878 19.6387 | -2.16131 -0.789104 | -7475.52 -257.636
17.9478 19.4494 | -1.33924 3.14871 | 5420.65 -745.742
18.4041 19.2424 | -0.791068 1.07582 | 7436.85 -1109.06
18.8575 19.018 | 1.46168 -0.936299 | -6046.62 -3626.74
19.2964 18.773 | 1.70506 1.0719 | -11469.7 5663.68
19.7224 18.5246 | -1.88399 -1.03715 | 374.841 1052.7
20.1508 18.2859 | -2.15117 -1.32919 | -2144.06 9002.46
20.5862 18.0701 | 0.273398 0.0123873 | -3905.55 -3326.37
21.0238 17.8614 | -0.225615 -1.67833 | 9659.97 2633.53
21.4702 17.6584 | 0.307535 0.210873 | 152.808 -10843.5
21.9131 17.439 | 1.63269 -0.333822 | -7104.72 -6908.51
22.3539 17.2187 | -0.190473 -1.47065 | 8143.4 14455.3
22.8163 17.0432 | 0.452485 2.61688 | 7543.53 -206.727
23.295 16.8964 | -1.06678 1.87064 | 1773.44 -10874.7
23.7792 16.7534 | -1.27082 1.17643 | -1854.05 8398.83
24.2671 16.6274 | -1.71431 -1.07645 | 7634.54 -10559.7
24.7616 16.4992 | -2.31248 -1.65107 | 2343.01 -2693.28
25.2616 16.3846 | -3.16686 -1.33606 | -7167.1 8553.51
25.7634 16.3087 | -3.13818 -1.40655 | 185.109 -2100.52
26.2682 16.2688 | -2.1894 -0.311057 | -1063.88 -53.2369
26.7729 16.2726 | -1.19566 -2.29401 | -5580.03 2810.68
27.2696 16.3292 | -1.15212 -2.23696 | -4040.58 -5795.53
27.7541 16.4347 | 0.434737 -0.647193 | -1570.51 7758.37
28.2213 16.6042 | 2.27759 2.89002 | 9757.04 6618.62
28.6777 16.8209 | 0.481979 4.43221 | 174.436 -5226.7
29.125 17.0553 | 1.16746 4.36934 | -1473.93 -5225.57
29.5651 17.2984 | 1.19146 3.4488 | 548.296 6604.9
29.9986 17.5583 | -0.258917 1.01982 | 4498.5 607.823
30.4329 17.8227 | 0.95628 1.08708 | 1663.66 -5129.02
30.8687 18.0829 | 1.56422 1.79562 | -4945.83 -4517.19
31.297 18.3478 | -1.55796 1.96573 | 2472.74 7078.91
31.7141 18.6364 | -3.27162 0.33507 | 1116.37 5992.65
32.1179 18.9474 | -2.44695 -1.03901 | -6113.47 -8291.12
32.5094 19.2636 | -0.618013 -0.8917 | -2653.1 888.317
32.8938 19.5854 | -3.36333 0.168427 | 3538.03 -2655.4
33.281 19.905 | -3.54114 -1.08606 | 89.3631 4923.35
33.6692 20.2276 | -0.291758 -2.17512 | 3007.52 763.481
34.0643 20.5453 | -2.14511 -1.37483 | -2095.21 -1613.31
