-3.15057 11.9023 | 2.54022 4.93406 | 4817.54 -2915.22
-2.64679 11.9013 | 0.340571 2.61765 | -4107.72 7998.35
-2.14732 11.8843 | 1.8364 1.16856 | -8732.66 -4031.43
-1.65697 11.835 | 2.25903 1.18275 | -4603.72 -3384.71
-1.1736 11.7563 | -0.627927 -0.342372 | 7409.59 7797.69
-0.687454 11.6684 | -3.31312 -2.727 | 7477.09 -3795.53
-0.200843 11.5576 | -4.75048 -2.75413 | -8016.65 -97.994
0.273859 11.4226 | -2.72627 1.05619 | -9734.95 96.166
0.735614 11.2689 | -2.56015 1.44989 | 738.2 -2178.42
1.19715 11.1111 | -2.76738 -0.928049 | 12425.5 3359.82
1.67249 10.9715 | 0.489604 0.761954 | 1837.19 362.37
2.15417 10.8485 | 1.49186 0.0665454 | -8892.29 -3204.71
2.63368 10.7365 | 0.00966876 0.134469 | 2685.6 -1685.91
3.11941 10.6462 | -0.790808 0.135247 | 5448.35 6573.43
3.61376 10.593 | 1.55462 -1.24489 | -1664.07 -7288.18
4.1093 10.5623 | 3.79185 0.851328 | -5122.43 -140.039
4.60207 10.5673 | 3.06508 1.68553 | -552.286 1125.01
5.09206 10.6202 | 0.71805 0.400407 | 9051.78 2684.74
5.58038 10.7254 | -0.904587 -0.772078 | 3673.65 -1350.11
6.05834 10.8787 | 1.0886 -2.09754 | -11049.7 4196.18
6.51181 11.0818 | 2.92365 -0.326978 | 3289.23 -2810.08
6.95372 11.3118 | 2.35527 1.41665 | 7685.25 179.413
7.39146 11.5602 | 3.18948 0.00123165 | 860.714 3147.87
7.82025 11.8271 | 3.57039 -0.827804 | -6365.95 -905.38
8.23848 12.1032 | 2.24706 0.105454 | 2925.19 -5113.83
8.65857 12.3755 | 1.26851 -0.223707 | 2092.57 2695.34
9.07976 12.6499 | -0.239342 0.485775 | -2027.41 -786.133
9.49956 12.9253 | -0.0339209 -0.343779 | 5583.58 -1724.62
9.9217 13.2024 | 0.838157 -0.897519 | 28.3236 5262.28
10.3364 13.4938 | 2.38756 2.35303 | -6597.38 -310.186
10.7396 13.7955 | 2.22388 3.18134 | 5249.69 -5064.78
11.1432 14.0974 | 2.45864 -0.757848 | 1305.75 699.564
11.5395 14.4107 | 1.34346 1.21604 | -3536.54 8708.31
11.9189 14.7469 | 1.32038 0.588576 | -1835.45 -3544.96
12.2909 15.088 | -0.473509 -0.448407 | -812.83 345.82
12.6654 15.4254 | 0.889773 -1.85484 | 3101.36 -1683.22
13.0538 15.7465 | 4.49029 -3.81969 | -1470.96 -8202.97
13.4543 16.045 | 4.06292 -1.96637 | -5411.41 2780.79
13.8569 16.3359 | 0.0880288 1.22165 | -2998.23 -439.479
14.2644 16.6175 | -1.28252 0.785161 | 8057.6 1110.88
14.6868 16.8866 | -0.504925 -0.185 | 6710.71 3717.27
15.1202 17.1481 | -1.20624 -0.15769 | -8513.69 1177.21
15.5519 17.4042 | -0.00936593 1.36243 | -5376.89 -416.352
15.9886 17.6445 | -0.765969 4.9836 | 6582.9 -4015.26
16.4444 17.8523 | -0.824307 3.95415 | 2614.9 -579.348
16.9146 18.0314 | -0.0174052 -0.633968 | -305.957 8306.4
17.3931 18.1918 | -0.35329 -0.389705 | -2716.25 -4225.13
17.8803 18.3127 | 1.43673 0.649812 | -1841.88 -4035.09
18.3753 18.3864 | 1.78463 0.0222528 | 5660.27 -2336.15
18.8785 18.4203 | -0.17204 1.72682 | 2213.07 3325.65
19.3848 18.4327 | 1.00938 -1.56308 | -54.9824 3046.25
19.891 18.4291 | 1.74448 -2.16929 | -7301.09 -5466.73
20.3925 18.4028 | 0.383958 -0.491991 | 7718.09 1962.44
20.8985 18.3688 | -0.672954 -1.51401 | 5875.19 -975.319
21.4079 18.333 | -0.960581 -1.3594 | -10013.3 8364.14
21.9103 18.3047 | 0.303546 -1.2012 | -7136.08 -4595.31
22.4057 18.2627 | 0.0849909 -0.667048 | -3108.43 -81.995
22.8971 18.2059 | -0.347692 0.301133 | 5994.15 -499.383
23.3908 18.1347 | -0.502054 1.42351 | 4124.88 -1695.4
23.886 18.0499 | 0.434048 1.34864 | -117.869 3723.25
24.3798 17.9566 | 3.8126 -0.187602 | -725.882 -7848.4
24.8706 17.8449 | 3.18647 -2.25186 | 875.321 -1675.43
25.3634 17.7346 | -0.937428 -2.29617 | 5752.04 4904.38
25.8645 17.6512 | -2.80532 -1.76471 | -1719.11 -2850.16
26.3682 17.5994 | -1.47341 -0.812767 | -10231.9 5873.83
26.8676 17.5971 | -0.570951 0.376144 | 5275 -1889.88
27.3678 17.6408 | -1.26055 -0.651691 | 3351.16 -1946.21
27.8631 17.7351 | -1.35028 1.4178 | -2142.28 7261.91
28.3412 17.8933 | 0.866213 0.97701 | -9060.1 2088.48
28.7951 18.099 | 2.21136 -1.2157 | 779.445 -15584.8
29.238 18.3207 | 2.47196 -0.517374 | 12261 11658.3
29.6692 18.5835 | 1.40627 0.236865 | -7348.09 1996.76
30.0721 18.8837 | -0.343069 0.6107 | -3160.68 -11191.9
30.4518 19.2036 | -1.45326 1.03811 | 3446.84 7646.73
30.8079 19.5552 | 1.52398 0.826934 | 412.708 -1422.03
31.1391 19.9307 | 4.98933 0.735857 | 329.526 -77.6946
31.4434 20.3279 | 0.681919 1.36236 | -3778.46 -1393.46
