-28.5529 88.5099 | 1.72881 3.01431 | -5707.78 5923.72
-28.1746 88.8365 | -6.54209 0.445705 | 15393.1 -9967.96
-27.7908 89.16 | -1.62578 0.935409 | -18458.1 690.624
-27.4314 89.4991 | -0.195942 5.36695 | 12405.5 -646.057
-27.0765 89.8474 | -5.6341 1.92519 | -11820.7 -625.774
-26.7456 90.21 | 0.85948 2.63872 | -2810.49 -14697.1
-26.428 90.5744 | -3.55338 5.05028 | 6900.49 25338.1
-26.1202 90.9646 | -5.82347 -0.222506 | -3916.53 -15169.1
-25.8099 91.3441 | -0.694564 -0.656743 | 3583.79 438.892
-25.4859 91.7167 | -0.646252 2.31395 | 9556.61 23798.1
-25.1434 92.0949 | -1.61204 0.662234 | 11963.2 -14348
-24.7724 92.4449 | -0.942007 -2.36499 | -19897.7 -4715.29
-24.41 92.7875 | 1.65749 -1.2642 | 3330.59 6710.08
-24.0452 93.1332 | 7.75775 1.52538 | 5868.47 4799.98
-23.6696 93.4753 | -0.0939452 3.18417 | -6434.62 6467.76
-23.2825 93.8025 | -5.1466 0.824797 | -1872.28 -13589.3
-22.8638 94.0728 | 1.61934 1.68317 | -4281.7 -13795
-22.416 94.2763 | 1.18809 4.95208 | 6266.95 14062.9
-21.948 94.449 | -0.0412443 -1.38048 | -643.437 -3855.48
-21.466 94.5838 | 0.310101 -5.50263 | 12344.9 11376.5
-20.9681 94.6916 | 2.44677 1.01756 | -8383.57 -13679.8
-20.4676 94.7466 | 2.41335 0.63338 | -3857.48 6183.14
-19.9675 94.7729 | -0.309186 -6.20238 | 5285.13 -3952.27
-19.4643 94.7687 | -1.59165 2.09142 | -5761.39 2447.79
-18.9651 94.7486 | -1.2919 -3.44632 | -2079.81 1913
-18.4671 94.7182 | 1.58334 -3.48997 | 14767.3 1181.69
-17.9617 94.6754 | -0.691925 1.82858 | -13109.7 898.685
-17.4677 94.6119 | -3.20239 -1.10367 | -15643.3 -7682.81
-16.9878 94.5203 | 3.04046 1.03377 | 20853.2 14587.6
-16.4982 94.431 | 1.62102 -1.09412 | -18631.3 -13900.3
-16.0232 94.3093 | -7.44682 1.85642 | 16926.6 13547.4
-15.5407 94.1845 | -2.37129 1.77237 | 4253.05 -13263.9
-15.0649 94.0236 | -0.489098 -1.47823 | -19267.9 12411.3
-14.6115 93.8423 | -1.23871 -2.49247 | 1043.97 -13553.7
-14.1707 93.6266 | 0.781015 -0.219146 | 3818.76 9584.97
-13.7263 93.4157 | 1.54552 -0.471234 | 9166.76 -957.411
-13.2735 93.2079 | 4.93101 -4.0152 | 199.337 -11913.6
-12.8207 92.9941 | 3.04391 -2.88601 | -16161.5 11701.3
-12.3695 92.8085 | 1.27127 -2.55386 | -546.405 4486.87
-11.9061 92.6579 | 4.20273 -0.359254 | 23857.6 -12178.6
-11.4183 92.5298 | -0.204216 -3.93951 | -2459.99 4030.98
-10.9243 92.4399 | 2.02443 1.54367 | -25376.8 4387.39
-10.4421 92.3877 | 3.28747 2.37143 | 3384.81 -7366.78
-9.95626 92.363 | 3.06013 4.06956 | 14573.6 2679.17
-9.45951 92.3823 | 5.06852 -0.650881 | 7702.65 -1116.35
-8.96183 92.4479 | -1.18458 -5.01065 | -20468.9 9782.41
-8.48529 92.565 | -2.95017 1.12244 | 5487.81 -18785.2
-8.01091 92.6896 | 1.80219 2.35991 | 5786.1 8638.14
-7.54159 92.8523 | 2.96931 -0.331045 | 4949.35 8670.7
-7.0807 93.0543 | 2.21388 1.16308 | 5772.51 -12787.7
-6.62552 93.2708 | -0.480883 -2.63258 | 231.095 3120.21
-6.19352 93.5285 | -0.269782 -2.72578 | -18369.7 5050.85
-5.80891 93.8388 | 4.97998 -1.99501 | 2482 -14979.9
-5.44942 94.1718 | 0.153084 -1.51527 | 9330.24 21591.1
-5.11245 94.5469 | -0.798535 -1.35882 | -7691.45 3882.37
-4.7914 94.9369 | 0.730393 0.341353 | 7786.28 -6336.56
-4.44486 95.3035 | -7.53537 -2.38509 | 8582.4 -10002.5
-4.06195 95.6316 | -1.18271 -3.70006 | -7272.6 3273.41
-3.66592 95.9413 | -2.01297 4.29304 | 3387.7 1233.05
-3.25525 96.2346 | 1.66062 3.12467 | -785.405 141.72
-2.83567 96.5121 | 0.720007 2.85807 | -11526.8 -8336.8
-2.41536 96.7697 | -0.206919 -2.3421 | -1068.88 -2635.28
-1.9907 97.0157 | -1.74707 1.86503 | -1858.79 12447.5
-1.5611 97.2652 | -1.52756 0.689863 | 30661.8 7636.69
-1.09819 97.4944 | -2.2454 -0.87873 | -12226.4 -7398.8
-0.628234 97.6847 | -2.56601 3.57543 | -25017.8 -13049.3
-0.163535 97.8308 | -2.54974 -4.33362 | 1903.24 8551.6
0.309037 97.9538 | 1.06113 -2.36044 | 15578.9 3649.12
0.799426 98.0434 | 1.63828 2.84314 | -9084.83 -7894.3
1.29259 98.0856 | 3.14668 -3.84414 | 12842.4 -4712.77
1.79591 98.0986 | 3.65188 1.19911 | 5311.8 26019.6
2.30363 98.1218 | 2.55367 -5.4441 | -8342.35 -19984.2
2.80608 98.093 | 0.730974 -0.0191937 | 2165.97 987.805
3.30378 98.0291 | 4.27542 4.03395 | -17130.5 17383.9
3.78477 97.9441 | 1.94289 0.0399333 | -3810.97 -22648.8
4.25124 97.7919 | -0.437593 7.35758 | 27725.6 2967.49
4.73088 97.6194 | -0.956294 -0.407601 | 13833.3 3499.9
5.21631 97.436 | 1.26001 -5.14767 | -20749.4 -10465.3
5.67891 97.2257 | 3.13704 -1.20579 | -11186.8 22500.4
6.13299 97.0288 | 2.12438 -1.86647 | 13015.2 -11456.9
6.58991 96.8161 | 2.02981 1.84149 | -83.3617 -6922.32
7.04116 96.5898 | 6.24408 -3.91293 | -18807.2 19890.9
7.48203 96.378 | 4.01069 1.65343 | 5087.53 -15753.6
7.92651 96.157 | 0.324355 -1.15242 | 21753.3 -821.929
8.39455 95.9534 | -1.81674 -7.24194 | -2686.62 7729.66
8.86954 95.7745 | -6.54404 -3.75001 | -16361.7 -1353.07
9.33552 95.6024 | -3.29777 0.700447 | -3895.69 -8999.05
