-77.314 -37.9163 | -1.14496 1.07479 | -284.006 3220.04
-76.8196 -37.9875 | 1.05432 -2.21875 | 2757.57 -2745.76
-76.3314 -38.0983 | -0.437284 0.717921 | -8057.55 -2243.55
-75.8586 -38.2468 | 0.383681 3.73326 | -3172.66 5581.49
-75.3966 -38.4163 | 0.0834841 2.74727 | 6215.4 2875.41
-74.9392 -38.6069 | -1.98614 0.788871 | 4520.44 -7824.83
-74.4925 -38.8342 | -0.748523 3.07579 | 924.278 -2148.77
-74.059 -39.0916 | 1.00066 6.2322 | 5511.34 -2399.54
-73.6343 -39.37 | 0.853331 3.80233 | -7644.93 2553.52
-73.223 -39.66 | 1.10646 1.3755 | -2876.07 -2174.88
-72.8151 -39.9526 | 1.17489 -0.363552 | 4554.83 2001.07
-72.3932 -40.2273 | 2.25974 0.8052 | 1277.41 622.74
-71.954 -40.4743 | 0.781529 1.0166 | -291.134 2297.83
-71.4985 -40.6857 | 0.193098 1.0035 | -8153.58 1595.61
-71.0334 -40.8597 | 1.33346 0.144866 | 1761.84 -870.591
-70.554 -40.9921 | 2.21707 0.146614 | 4884.56 6455.78
-70.0617 -41.0776 | 1.23498 0.517536 | -3326 -6877.33
-69.567 -41.1401 | -0.0262239 0.376823 | -1624.95 -2865.19
-69.0707 -41.1766 | -0.512027 1.9023 | 86.1532 4201.31
-68.5721 -41.173 | 0.116269 1.3446 | 10857.7 -129.831
-68.0679 -41.1328 | -3.29113 -0.260618 | -2503.18 -794.051
-67.5697 -41.0584 | -5.37865 0.192301 | -13328.2 867.307
-67.0865 -40.9502 | -4.25858 3.94019 | 6440.61 -5700.01
-66.6069 -40.8189 | -0.643627 0.502951 | 840.29 4089.65
-66.1371 -40.651 | 1.5812 -1.03412 | -2528.35 6002.06
-65.6803 -40.449 | 0.955669 1.1114 | 7915.06 -12925.3
-65.2262 -40.2386 | 3.31117 -0.840739 | -5613.18 5850.68
-64.7913 -39.9929 | 2.74824 -0.775925 | 4890.13 3580.44
-64.3752 -39.7114 | 0.0514208 -1.76874 | -5285.67 -5248.45
-63.9856 -39.4014 | 0.255846 -5.69979 | -3114.52 1360.4
-63.6235 -39.0607 | 1.78827 -5.72832 | 360.199 13165.8
-63.278 -38.6938 | 0.982925 -4.06764 | 11495.2 -9759.26
-62.9191 -38.338 | 1.13946 -2.28791 | -1330.72 -2355.95
-62.558 -37.9878 | 1.03837 0.877504 | -5497.69 -4822.85
-62.2072 -37.6349 | 0.869208 0.478007 | -2804.44 3043.46
-61.8724 -37.2667 | -0.215376 -0.276387 | 3201.24 9283.92
-61.5474 -36.8828 | -0.650293 0.368902 | -6033.92 -7309.46
-61.2248 -36.5033 | 1.89565 0.60177 | 1618.58 2629.84
