48.9383 -82.4663 | 3.36272 -1.29344 | 4592.23 661.658
49.4395 -82.4274 | 6.71172 -0.793854 | -10617.4 -4566.8
49.93 -82.3605 | -2.22884 1.62298 | 1613.7 2681.69
50.4115 -82.2509 | -2.73859 0.630165 | -11872.5 -9439.86
50.8733 -82.099 | -1.39545 -4.52906 | 19744.7 7598.05
51.3221 -81.8794 | -0.641497 -1.43401 | 643.244 17165.5
51.7342 -81.5821 | -5.12329 -0.475674 | 2084.59 -5453.89
52.1133 -81.2478 | -4.02329 1.30236 | -17831.1 -30061.2
52.4491 -80.9012 | -0.757978 -0.323555 | -5562.79 9865.12
52.7382 -80.5118 | -4.24514 0.681979 | 23766.8 24591.8
53.0107 -80.0851 | 0.480741 -6.78374 | -9640.87 -22842.9
53.254 -79.654 | -0.114685 -1.70021 | 2431.86 15915.7
53.472 -79.2 | 1.41157 4.45087 | 7397.49 -2223.14
53.6751 -78.7365 | -0.517737 5.50973 | -5974.2 2312.46
53.8485 -78.2595 | 1.20856 -3.75566 | 47.3865 15212.6
54.0024 -77.7676 | -1.47374 -6.70464 | 3188.58 -18390.7
54.156 -77.289 | 2.80294 -0.376018 | -21805.1 -22166.7
54.3015 -76.8271 | -2.89547 -3.32906 | 35747.3 20625.4
54.4959 -76.366 | -2.52004 3.52773 | -26757.4 -15818.6
54.6723 -75.9114 | 0.661536 1.84323 | 9597.04 2747.64
54.8523 -75.4537 | -4.11708 4.81375 | -9618.25 26051.6
55.0254 -74.9789 | -2.93441 -5.28395 | 13891.6 -20485.1
55.2384 -74.5264 | -7.65345 -4.56244 | -437.387 20862.6
55.4748 -74.0752 | -0.564718 0.426507 | -6374.63 -20010.2
55.7361 -73.6544 | 3.40272 3.18427 | 2232.08 -24876
56.0208 -73.2625 | -1.0841 1.97798 | 178.377 56326.1
56.2943 -72.8312 | 0.676414 -1.23371 | -17255.7 -29084.2
56.5807 -72.4299 | -2.82389 -0.140087 | 14920.7 -654.634
56.9288 -72.0747 | 2.54526 -2.32347 | 22233 3912.58
57.3339 -71.7676 | 4.03476 0.744927 | -38945.5 -9399.39
57.7377 -71.4936 | -4.80083 0.423697 | 25193.9 4026.05
58.1725 -71.2452 | -7.86065 -0.685181 | -2605.79 15688.5
58.6137 -71.003 | -2.1683 -5.05706 | -31499.5 -12599.8
59.055 -70.8024 | 1.77875 -4.90308 | 45418.1 -6818
59.5444 -70.6633 | 2.57429 3.55872 | -8854.83 14722
60.0393 -70.543 | -1.64101 2.29641 | -3852.84 -15180.5
60.5373 -70.4552 | -3.54185 0.558519 | 7182.97 18004.9
61.0391 -70.3568 | -3.24802 -4.66243 | -8282.66 -7382.4
61.54 -70.2718 | -0.14955 -2.41064 | 23625.6 5515.31
62.0542 -70.1976 | 5.10604 0.0332624 | -37128.9 -10745
62.5461 -70.1469 | 0.0309013 8.84478 | -13005.9 7091.04
63.0295 -70.1018 | -2.57305 1.60653 | 35290.2 -1236.69
63.5347 -70.0773 | -2.6993 6.02547 | -17191.7 -10549.9
64.0318 -70.0764 | 2.45503 2.4374 | -93.6605 9645.65
64.5255 -70.0608 | 1.11357 2.46112 | -16372.5 -9630.83
65.008 -70.0317 | -5.88997 -0.875781 | 9510.74 15886.9
65.4939 -69.9549 | -5.99616 -1.3369 | 26235.9 -1620.35
65.9941 -69.8606 | 0.655937 2.08924 | -19449.2 -3835.44
66.4825 -69.7613 | 3.59597 -4.29901 | 546.018 -8084.07
66.9693 -69.6626 | 0.248818 -5.38964 | 9240.33 789.101
67.4554 -69.5392 | -1.75997 6.54647 | -10970.9 13886.4
67.9215 -69.366 | 6.4731 3.24943 | -3564.6 -12922.5
68.376 -69.1797 | 3.58531 -4.82136 | -2312.17 -0.135534
