-24.5432 -67.0202 | -0.882766 -0.051603 | -14597 -925.575
-24.058 -67.07 | -0.129628 2.34342 | 11740.1 6458.85
-23.5674 -67.1452 | 0.799279 3.41043 | 9843.14 -10384.7
-23.0763 -67.2645 | 2.17748 0.972174 | -2979.97 2586.53
-22.5937 -67.4109 | 0.566738 -1.20575 | -1426.54 4775.39
-22.1196 -67.577 | 0.862936 -1.85901 | -353.794 -6706.78
-21.6553 -67.7721 | 2.35321 -1.94848 | 2204.04 2505.6
-21.1957 -67.9813 | 2.24438 -0.985983 | 564.282 -5662.84
-20.739 -68.2021 | 3.09683 -1.11464 | 3855.93 4258.72
-20.2772 -68.4138 | 2.72444 -1.72553 | -2007 8951
-19.8139 -68.6135 | 2.63286 -1.37151 | -4935.4 -11946.2
-19.3578 -68.8274 | 2.00722 2.11526 | -918.145 4776.44
-18.901 -69.0333 | -0.62985 2.58036 | -3788.61 6472.6
-18.4419 -69.2234 | 0.713411 1.73743 | 523.244 -5822.66
-17.9791 -69.4094 | 1.3357 0.879806 | 6511.27 1365.38
-17.5068 -69.5823 | -0.26521 1.8066 | -21.7298 -4115.08
-17.0298 -69.745 | 0.313865 3.25959 | -4729.69 42.1696
-16.5486 -69.8854 | 1.53387 4.69569 | 973.197 4621.65
-16.0579 -69.9877 | 1.85623 2.40398 | 6285.35 -2434.48
-15.5562 -70.0542 | 0.824284 1.12086 | 1481.92 -1127.87
-15.049 -70.0801 | 0.175778 -0.0838319 | 478.647 -2132.92
-14.5416 -70.0555 | 1.67718 -0.721832 | -251.873 5006.91
-14.0432 -69.9602 | -0.285152 -1.69778 | -4334.7 6990.89
-13.5663 -69.7917 | -0.0646785 -3.35021 | -1711.36 -4268.13
-13.1121 -69.5747 | 1.11985 -1.03946 | -3202.31 -1886.43
-12.6818 -69.3192 | 1.29367 -0.51195 | -1236.47 -155.59
-12.2729 -69.0326 | 2.97437 -2.28604 | 1563.49 -2891.42
-11.8803 -68.7241 | 2.10246 -2.3319 | 3857.38 1911.93
-11.5045 -68.3911 | 3.79859 -2.32247 | -4272.86 5352.92
-11.1525 -68.0323 | 5.45704 -3.57064 | 884.206 -5798.99
-10.8121 -67.6658 | 4.13638 -5.74807 | 1476.69 -1832.44
-10.4801 -67.2925 | 3.25454 -2.84743 | 3381.49 -2878.27
-10.1606 -66.9087 | -0.395539 3.34333 | -3586.72 4641.48
-9.87229 -66.5 | -2.15668 5.57223 | -3453.03 3935.63
-9.61741 -66.0692 | -0.816892 2.76516 | -2093.09 -6017.95
-9.38251 -65.632 | -0.480397 -1.37294 | 470.9 -4334.87
-9.15347 -65.1946 | -3.19665 1.0003 | 3591.1 2957.43
-8.9225 -64.7545 | -2.95103 1.78465 | 2261.63 5079.88
-8.69017 -64.3099 | -3.87034 1.80754 | -2363.17 5187.79
-8.45736 -63.8624 | -4.16045 3.7748 | -3659.7 -1542.93
-8.21064 -63.4242 | -1.47807 1.01224 | 3989.34 -1426.03
-7.92588 -63.0091 | -1.19261 -0.518377 | 9957.22 -1028.44
-7.59423 -62.6254 | -0.922612 -1.20329 | -2532.64 216.111
-7.2363 -62.2667 | 2.18746 -2.93529 | -3458.4 1261.74
-6.86202 -61.9281 | 4.72733 -1.38293 | -6295.27 -6526.68
-6.47312 -61.6157 | 2.2358 -3.11364 | 1904.78 5589.23
-6.06414 -61.3247 | -0.0859243 -1.50942 | 6640.65 3990.47
-5.62818 -61.0663 | 1.63353 2.99525 | -2198.59 -5993.07
-5.16997 -60.8577 | 2.38377 2.62919 | -7518.31 -1809.08
-4.69797 -60.6994 | 0.995757 1.75357 | 205.278 217.787
-4.21153 -60.5922 | -0.480251 -0.148171 | 10116.7 3756
-3.70999 -60.5364 | 1.24172 -2.42866 | -3119.21 -5418.9
-3.2079 -60.5423 | 2.57293 -1.81821 | -11096.2 823.512
-2.71692 -60.5985 | -0.157032 -0.258492 | -534.975 4870.52
-2.23403 -60.6936 | -1.3914 0.472403 | 28.6272 -4915.86
-1.76084 -60.8319 | -0.47016 1.50413 | 1960.65 -1335.43
-1.29403 -60.9964 | -0.267346 0.919874 | 4102.95 8093.09
-0.828311 -61.1656 | -1.14056 -1.17288 | -4741.65 -326.792
-0.371946 -61.3511 | -2.94133 -1.1063 | -1547.65 -4847.56
0.0749745 -61.5575 | -2.29611 -1.26592 | -1224.49 4074.97
0.518394 -61.7685 | -0.974888 -0.356551 | 3577.02 -2935.56
0.9652 -61.9814 | -1.45176 0.776885 | 10304 -1842.36
1.42223 -62.1889 | -1.45563 -1.33276 | -3635.15 4811.41
1.88009 -62.3877 | -0.76336 -2.74292 | -5039.46 -3215.74
2.33406 -62.5898 | -0.460069 -2.33499 | 1694.45 -3679.85
2.79163 -62.7908 | -0.0944917 -1.71181 | 7966.97 -5379.11
3.26334 -62.9759 | -0.295913 -0.310866 | 5929.97 9176.31
3.75162 -63.1183 | 0.375146 0.0992965 | -9196.99 454.479
4.24216 -63.2287 | 1.17594 0.948579 | -1629.79 627.819
4.7359 -63.3136 | 0.792949 1.42621 | 3165.25 919.332
5.2338 -63.3801 | 1.59528 4.5483 | -3945.16 -9300.49
5.73074 -63.4405 | 1.35265 4.97445 | -774.909 4026.61
6.22977 -63.4697 | 0.571025 4.95201 | 3285.58 3888.52
6.73152 -63.4583 | 0.630106 3.26838 | 1271.07 -5092.26
7.2313 -63.4132 | 0.966259 0.402362 | -8516.05 -390.729
7.71861 -63.3218 | 1.50279 0.358964 | -942.276 5613.67
8.19188 -63.1749 | 1.83382 1.03126 | 3889.96 -1229.68
8.65336 -62.9884 | 2.32722 1.19488 | -1208.52 -1041.31
9.10057 -62.7713 | 1.67194 2.05338 | -1731.84 2046.02
9.53521 -62.5305 | 0.645555 -0.814991 | 4065.54 -2568.97
9.96684 -62.282 | -0.258719 -0.0605992 | -3189.12 -487.021
10.3941 -62.0291 | -0.52908 2.49829 | 2083.52 1322.91
10.8237 -61.7764 | 0.0101899 1.20569 | 4323.65 715.099
11.2604 -61.5302 | 0.898173 -0.838929 | 1030.17 -3515.41
11.7024 -61.2941 | 0.95795 -3.29429 | -5359.79 4089.8
12.1421 -61.0586 | 0.0534013 -0.59796 | -2776.13 -1958.28
12.5853 -60.8355 | -0.80729 3.10476 | 1701.26 -20.407
13.039 -60.6331 | -0.0214817 3.26239 | 756.948 19.1835
13.5049 -60.4583 | -0.595705 5.13656 | 3060.3 -1938.09
13.9838 -60.3165 | -2.94688 4.85052 | 167.425 -566.659
14.4703 -60.2024 | -2.204 -2.25734 | -4180.61 3273.5
14.9588 -60.1078 | -2.03226 -3.77512 | 1913.62 -4056.19
15.4526 -60.0388 | -2.45186 -2.39647 | 3574.18 2021.99
15.9506 -59.984 | -0.747838 0.0174735 | -2377.21 8389.62
16.4487 -59.9382 | 0.716709 0.0681419 | -2340.15 -5518.49
16.947 -59.9294 | 0.483262 -0.208745 | 1996.6 -5342.35
17.4456 -59.9634 | -1.79677 -3.00435 | 2390.06 4816.55
17.943 -60.0241 | -2.85418 -2.19511 | -2017.75 3379.74
18.4341 -60.1142 | -0.436979 -0.291534 | -3119.07 -4887.47
18.9135 -60.2478 | -1.11384 -0.761724 | 3168.74 1095.27


-39.4713 62.1454 | 0.508064 -3.2097 | -1030.79 4404.28
-39.0062 61.9683 | 1.3974 1.72691 | 183.37 -6377.18
-38.5455 61.7773 | 0.607232 0.0306268 | -4927.29 3945.65
-38.0888 61.5865 | 1.31415 0.614662 | 2080.58 312.96
-37.6295 61.3997 | 0.721556 2.56758 | 1738.18 235.819
-37.1666 61.2184 | -0.348151 2.68668 | -669.054 -2439.66
-36.7016 61.0406 | -0.784049 1.76229 | 2795.22 -3415.81
-36.2299 60.8726 | -1.52356 1.67008 | 1503.43 5083.31
-35.7494 60.7309 | -3.94368 2.67796 | -107.303 -6.91673
-35.2632 60.6106 | -3.60827 2.0121 | -2992.17 -5544.14
-34.7739 60.5067 | -1.71943 3.48029 | 4302.01 5841.06
-34.276 60.4368 | -0.728549 4.6575 | 4976.37 -5887.6
-33.7715 60.3935 | 0.149028 2.68093 | -5576.25 6578.69
-33.2685 60.3915 | 0.578656 3.04042 | 140.796 1285.19
-32.7667 60.42 | -1.15949 0.497384 | 1333.25 -8887.47
-32.266 60.4634 | -2.02744 -0.205452 | -2511.05 825.333
-31.7717 60.5414 | -3.85625 0.826614 | -3434.86 2804.23
-31.2909 60.6679 | -2.93363 -0.559382 | -3527.63 -2163.06
-30.8292 60.842 | -1.70057 1.76876 | -2842.19 -3343.55
-30.392 61.0635 | -2.93417 1.00093 | -1163.65 7653.68
-29.9833 61.337 | -1.67158 -2.61129 | 1627.01 -7724.59
-29.593 61.6358 | -3.51206 0.918132 | 9361.7 5520.73
-29.2152 61.9629 | -0.535146 1.62399 | 1544.66 11567.1
-28.8544 62.3193 | 3.16401 0.851445 | -445.204 -2900.61
-28.4992 62.6807 | -0.217503 1.89047 | 4300.01 -5545.57
-28.1369 63.0337 | -0.973778 1.40761 | -5714.63 2978.67
-27.7741 63.3839 | -0.257216 2.92407 | 1980.23 174.798
-27.3986 63.7208 | 2.27319 0.639568 | 935.896 -6880.62
-27.0059 64.0329 | 1.5349 0.561329 | -7868.46 2097.13
-26.6041 64.3276 | 0.242632 1.93127 | 6805.5 7.39039
-26.1809 64.596 | 0.512822 -0.986006 | -525.442 -2856.62
-25.7428 64.8354 | -2.0469 1.00065 | -11875.4 -2074.9
-25.3009 65.051 | -2.92853 1.79052 | 5320.29 -2182.9
-24.8463 65.2438 | -1.72575 -0.386175 | 4135.92 7762.66
-24.3842 65.4282 | -1.13668 0.106365 | -7555.67 -736.119
-23.9218 65.595 | -1.28477 1.07398 | -12624.2 -8369.63
-23.4606 65.7308 | -1.94176 1.02858 | 563.676 501.861
-22.9938 65.8459 | -1.61534 0.539638 | 9273.81 10871.7
-22.5165 65.9513 | -0.56061 1.99675 | 1817.81 -5724.84
-22.0311 66.0234 | 0.710615 2.94424 | -473.263 2697.11
-21.5417 66.0667 | 0.462748 1.84277 | 4062.52 3337.65
-21.0478 66.0782 | -0.551383 3.75233 | -1549.83 -4229.81
-20.556 66.0445 | 0.189749 1.07095 | -3973.1 5241.04
-20.0715 65.9731 | 0.807285 -2.21024 | -382.085 -1973.39
-19.5954 65.8552 | -0.293609 -0.220582 | 7957.84 -6441.9
-19.1239 65.6931 | -0.712873 0.0192737 | 11412.1 -1742.92
-18.6512 65.5074 | -1.44577 -1.02454 | 1565.95 2278.47
-18.1806 65.3124 | 0.436166 -2.01462 | -3039.51 3897.44
-17.7159 65.1114 | 0.541332 -1.79338 | -5094.77 -4532.99
-17.2599 64.8968 | -1.14549 -0.158284 | 966.594 -188.405
-16.8035 64.6824 | 0.210842 1.21912 | 3121.84 4081.8
-16.3401 64.4819 | -0.984823 -0.158286 | -1819.62 1918.1
