10.0729 31.7475 | -2.58855 -0.256362 | 2361.25 2755.81
10.5497 31.9069 | -1.05369 -0.465815 | -1844.79 -4819.67
11.0177 32.0857 | -0.137781 -2.34233 | 4290.41 5548.77
11.4791 32.2903 | 0.96547 -3.85968 | -2970.31 4071.71
11.9319 32.5106 | 1.50129 -3.80462 | -870.238 -13704.2
12.3842 32.7191 | 2.76614 -1.47455 | -8024.95 3014.23
12.8275 32.9331 | 1.62181 1.8831 | -7878.96 -1917.9
13.2639 33.1474 | 0.577358 -0.292445 | 4467.38 -3774.63
13.706 33.3539 | 1.47617 -0.376455 | 4733.25 6503.7
14.1536 33.5631 | 1.58954 -1.11403 | 8045.93 2459.13
14.6103 33.7702 | 2.24979 -2.47236 | 2988.1 7222.01
15.0741 33.9726 | 2.997 0.200159 | -1618.5 -6216.46
15.5471 34.146 | 4.11266 1.14997 | -726.043 -3618.84
16.0289 34.2868 | 3.58733 -0.240798 | -5338.85 6476.73
16.5146 34.4029 | 0.304123 -1.00684 | 3400.11 -5112.07
17.0101 34.4739 | -1.25385 -0.332541 | 1564.72 -7589.78
17.5103 34.5008 | 1.52885 -0.955235 | -4673.73 4961.13
18.0078 34.5159 | 0.837496 -1.27559 | -3080.07 11752.3
18.5028 34.5322 | -0.950044 1.17104 | 565.415 -17025
18.9979 34.5154 | -0.755586 0.678989 | 399.418 8244.11
19.4933 34.5012 | 0.361742 -2.67801 | 3606.56 11009
19.9913 34.4924 | 1.27924 -2.55937 | -2223.87 -12454.3
20.4875 34.4478 | -0.687211 0.583907 | 7115.9 3919.56
20.984 34.3777 | -1.97483 -1.68401 | -9129.75 5654.26
21.4682 34.276 | -2.17189 0.952211 | -3153.41 -147.267
21.9356 34.1208 | -3.30702 2.51664 | 11587 -9999.91
22.3846 33.8966 | -0.759019 1.06307 | -3610.6 -3957.1
22.8029 33.6156 | 1.66961 0.21418 | 6500.52 638.97
23.2012 33.3013 | -0.433937 -1.63488 | -2767.53 896.731
23.5776 32.9637 | -1.34357 -3.49845 | -7110.61 2497.48
23.9358 32.6127 | 0.626363 -1.39128 | 10364.8 587.398
24.2963 32.2583 | 3.40373 1.62283 | 114.469 -1340.37
24.6505 31.8966 | 1.08357 2.99156 | -9509 -208.263
24.9903 31.5272 | -1.42172 0.739844 | 3067.04 2453.23
25.3343 31.1624 | 1.55965 -0.353824 | 4645.92 5288.35
25.6871 30.8062 | 0.780226 -1.42632 | -5198.75 -12598.7
26.035 30.4415 | -0.735204 -2.69149 | 409.97 13355
26.3917 30.094 | 0.0672017 -2.62986 | -1160.66 1211.78
26.7522 29.7529 | 1.56575 -0.140165 | 1889.95 -5741.6
27.1113 29.4069 | -0.137945 -0.893451 | -4855.98 5716.58
27.4639 29.0598 | -2.96076 -2.48968 | -1132.92 -12822.8
27.8138 28.7027 | -1.79932 -0.958724 | 3892 5640.57
28.1823 28.3648 | 0.483742 -0.107431 | -514.106 852.744
28.5731 28.0537 | 1.42338 1.49921 | 3248.13 1165.98
28.9887 27.775 | 1.45171 0.865499 | -3706.2 455.363
29.4215 27.5269 | 0.309061 0.993025 | 2845.39 -3345.95
29.8728 27.3083 | -0.432892 3.13827 | 3557.77 1775.6
30.3418 27.126 | 1.08988 2.63868 | -3779.55 2282.15
30.8194 26.9769 | 1.0405 0.400528 | -2774.99 -4458.51
31.3012 26.8515 | -0.142231 1.51527 | -8250.14 652.244
31.7851 26.7599 | -0.655302 3.37406 | 5647.8 3419.91
32.2787 26.713 | 0.019788 0.741832 | 8117.29 1290.88
32.7807 26.704 | 1.92578 0.294431 | 1367.1 -1064.9
33.2835 26.7182 | 2.02176 -3.3866 | -9383.01 -1805.32
33.7789 26.7445 | 1.44108 -3.73785 | -7217.64 -2516
34.2692 26.7776 | 1.79753 0.129052 | 11863.9 7193.73
34.7674 26.8207 | 0.429993 -0.168072 | 9292.73 -6140.51
35.2739 26.851 | 0.544563 -1.18701 | -2153.22 -886.367
35.7812 26.8713 | 0.772344 -2.40561 | 4320.17 2362.25
36.2911 26.8874 | 0.91084 -4.29432 | -4707.04 -1901.12
36.7976 26.8953 | 1.55316 -0.887866 | -5874.67 -2744.2
37.2999 26.8984 | 1.5642 0.924463 | 3523.69 9793.4
37.8033 26.9107 | 3.0823 0.965464 | -4616.14 -3309.84
38.3042 26.9074 | 2.96013 0.815383 | 3906.24 -6561.13
38.8054 26.877 | -0.50982 0.843353 | -8932.65 6232.14
39.2991 26.8343 | 1.14168 0.48382 | -4440.29 -63.4882
39.7877 26.7721 | 3.69765 -1.80748 | 9152.34 2139.3
40.2781 26.6853 | 3.68445 0.826969 | -1989.89 -6903.29
40.7613 26.5585 | 1.14566 0.620088 | 7984.66 -4460.12
41.2428 26.4036 | -0.146336 -0.739926 | 2623.37 12115.5
41.7218 26.2427 | 2.00455 -0.661523 | -8180.75 -2664.5
42.1852 26.0515 | -0.627559 -0.540566 | 5510.09 -7081.69
42.6349 25.8221 | -1.30386 -0.833374 | -4382.24 13080.5
43.0642 25.569 | 1.34177 -2.18506 | -7155.24 -7971.15
43.4601 25.2682 | 3.03901 0.521693 | 8448.66 -4009.16
43.835 24.9312 | 2.64687 1.03257 | -124.717 -5886.62
44.1899 24.5672 | 1.74304 4.20644 | 9130.56 1306.31
44.5401 24.1948 | -0.248258 5.30053 | -5666.01 11926.8
44.8733 23.819 | 0.895409 2.36353 | -10592.5 297.65
45.1745 23.4244 | 1.94199 0.710187 | 4419.25 -3275.46
45.4565 23.0126 | 0.999182 -1.99936 | -2204.86 161.993
45.7214 22.5896 | -0.0421805 -3.6602 | 5183.44 -3540.16
45.981 22.1599 | -0.677743 -3.02345 | -3782.55 8107.36
46.233 21.7319 | 0.127776 -3.48553 | -842.774 -235.578
46.4795 21.3001 | -1.77842 -2.58249 | 5467.13 -13344.7
46.7269 20.858 | -0.702162 -1.29696 | 3537.63 5243.78
46.9786 20.4197 | -0.171898 -0.398854 | -11532.3 681.874
47.2211 19.9823 | 2.20767 2.36984 | 614.987 6808.99
47.4764 19.5582 | 1.28699 -1.88705 | -535.747 5447.58
47.7522 19.1514 | -0.426296 -6.07146 | 5425.44 -4087.39
48.0496 18.755 | 2.09473 -2.26975 | -4426.91 -3601.79
48.3565 18.3644 | 1.4266 0.0676566 | -33.0083 -3743.76
48.6809 17.9844 | 1.31923 -0.677897 | 9154.61 -1543.39
49.0365 17.6274 | 2.64114 -0.886505 | -9614.62 1357.07
49.4111 17.2992 | 0.796549 -2.89164 | -4165.61 11107.9
49.8116 17.0163 | 2.72757 -0.215699 | 2212.83 227.207
50.2357 16.7675 | 1.90918 -0.853606 | 5866.23 -9791.76
50.6769 16.5345 | -0.601709 -1.08594 | 2585.65 -1736.67
51.1312 16.3221 | -0.784328 -0.723614 | -7500.06 2104.7
51.5919 16.1366 | -0.564829 -0.455185 | 4941.69 254.057


-53.1301 -83.9313 | 9.90441 -0.31259 | -3013.1 14050.3
-52.7032 -83.6593 | 1.55738 2.1932 | 25513.4 -21938.3
-52.2476 -83.4219 | -0.0129758 -0.203837 | -11575.5 25849.3
-51.802 -83.1658 | -6.22091 1.49161 | -7588.54 -39108
-51.3593 -82.9393 | -4.52552 1.12224 | -9270.32 31253.7
-50.9399 -82.6667 | 2.28267 -9.10107 | 13885.9 -7574.97
-50.5162 -82.3915 | 3.38838 0.662281 | -12965.6 -8413.62
-50.1 -82.1163 | 3.84024 -2.35131 | 21840.2 26134.1
-49.6712 -81.8231 | -1.31904 3.20713 | -3408.58 -7359.3
-49.2302 -81.5531 | 0.289146 0.164985 | -1391.84 -6947.64
-48.7725 -81.3259 | -7.15436 0.641844 | -12556.4 -13716.9
-48.3093 -81.1495 | -0.477017 -3.09947 | -35751.1 4697.49
-47.8566 -81.0003 | 1.68809 -1.44165 | 50999.7 176.099
-47.3604 -80.8991 | 2.06912 0.460104 | -4702.54 843.953
-46.8576 -80.8338 | 1.82638 -4.1625 | -15269.3 7890.01
-46.3618 -80.7933 | -1.18186 0.330426 | 160.75 -9755.76
-45.8649 -80.8016 | -0.882218 4.71792 | 10417 11631.1
-45.3622 -80.8435 | -4.82365 3.53923 | 17127.4 2332.43
-44.8619 -80.9511 | -0.60117 1.70749 | -38112.3 -21887.3
-44.4178 -81.1702 | -0.658694 6.16409 | 22541.7 10321.1
-43.9925 -81.4392 | -5.0064 -2.78056 | -11388.9 -3184.43
-43.606 -81.7548 | 0.0583295 7.07713 | -3142.02 9763.13
-43.2444 -82.0909 | -1.40387 6.34662 | 7501.87 -2932.37
-42.8947 -82.4474 | 0.84964 5.58959 | 849.312 -18844.2
-42.5569 -82.8282 | 0.264944 1.97491 | 10642.1 21624.1
-42.2067 -83.1916 | 1.79525 2.06839 | -9830.03 -13631.4
-41.8725 -83.5686 | 4.19737 -3.13526 | -10229.8 23812.6
