51.2945 -84.8454 | -6.53408 1.59981 | -19459 -10800.4
51.7024 -84.5888 | -0.42342 0.0619795 | 17373.1 15122.3
52.11 -84.3017 | 2.83844 4.09216 | 18085.2 -7114.88
52.5186 -84.0015 | -1.30454 -0.520092 | -19311.5 2847.55
52.8836 -83.6604 | -0.935842 -2.30186 | -2281.1 9906.85
53.2126 -83.2826 | -0.0953642 0.676609 | 8328.36 -25153.3
53.529 -82.9065 | -2.87138 -0.654368 | -10558.9 1024.4
53.7996 -82.4991 | -3.29912 1.75234 | 6753.07 31208
54.0273 -82.0451 | 1.19576 -5.56288 | 8234.03 -17261.4
54.2292 -81.5871 | -1.81735 -2.92861 | -12672.7 -22895.9
54.3793 -81.1266 | -4.36652 3.156 | 3713.97 29407
54.4807 -80.6356 | 3.84593 5.77888 | -7131.59 -2386.26
54.5425 -80.1383 | -0.654241 5.70814 | 14544.5 -9440.88
54.6041 -79.6468 | 0.0972478 -1.97875 | -8001.26 -6449.12
54.6448 -79.1579 | 1.45479 -1.20085 | 19559.3 7869.27
54.6748 -78.662 | 0.804689 1.08913 | -31990.6 12038.6
54.6282 -78.1574 | 1.2161 2.79825 | 2348.37 5523.36
54.5659 -77.6509 | 1.20588 2.59637 | 22188.8 -15436.5
54.5375 -77.1545 | -2.35333 3.28194 | -13245.6 -19145.2
54.5096 -76.6705 | 1.2095 1.68039 | 5868.21 23022.1
54.5044 -76.175 | -6.14168 -3.84832 | 2549.28 -25477.1
54.5171 -75.6937 | 5.28445 -0.160661 | -10846.9 6659.14
54.5306 -75.207 | 3.23717 -0.675982 | 6030.38 31622.4
54.5722 -74.6999 | 8.49642 0.481544 | 3806.86 -8398.39
54.6491 -74.1984 | -1.10739 2.86641 | 7472.1 1318.43
54.7538 -73.7007 | -1.91907 1.59068 | -22141.9 121.698
54.8512 -73.2039 | 5.85806 0.663623 | 8371.5 5020.93
54.992 -72.7154 | 3.4192 -1.26993 | 3193.68 -15804.1
55.1955 -72.2597 | -5.50676 2.69628 | -178.014 621.282
55.4553 -71.8345 | -5.44894 0.149281 | 8062.58 -5264.26
55.7633 -71.4423 | -3.78841 -5.88075 | -20730.2 13992.5
56.0809 -71.0587 | -8.38971 4.96855 | 21228.2 -9232.27
56.4492 -70.7176 | -1.27621 -4.25842 | -22450.6 8124.39
56.8342 -70.4045 | -4.3533 -4.08184 | 23695.3 -6071.5
57.272 -70.1525 | 4.9669 -4.4224 | -5671.51 -185.153
57.7326 -69.9505 | -2.51668 4.89671 | -9383.98 -2726.4
58.203 -69.7886 | -5.26666 -0.25736 | 6507.6 19110.7
58.6891 -69.6534 | 3.15979 1.56576 | 12254.5 -23824
59.1957 -69.5999 | -3.01437 -1.43795 | -8689.57 -3953.59
59.6986 -69.5874 | -0.177636 -3.1823 | -20817.5 20078.1
60.1876 -69.5609 | 6.07211 3.2052 | 12892 1641.43
60.6833 -69.5488 | -4.11121 -5.30921 | -217.08 -29505.6
61.1781 -69.5842 | 1.18448 -2.73345 | -12235.6 29589.7
61.6674 -69.5805 | 0.228395 4.0025 | 21287.3 -5606.06
62.1683 -69.5708 | 1.18448 4.48425 | -21148 -11571.6
62.6599 -69.5652 | 1.94395 -2.81653 | 22638 13580.3
63.1672 -69.528 | -4.78805 -2.59222 | 30066.7 -4597.47
63.6923 -69.4745 | -2.43767 2.36564 | -30614.4 -10303.3
64.1931 -69.3937 | 2.56229 -6.04151 | -17855.7 11760
64.6655 -69.2421 | 1.72536 5.68122 | 28584.5 5088.55
65.1313 -69.0324 | 7.02565 6.4289 | -29248.4 -8216.95
65.5524 -68.777 | 2.78948 -2.16819 | -9310 -10067.4
65.9433 -68.4903 | -4.2302 -3.11944 | 39777.2 13331.9
66.333 -68.1649 | -3.17261 0.823962 | -34270.7 3617.94
66.6628 -67.7934 | 2.22327 -2.20111 | 11990.4 -13225.9
66.9815 -67.413 | -4.79344 1.23659 | 10476.5 16736.3
67.2899 -67.007 | 0.492256 -4.43082 | -3302.66 7561.86
67.5809 -66.5831 | -4.43121 0.875245 | 2337.22 -13917.9
67.8707 -66.1638 | 2.9177 -0.639926 | 6643.87 16040.3
68.1577 -65.7294 | -1.47787 -4.49873 | -13.0618 -1497.8
68.436 -65.2893 | -0.921526 2.52891 | -7701.8 -2403.42
68.7001 -64.8462 | 5.73616 -4.27969 | 10947.9 -14082
68.9644 -64.409 | 5.54306 -2.1562 | -16358.3 17648.9
69.1889 -63.9489 | 0.800377 2.29461 | -9638.45 -31127.7
69.3979 -63.503 | 1.92662 0.826131 | 14917.4 14351.4
69.6214 -63.0525 | -0.939935 0.177098 | 4714.61 6488.06
69.8475 -62.5971 | 0.802212 2.6997 | -11146.2 -12468.8
70.0553 -62.1443 | -0.743647 0.800274 | 5687.29 -5082.92
70.2508 -61.6891 | -3.35983 2.58452 | -15810.8 16763.2
70.413 -61.2155 | -6.63646 2.89635 | 6876.71 -18003.5
70.5922 -60.7558 | 2.46436 -3.5721 | 17951.3 14238.1
70.8007 -60.2972 | -0.482009 5.05096 | -36902.5 -8493.78
70.9946 -59.8454 | 0.054416 -0.099078 | 40926.7 -4167.45
71.2573 -59.418 | -2.98569 4.43025 | -7504.34 27423.9
71.5258 -58.98 | 3.93678 6.74901 | -22270.5 -19499.7
71.792 -58.5621 | -2.17181 3.78268 | 8761.18 -15986.2
72.0955 -58.1809 | 0.689668 -5.98277 | -4324.32 6683.86
72.4188 -57.8146 | 3.39289 -1.32209 | 1358.83 3068.24
72.7639 -57.4615 | -3.67506 2.14538 | 12794.1 27826.1
73.1405 -57.1168 | -1.83589 -2.0796 | -3511.71 -40813.9
73.5515 -56.8407 | -1.25512 -1.6059 | -11407.6 17688.3
73.9666 -56.5678 | -4.48458 2.57644 | 37379.4 15803.5
74.4112 -56.2986 | 1.38298 -0.211399 | -37367.1 -16228.9
