-9.59014 69.7739 | -0.74779 5.03984 | -365.252 1224.73
-9.151 70.0136 | -0.131134 3.75934 | -7.24097 68.0211
-8.72192 70.271 | 0.364572 2.80724 | 430.873 -305.892
-8.30239 70.5441 | 0.497752 2.16277 | 922.509 -291.045
-7.89256 70.8325 | 0.380608 1.55517 | 1378.17 -595.635
-7.49427 71.1379 | 0.289438 0.96967 | 980.104 -35.8381
-7.11292 71.4652 | -0.111505 0.979949 | -4.48728 1269.51
-6.75658 71.8205 | -0.324517 0.887954 | -917.866 1595.44
-6.43225 72.2058 | -0.397538 0.803154 | -1267.69 511.936
-6.14276 72.6176 | -0.850454 1.17525 | -1010.95 -332.363
-5.88641 73.05 | -0.928166 1.34977 | -133.113 -936.042
-5.6585 73.4971 | -0.485396 1.25787 | -260.554 -1294.79
-5.45483 73.9545 | 0.0706818 1.11241 | -905.854 -833.011
-5.27149 74.4194 | 0.892254 0.867803 | 802.726 -521.942
-5.1018 74.889 | 1.53354 0.861961 | 659.055 -102.231
-4.94209 75.3622 | 2.1191 1.08772 | -1163.76 67.8456
-4.79085 75.8379 | 2.87671 1.32284 | -152.15 106.529
-4.64174 76.3144 | 3.12136 1.61171 | 1036.59 373.816
-4.48735 76.7898 | 2.46787 2.0105 | 1091.32 229.547
-4.32359 77.2627 | 1.99135 2.22003 | 933.194 566.575
-4.14981 77.7331 | 1.99221 2.11091 | 768.011 1333.39
-3.96768 78.2019 | 1.91091 1.82468 | -52.6487 1746.68
-3.7798 78.67 | 1.80641 1.28696 | -463.051 962.898
-3.58634 79.1365 | 1.69806 0.539513 | -1895.35 -150.458
-3.38472 79.5985 | 1.63543 -0.185481 | -1518.44 -1579.57
-3.16626 80.0507 | 0.98573 -0.340805 | -290.169 -2433.14
-2.91981 80.4856 | 0.24422 -0.0645146 | -1228.77 -1135.2
-2.63821 80.8964 | -0.296078 0.371434 | 91.1712 -911.579
-2.3149 81.2739 | -0.722538 0.842343 | 1168.07 -2060.31
-1.94875 81.609 | -0.608615 0.895322 | -40.369 -1559.61
-1.5476 81.9003 | -0.309934 0.818121 | -904.401 -173.597
-1.12213 82.1539 | 0.0419713 0.799644 | -1410.05 1092.44
-0.681143 82.3784 | 0.41366 1.07508 | -750.282 746.861
-0.229306 82.5796 | 0.714061 1.64721 | 113.852 708.551
0.230937 82.7617 | 0.786223 2.54451 | 831.638 1259.51
0.698102 82.9283 | 0.680974 3.6967 | 1076.17 493.99
1.17114 83.0806 | 0.70521 4.66403 | -190.086 332.474
1.64815 83.22 | 0.916522 5.3207 | -764.992 6.12682
2.1279 83.3476 | 1.12055 5.51809 | -315.451 -49.5909
2.61004 83.4649 | 1.0067 5.89408 | 255.261 -82.331
3.09439 83.5737 | 0.670743 6.63444 | 590.726 599.722
3.58056 83.6773 | 0.426694 7.46465 | 814.93 636.961
4.06835 83.7774 | 0.572625 7.21954 | 738.272 244.244
4.5575 83.8744 | 0.843929 5.91277 | 102.059 -109.489
5.04736 83.9684 | 0.972582 4.4114 | -403.43 -624.398
5.53726 84.0602 | 1.04677 2.88158 | -268.343 27.2135
6.02673 84.1532 | 0.974604 1.84361 | -151.095 1432.26
