5.58666 5.62391 | 2.03568 -2.25529 | 2671.35 -808.961
6.06627 5.77154 | 2.06698 0.308903 | -3628.27 -39.461
6.54762 5.90636 | 1.54291 0.964323 | 1424.38 3590.87
7.03283 6.03563 | 3.4905 -2.39106 | 9612.71 1679.22
7.52709 6.15469 | 2.2342 -5.30427 | -5761.2 -271.521
8.02137 6.2581 | 1.93308 -3.30758 | -3835.78 -6495
8.51674 6.33798 | 2.68378 -0.80517 | 7750.33 -517.448
9.0175 6.40954 | 1.3038 -2.78165 | -6532.95 5223.94
9.51317 6.49217 | 2.03571 -2.02732 | -773.144 -2866.91
10.006 6.58241 | 2.02633 -2.5944 | 110.748 -2360.76
10.4951 6.68717 | 1.20969 -3.72265 | -3413.27 4670.67
10.9754 6.82172 | -1.14583 1.56908 | 1137.81 1315.33
11.4491 6.98065 | -1.93668 1.0689 | 2681.27 -8854.19
11.9181 7.15405 | 1.94668 -1.1687 | 3074.64 8459.34
12.3744 7.36724 | 2.26938 -0.943065 | -5404.37 390.229
12.8087 7.61622 | 0.537977 -0.253178 | -5297.8 -4489.55
13.2238 7.8897 | 1.56381 -0.903784 | 13803.1 3835.15
13.633 8.18762 | -0.533039 0.102673 | -213.134 6220.32
14.0231 8.51487 | 0.912899 -1.00931 | -3533.13 -7675.79
14.3915 8.85929 | 1.59655 -0.748261 | -1123.83 -312.63
14.7347 9.22679 | -2.80455 0.624359 | 668.299 1537.26
15.0484 9.62013 | -0.870521 -2.33354 | -2866.02 -2340.58
15.3262 10.0365 | -0.320854 -2.88147 | -4068.59 -92.7926
15.567 10.4739 | -0.558127 -1.87915 | 5761.35 3476.67
15.7845 10.9273 | -2.47128 -0.694517 | 581.64 -775.3
15.9768 11.3912 | -1.15125 -4.02698 | -5645.58 -7188.62
16.1388 11.8608 | -0.619896 -3.3409 | 3639.92 3675.01
16.281 12.3403 | 2.04615 -0.895416 | -1680.87 9449.48
16.4035 12.8318 | 4.9307 -0.664562 | 867.588 1139.9
16.5204 13.3259 | 1.94101 -2.31414 | 4722.4 -7822.64
16.6432 13.8134 | -0.681592 -3.4255 | -2683.08 -5492.13
16.7605 14.2969 | 1.64354 -1.79799 | -4766.17 -1154.8
16.8661 14.7805 | 2.18912 -2.33411 | -601.074 -1125.4
16.9712 15.2632 | 0.741327 -4.92817 | -74.9747 788.803
17.0883 15.7446 | -3.22804 -4.03211 | 7443.07 7517.55
17.2311 16.2266 | 0.798487 -4.39356 | -3631 7032.41
17.3904 16.708 | 5.53571 -3.51577 | -743.951 -3942.08
17.5766 17.1762 | 2.98492 -2.7678 | -455.695 -10145.5
17.7986 17.6209 | 1.27592 -4.36335 | -3494.63 4432.86
18.0551 18.0467 | 1.16919 -3.31895 | 6808.93 -7201.97
18.3568 18.4404 | 2.22696 -0.201885 | -6454.58 7486.79
18.6835 18.8153 | 4.84803 0.00690838 | 1900.02 -1390.9
19.0427 19.1605 | 3.64826 -1.86475 | 6733.5 -2743.05
19.4353 19.4731 | 1.12054 -0.732616 | 1037.84 14018.4
19.8467 19.7721 | 3.0237 0.470335 | 2254.88 -3230.4
20.2806 20.0375 | 2.29295 2.02685 | -6524.99 -9282.32
20.7306 20.2604 | 3.73619 2.34833 | 3653.5 3857.13
21.1952 20.4559 | 4.08137 2.34813 | -3296.89 -623.709
21.6663 20.6267 | 2.04732 3.10635 | -9021.83 -1018.3
22.1389 20.7751 | 2.84318 4.31043 | 5824.39 -489.987
22.6218 20.9 | 1.76463 2.42085 | 5690.88 3336.43
23.1144 21.0068 | -1.28237 4.71813 | 5529.09 -2368.65
23.6132 21.0927 | -0.675136 5.24636 | -18175.8 80.4646
24.1016 21.1662 | -1.32971 3.21184 | -4844.22 6490.07
24.5884 21.2282 | -0.828036 2.00465 | 15364 -14749.2
25.088 21.2519 | -1.70814 0.970851 | 3672.63 4776.04
25.5919 21.2745 | -1.80204 0.250985 | -3292.71 9304.41
26.0936 21.3152 | -0.440645 0.686241 | 1331.16 -4227.34
26.5955 21.356 | -0.272291 -0.367514 | -1299.83 -4726.49
27.0962 21.3959 | -1.05468 -2.05809 | -1494.12 1829.82
27.5938 21.4519 | -1.19864 -0.118509 | -3002.79 1020.48
28.0855 21.533 | -0.853342 -0.771053 | -2411.81 134.668
28.5707 21.6422 | -1.3045 2.87253 | 7722.18 -1186.01
29.0533 21.7804 | -2.10122 -0.708021 | 773.318 2010.36
29.5243 21.9571 | -1.08059 -3.86042 | -6529.79 2575.77
29.9741 22.1744 | -2.60764 -2.34209 | -572.535 -5366.17
