7.40591 4.73823 | 3.11529 1.34234 | -1619.75 -2089.71
7.9002 4.8007 | 1.32998 -0.822845 | 50.4975 3721.67
8.39606 4.85335 | -0.0313854 -2.07261 | 2059.47 -6047.95
8.89368 4.89329 | -2.12594 -2.46603 | -3184.48 4763.76
9.38776 4.94247 | -0.561287 -0.742606 | -8375.32 3833.46
9.87506 5.00281 | 1.09777 -2.32613 | 1510.54 -5794.51
10.3638 5.05784 | 1.09021 -0.667105 | 10144.7 1416.46
10.8592 5.115 | 2.05901 3.02501 | -2052.08 -1810.5
11.3532 5.17912 | 1.7451 0.0571117 | -419.275 -836.53
11.8435 5.26157 | 0.746624 -1.65528 | -6159.7 6149.4
12.3243 5.37562 | -0.884094 -2.16617 | 2637.03 -1619.89
12.803 5.50614 | -0.27937 -4.38674 | 11068.9 -416.328
13.2854 5.64619 | 1.73896 -2.63746 | -7458.83 -8617.9
13.7577 5.79644 | 1.12978 1.39787 | -13025 1318.07
14.208 5.98204 | 1.37217 2.93937 | 6053.53 1253.85
14.6441 6.20787 | 0.921322 2.22844 | 10826.5 5208.98
15.0651 6.47723 | -0.483983 3.87523 | -86.4411 -319.031
15.4575 6.78707 | 2.02531 3.37306 | -6076.12 -5996.24
15.8096 7.13391 | -0.0289537 1.83765 | 1406.54 829.95
16.1174 7.5206 | -1.50035 0.82495 | 2238.31 2182.58
16.3742 7.94406 | -1.02851 1.39722 | -6001.07 -6630.77
16.5696 8.39282 | -0.724065 3.34331 | 4915.43 -3504.14
16.7122 8.8597 | 2.42039 5.20456 | -5045.36 7795.4
16.7948 9.34548 | 1.46986 2.82645 | 2058.77 1351.29
16.8405 9.83785 | 0.0805471 -0.101427 | 3879.5 -4535.38
16.8684 10.3284 | 0.13934 -1.18341 | -2366.89 -6783.67
16.8832 10.8154 | 0.858881 -2.47786 | 426.105 9600.92
16.8992 11.3087 | 0.970223 -1.14419 | 3308.91 6112.25
16.93 11.8056 | 2.21096 0.263547 | 3293.32 -9376.91
16.9766 12.2958 | 3.15057 0.0576809 | -7320.51 -783.101
17.0248 12.7849 | 1.19851 -0.47406 | 5003.51 5876.15
17.0892 13.2766 | 0.116346 -3.71778 | -5431.21 2669.82
17.1655 13.7688 | 1.70368 -4.21166 | 6138.88 542.515
17.2719 14.257 | -1.63321 -1.44575 | -505.615 1363.3
17.4028 14.7403 | -1.05202 -0.408715 | -6122.74 -51.0513
17.5552 15.2161 | 2.34437 -0.910567 | 5523.64 -965.594
17.7487 15.6769 | 1.40141 -1.0634 | 192.687 -3423.91
17.9796 16.1181 | 0.314898 -0.508332 | -1935.01 2068.56
18.2398 16.5433 | 1.11489 -0.00185087 | -3865.12 4352.39
18.529 16.95 | -1.47462 1.23193 | 6377.56 -8390.14
18.8617 17.3196 | 1.72014 -1.62993 | -436.985 377.983
19.2211 17.6626 | -0.928002 -1.48055 | -6694.47 281.566
19.5906 17.9891 | -1.83019 0.307645 | -4907.19 495.62
19.97 18.3005 | -1.09282 2.85722 | 7672.98 -2349.17
20.3699 18.5908 | -1.45777 1.3675 | 1312 7155.03
20.7806 18.8731 | 0.010724 -2.5082 | -683.719 2466.65
21.2007 19.1435 | -0.0486895 -3.74766 | -1481.42 708.474
21.6338 19.3908 | -0.721887 -4.74802 | 1927.22 -7345.22
22.085 19.5992 | -0.132352 -4.64862 | -5879.97 2376.15
22.545 19.7808 | -0.964082 -1.7533 | 5214.67 893.254
23.0187 19.9353 | -1.03145 -0.222357 | 5623.84 3119.21
23.5048 20.0655 | -0.772895 -2.62909 | 718.761 -630.242
23.9987 20.1676 | -0.17813 -1.65857 | 254.238 -4421.85
24.4971 20.2411 | 0.138398 -0.408889 | -2821.34 3838.75
24.9953 20.3025 | 0.327122 2.50812 | -2898.86 351.87
25.4922 20.352 | 2.11866 0.245486 | -1022.6 -3385.99
25.9892 20.3869 | 0.396329 -0.308975 | -674.593 5278.53
26.4868 20.4181 | -1.81098 -0.213558 | 7772.88 -3920.06
26.9907 20.4355 | -0.535377 1.20074 | 3403.16 -169.88
27.4978 20.4454 | 0.311637 0.732994 | -2189.99 1493.36
28.0042 20.4547 | 1.15107 -1.65907 | 2485.3 -2177.45
28.5111 20.4636 | 0.813017 -3.4318 | -8640.3 3240.83
29.0126 20.4808 | -0.840338 -4.48812 | 2338.12 -8200.24
29.5158 20.501 | 0.18134 -3.64622 | 12437 691.939
30.0248 20.5525 | 1.4017 -3.13076 | -3668.21 10339.5
30.5225 20.6639 | 3.25104 -4.4786 | -11570.9 -2080.01
30.9973 20.824 | 3.54013 -5.67608 | -6873.09 -8613.94
31.4505 21.0212 | 2.27179 -1.0714 | 7935.84 6565.95
31.8858 21.2682 | 1.94971 1.44054 | 3921.22 6043.52
32.2975 21.561 | -1.1134 -0.196712 | -10154.5 -4607.47
32.681 21.8813 | -1.61692 -2.22306 | 9825.01 -44.6462
33.0569 22.2173 | -0.619117 -1.5974 | 930.935 5778.56
33.4215 22.5706 | 1.86776 -3.48898 | -2223.1 -4334.58
33.7776 22.9291 | 2.88528 -2.70509 | 7300.23 -2686.63
34.1307 23.2918 | 4.81115 -1.68189 | -13019.6 699.042
34.4592 23.6699 | 4.07277 -1.58268 | 5162.23 -1884.83
34.7785 24.0564 | 0.063112 -2.6341 | -1518.8 561.347
35.0854 24.4537 | 1.49045 -5.40567 | 4096.92 5296.77
35.384 24.8641 | 1.78849 -3.70128 | 4470.41 7316.55
35.6752 25.2866 | -0.299753 0.817895 | -8636.67 -5389.04
