50.2041 -86.3711 | -1.00805 2.38434 | -565.581 1713.26
50.6045 -86.0689 | -1.87651 4.97332 | 7144.17 5279.77
50.9929 -85.7444 | -1.78083 -5.39371 | -9923.62 -10996.2
51.3597 -85.4089 | -1.9804 5.3112 | -4868.26 7218.04
51.7082 -85.054 | -1.33462 0.686151 | 17331.4 -3385.59
52.0634 -84.6985 | -0.527496 -2.11628 | -5534.13 -12878
52.3969 -84.3327 | -0.050502 1.4454 | -10135.2 9807.36
52.6786 -83.9228 | -5.72848 1.30149 | 13039 27373.7
52.9243 -83.4689 | 1.15564 -3.68987 | -7331.99 -25275.6
53.1377 -83.0143 | 4.55728 -4.01357 | -5365.82 6502.62
53.3277 -82.5489 | -3.03643 -3.20622 | 19854.5 -3213.49
53.5255 -82.0842 | -8.51065 -2.81217 | -7906.39 -3405.79
53.6873 -81.6106 | -7.1316 -4.03858 | -15480.5 -2823.47
53.7933 -81.1261 | -3.10915 2.63868 | 12255.7 9795.33
53.8816 -80.6338 | 1.46671 3.16334 | -11569.9 -33177.8
53.9468 -80.1569 | 0.825983 2.21787 | 15047.3 32216.3
54.019 -79.6605 | -3.28085 -0.580805 | -3175.5 1632.52
54.0791 -79.1576 | -3.19731 -4.92749 | -5789.1 9313.62
54.1233 -78.6487 | -3.34544 0.45482 | 6959.26 -21292.1
54.1721 -78.154 | -2.26362 -0.205712 | -4639.49 -2913.63
54.2129 -77.663 | 4.36113 -2.58281 | -8705.85 -93.0063
54.2505 -77.171 | -5.05104 6.60013 | 22486.4 14580.1
54.3251 -76.6711 | 4.47684 -0.000898096 | -14684.3 9690.23
54.392 -76.166 | -1.70398 -0.270647 | -9360.86 -29090.6
54.4659 -75.6811 | -10.2111 2.89492 | 11115.6 8380.53
54.5874 -75.2019 | -2.28831 -1.35991 | -247.938 -84.6285
54.7526 -74.7347 | -0.0569548 1.6 | -4262.09 6311.43
54.9576 -74.2797 | 7.73633 -2.01998 | 7670.28 3060.7
55.2184 -73.8509 | -3.80421 -4.17588 | 3688.14 -18995.6
55.5236 -73.4643 | -1.19798 3.14185 | -27532.5 5567.46
55.8254 -73.0859 | 5.47072 -3.27469 | 19886.3 -2680.12
56.1657 -72.7299 | -1.14581 1.1976 | 10866 18749.5
56.5262 -72.3732 | -3.51417 -2.3261 | -9767.29 -543.967
56.8874 -72.0224 | -1.52137 -3.98382 | -11149.1 -8553.21
57.2569 -71.6908 | -1.3976 4.98644 | 29594.9 3930.7
57.6646 -71.3795 | -0.807629 -4.5836 | -9041.6 19923.9
58.0752 -71.0635 | -8.38407 2.33433 | 4377.74 -21134.2
58.5045 -70.7831 | -0.599183 -2.59821 | -5448.74 14506.4
58.9354 -70.5098 | 1.90439 4.35804 | -28148.7 -23973.2
59.3636 -70.2781 | 1.9189 -4.64086 | 23018.8 -2768.03
59.8168 -70.0739 | 0.22805 -2.30792 | -3960.4 26011.4
60.2674 -69.8521 | 1.88185 -0.150218 | -4184.3 -29770.8
60.7225 -69.6617 | -0.932131 0.472572 | -1436.31 30905.2
61.1734 -69.4469 | 5.20698 1.7581 | 8784.34 -26326.2
61.6397 -69.2659 | 0.0373024 3.26922 | 3859.03 21733
62.109 -69.0706 | 1.28717 3.36007 | 5314.36 -6942.56
62.5834 -68.8868 | 4.37949 4.46082 | -16067.6 -18479.6
63.0461 -68.7133 | 2.6702 -6.774 | -6288.87 20121.2
63.4891 -68.4968 | -7.44872 -0.226585 | -1887.47 -1528.01
63.9253 -68.2688 | 6.04363 5.1709 | 7406.52 2646.59
64.3757 -68.0555 | 6.0847 5.24279 | 28910.4 -16604.2
64.8558 -67.8807 | 3.68211 -2.39656 | -30364 8878.05
65.3118 -67.6857 | 4.1714 -0.310035 | -2472.58 -10463.3
65.7523 -67.4724 | -1.08509 4.00542 | 4079.79 4260.3
66.1709 -67.213 | 0.404985 1.94825 | -6176.29 13289
66.5545 -66.8957 | 4.1528 3.35923 | 20954.7 8800.76
66.9347 -66.5512 | -1.33624 -3.78395 | 6495.74 -13554.2
67.3095 -66.2022 | -0.830348 0.0338947 | -13379.3 10426.2
67.6473 -65.8222 | 0.147286 3.32832 | 2290.3 -22461.9
67.9577 -65.4361 | 0.987084 0.668643 | -19831.7 -8272.75
68.207 -65.0203 | -4.87425 2.00513 | 3484.18 41481.8
68.4187 -64.5569 | 2.82879 -2.58447 | 30416.6 -14851.7
68.6528 -64.1017 | -1.05309 2.05978 | -10666.9 -11341.2
68.856 -63.643 | 0.746572 0.0412642 | -22601.7 11422.4
68.9981 -63.1641 | 1.39054 -0.639981 | 15358.4 -30763.2
69.1367 -62.7007 | -3.13757 -0.0863315 | -7380.72 13620.4
69.2502 -62.2249 | 1.34482 -1.29359 | 3829.2 2184.43
69.3552 -61.7422 | -2.48843 0.474121 | 13365.1 9002.56
69.4581 -61.2478 | 4.16454 -3.76136 | -13031.2 30318.7
69.5211 -60.73 | -3.02042 0.0832824 | -8902.82 -35320.5
69.5655 -60.2313 | 7.07461 6.18107 | 3677.72 4269.03
69.6373 -59.7368 | -1.05613 3.40482 | 23914.5 -3084.99
69.7672 -59.2542 | -3.45283 -4.01076 | -22969.6 -11709
69.8899 -58.7777 | 1.08539 -2.87369 | 1196.79 39965.3
70.0251 -58.2829 | -5.18427 -0.780843 | -4630.79 -35237.2
70.2075 -57.8276 | 1.35475 -4.61331 | 3928.64 -13956.8
70.4584 -57.4173 | -3.80878 0.649378 | -4910.16 20272.2
70.7586 -57.0311 | 2.97506 -0.431938 | 8665.67 -10080.7
71.1199 -56.6993 | 1.70237 -4.44855 | -3032.16 9427.56
71.517 -56.4025 | -7.78351 -4.86447 | 16750.3 3416.79
71.9524 -56.1418 | -4.81084 -0.58259 | -3388.06 5115.87
72.4006 -55.9048 | -0.292124 0.122753 | -19213.5 -7004.56
72.8498 -55.6984 | -0.129926 -4.36452 | 10949.2 6525.4
73.3188 -55.5241 | -8.09148 -0.582494 | 68.0476 -9496.79
73.8027 -55.4007 | -3.26402 -0.504993 | -2626.2 6969.23
74.2926 -55.3084 | -0.0282193 6.65949 | 5193.82 -11106.8
