48.1543 -84.7586 | -2.50669 6.50982 | 11711.7 10558
48.5983 -84.5074 | 2.1445 -0.357446 | -21042.1 -27241.1
49.0155 -84.2513 | 6.63486 -2.55479 | 4007.96 14763.9
49.404 -83.9463 | -0.220478 3.11255 | -3305.3 1569.94
49.7608 -83.601 | -0.936564 5.54197 | 24195.6 9052.25
50.1068 -83.2239 | 1.11148 5.1437 | -12391.8 -499.757
50.408 -82.817 | -0.462714 -1.72624 | -13768.3 -18446.2
50.6653 -82.3974 | 3.31012 -0.0743035 | 18378.6 10618.3
50.904 -81.9536 | 4.97375 -4.24399 | -65.3498 17320
51.0983 -81.4761 | -2.87004 0.593525 | -9710.84 -3150.8
51.2401 -80.9834 | 7.54348 3.17156 | -3836.4 -4406.09
51.3531 -80.4883 | -0.0567098 -0.437419 | 7963.06 -9174.33
51.4714 -80.0012 | -4.8262 5.1222 | -9598.83 -5359.29
51.5917 -79.5204 | -1.08727 2.08781 | 24130.4 -627.962
51.7438 -79.0438 | -6.713 -4.34348 | -23509.5 19578.7
51.8653 -78.5499 | 2.70723 1.24943 | 7485.84 -14884.4
51.9956 -78.0651 | -5.19022 -1.6234 | -1751.1 9880.94
52.1389 -77.5805 | 1.63308 -1.01573 | 5080.26 -18018.5
52.3105 -77.1149 | -4.30118 1.87002 | 1789.77 7699.92
52.4936 -76.65 | -0.716424 4.13992 | -12340.3 -2476.96
52.6691 -76.1857 | 1.23133 4.48402 | 15559 1420.68
52.8624 -75.7243 | -1.05231 -0.808147 | -16279.8 629.696
53.0422 -75.2592 | -2.50363 -1.20719 | -165.158 16373.8
53.2403 -74.7915 | -2.15317 -1.22991 | 25244.4 -13857.7
53.5014 -74.3572 | -0.822326 -3.9675 | -24972.9 -7065.48
53.7696 -73.9425 | -0.979742 -0.720914 | 1987.63 -1487.51
54.0615 -73.5472 | 1.32089 5.04526 | -2253.69 -2568.14
54.3784 -73.1731 | 4.44811 1.67877 | 13091.1 2426.78
54.7253 -72.8144 | -0.454184 -3.01353 | -1977.15 27958.5
55.0798 -72.4462 | -4.0346 -3.03044 | -5884.08 -20895.4
55.4581 -72.1199 | 4.34807 2.45571 | -1669.86 -3987.42
55.8642 -71.8381 | 1.58684 -5.10458 | -13092.6 -539.734
56.2903 -71.5984 | -3.64523 3.5534 | 25192.5 15848.3
56.7616 -71.4061 | 5.12945 -2.4509 | 22940.2 -16878.7
57.2713 -71.2956 | -3.71495 2.52468 | -25558.8 -3233.52
57.7722 -71.2248 | -2.6907 -5.60447 | -13068.2 20013.1
58.2645 -71.1504 | 5.65762 -2.09285 | 18191.4 -25747
58.7697 -71.1142 | -3.23893 6.35906 | -3126.05 31446.5
59.2706 -71.0523 | -4.51811 -3.98869 | -23541.2 -26422.5
59.7564 -71.0241 | 2.20274 -0.526544 | -4645.81 -1690.07
60.2371 -70.9886 | -1.48019 -1.22465 | 19238 23171.1
60.7247 -70.9011 | -3.88436 -1.4043 | -8975.6 -11999.1
61.2078 -70.8071 | -5.46898 5.2895 | 10387.2 -1241.48
61.6961 -70.7067 | 1.77134 -0.134916 | -2545.24 16388.2
62.183 -70.5904 | 1.77368 -0.333434 | 8428.43 -13574.9
62.6801 -70.5122 | -0.172935 3.84861 | -4915.89 -16931
63.1768 -70.4704 | 4.84548 -0.433499 | -14198.5 19962.1
63.6624 -70.3985 | 6.84191 -3.32453 | 10050.4 -7455.15
64.1528 -70.315 | 1.48571 -2.28169 | 19073.3 11945.1
64.649 -70.2044 | 1.65127 3.43829 | -36292.2 -30296.6
65.1188 -70.0918 | -1.13505 1.7354 | 5268.46 35602.5
65.5742 -69.9056 | -6.7936 -2.05808 | 25264.3 -15856.2
66.042 -69.7112 | -2.14183 -2.98763 | 6093.01 6041.93
66.5041 -69.488 | 5.09716 2.75887 | -8998.37 2302.87
66.9404 -69.2296 | 9.79284 6.86508 | -16210.8 -19104.8
67.3433 -68.9499 | 4.07383 1.95057 | 7817.19 10549.5
67.7144 -68.6232 | -4.01908 1.02042 | -11637 -10836.2
68.0372 -68.2607 | -2.51705 -8.76182 | -2630.16 9626.62
68.3206 -67.8594 | 3.78609 -7.70729 | 21343.3 17692.1
68.6043 -67.4367 | 1.48229 1.99923 | 11623.9 -18190.9
68.8865 -67.0194 | 1.91659 -2.5829 | -31860 -5951.57
69.1073 -66.5837 | -3.62482 1.33044 | 11201.1 -480.636
69.3048 -66.137 | 9.83139 1.65888 | -13376.6 -4869.03
69.4749 -65.6839 | 2.40844 1.70612 | 22687.5 9678.61
69.6642 -65.2251 | 8.01241 0.731121 | 444.31 11308.2
69.8454 -64.7532 | 3.76777 5.58086 | -4408.4 2430.11
70.0033 -64.2735 | -4.05928 -0.583957 | -18097.4 -22150.6
70.1394 -63.8028 | -1.50262 -6.55571 | 29059.8 21314.1
70.3103 -63.3263 | 0.852948 -0.736729 | -14304.9 -2844.46
70.476 -62.8519 | 2.81542 -2.62114 | 459.746 -18272.2
70.6484 -62.3909 | -5.79473 -3.65527 | 3086.31 17428.6
70.8234 -61.9196 | -1.57647 -0.570961 | 5272.68 5248.94
70.9996 -61.4451 | -0.49808 0.405881 | -18609.7 -22172.1
71.1584 -60.9808 | -2.453 -1.51559 | 14574.1 17952.1
71.3351 -60.5108 | -1.20526 6.11048 | 1109.45 -6173.25
71.5217 -60.0479 | -2.93966 -3.88933 | -15666.8 -13656.2
71.7001 -59.5904 | 0.953067 -8.77918 | 20683.4 47036.2
71.9051 -59.1124 | 6.45216 -5.53218 | -9417.1 -42616.4
72.1307 -58.6707 | -1.73762 -1.43624 | -4809.84 552.442
72.3677 -58.2379 | -0.424138 1.89451 | 1686.55 26377.7
72.6229 -57.7981 | -5.91991 3.22869 | 3697.3 -13654.3
72.9244 -57.3903 | 0.786365 -2.41444 | 18996.5 17805.9
73.2823 -57.0081 | 2.03637 6.80037 | 5453.82 -7703.45
73.6779 -56.6691 | 4.27336 0.788517 | -46478.2 -10879.7
74.0682 -56.37 | -1.1341 2.49899 | 18847.5 -15500.7
74.5043 -56.1391 | -3.30522 0.601297 | 8312.74 13885.8
74.9663 -55.9361 | -1.86778 -3.23432 | 3923.02 15982.7
75.4443 -55.7544 | -1.20711 -7.53298 | -595.729 -27679.6
75.9364 -55.6412 | -2.12185 -1.05726 | -18115.5 2842.36
76.4202 -55.5432 | -3.47665 -4.96667 | 6164.19 15367
76.9049 -55.4274 | 1.45544 0.122985 | 2190.32 -1101.75
77.3939 -55.3188 | -4.11799 2.2159 | 8734.32 -11086.8
77.8912 -55.2356 | 1.06899 0.964737 | -12415 2959.74
78.3784 -55.1493 | 0.853562 -7.05239 | -22014.8 5770.32
78.85 -55.0495 | 0.377678 -1.9401 | 28442.9 -10666.6
79.3391 -54.9603 | 2.08608 2.54542 | -6969.04 10451
79.8236 -54.8503 | -0.433259 0.155922 | 161.079 3469.79
80.308 -54.7309 | -1.85378 -2.84968 | 21025.7 -19476.8
80.8052 -54.6252 | 0.421901 -1.98595 | -22236.2 18815.2
81.2797 -54.4716 | -3.43415 3.61558 | 5582.83 -6036.96


-27.8589 29.4278 | -1.78723 1.94135 | 4873.18 4152.41
-27.3738 29.2924 | 1.59316 2.75454 | -572.507 -10582.7
-26.907 29.1012 | 0.00963066 -2.2331 | -9018.1 4906.05
-26.4628 28.8761 | 0.0150682 -2.70316 | 2830.07 5026.6
-26.0307 28.6295 | 0.379057 -1.4399 | 6517.85 -1861.82
-25.6123 28.3547 | -0.683263 -0.946926 | -12287.5 73.3797
-25.225 28.0477 | 1.58841 1.03164 | 558.488 2246.32
-24.8563 27.7204 | -2.61521 -2.76552 | 6818.8 -1383.96
-24.497 27.3785 | -4.31251 -2.96434 | -7150.02 3346.87
-24.1557 27.0261 | -1.9776 -0.385904 | -877.902 8437.18
-23.8259 26.67 | -2.46722 -1.81462 | -3304.51 -4145.6
-23.5112 26.2988 | -2.05435 -1.24846 | 9643 -6069.62
-23.1967 25.9158 | -1.05 0.216702 | 2815.22 -13503.2
-22.8824 25.5207 | -1.68705 -0.711656 | -0.900093 5404.17
-22.5559 25.1389 | -4.99447 -3.91949 | -1202.22 11800.5
-22.2113 24.7823 | -4.14482 -0.894827 | -3159.8 -6785.09
-21.8557 24.4348 | -2.23155 1.41354 | 4172.77 -330.357
