-72.9424 0.00888763 | 5.96117 -3.3849 | -5767.39 -908.055
-72.4999 0.232713 | 2.86441 0.280086 | 8195.78 -1267.12
-72.0384 0.429008 | 2.2556 0.399959 | 8134.84 2325.77
-71.5618 0.604677 | -1.12745 3.75402 | -4540.54 4611.6
-71.0821 0.767049 | -2.14736 3.25838 | -5655.18 -2116.71
-70.5988 0.903427 | -0.721869 1.41761 | 1993.73 -183.052
-70.1064 1.00372 | -0.577501 3.83533 | 1003.63 -3641.16
-69.6073 1.05839 | 0.211319 1.9199 | -7390.38 2957.37
-69.1107 1.07249 | 0.594641 3.36345 | -1925.86 -8.11516
-68.6172 1.03906 | 1.80774 3.24109 | 1579.92 -2770.86
-68.1287 0.953493 | 0.523738 -1.02637 | -247.574 -6607.53
-67.6481 0.824308 | -1.73286 -2.21068 | 5749.81 7483.55
-67.1668 0.686049 | -0.716732 -2.99869 | 4661.52 3320.15
-66.685 0.539956 | -0.146713 -3.58726 | -3444.45 -5819.44
-66.2116 0.37179 | -1.56487 -0.398316 | -3794.21 5769.6
-65.7465 0.192399 | -1.57892 0.283555 | -351.568 -3357.08
-65.2886 -0.00488015 | -1.514 3.33904 | 2288.85 2168.19
-64.8348 -0.213154 | -1.2946 0.862617 | -36.1367 864.596
-64.3878 -0.435184 | 0.283124 0.714221 | 2178.79 1953.93
-63.9511 -0.67642 | 3.25148 3.83393 | -8580.96 -4080.26
-63.5373 -0.949484 | 4.1408 0.58209 | 2651.62 -1875.5
-63.1344 -1.24377 | -0.824816 -4.0506 | 9176.22 -1990.08
-62.7299 -1.54818 | -1.7033 -0.194653 | 1376.48 -10641.3
-62.3243 -1.86133 | 2.15941 1.87907 | 4137.45 7407.68
-61.9044 -2.15455 | 1.83061 1.87071 | -1968.31 6632.16
-61.4744 -2.42602 | -1.3097 -1.48958 | -5046.7 -6849.98
-61.0416 -2.69135 | -1.68997 -1.73901 | 6710.96 5845.11
-60.5955 -2.93683 | -0.809703 2.81102 | -4631.49 -3618.53
