13.8197 24.9868 | 1.19295 0.270001 | 6773.95 6038.39
14.2745 25.2097 | 0.286734 -3.22996 | -7471.43 -11088.7
14.717 25.4375 | 0.663325 -2.26175 | -9129.32 2521.21
15.1434 25.6817 | 3.06096 -1.08704 | -1107.48 -3573.59
15.5649 25.9311 | 3.17644 -0.15701 | 11987.5 -402.023
15.9921 26.1854 | 0.513397 -0.286377 | 2995.09 11126.5
16.4132 26.4609 | -0.142696 -1.5393 | -5374.39 -4808.89
16.8258 26.7423 | 2.78142 1.31879 | -1530.79 464.236
17.2356 27.0253 | -0.769959 3.13636 | -1884.57 2294.75
17.6501 27.3004 | -1.38912 -0.263768 | 2912.11 -5721.99
18.0817 27.5479 | -0.155825 2.04608 | 5668.74 486.413
18.5296 27.7709 | -0.126298 1.97681 | -10268.5 3273.84
18.9809 27.9771 | -1.33523 0.399444 | 5308.84 3385.18
19.4474 28.1541 | -0.0884524 -1.48583 | -1996.89 -7532.18
19.9274 28.2805 | 1.28871 -2.54648 | -3707.6 3719.65
20.416 28.3635 | 2.42354 -1.77987 | 13603.4 833.336
20.9194 28.3963 | 0.2358 -0.227303 | -1524.03 -11307.1
21.4234 28.3737 | -2.48485 -1.19314 | -4542.5 19341.9
21.9226 28.3355 | -0.625859 -1.18729 | -553.965 -9491.45
22.4144 28.2456 | 1.90181 -1.3089 | -3736.68 -3827.1
22.8935 28.1071 | 2.27639 -1.55611 | 5505.98 3613.35
23.3664 27.9403 | -0.848502 -0.927062 | -444.343 -3113.94
23.8297 27.7475 | -2.3579 0.431326 | -1049.87 5260.06
24.2844 27.5433 | 0.613885 3.17538 | -10249.9 4010.78
24.7248 27.3273 | 0.861667 0.684181 | 1954.16 4243.91
25.1573 27.0973 | -0.0815985 0.532561 | 4238.46 -10049.6
25.5778 26.837 | 0.324443 4.24693 | -8201.24 6243.63
25.9833 26.5629 | 0.695557 2.08876 | 6678.19 -2000.2
26.3882 26.2783 | 1.5327 -2.19752 | 13258.1 -7345.95
26.7986 25.9825 | 1.06412 -2.00123 | -1535.22 2537.25
27.2036 25.679 | -0.776308 -2.23829 | 655.44 -7127.5
27.5993 25.3604 | -1.80534 -1.20784 | -10940.3 8217.16
27.9844 25.0425 | -0.834883 1.4455 | 5385.32 2131.2
28.3748 24.7291 | -0.809734 2.18661 | 4773.6 -3804.57
28.7685 24.4128 | -2.67012 3.72369 | -1107.01 -2458.93
29.1584 24.0891 | 1.41449 5.00555 | 2420.2 -6058.88
29.5466 23.7585 | -0.0900559 -0.29618 | -9371.77 2155.22
29.9348 23.4366 | 0.418404 0.682353 | -772.268 5566.29
30.3431 23.1459 | 1.07152 0.230711 | 11643.9 5540.78
30.7832 22.8965 | -0.601353 1.41514 | -3928.57 -10837.5
31.2368 22.6668 | -0.00870453 5.04752 | 7113.23 -1224.18
31.7114 22.4741 | 0.565288 6.66352 | -4838.29 13980
32.1983 22.3394 | 1.53259 3.6708 | -15642 -4396.38
32.6836 22.2388 | 4.31305 -0.333048 | 8324.3 2137.88
33.1796 22.1746 | 1.94577 0.847076 | 6649.02 -1685.2
33.6842 22.1374 | 1.91781 1.47345 | 3921.08 -910.5
34.193 22.1218 | 3.21793 1.95038 | -6253.64 -3241.8
34.6985 22.1253 | 0.869846 0.706269 | 437.676 5618.34
35.2035 22.1592 | 1.57085 -1.79592 | 6766.22 -1446.19
35.7112 22.2133 | -0.218966 0.886576 | 609.276 -1535.13
36.2169 22.286 | -0.193325 1.85632 | -4683.41 -2257.23
36.7136 22.3822 | 2.39562 2.09527 | -13425.7 6205.18
37.1929 22.5133 | -0.901463 0.916861 | -1932.54 693.076
37.6662 22.6584 | -0.62785 -0.515597 | 8623.28 -8304.51
38.1466 22.7917 | 1.33871 0.443699 | -3787.84 3241.76
38.6263 22.9247 | 1.89744 0.482562 | 1566.61 4845.75
39.1094 23.055 | 1.95318 -0.69489 | 9907.23 -2404.26
39.6036 23.1634 | -0.936085 -3.10836 | -6144.9 -468.265
40.0981 23.2448 | -0.499137 -1.66261 | -11256.2 -4103.05
40.5874 23.2922 | 1.71835 -1.33568 | -8784.64 127.322
41.0723 23.3113 | 1.95154 0.71392 | 6385.85 5656.2
41.5628 23.3081 | 1.40834 2.17118 | 16585.2 -5841.53
42.0641 23.2682 | -1.30811 0.625325 | 730.247 362.23
42.5641 23.1997 | -1.37412 -1.61559 | -8211.19 1970.12
43.0548 23.1093 | 2.22691 -1.77783 | -1998.81 4057.44
43.5392 22.9999 | 4.00455 -0.865888 | 4560.54 -2597.35
44.0187 22.8601 | 1.68268 -3.18727 | -1555.63 -4439.28
44.4873 22.6877 | -1.72802 0.205851 | -4512.77 9285.21
44.9449 22.4994 | -0.297362 2.65198 | 3872.76 -6170.53
45.3939 22.2817 | -0.117623 -1.6869 | 7030.58 -4984.36
45.8361 22.04 | -0.886073 -0.983797 | -9006.15 12154.5
46.2647 21.7912 | -0.697311 -1.36685 | 26.5386 -2437.43
46.6801 21.5209 | 1.39628 0.237942 | 2919.12 -4096.57
47.0823 21.2256 | 2.37465 1.23154 | -2360.47 -6538.84
47.4713 20.9112 | -0.366795 -1.04406 | 5777.27 15904.8
47.8624 20.6068 | -0.384206 -0.90056 | -10642.7 1400.46
48.2345 20.2892 | 2.05567 -0.632336 | -2282.27 -6026.34
48.5881 19.9482 | 3.50216 0.491153 | 15021.7 -3525.21
48.941 19.5934 | 3.48324 0.620467 | -3493.9 -2320.35
49.2782 19.223 | 2.77817 -0.254492 | -4982.48 2875.92
49.6001 18.8431 | 2.2414 1.51815 | 4280.79 -1291.15
49.9194 18.4573 | 3.42545 1.4977 | 7731.56 -4737.32
50.2399 18.0652 | 4.14284 0.655522 | -8983.26 -1187.37
50.5482 17.6676 | 2.93686 -0.32085 | -1434.29 9925.77
50.8584 17.2802 | 2.85585 -1.361 | -2857.92 1430.38
51.1727 16.9002 | -1.06595 -2.6158 | -6099.53 -4514.71
51.4967 16.5286 | -4.13832 -2.15765 | 11535.4 1406.98
51.858 16.1858 | -0.577785 0.683097 | 9631.67 4129.46
52.2495 15.8719 | 1.77457 -0.23519 | -15042.4 -13321
52.6382 15.5583 | 0.730869 -0.713431 | 1332.64 13618
53.0432 15.2747 | -1.65131 1.00241 | 692.614 -3180.8
53.4606 15.008 | -0.695935 -1.65039 | -1371.23 -5859.01
53.8871 14.7545 | 1.87711 -2.18284 | -1213.02 10808.3
54.3261 14.5312 | -0.701297 -2.09679 | -1651.55 -9850.41
54.7725 14.3172 | -1.53775 -0.391395 | 9195.92 -7698.6
55.2377 14.1257 | 1.2647 -1.80688 | 3397.62 13238.1
55.7209 13.9882 | 1.32915 -1.26283 | -11109.6 -2467.6
