47.8831 -84.0248 | 1.36787 3.96829 | 17757.8 7021.82
48.3397 -83.7855 | 0.710103 -6.7745 | -13471.5 -10687.7
48.7639 -83.5177 | -3.69083 -9.84716 | -16751.7 192.916
49.1402 -83.2054 | 5.64175 -0.043727 | -10959.6 -7128.15
49.4803 -82.8659 | 2.37666 6.48664 | 20083.5 -1455.02
49.821 -82.5121 | 1.80145 -6.77421 | 5143.94 37502
50.1487 -82.1195 | 3.36186 2.86871 | 6294.94 -35622.7
50.4865 -81.7533 | 4.64642 9.81623 | -17972.8 1851.97
50.8007 -81.3775 | -5.68154 -2.77842 | 7604.84 601.467
51.1058 -80.991 | 2.01414 -10.6636 | -6605.4 10180.5
51.3932 -80.588 | -1.26282 -0.717296 | 18886.1 -15215.3
51.6894 -80.195 | -8.58842 -0.259868 | -33514.2 -8367.94
51.9385 -79.7882 | -2.87973 1.46498 | 25859.1 10754.7
52.1883 -79.3649 | -5.8868 2.8718 | 5946.77 11766.3
52.4137 -78.915 | 1.48538 1.69724 | -15817 13001.5
52.5892 -78.4362 | 3.05833 4.38063 | 19233.3 239.149
52.7616 -77.9516 | 0.134537 -0.306425 | -8265.85 -8592.53
52.9077 -77.4678 | -5.1494 0.989101 | -12865.1 -16188.2
53.0245 -76.9901 | -0.813724 3.26671 | 1756.34 8126.52
53.1463 -76.511 | -1.44338 -2.28965 | 11562.8 -11878.8
53.3026 -76.046 | -0.460071 -1.79441 | 3881.01 15911.8
53.4701 -75.5771 | 0.615167 1.67533 | -31111.2 -21400.8
53.6185 -75.1212 | -2.98662 3.44831 | 26266.2 -6462.62
53.8189 -74.6812 | 9.35391 0.67454 | 738.771 45297.3
54.0363 -74.2174 | 0.567303 2.84402 | 7852.83 -2317.38
54.2813 -73.7656 | -1.36973 -5.71268 | -24271.2 -34850.9
54.535 -73.3476 | -3.92061 -8.07355 | 11420.6 34859.9
54.8266 -72.9329 | 0.588644 -0.515429 | 12691 -27461.3
55.1767 -72.5731 | 4.21101 -1.89696 | -5821.31 15783.1
55.5434 -72.2259 | -3.13279 -2.82814 | -11114.8 -4939.02
55.9191 -71.9002 | 4.51368 -3.23184 | -92.4172 -6330.39
56.3163 -71.6061 | 5.75718 3.31956 | 8279.44 4515.22
56.737 -71.3357 | -2.47296 0.0387563 | -5982.51 1902.85
57.1699 -71.0842 | 0.757755 2.87062 | 19084.1 12595.3
57.6292 -70.8532 | 2.19109 3.11296 | -11643.9 -13637.1
58.0995 -70.6699 | -0.554085 0.162482 | -2881.12 -7025.18
58.5773 -70.5238 | -1.2447 2.95871 | -6240.6 24851.2
59.0551 -70.3829 | 3.32041 -6.14925 | -2938.86 -16765.9
59.542 -70.3156 | -1.61738 -0.806455 | -6353.56 -14886.2
60.0304 -70.326 | 0.774964 -2.88089 | 16328.2 25103.1
60.5282 -70.3523 | 6.13709 -4.74922 | -7293.23 -18778
61.0201 -70.4336 | 3.53212 -0.746213 | 19998.7 374.928
61.5214 -70.5329 | 3.20089 -3.55036 | -11377.6 16162.1
62.0168 -70.6239 | -4.53455 -1.67759 | 2996.92 -16033.4
62.5088 -70.739 | -6.82627 5.15773 | -7735.86 6856.71
62.994 -70.8489 | -7.12495 2.00381 | -19563.7 42.4935
63.4688 -70.9449 | 0.185246 -4.53348 | 13273 6672.83
63.9559 -71.0081 | 3.29095 1.66656 | 3013.35 -12867.1
