-21.8239 -61.497 | 4.69779 -2.60729 | 8046.6 -10253
-21.4513 -61.8449 | 2.27571 -0.697156 | -15784.7 8100.34
-21.0996 -62.1965 | 0.112308 0.485505 | 106.078 9397.76
-20.7416 -62.5332 | 0.727004 1.07226 | 8030.17 -3058.22
-20.3676 -62.8587 | -0.0077538 -0.976961 | -1938.4 -486.408
-19.9881 -63.1766 | 0.354362 -0.550049 | -7123.17 5985.76
-19.6083 -63.4861 | 1.57013 4.19246 | 6616.95 -4387.68
-19.2219 -63.7972 | -1.63298 2.74182 | 9380.6 -10487.6
-18.8302 -64.1173 | -0.417105 1.69644 | -5086.56 629.182
-18.4412 -64.437 | -0.744348 1.85306 | -2839.87 11241.7
-18.0504 -64.7434 | -2.74802 0.0504133 | -4500.83 -3225.19
-17.6629 -65.0519 | -1.03126 1.57201 | -31.1988 -9582.24
-17.2704 -65.3612 | -1.8791 2.95062 | 10981.7 2882.22
-16.8512 -65.6425 | -0.277798 4.58851 | -2600.64 1710.06
-16.4126 -65.8889 | 1.68835 5.50966 | -4391.66 -598.833
-15.9581 -66.0963 | 0.960543 -0.144792 | -3722.82 2042.32
-15.4873 -66.252 | 0.688491 -2.49555 | -1271.46 264.453
-15.0015 -66.3468 | 1.11841 -2.96085 | 8862.85 2933.04
-14.5019 -66.3744 | 1.57844 -1.99634 | -4745.2 3287.04
-14.0048 -66.3455 | 0.655416 1.07939 | -5528.63 -8194.05
-13.5141 -66.2864 | 0.913048 1.70838 | 7225.51 2048.36
-13.0243 -66.1927 | 0.882638 0.628792 | -1998.09 3194.37
-12.5415 -66.0673 | -2.17679 2.06453 | 4839.48 -6917.15
-12.0613 -65.9263 | -0.787846 1.80467 | -6567.61 5977.66
-11.5925 -65.7573 | 0.774053 4.16082 | 7901.28 -8135.36
-11.1251 -65.575 | 0.534921 3.50322 | 4489.71 7689.38
-10.6685 -65.3572 | 0.0477185 1.49568 | -11497 2130.45
-10.2357 -65.1059 | -1.52629 0.74279 | 3497.64 -6719.09
-9.81193 -64.8413 | -1.22784 2.19355 | 646.851 3692
-9.39847 -64.5579 | 0.703483 -0.405288 | -975.697 2660.93
-8.99331 -64.2614 | 0.293015 -1.59319 | 4550.34 -5288.34
-8.58731 -63.9658 | -0.274854 -0.394143 | -6432.84 2379.31
-8.18888 -63.6639 | 0.0338677 0.45438 | 3426.81 -622.059
-7.78814 -63.3635 | 0.2972 1.46707 | -116.587 -2760.27
-7.38577 -63.0673 | 2.14936 0.147498 | -4705.77 4135.39
-6.98591 -62.7699 | 2.56602 -4.31499 | -463.407 -264.943
-6.57835 -62.4855 | 1.49374 -3.72192 | -2995.39 -7399.19
-6.15682 -62.2307 | 0.385885 0.268732 | 1398.11 3222.62
-5.71934 -62.0008 | 0.00216793 2.21924 | 3111.43 2901.36
-5.26513 -61.7998 | -0.917349 0.833101 | -2886.77 -5714.51
-4.79856 -61.6373 | -1.26268 0.312062 | -3191.77 10256.3
-4.32312 -61.5022 | -0.0921399 1.29322 | 6413.55 -3485.54
-3.83051 -61.4225 | 1.25237 7.19515 | 12983.2 -7539.54
-3.32285 -61.4071 | 1.41658 7.79343 | -5027.3 8493.38
-2.81793 -61.4316 | -1.0609 4.41044 | -6393.86 4518.95
-2.32195 -61.5054 | -2.15331 4.20716 | 11519 -14186.8
-1.83455 -61.655 | -1.00286 2.35344 | -2881.7 2786.24
-1.36986 -61.8596 | -0.0944738 -0.213455 | -12028.1 3306.94
-0.937129 -62.1086 | 0.530671 -1.0679 | -1920.24 -1319.99
-0.526416 -62.3908 | 0.0395035 -3.50373 | 7812.41 -18.9864
-0.120932 -62.6887 | 0.27266 -2.88763 | 6095.45 -3244.62
0.282244 -62.9969 | 2.65152 0.397669 | -7105.02 7178.73
0.676211 -63.3071 | 2.23441 -2.32332 | -570.173 -901.953
1.06353 -63.6246 | 0.942807 -7.40369 | 1142.39 -4270.05
1.44691 -63.9495 | 5.56476 -4.79149 | -812.413 8131.37
1.8301 -64.2692 | 5.92132 -2.05778 | -2944.81 -5691.8
2.2094 -64.5941 | 0.747685 -3.58462 | 983.891 304.443
2.59424 -64.9132 | -1.66164 -1.99332 | 3366.2 4748.72
2.99152 -65.2176 | -0.14791 -0.146826 | 745.741 -6224.46
3.39618 -65.5186 | 0.666729 -1.27932 | 4098.23 -2574.93
3.81235 -65.8114 | 0.822336 -0.767189 | 7366.49 -1046.31
4.2426 -66.0911 | 0.0791587 -0.291394 | -9480.25 737.741
4.67475 -66.357 | -0.0496314 -0.31278 | -5061.94 4539.11
5.11503 -66.5988 | 1.49347 0.116578 | 6631.43 2357.99
5.57176 -66.8129 | 1.34685 -1.95265 | -4516.77 -2892.66
6.03439 -67.0082 | 0.579905 -1.44899 | -3320.96 3657.9
6.50254 -67.1791 | -0.611062 -0.946894 | -4941.61 -7448.64
6.9747 -67.3297 | -1.59445 0.0795184 | -2858.96 3743.06
7.45651 -67.431 | -1.32671 -1.20062 | 3629.82 6158.95
7.94849 -67.468 | -0.634131 -0.982875 | -1764.47 -5488.4
8.43993 -67.4558 | -0.781907 1.56552 | -9071.84 -819.374
8.92089 -67.3919 | -0.0926183 1.67507 | -1911.81 4377.44
9.39265 -67.2787 | -0.649639 -2.31535 | 12406.2 -6039.3
9.86735 -67.1413 | -1.07142 -0.898601 | 13012.6 7101.25
10.3444 -66.973 | 0.832775 -1.0955 | 2040.91 2203.3
10.816 -66.7821 | -2.16808 -3.57036 | -4329.89 -7563.42
11.2779 -66.5818 | -3.83899 -2.17617 | -9875.75 -406.605
11.724 -66.3632 | -2.96257 -1.06165 | 2773.96 1374.6
12.1632 -66.1273 | -0.713669 -2.62297 | 9436.22 -1652.76
12.5999 -65.8775 | 0.485096 -3.6534 | -9674.69 3499.16
13.0169 -65.6019 | -1.43448 -5.73838 | 1841.85 2114.75
13.4247 -65.3093 | 0.236581 -4.36321 | 6424.66 1853.9
13.8341 -65.0119 | 0.0212307 -1.67778 | -2827.84 -5239.58
14.2431 -64.7198 | -2.29481 -2.47837 | -2757.79 1307.16
14.6504 -64.4299 | -0.866615 -2.43955 | -5617.28 -6551.29
15.0574 -64.1502 | -1.74215 -0.810001 | -1269.84 1.05456
15.4669 -63.8764 | -2.87472 0.992508 | 1350.15 5712.35
15.883 -63.6068 | -2.46066 0.0385366 | 3604.74 -1432.01
16.3137 -63.3555 | -3.03153 -0.797666 | 9876.16 -979.891
16.762 -63.1244 | 1.12488 -0.337806 | -6456.22 3400.05
17.2112 -62.9002 | 1.32071 -2.18862 | -5103.41 3469.64
17.6633 -62.6859 | -0.51535 -3.71245 | 9557.57 -6783.8
18.1326 -62.5025 | -1.00858 -2.99079 | -3647.04 4311.13
18.6078 -62.3383 | -1.0798 -4.77749 | -3566.26 943.814
19.0884 -62.1996 | 0.671869 -1.0144 | -1027.63 -2085.65
19.5766 -62.0999 | -0.618903 2.85523 | -2463.05 -1633.51
20.07 -62.0452 | -0.447373 1.01914 | 3162.06 -2258.55
20.5682 -62.0348 | 1.72133 -2.91758 | -1352.46 700.249
21.0659 -62.0567 | -2.66005 -0.652122 | 5153.03 4787.96
21.5655 -62.1008 | -3.43706 1.06591 | -2562.57 -2708.94


-39.3956 57.1163 | -1.1398 -1.73833 | -301.409 3437.68
-38.9338 56.9304 | 0.00803613 1.02409 | -3252.52 -215.432
-38.4727 56.7488 | -1.30456 -4.79672 | -4784.98 -2175.74
-38.0126 56.5688 | 0.416344 -2.02245 | 10134.1 -2221.68
-37.5407 56.3985 | -1.70109 -4.03064 | 7051.46 -5876.04
-37.057 56.2443 | -3.30637 -7.19814 | -4444.21 8821.62
-36.5677 56.1283 | -1.06249 -0.217304 | -14299.2 -3542.86
-36.0815 56.0429 | 0.212417 1.47354 | 6585.61 3219.88
-35.5861 56.0017 | -0.804026 0.256051 | 7764.4 181.155
-35.0836 56.0022 | -2.81725 1.9844 | -4866.99 -5917.23
-34.5847 56.0389 | -1.84325 2.39394 | 2152.5 7615.82
-34.0904 56.129 | 1.49766 3.23613 | 5264.12 -853.219
-33.6028 56.2601 | 2.12373 0.211188 | -9849.56 -2831.22
-33.1334 56.4254 | 0.826795 -2.91967 | -8103.9 -545.26
-32.6811 56.6203 | 2.44833 -2.01031 | 9868.37 -690.929
-32.2302 56.8342 | 4.74227 -1.70629 | 10503.2 5172.05
-31.7794 57.0702 | 3.35806 1.66601 | 5278.45 2469.15
-31.3348 57.3281 | 0.543138 -0.154681 | -3795.23 652.531
-30.9058 57.6085 | 1.38276 -2.63491 | -3210.76 1293.03
-30.4933 57.9077 | 0.468249 0.0979857 | -7260.25 -8281.52
-30.0947 58.2121 | -1.06102 2.89502 | 680.25 -5594.65
-29.7044 58.5226 | 1.9115 -0.892175 | 2631.57 8897.81
-29.3281 58.8558 | 0.773347 -0.33375 | -9363.53 -169.765
-28.9701 59.2029 | 0.0936857 -0.907035 | 2322.58 -6731.05
-28.6088 59.5452 | 0.40623 -1.12242 | 11768.8 9391
-28.2343 59.8885 | 0.286425 0.370253 | 5806.78 -1234.53
-27.8535 60.2289 | -1.03126 2.03436 | -12924.4 1877.37
-27.488 60.5754 | -0.0265255 1.90428 | -14409.2 -9653.45
-27.13 60.9114 | 1.61551 0.57931 | 7051.55 -5514.96
