-79.8049 -37.0322 | -1.49847 -0.886966 | -2731 3423.6
-79.3073 -37.0764 | -0.153539 3.55325 | 16199.4 -5518.49
-78.8035 -37.1565 | -1.86219 2.01368 | -5840 2757.99
-78.3079 -37.2636 | -3.5639 -0.923345 | -7007.24 -2990.08
-77.8234 -37.3982 | -2.97678 4.04078 | 3533.87 377.788
-77.3406 -37.5463 | -0.536094 1.0694 | 4602.89 -478.022
-76.8552 -37.6984 | 2.24666 -2.41641 | 4238.31 1759.79
-76.3674 -37.8471 | 1.06587 -0.687328 | -12888.7 2619.66
-75.8889 -37.9938 | 0.515271 -0.0775576 | -6494.28 860.913
-75.4162 -38.1389 | 1.92543 1.30142 | 2278.39 2361.52
-74.9428 -38.2799 | -2.24522 -0.459746 | -5741.92 1349.87
-74.4736 -38.4232 | -4.31386 -3.66981 | 7034.36 -6419.85
-74.0029 -38.5778 | -0.370018 -2.85895 | -4778.69 -978.959
-73.5337 -38.7328 | 0.777668 -1.66393 | 3026.61 -2262.87
-73.0562 -38.872 | 2.37943 1.65178 | 9727.75 5535.94
-72.563 -38.974 | 1.47705 2.64534 | 1194.91 -266.27
-72.062 -39.0454 | -0.777848 0.642769 | 3495.64 -4444.22
-71.5553 -39.0935 | 0.570718 -1.30514 | -3766.54 6508.28
-71.0481 -39.1085 | 1.51407 -0.881563 | 6867.35 -3963.46
-70.5357 -39.1046 | 1.54984 -0.880866 | 5350.85 -2118.36
-70.0201 -39.0793 | 1.52345 0.30397 | -6060.15 2496.81
-69.5112 -39.0199 | 1.57587 2.76193 | -939.485 -1037.78
-69.0108 -38.9226 | 0.592206 0.800705 | -8857.01 5023.2
-68.5289 -38.7789 | 0.246884 -2.31898 | -10724.1 -7138.82
-68.0668 -38.6057 | 2.48295 -1.13888 | 4461.34 -4110.98
-67.6162 -38.4032 | 3.15348 2.11014 | -1613.93 6275.64
-67.1851 -38.1564 | 0.0545628 1.10899 | 17596.8 5302.28
-66.7643 -37.8718 | -2.13743 1.31201 | -14744.9 1631.18
-66.3765 -37.5537 | -1.1721 2.24544 | -3114.47 -10812.9
-66.0045 -37.2268 | 2.2731 1.74741 | 11484.9 887.135
-65.6372 -36.8882 | 0.793265 2.47081 | -11698.4 3736.14
-65.2965 -36.5272 | -6.06453 5.22603 | 1948.73 -1636.84
-64.9657 -36.1577 | -3.60784 1.08732 | -2160.59 778.99
-64.636 -35.7876 | -0.0177193 -0.936387 | 4764.53 -2796.6
-64.291 -35.429 | -3.52701 3.57555 | 5643.13 7530.35
-63.9287 -35.0773 | 1.06991 1.86046 | 372.803 8188.9
-63.5489 -34.7373 | 3.04937 -1.47528 | 6737.46 -9987.23
-63.1394 -34.4351 | -1.30642 1.32331 | -5370.88 -241.894
-62.7166 -34.1616 | -1.08167 -0.379071 | -20544.3 -7580.02
-62.2926 -33.9188 | -0.96298 2.12818 | 5526.44 -1361.85
-61.8494 -33.7088 | 1.70406 3.1662 | 10259.1 8617.95
-61.3859 -33.5229 | 1.41999 1.38979 | -2067.08 -2511.34
-60.9109 -33.3709 | 1.16805 2.16538 | -1605.71 639.618
-60.4272 -33.2517 | -0.58976 0.336625 | 2030.04 7856.81
-59.9343 -33.1668 | -1.6286 -0.0765565 | 736.31 -10835.9
-59.4344 -33.1466 | -0.63393 2.4361 | -29.753 -182.247
-58.9338 -33.1775 | -0.559048 -2.3869 | 7803.51 4440.9
-58.4312 -33.2446 | -0.141001 -0.374119 | 4755.08 -5811.57
-57.9334 -33.3537 | 3.3022 2.6337 | -19471.9 3727.98
-57.4568 -33.4896 | 1.22548 -0.130905 | -7308.9 7810.77
-56.9916 -33.6382 | -1.01338 0.463589 | 9992.52 -5304.44
-56.5261 -33.8087 | 0.103524 1.504 | 8804.12 -4751.66
-56.0598 -33.9973 | -1.14066 1.25422 | -7046.19 4497.32
-55.6001 -34.191 | -0.427974 5.99113 | 1605.46 -2868.72
-55.1402 -34.388 | -2.57795 4.22889 | 5947.08 4407.57
