-46.3534 -47.3991 | 2.631 -0.860231 | 974.08 -1295.79
-45.9002 -47.1871 | 1.21785 1.06078 | -17.7637 247.834
-45.4445 -46.9803 | 0.318315 1.89969 | -564.773 1753.78
-44.9866 -46.7779 | -0.202617 2.24348 | -433.485 2221.95
-44.524 -46.5853 | -0.47832 2.34056 | 518.57 699.4
-44.0517 -46.4163 | -0.552063 2.06881 | 1365.26 -1263.1
-43.5663 -46.2872 | -0.561045 1.58599 | 1407.73 -2324.71
-43.0694 -46.209 | -0.681075 1.24868 | 1177.74 -2903.67
-42.5658 -46.1832 | -0.926065 0.59756 | 1005.25 -1344.84
-42.0607 -46.1998 | -1.20267 -1.30374 | 507.281 677.962
-41.5568 -46.2443 | -1.44858 -3.91639 | -475.01 362.995
-41.0552 -46.3052 | -1.54401 -5.89257 | -748.944 226.218
-40.5552 -46.3728 | -1.3324 -6.27311 | -258.077 1360.63
-40.0555 -46.4374 | -0.887996 -5.00503 | 304.809 2356.89
-39.5548 -46.4951 | -0.479975 -3.05419 | 871.472 1669.83
-39.0529 -46.5502 | -0.1647 -1.09166 | 916.96 -229.275
-38.551 -46.6138 | 0.0579359 0.458631 | 254.966 -1515.2
-38.0514 -46.6958 | 0.111996 0.966483 | -825.762 -1961.32
-37.5565 -46.8008 | -0.0874124 0.227204 | -1420.32 -994.22
-37.0672 -46.9257 | -0.472566 -1.00853 | -895.409 356.963
-36.5821 -47.0631 | -0.966446 -2.03209 | 69.2133 466.65
-36.0988 -47.2066 | -1.66611 -2.90812 | 1205.45 320.346
-35.6149 -47.3517 | -2.54189 -3.75769 | 1960.02 321.948
-35.1293 -47.4963 | -3.29519 -4.06628 | 1106.56 -1326.85
-34.6423 -47.641 | -3.73386 -3.56296 | -309.602 -1990.71
-34.1543 -47.7826 | -3.88287 -2.73196 | -878.06 910.691
-33.6634 -47.9099 | -3.77133 -1.8403 | -1561.75 2204.89
-33.1689 -48.0136 | -3.56261 -1.36131 | -1776.78 1094.48
-32.6711 -48.0903 | -3.34225 -1.65356 | -943.258 114.366
-32.1708 -48.139 | -2.95971 -2.15917 | 231.227 -400.381
-31.6683 -48.1587 | -2.31232 -2.23428 | 654.836 -67.7981
-31.1652 -48.1463 | -1.57145 -2.06147 | -95.4405 719.304
-30.6644 -48.0981 | -0.927317 -2.13632 | -1215.96 -80.1691
-30.1696 -48.0136 | -0.296411 -2.27914 | -2187.03 -581.069
-29.6846 -47.8924 | 0.283298 -1.51354 | -2153.25 -1595.56
-29.2129 -47.7343 | 0.665093 -0.184237 | -1217.37 -1618.63
-28.7581 -47.5366 | 0.874411 0.414688 | -178.924 17.4324
-28.3257 -47.2946 | 0.777971 0.138443 | 832.454 1523.17
-27.9207 -47.0068 | -0.0259691 -0.12704 | 1471.72 1689.88
-27.5461 -46.6773 | -1.46904 -0.196445 | 769.465 1496.3
-27.2029 -46.3133 | -2.65674 -0.622416 | 7.58995 277.386
-26.8888 -45.9233 | -2.98405 -1.37716 | -499.53 -1107.19
-26.5993 -45.5157 | -2.71653 -2.00651 | 104.61 -1587.89
-26.3287 -45.0965 | -2.32551 -2.37136 | 697.571 -395.785
-26.0731 -44.6679 | -1.87865 -2.62557 | 1143.52 924.029
-25.8305 -44.2304 | -1.25831 -2.89504 | 1376.34 1667.16
-25.6007 -43.7839 | -0.523762 -3.23336 | 301.094 2344.24
-25.3853 -43.328 | -0.12007 -3.50532 | -1279.3 2169.24
-25.1836 -42.8646 | -0.0904764 -3.59156 | -919.4 40.7101
-24.9879 -42.3989 | -0.0443765 -3.49154 | 62.9458 -2214.02
-24.7876 -41.9371 | 0.226227 -3.43131 | -696.835 -2519.05
-24.575 -41.4835 | 0.57494 -3.60719 | -928.271 -1986.75
-24.3436 -41.0416 | 0.684081 -3.91429 | -366.776 -1200.36
-24.0879 -40.6148 | 0.0288067 -3.87921 | -100.537 -235.942
-23.8041 -40.2066 | -0.922887 -3.53414 | -918.389 638.899
-23.4905 -39.8212 | -1.48165 -3.31362 | -601.353 27.7261
-23.1439 -39.4657 | -1.81495 -3.20149 | 471.647 -1060.23
-22.7625 -39.1485 | -2.27536 -2.94605 | 956.807 -1149.22
-22.3494 -38.8734 | -2.87851 -2.55067 | 118.241 282.24
-21.9123 -38.6371 | -3.38741 -2.29873 | -790.846 1738.06
-21.4585 -38.4343 | -3.59976 -2.50318 | -495.715 1807.89
-20.9912 -38.2643 | -3.47179 -3.15913 | -60.7507 1416.63
-20.5118 -38.1318 | -3.08531 -3.62262 | -26.1596 173.145
-20.0221 -38.0458 | -2.51154 -3.20269 | -79.726 -1599.51
-19.5264 -38.0141 | -1.67791 -2.04994 | -308.311 -685.989
-19.0304 -38.0362 | -0.628665 -0.844434 | -644.418 441.449
-18.5394 -38.1063 | 0.256342 -0.571338 | -968.232 -166.367
-18.0568 -38.2178 | 0.599213 -1.17469 | -437.654 -312.356
-17.583 -38.3618 | 0.427061 -1.85773 | 734.142 -149.547
-17.1151 -38.5264 | -0.000147795 -2.0968 | 1552.37 121.894
-16.6491 -38.6997 | -0.58017 -2.18042 | 1680.67 1099.73
-16.1814 -38.8715 | -1.37457 -2.60458 | 1036.52 1001.48
-15.7108 -39.0374 | -2.0125 -2.59973 | 639.647 362.177
-15.2377 -39.1978 | -2.21146 -1.75006 | 613.423 450.689
-14.7631 -39.3551 | -2.0265 -0.62254 | -37.8997 -1.35379
-14.2891 -39.5141 | -1.74539 0.0686168 | -622.308 -821.027
-13.8175 -39.6793 | -1.59524 0.614843 | -88.5352 -639.083
-13.3485 -39.8521 | -1.85422 0.795017 | 878.047 -769.694
-12.881 -40.0318 | -2.29843 0.771049 | 1365.02 -2024.53
-12.4132 -40.2161 | -2.79393 0.576331 | 1947.79 -1599.34
-11.9421 -40.398 | -3.33374 0.192323 | 1672.69 -1089.8
