8.17922 5.28077 | -1.18409 4.85905 | 6392.07 2202.1
8.63243 5.50817 | -0.73551 1.73018 | 3399.07 1450.65
9.08949 5.73102 | 0.294532 0.423215 | -9199.42 1150.92
9.53971 5.95387 | -0.199284 1.59658 | -7742.38 -5055.97
9.98708 6.16597 | -0.535478 3.31478 | 4323.16 -7619.75
10.4407 6.36423 | 2.11553 3.1984 | 2106.78 8538.91
10.8919 6.57647 | 2.19343 -1.07878 | -1618.3 -978.634
11.3362 6.80159 | -0.449482 -1.0162 | -1379.72 2734.78
11.7741 7.04104 | -0.877062 0.640249 | 9944.75 2849.29
12.2151 7.2871 | 1.33162 -0.876851 | -5336.86 -6888.3
12.6506 7.53197 | 2.25158 -0.64319 | -5527.39 -6685.06
13.0754 7.78412 | 2.16528 -0.397536 | 1542.56 8585.11
13.4849 8.06611 | 1.88572 -0.490288 | 1665.74 -435.617
13.8796 8.37164 | 3.16631 0.833346 | 4516.31 2398.71
14.2599 8.69996 | 1.64752 1.00551 | -5866.57 1505.14
14.6192 9.04854 | -0.552044 0.250359 | 3929.72 -7769.07
14.9695 9.40395 | 3.25482 -1.05169 | 1262.01 5989.65
15.3038 9.77977 | 5.16023 -2.0317 | -260.35 4386.72
15.6193 10.176 | 1.68339 0.550606 | 7249.23 3375.46
15.9238 10.5867 | 0.819591 0.896789 | -1975.95 -3099.48
16.2078 11.0079 | -0.321396 1.79746 | -12283.9 -8123.55
16.4613 11.437 | 0.69539 2.64133 | 2923.33 -1375.9
16.703 11.8716 | 1.3773 -0.291027 | 4633.93 919.704
16.9382 12.3125 | -1.02777 -0.0600058 | 1873.77 3668.09
17.1585 12.7647 | -1.57432 1.59318 | -4140.69 5029.65
17.354 13.2298 | 1.43121 1.04049 | -92.9197 -9872.45
17.5336 13.6946 | -0.103819 1.76026 | -4489.23 1201.86
17.6977 14.1634 | -4.40561 1.38993 | 2110.63 -4730.46
17.8628 14.6295 | -1.86123 -1.34759 | 3907.97 3010.69
18.0342 15.0971 | 0.6398 -1.5475 | -4218.95 12001.5
18.2061 15.572 | -2.40407 -1.98342 | 6465.37 -5956.18
18.3993 16.0379 | -1.91644 -2.92304 | -3976.41 4174.64
18.608 16.499 | -2.83093 -1.89455 | 3012.86 1584.53
18.8451 16.9481 | -2.97328 -0.253426 | 1031.03 -1750.77
19.1154 17.377 | -2.0244 -0.697863 | -1130.23 -4653.21
19.4185 17.7793 | 0.0269286 -2.34851 | -1159.41 -1600.36
19.7519 18.1557 | -1.46704 -0.607402 | 4937.95 5721.03
20.1155 18.5097 | -0.972246 -1.62125 | -1562.37 -957.847
20.5037 18.835 | 1.70968 -2.1796 | -4141.87 -6179.82
20.9135 19.1257 | 0.913738 0.450313 | 5529.47 7640.72
21.3471 19.3896 | -0.408408 1.31785 | 1329.57 -4147.53
21.8014 19.6146 | 0.988208 1.11346 | -5887.88 -2754.03
22.2661 19.803 | 2.0691 -0.353431 | -9665.64 647.208
22.7357 19.9596 | 2.14684 0.591986 | 3638.36 -1246.28
23.2186 20.0781 | 1.212 4.31468 | 9609.75 3643.95
23.7165 20.1606 | 0.512103 2.74065 | 3311.95 -9154.59
24.222 20.2013 | 1.74895 2.22235 | -2874.11 4290.6
24.726 20.2315 | 0.889941 4.49469 | -8144.84 6346.75
25.2241 20.2656 | 0.437281 4.21629 | 341.896 -5187.27
25.7225 20.2911 | 1.82555 1.35318 | 6573.08 -2511.77
26.2241 20.3166 | 1.87793 0.0346551 | -9192.35 7025.08
26.7192 20.3615 | 2.13979 0.902712 | 2361.07 -4882.04
27.2142 20.4161 | -0.495478 1.53717 | 3610.09 3181.07
27.7089 20.4904 | -1.30016 0.166293 | -4974.96 -1992.39
28.197 20.5825 | 0.350546 -1.84275 | -4187.53 1224.17
28.6781 20.696 | -1.31409 -0.446127 | 3799.65 -624.835
29.1585 20.8265 | -1.94196 -1.5735 | 12219.3 538.59
29.6428 20.9754 | 0.669836 -3.44511 | 1137.36 6574.84
30.1203 21.1513 | 2.14735 -1.29815 | -12670.5 -4447.11
30.5834 21.3405 | 2.44279 0.749714 | 3830.27 -9283.02
31.0439 21.5345 | 0.572391 -0.387184 | 5228.5 6665.63
31.4952 21.7613 | -0.617353 0.261866 | 1659.46 7684.03
31.9271 22.0303 | -0.587959 0.969867 | -953.98 -6991.19
32.335 22.3288 | -3.00886 2.59844 | -8225.12 -3044.31
32.7055 22.664 | -2.26805 2.03611 | 4541.96 4524.23
33.0391 23.0407 | -2.44597 -2.13449 | -4205.67 4865.78
33.3276 23.4549 | -3.24356 0.749831 | -1905.73 -265.378
33.5835 23.8893 | 0.751214 2.77372 | 8437.02 -4744.44
33.8277 24.3285 | 0.516205 1.37774 | -8868.97 -10431
34.0453 24.7714 | -1.09921 2.35641 | 1034.59 1016.62
34.2401 25.2248 | -1.45345 2.26118 | -1524.03 6164.76
34.413 25.6911 | -1.5681 1.85386 | 10515.3 -1451.49
34.5783 26.1628 | -5.20021 3.16085 | -3044.05 6879.42
34.7119 26.6469 | -4.01937 0.48404 | -8546.07 -12259
34.8056 27.131 | -0.271735 -0.941196 | 6425.19 -2682.92
34.878 27.6163 | 0.605453 -1.36883 | 8.26812 3409.57
34.9223 28.1062 | 0.889576 -1.15182 | -2868.94 -5300.94
34.9343 28.5949 | 4.3254 -0.705386 | -3950.38 2920.43
34.9232 29.0861 | 4.92276 -1.31823 | 6251.27 7790.44
34.9162 29.5826 | 3.98201 1.77579 | -2169.43 -4396.36
34.9147 30.0776 | 0.618143 3.17021 | 1880.05 3254.65
34.9289 30.5747 | -0.8076 2.13925 | -3570.68 2307.4
34.9607 31.0733 | -1.47313 0.325808 | 3432.17 5993.14
35.0266 31.5726 | -5.04005 -0.642446 | 4503.36 -6564.07
35.1306 32.0619 | -2.66216 2.71746 | -1411.67 -1168.04
