48.2746 -86.483 | -0.121155 1.07173 | 7403.84 7993.45
48.7526 -86.3032 | 2.33095 3.98879 | 7517.9 273.509
49.2295 -86.1089 | -1.33786 1.91707 | 5149.49 -8378.75
49.7007 -85.9082 | 3.39257 1.3691 | -41257.5 -5225.29
50.1303 -85.6825 | -3.62754 2.26547 | 4961.58 -1651.11
50.5498 -85.4396 | -0.76588 -0.0619319 | 16323.1 1800.79
50.9711 -85.181 | -1.53637 -0.0453186 | -7753.51 2784.15
51.3737 -84.8978 | 3.6439 1.33758 | 3781.13 -15929.4
51.7624 -84.5999 | 3.8255 2.24187 | 308.03 35262.7
52.1178 -84.2417 | -2.77546 0.799148 | 8695.43 -17789.8
52.4659 -83.8805 | -6.31977 0.704762 | 1302.38 -13246
52.7928 -83.5101 | -6.91151 -2.34623 | -22574.4 11747
53.0576 -83.0973 | -3.86376 -3.793 | 7699.05 -2969.52
53.3045 -82.67 | -4.87662 2.21614 | 17741 11273.8
53.5569 -82.2311 | 2.57177 0.728361 | -9297.06 -381.567
53.7934 -81.7842 | 4.55694 2.08675 | 3288.37 1899.59
54.0282 -81.334 | 0.279924 -1.68914 | 15961.3 -3540.14
54.2667 -80.8845 | -7.06886 0.62539 | -34330.9 -3781.91
54.4525 -80.423 | -1.2139 2.8217 | 16100.9 -515.865
54.6465 -79.9612 | 7.66302 2.74579 | 12888.2 7818.48
54.8505 -79.4963 | 9.53883 -2.81672 | -13390.8 -12956.1
55.0253 -79.0312 | 3.93357 -0.754012 | -11077.3 5458.99
55.1691 -78.5553 | -6.21415 -5.00459 | 3599.76 6206.85
55.3255 -78.0791 | 0.48535 -8.0309 | 12668.6 -14057.4
55.5267 -77.6255 | -1.35736 -0.116079 | -13953.5 6867.38
55.7458 -77.1803 | -3.8546 0.97907 | 20763.5 -1220.93
56.0111 -76.7563 | 4.08538 -0.0332143 | -25596.6 -12055.6
56.2735 -76.3464 | 6.75589 2.15911 | 19830.1 8135.89
56.5586 -75.9388 | 2.56734 2.00054 | -11093.4 18541
56.8371 -75.517 | -3.87638 2.53337 | 10132.1 -4569.55
57.1404 -75.112 | 4.2277 -1.44021 | -11808.5 -16667.6
57.4582 -74.7368 | -1.50248 -1.98514 | -6069.67 -2319.57
57.7909 -74.3813 | -5.94049 -0.998421 | 4948.83 13033
58.1497 -74.0397 | 2.55322 -2.08647 | 18869.4 -11960.7
58.5476 -73.7337 | 0.518883 -1.88364 | -16055.5 28876.5
58.9422 -73.4178 | -1.13268 -2.78231 | 7130.01 -21916.3
59.3658 -73.1516 | 1.94253 -6.08108 | -6117.19 -148.81
59.803 -72.921 | -0.794621 -2.65564 | -17932.9 -193.012
60.2432 -72.7207 | 0.748368 -1.90259 | 13150.5 -3800.23
60.7078 -72.5612 | 3.27186 -1.2519 | 14406.8 19573.8
61.1929 -72.4224 | 5.41161 1.89808 | -4214.86 -36717.9
61.6883 -72.3449 | -1.52008 -2.95739 | 12321 47792
62.1894 -72.2258 | -5.49188 -5.36793 | 7479.2 -37459.7
62.6966 -72.1402 | -1.95921 5.47579 | -32693.5 17652.3
63.1778 -72.0171 | 3.62706 3.91754 | 18144.4 8907.92
63.6622 -71.8697 | -2.32081 -0.0694034 | -9509.32 -12835.1
64.1434 -71.7358 | 0.386544 0.356248 | 3165.35 -560.676
64.6277 -71.6101 | 4.42566 0.317857 | 2254.2 -1420.66
65.1123 -71.4841 | -4.44933 -3.79382 | -12218.7 -1170.35
65.5859 -71.3441 | -3.69624 0.60798 | 15427.4 -4496.99
66.0592 -71.1799 | -5.2571 6.12165 | -10762.1 13518.3
66.5057 -70.9561 | 3.32437 -0.740645 | 3428.24 4181.76
66.9351 -70.6952 | 2.55733 -0.976076 | 3764.44 -18377.6
67.3577 -70.4293 | 2.50786 1.50758 | -1830.72 13765.8
67.7571 -70.1247 | 1.58447 0.604965 | 3020.61 -14313.3
68.1335 -69.797 | 2.51354 1.00029 | -6165.39 19273.4
68.4639 -69.4146 | 0.592232 4.71906 | 1315.84 2451.82
68.7663 -69.0049 | -2.02393 -3.46194 | 15519.6 -2184.23
69.0656 -68.5888 | 2.69826 2.53974 | -6860.91 -20526.1
69.3341 -68.1674 | 0.971733 6.41442 | -10796.2 23259.4
69.5391 -67.7062 | -7.89769 -1.00051 | -2037.92 -25488.1
69.7006 -67.2464 | 8.84484 -3.07104 | 1900.6 -20433.7
69.825 -66.7897 | -1.76945 4.44685 | -12112.1 18337
69.899 -66.3117 | 0.461437 -0.257979 | 19021 13245.9
