-36.1338 87.1696 | -2.70902 -3.35878 | 1989 22405
-35.7619 87.5254 | -1.69416 1.97215 | 16836.1 -25396.4
-35.3602 87.8381 | -2.17198 -2.653 | -27421 -10985.4
-34.9718 88.1386 | 0.715446 -1.65525 | 3154.05 19536.6
-34.5874 88.4574 | 1.19549 -0.671478 | 11176.7 7779.77
-34.184 88.767 | 1.14327 -3.05374 | 2987.72 -24480.9
-33.7558 89.0303 | -1.36035 -1.60117 | -10879.9 17206.6
-33.3272 89.2932 | -0.156912 -3.85458 | 12979.4 816.361
-32.8782 89.5333 | 2.00264 -1.36462 | -9694.23 -10262.5
-32.4196 89.736 | 0.125638 -2.4016 | -1153.01 4286.21
-31.951 89.9138 | -1.03117 -0.797963 | 2469.47 -1989.95
-31.469 90.0607 | -0.173113 -2.26495 | 17650.8 -1768.04
-30.969 90.182 | -0.447024 -1.36378 | -10769.5 12387.1
-30.4744 90.3003 | 2.07607 -0.480228 | -18650.6 -16896.1
-29.9887 90.3856 | 1.36906 1.51226 | -351.414 7733.87
-29.5021 90.4628 | 0.0783495 10.0672 | 18580.8 -7359.68
-29.0032 90.525 | -0.71005 7.13646 | -14985.5 20905.1
-28.5145 90.6018 | 1.68465 -2.5914 | -15752.6 -11435.1
-28.0321 90.6367 | 3.13845 0.252212 | 17458.9 -13708.9
-27.5379 90.6161 | 2.38464 2.75381 | 9990.33 23191.5
-27.0382 90.5866 | 3.28485 -1.46916 | -18439 -14946.4
-26.5552 90.5031 | -2.32254 1.42263 | -875.866 4649.32
-26.0789 90.3883 | -5.10908 -4.72646 | 20888.3 -6219.64
-25.5946 90.2479 | 3.79211 -0.903069 | -6084.53 -2628.16
-25.1145 90.0984 | 1.76612 1.97516 | 4125.69 22050.7
-24.6301 89.9691 | -0.79531 2.07754 | -3006.5 -18512.3
-24.1555 89.8033 | -0.67944 -1.35337 | -4164.69 -2571.29
-23.6889 89.6164 | 0.851671 1.36067 | 18382.6 4186.75
-23.2109 89.4338 | 3.37997 -2.51756 | -15127.6 -6829.95
-22.742 89.2512 | 1.63848 -6.11894 | -11860.2 19754.7
-22.2743 89.1039 | -5.32692 -1.59731 | 4843.86 -4289.86
-21.8017 88.9641 | 1.94057 -2.59526 | -376.213 -8229.01
-21.327 88.8178 | 1.2834 -5.22323 | 18593.4 -4658.29
-20.8368 88.6797 | -3.9982 -4.31202 | -8637.65 5463.22
-20.3453 88.5691 | -5.93245 -5.27517 | -4935.31 3406.99
-19.8536 88.4891 | -2.90612 3.00153 | -11071.1 -6863.4
-19.3663 88.4331 | -3.89898 -0.669982 | -1300.03 968.626
-18.8745 88.4247 | -5.49584 -0.108338 | 38249.3 2215.72
-18.3627 88.4815 | -4.62185 5.34844 | -20304.6 931.886
-17.8781 88.6158 | -1.03131 -1.37617 | -18904.7 410.691
-17.4371 88.8275 | -1.34828 2.70607 | -5820.5 4794.5
-17.0285 89.0928 | -1.74372 2.1096 | 13889.6 -10374.7
-16.6162 89.3626 | -2.69371 -2.3828 | 14811.7 4482.63
-16.1979 89.6436 | 0.969626 0.396399 | -4876.87 6932.16
-15.7941 89.9477 | -2.14365 0.78577 | -183.23 -5212.58
-15.4007 90.262 | -2.22479 2.69421 | 1792.16 1852.68
-15.0189 90.5896 | -1.89521 -1.68191 | -9596.86 -16967.6
-14.6581 90.9247 | 2.31544 -4.57072 | 3314.59 18755
-14.3222 91.2997 | -4.15862 1.51312 | 16121.1 13674.9
-13.9975 91.7031 | -6.6991 4.72875 | -9394.83 -15517.7
