8.82499 9.25622 | -3.34065 -0.271406 | -7613.15 1168.84
9.27763 9.05844 | -4.13738 0.708649 | 7825.67 -2890.86
9.73589 8.85928 | -4.15721 1.39482 | 2670.73 2686.45
10.1996 8.67033 | -0.950064 -1.40267 | -7976.52 -797.049
10.6617 8.49095 | -0.274583 -5.15491 | -2216.96 5288.31
11.1282 8.331 | -2.09434 -2.33666 | 5445.96 -6038.67
11.6032 8.18206 | -3.79181 -1.59403 | 1957.42 -4131.2
12.0866 8.05358 | -2.78092 -1.10645 | -2510.37 5699.34
12.5783 7.96865 | -0.966212 1.26883 | 9779.72 6679.36
13.0812 7.92851 | -1.01524 -0.85304 | -5116.67 -12318.5
13.5825 7.90483 | 1.85619 -1.57165 | -6489.16 -1124.41
14.0791 7.91847 | 2.97906 1.12359 | 1921.16 9486.84
14.571 7.99422 | 0.914787 -0.0452427 | 713.434 -8393.94
15.0529 8.11711 | 0.595003 -0.291445 | 1958.84 5123.16
15.5151 8.30319 | 2.61812 -1.80663 | -9789.58 -2201.49
15.9431 8.54593 | 3.31177 -1.84251 | 1023.99 -4389.53
16.3417 8.83351 | 2.07899 0.0544684 | 8909.7 5746.85
16.7123 9.16765 | 1.67211 -0.130098 | 1850.75 4411.86
17.0464 9.54382 | 0.492827 0.459909 | -3491.01 -931.803
17.3402 9.95062 | -0.748569 1.84878 | 1456.59 -2079.73
17.6022 10.3774 | 0.291201 2.61043 | 784.837 -3429.29
17.8336 10.8191 | -0.272714 2.66537 | -4484.74 3470.25
18.0295 11.2774 | -4.06159 2.59813 | -132.381 -8083.44
18.2033 11.739 | -1.25515 1.42642 | 1609.12 -489.05
18.3633 12.2045 | 0.973524 0.973392 | -1768.26 -1141.07
18.5107 12.6731 | 2.44667 0.552708 | 4033.64 843.369
18.6538 13.1447 | 2.40112 0.463161 | 2144.14 3935.57
18.7871 13.6218 | 1.22647 -1.69781 | -6313.55 -4768.46
18.9 14.1006 | 5.16552 -0.979897 | 4408.34 2970.1
19.0049 14.5834 | 0.526324 1.28273 | -4400.45 2356.69
19.0989 15.0692 | -2.18424 0.651999 | 685.769 -7668.91
19.1979 15.5504 | -0.896869 -0.173777 | 4616.56 9365.37
19.3115 16.0357 | -0.695224 -0.200812 | -1646.29 7937.3
19.4367 16.5241 | 0.5445 1.03122 | 569.883 -3108.76
19.5821 17.0054 | 0.500731 2.1092 | 1024.83 -4931.61
19.7519 17.4752 | -1.89301 2.25467 | 2034.62 143.711
19.942 17.9371 | 4.22053 0.256502 | -5432.66 1151.9
20.14 18.3946 | 4.9741 -2.71847 | -5753.29 555.063
20.3533 18.8439 | 1.41854 -2.82746 | 6598.1 -1251.05
20.6084 19.2724 | 1.88523 -2.4175 | 5373.51 2246.57
20.9061 19.676 | -0.81739 -1.05438 | -8255.19 -3967.04
21.2308 20.052 | -0.42758 1.85063 | 1933.14 2821.39
21.5873 20.4 | 0.705506 -1.47882 | 1725.03 -2455.23
21.9758 20.7133 | -2.48592 -0.902116 | 6394.53 -450.499
22.3909 20.9978 | -2.02982 3.54846 | -1140.92 15228.8
22.8174 21.2733 | -0.304759 3.90407 | -6250.31 -12371.9
23.259 21.5089 | 0.271164 4.89656 | 2308.69 -2549.74
23.7181 21.7076 | -0.159656 2.47355 | 650.196 6763.4
24.1887 21.8826 | -2.52092 -0.656515 | -1026.72 -5422.41
24.669 22.0233 | -1.71517 -0.74027 | -608.115 2477.06
25.1561 22.139 | -0.87193 -0.248637 | 3363.96 635.186
25.6504 22.2297 | 0.78879 -0.722208 | -3022.99 -6609.34
26.147 22.2944 | 2.84354 0.826269 | 4512.1 5604.95
26.6467 22.3572 | 3.2204 -1.2324 | -2656.71 -3658.65
27.1437 22.4214 | 3.74193 -2.31825 | -5444.78 -2969.8
27.6332 22.5036 | 1.60102 -0.281943 | -3315.97 4917.41
28.1118 22.6287 | -0.211048 0.946488 | 6778.45 7318
28.582 22.7988 | 0.597291 -0.266988 | -1040.79 -8468.11
29.0399 22.9917 | 0.908931 -0.593928 | -14472.5 192.544
29.4746 23.2129 | 1.30143 0.397019 | 3552.26 -6797.89
29.9013 23.4499 | 1.16944 -1.96602 | 10396.9 8317.94
30.3223 23.7164 | -3.06079 4.58358 | 9042.67 7048.53
30.7339 24.0127 | -0.992087 4.09873 | -5035.94 -4471.44
31.1259 24.3295 | 0.143157 3.37759 | -2879.82 3191.81
31.4984 24.6679 | -0.397355 4.45427 | 5991.23 -5983.43
31.8609 25.0153 | -4.06709 2.50813 | -10525.9 -3976.95
32.1966 25.3794 | -5.53995 -1.15919 | 2760.79 -1167.77
32.511 25.7623 | -0.994046 0.677331 | 3711.35 5663.19
32.7997 26.1711 | 1.91158 3.49876 | -1418.96 4553.45
33.0561 26.6045 | -0.338519 3.87588 | 2488.89 1446.63
33.2864 27.0537 | -2.22866 1.51419 | -3351.58 -7939.96
33.49 27.5091 | -0.00554784 0.0469204 | -2330.05 -2371.97
33.67 27.9719 | -0.492882 1.14061 | 5858.31 4564.58
33.8357 28.4444 | -3.18739 1.53756 | -3701.42 3648.85
33.9794 28.9269 | -2.16555 1.9115 | 3553.92 2269.17
34.1116 29.4149 | 0.659869 3.60268 | -866.679 -2900.48
34.2312 29.9044 | 2.33558 2.32173 | -3885.7 286.139
34.3385 30.3963 | 3.52384 0.24985 | 5649.52 1052.72
