-76.3302 -0.0471672 | -2.11075 -0.0813242 | -2383.34 -653.461
-75.9101 0.21903 | -1.27695 1.037 | -5338.18 3884.47
-75.4739 0.455715 | -2.05841 4.80138 | 11131.4 -76.9435
-75.0062 0.638605 | 0.0380534 1.15022 | 1448.71 -13845.4
-74.5178 0.753784 | 1.04516 6.74654 | -3671.24 10540.1
-74.0256 0.843237 | 0.788876 7.05706 | -6178.71 2571.68
-73.5341 0.907271 | -1.30275 2.52189 | -3863.7 -5702.4
-73.0421 0.934165 | -0.927683 -0.0550406 | 8450.91 2889.68
-72.5455 0.935665 | 0.515386 -1.61354 | -11463.7 8150.99
-72.0568 0.91454 | 1.52269 -1.60475 | -2712.37 -6029.35
-71.5748 0.84404 | 0.447798 0.009357 | 9874.96 -2190.87
-71.0959 0.727086 | -0.095692 1.99184 | -6578.53 6311.21
-70.6313 0.575347 | -1.01924 -2.08674 | -1589.66 -8272.85
-70.1804 0.383364 | 0.114062 0.649606 | 9554.92 3086.72
-69.7285 0.179816 | 2.10974 -1.43373 | 3999.37 5498
-69.2764 -0.0274415 | 2.32278 -3.37151 | -1759.5 -3599.08
-68.8346 -0.253285 | 1.14047 0.536384 | -12197.9 3866.7
-68.4093 -0.493306 | -0.487489 -0.0705096 | 8225.61 2516.7
-67.9835 -0.740485 | -0.499412 1.00869 | 9072.93 -8253.75
-67.5571 -1.00277 | -1.71859 0.721335 | -5133.89 -459.044
-67.1355 -1.26913 | -0.52591 -0.287229 | 1120.68 12031.3
-66.7094 -1.52016 | -0.696903 -2.09523 | -4344.64 -5146.57
-66.2867 -1.77555 | -0.845396 -2.44993 | 6334.04 -3566.39
-65.8597 -2.03281 | -0.715208 -0.623896 | -2093.68 1194.56
-65.4305 -2.28489 | -1.42051 -0.0544297 | -1763.49 -3019.41
-64.9959 -2.52834 | 0.152154 1.4734 | 8987.53 5248.94
-64.5455 -2.74814 | -0.884254 -0.922111 | -8066.86 -235.941
-64.0944 -2.9566 | -1.26023 -1.14776 | -2298.31 -9466.02
-63.6397 -3.15915 | -0.134568 -1.76973 | 5827.17 6471.11
-63.1681 -3.32415 | 0.889691 -1.25723 | -3356.52 -1692.37
-62.6858 -3.44884 | -0.0882165 -2.7634 | 2542.3 5136.22
-62.1924 -3.52301 | -1.36907 -2.19085 | 160.891 4179.89
-61.6945 -3.55909 | -0.4926 -0.781642 | 102.394 -9977.26
-61.1954 -3.58773 | -0.640909 -1.72366 | 1907.28 -525.958
-60.6936 -3.60052 | -2.35606 -0.271918 | 1453.81 -2816.07
-60.1897 -3.58754 | -2.17861 0.105422 | 9521.62 8069.05
-59.6827 -3.52743 | 0.688307 -2.65673 | -5897.29 1269.67
-59.1853 -3.42767 | 1.97343 -2.73599 | -5917.52 -1578.42
-58.6981 -3.30115 | -0.206971 -0.284335 | 7450.5 2795.87
-58.2118 -3.15652 | -0.245942 -0.589126 | -6487.26 -4929.4
-57.7313 -3.00883 | 0.754953 1.84071 | 2339.79 -6793.81
-57.2522 -2.85885 | 0.278337 1.24764 | -3356.78 8535.73
-56.7834 -2.68134 | 0.940275 -2.16364 | -2582.45 481.881
-56.3228 -2.48586 | 0.53157 1.64186 | 7902.71 -2027.53
-55.8608 -2.28497 | -1.00834 2.16528 | -8165.33 530.517
-55.4062 -2.0775 | -1.90684 -1.7247 | 2702.11 -5250.76
-54.951 -1.87099 | -2.41785 -0.631059 | 4925.23 8939.58
-54.4964 -1.65147 | -0.811238 0.173441 | -8101.19 2970.8
-54.0451 -1.43166 | -1.73704 0.189466 | 9257.12 -13839.8
-53.5795 -1.24141 | -1.48475 0.290885 | -6533.54 7662.95
-53.1147 -1.05382 | 0.105 -0.504211 | 767.766 2073.55
-52.646 -0.874611 | -2.06132 4.28454 | 1194.55 -173.738
-52.1699 -0.716954 | -2.51529 3.17264 | -10484.1 -1852.58
-51.6907 -0.593563 | -3.57854 1.29699 | 7124.93 -6558.73
-51.1988 -0.516898 | -3.55742 3.9365 | 1176.28 6076.09
-50.7008 -0.469133 | -1.38492 1.76198 | 1596.7 1112.5
-50.1982 -0.455831 | -2.09263 1.82158 | 10624 -3894.58
-49.6897 -0.486439 | -2.4464 2.11576 | -8544.57 148.53
-49.1901 -0.555989 | -3.98391 -2.69108 | -2540.72 4804.41
-48.6993 -0.658818 | -5.6845 -3.30072 | -965.584 -10436
-48.2195 -0.806737 | -2.64308 2.09219 | 811.082 6112.08
-47.7453 -0.970935 | -1.32345 1.52151 | 5455 -196.081
-47.2728 -1.14731 | -1.03263 -0.369909 | -8473.79 5244.48
-46.8105 -1.3339 | 0.0122762 -1.54652 | 4283.9 11.8937
-46.3552 -1.54079 | 0.350753 -1.77397 | -4355.16 -9941.58
-45.9156 -1.78008 | -1.50026 -3.85127 | 214.308 6921.19
-45.4805 -2.02486 | -1.39694 0.634586 | 8000.83 1005.09
-45.0436 -2.27366 | -0.226388 1.64567 | -8747.94 -6841.09
-44.6173 -2.53603 | -1.32914 -1.35545 | -1702.8 3768.18
-44.1874 -2.78956 | -1.14693 1.95201 | 15043.5 2509.71
-43.7375 -3.02366 | -2.39138 2.49748 | -1523.04 -4492.49
