48.0185 -85.514 | 0.727969 3.57151 | -10175.8 -3081.21
48.4895 -85.3823 | -3.91224 2.48018 | -6684.84 -907.496
48.9493 -85.2196 | 3.03572 6.26304 | 20837.1 15428.8
49.416 -85.0239 | -0.649697 -4.07011 | 19564.1 -2814.85
49.8959 -84.8279 | 3.72472 -4.21959 | -11886.3 -21711
50.3653 -84.6362 | -2.2653 3.99487 | -12014.4 14949.5
50.802 -84.3876 | 0.387988 -2.47587 | 667.824 8292.7
51.2108 -84.088 | 4.2192 2.41915 | 8722.37 4593.41
51.6096 -83.7637 | -0.0405635 1.05345 | 4847.45 -9309.62
52.0072 -83.4388 | -0.926948 -1.7376 | -7576.43 822.046
52.3919 -83.1018 | -1.0074 2.9856 | 9797.73 17255.7
52.7745 -82.7493 | 2.55526 -5.15314 | -1602.04 -39297.4
53.1539 -82.422 | 9.3349 -5.90572 | -24511.7 3050.62
53.4779 -82.0587 | 1.42255 -2.25845 | 5051 2170.14
53.7518 -81.654 | 3.50049 -2.59758 | -11604.6 12376.9
53.9706 -81.209 | -4.55856 0.831833 | 31232.3 9832.3
54.1959 -80.7487 | -0.225738 4.99416 | -12493 4097.94
54.3947 -80.2768 | 3.92014 8.70742 | 1974.42 -21740.4
54.5813 -79.8144 | -1.91155 3.70208 | -20705.7 9342.54
54.7415 -79.3444 | -1.25799 -1.98437 | 11117.6 -11629.8
54.9412 -78.8952 | 1.81755 3.98819 | 31650 -4787.74
55.192 -78.4673 | -1.10306 -8.7249 | -47586.1 3198.24
55.3851 -78.0236 | -1.88988 -2.18662 | 8763.35 -7587.27
55.5842 -77.5835 | 2.19879 -0.6233 | 13352.1 21093.8
55.8158 -77.1412 | -1.16619 -2.10952 | 6107.87 -10116.1
56.0782 -76.7175 | 0.643105 4.45018 | -7827.56 5550.02
56.3432 -76.2938 | -9.35613 2.45729 | 1189.57 12538
56.6174 -75.8679 | -5.96586 -1.30705 | -4691.67 -4090.69
56.9158 -75.4654 | -1.2214 -1.16139 | -1978.05 -23307.4
57.2559 -75.117 | 0.289597 3.56822 | -4944.6 3895.13
57.623 -74.8005 | 6.21059 2.4813 | -746.389 2011.69
58.0142 -74.5109 | 1.10897 1.20009 | 11638.4 13984
58.4337 -74.2423 | 0.265737 -0.32032 | -3666.24 -11790.5
58.8745 -74.0165 | -2.13164 3.45878 | 6420.78 10402.7
59.3337 -73.8118 | 4.98808 -3.57655 | 8141.61 2644.01
59.8104 -73.6342 | -3.57016 4.52201 | -15411.2 -6602.18
60.2925 -73.4914 | -2.42539 7.23544 | 46886.6 19853.6
60.8083 -73.3739 | 1.36024 1.84105 | -57258.1 -30367.1
61.2995 -73.3275 | -1.40522 -3.09731 | 13386.5 -1624.15
61.7973 -73.3026 | -3.41522 -1.39247 | 16693.9 16210.5
62.3045 -73.2425 | 0.683923 -2.61681 | -3192.5 10172.3
62.8065 -73.1492 | 4.03569 -2.0887 | -14588.9 -12352.3
63.2995 -73.0621 | 1.26111 -2.71708 | 9264.51 1972.35
63.7975 -72.9785 | 2.89794 2.49118 | -3641.97 -5764.48
64.2946 -72.9011 | 0.0868146 -1.08819 | 6953.75 8115.56
64.7923 -72.8106 | 0.0235575 -6.27183 | -24813.6 -11942.2
65.2747 -72.7185 | 0.172911 0.346215 | 18259.6 21060.6
65.7667 -72.5995 | -2.32778 -1.19179 | 35082.6 -15338.2
66.2804 -72.4987 | 2.555 -2.25607 | -52482.9 -8310.14
66.7565 -72.3897 | 1.32012 -0.298285 | -19643.9 9031.08
67.2061 -72.2443 | -4.60841 -2.69404 | 14114.5 -15641.5
67.659 -72.0924 | -1.38055 -0.22373 | 13136.7 14261.3
68.1087 -71.8947 | -0.95209 -6.37893 | 5215.37 -1297.72
68.5459 -71.6558 | -0.428189 -0.656877 | 8919.38 17781.2
68.9658 -71.3663 | 4.64857 5.62641 | 8075.48 -20747.4
69.3694 -71.0618 | 0.619707 6.04082 | -20958.6 -362.414
69.7102 -70.7081 | 2.41518 -1.46978 | -20943.8 -4168.29
69.9818 -70.3123 | -1.07817 1.1007 | 24695.2 -5861.97
70.2433 -69.9019 | -0.891925 -0.882714 | 3304.59 17092.2
