-37.4086 84.9093 | -1.92173 4.23688 | 23393 6900.27
-36.9954 85.2237 | -1.46572 0.419749 | -26071.9 -1777.2
-36.6174 85.56 | 3.69704 5.21877 | 7912.01 6721.51
-36.2431 85.9097 | 1.28819 -1.95055 | 17159.1 1994.97
-35.8545 86.2549 | -1.85937 -0.572318 | -21183.8 -16157.2
-35.4787 86.5899 | -0.979169 0.298026 | 626.333 5488.51
-35.107 86.9304 | 0.367336 -2.09299 | 10151.4 1674.19
-34.7314 87.2717 | 3.93738 0.746722 | -21914.8 -6350.85
-34.3742 87.613 | 1.28802 0.202997 | -264.442 -5718.28
-34.0102 87.9426 | 0.699519 -3.4985 | 15398.4 11894.2
-33.6233 88.2625 | -4.63388 0.0422701 | -20258.6 -3855.4
-33.2269 88.5561 | -3.03613 -7.67468 | 25502.6 -9100.58
-32.7847 88.8 | -4.76493 -1.05776 | 8987.7 20259.6
-32.3222 89.0321 | -0.025114 -2.35026 | -14860.2 5164.67
-31.8545 89.2345 | 2.75149 -4.61221 | -745.308 -30725.7
-31.3703 89.3527 | 1.07914 1.31086 | -30722.1 6651.15
-30.8973 89.44 | -3.09438 -0.75484 | 28360.4 10385.5
-30.4037 89.5108 | -0.640568 -1.37841 | 3381.59 -4523.23
-29.9018 89.5501 | -1.27401 2.03492 | 426.931 -5026.1
-29.3986 89.5646 | -1.79452 1.38868 | -7751.87 27087
-28.9014 89.5819 | -3.66339 -2.12224 | -9139.66 -37634.9
-28.413 89.5212 | 1.01442 8.18777 | 10832 14409.4
-27.9207 89.4565 | 1.17973 -2.65053 | -6999.27 18129
-27.4333 89.4021 | -4.38231 -0.962985 | -11023.5 -21634.8
-26.9578 89.303 | 0.442366 0.539691 | 13952.2 2001.33
-26.4753 89.1982 | -0.274833 4.91884 | -3076.23 14797.4
-25.9892 89.112 | -3.50837 1.43009 | 17589.3 -17955.7
-25.492 89.0089 | -1.13431 -4.39303 | 5035.5 9504.27
-24.9906 88.9147 | -1.29199 -1.88818 | -21247.2 -11696.1
-24.503 88.8162 | -1.64489 -0.860822 | -278.059 14500.7
-24.013 88.756 | 1.36613 -0.965018 | 4154.37 -268.677
-23.5188 88.7203 | -0.208203 -2.17018 | -7581.79 -9829.61
-23.0277 88.6937 | 2.79952 -5.18072 | 6571.45 15272.6
-22.5321 88.7008 | 2.90575 0.00429442 | -937.312 -21880.4
-22.0352 88.7028 | -0.928639 -0.215932 | 14029.4 17718.7
-21.5317 88.7485 | 0.302376 -2.17437 | -15250.9 -2532.96
-21.039 88.8167 | 1.39915 -2.05524 | 7290.66 -4160.93
-20.5445 88.8924 | -2.11982 -4.01817 | -259.848 -1697.28
-20.0517 88.9789 | -0.576932 -2.64569 | -1104.29 -1397.61
-19.5638 89.0852 | 3.47787 2.92584 | -4782.1 2352
-19.0853 89.2245 | -0.876867 -2.60858 | 18445.6 5108.2
-18.6058 89.3989 | -1.6893 1.90353 | -10034.1 470.085
-18.1439 89.6053 | 0.487129 3.1871 | -2891.25 10333.6
-17.6939 89.8328 | -0.00481889 -1.13635 | -4654.61 -29438.6
-17.2402 90.0281 | 3.98789 -4.55637 | 7056.22 7792.71
-16.7859 90.2389 | -0.368372 -3.06965 | 17140 9828.28
-16.3415 90.4912 | -4.21921 1.74705 | -37793.5 -4781.56
-15.9516 90.7891 | -0.459623 1.71137 | 11646.9 -448.623
-15.5764 91.1112 | -0.187296 -0.761967 | 8700.02 5864.9
-15.2078 91.4483 | -1.35107 1.47843 | -20458.3 -21142.2
-14.8565 91.7804 | 0.700353 3.41268 | 25691.5 17196.3
-14.4971 92.1286 | 3.32889 -2.01354 | -12202.3 -2054.69
-14.1581 92.4917 | -2.88184 5.50162 | 2700.09 -1418.02
-13.8292 92.8657 | -2.67119 1.04853 | 10911.9 13908.7
-13.5062 93.257 | -2.07113 -1.51058 | -24128.5 -16058.4
-13.2046 93.6449 | 0.135617 3.46623 | 10684.2 601.709
-12.8842 94.0232 | 3.57848 0.0118783 | 15984.3 16052.2
-12.5372 94.3961 | -5.70804 -3.69777 | -14742.7 -17768.6
-12.1843 94.7444 | -2.20944 -0.692215 | -13032.8 8574.92
-11.8252 95.0821 | -4.98449 -2.13928 | 27765.9 -3457.17
-11.4174 95.3788 | -3.78838 -5.62909 | -10058.3 5688.71
-10.9964 95.6475 | -0.540031 0.897417 | -29882 -14605.2
-10.5742 95.87 | -0.645845 3.61666 | 8071.1 5715.66
-10.1234 96.0445 | -2.71115 -2.6739 | 33113.5 1432.64
-9.63183 96.1621 | 0.498065 6.6116 | -10131.1 -1489.76
-9.13628 96.2391 | 1.19754 8.61182 | -9907.94 10256.2
-8.64523 96.2977 | -0.928161 0.977577 | -2294.34 -4176.5
-8.1553 96.316 | 0.206036 0.401435 | -12363.9 -5258.22
-7.67291 96.2906 | 2.35054 0.759243 | 16952.2 670.996
-7.1824 96.2439 | 3.17999 0.631848 | -6533.3 9082.07
-6.69436 96.1948 | -0.98184 -5.55446 | 6028.55 -2821.15
-6.20199 96.1279 | -5.2175 -2.48265 | 25263.8 3808.21
-5.69827 96.0364 | -1.18199 2.48662 | -24282.7 -22617.7
-5.21935 95.8899 | 3.09427 2.85259 | -6868.02 25228.9
-4.74635 95.7572 | 2.43856 -5.1052 | 10132.8 -3021.63
-4.26784 95.6154 | 1.45101 1.27223 | 15299.1 -20087.8
-3.78385 95.4453 | 3.46168 1.32051 | -7127.6 13292.9
-3.30261 95.2904 | -2.57993 -6.26645 | -21363.2 6494.01
-2.83138 95.1514 | -0.24649 -7.81584 | 18313.4 -666.497
-2.34686 95.0197 | 5.80026 -2.88793 | 5952.46 -10512.4
-1.85732 94.8776 | 2.92461 -4.68036 | 5033.73 -3796.4
-1.36519 94.7402 | -4.36731 -5.2558 | -37175.9 7344.96
-0.889788 94.6363 | -1.32809 4.28845 | 13755.2 2263.15
-0.398551 94.5885 | 0.0301822 0.035111 | 23847.2 13859
0.110524 94.6029 | 0.12493 -8.17085 | -18921.8 -22365.5
0.608693 94.6272 | 0.598628 -5.65928 | -1678.18 13013.9
1.10159 94.6953 | -3.05639 6.40006 | 8084.04 -867.807
1.59592 94.7888 | -1.8403 2.11245 | 2767.92 -9590.98
2.08987 94.896 | 1.99558 -3.5628 | 7024.58 6989.83
2.57856 95.0451 | 0.884283 -2.77373 | -5885.56 3120.01
3.04702 95.2426 | -2.78367 0.164285 | -886.744 1029.35
3.49314 95.4814 | 1.29223 -4.73086 | -14092.4 -12767.9
3.91033 95.7474 | 0.3073 -3.84999 | 11811.1 12074.7
4.30968 96.055 | 1.14373 -2.17212 | 786.029 -1239.17
4.68599 96.3922 | -1.10309 -1.93051 | -4615.84 1445.43
5.03501 96.7547 | 3.84522 0.123899 | 3673.84 -6031.94
5.36571 97.128 | 3.93708 0.506461 | -21480.9 -15147.4
5.66144 97.5083 | -3.95924 -1.37292 | 10246.3 -2256.94
5.95027 97.899 | 0.913008 -5.35879 | 13857.3 33249.7
6.22966 98.3256 | 2.77734 -0.182782 | -6554.05 -14886.7


-36.7046 70.2305 | 2.09334 -5.01945 | -1701.08 339.539
-36.3487 70.5817 | -0.177847 -1.97452 | 5835.21 1544.28
-35.9988 70.9444 | -1.2753 -3.10301 | 2868.86 2996.22
-35.6574 71.3193 | -1.16354 -1.816 | -3706.15 -1019.52
-35.3308 71.7044 | -0.724866 -0.274943 | -3630.93 -1083.39
-35.0158 72.0962 | -1.81924 0.589714 | 1078.23 1249.18
-34.7004 72.489 | -1.47174 -0.834914 | 4849.15 -1601.04
-34.3749 72.8752 | -2.95106 -1.0923 | -3302.51 2355.22
-34.0449 73.2577 | -2.20581 0.558748 | 1788.4 -2922.93
-33.7028 73.6299 | 0.018502 0.178518 | 6767.73 3495.37
-33.3469 73.9971 | -1.09861 1.7218 | 1919.45 11501.1
-32.9852 74.3679 | -2.51775 3.07254 | -2377.9 -7865.3
-32.616 74.7238 | 0.358337 -1.87557 | -9458.67 -6468.73
