27.2745 -51.7101 | 3.96303 -1.46116 | -995.938 -123.93
27.6486 -52.0409 | 3.05776 -2.64631 | 904.101 746.402
28.0388 -52.3528 | 2.12106 -3.7068 | 1094.79 863.839
28.4455 -52.6435 | 1.86625 -3.92787 | -330.92 -671.099
28.8652 -52.9154 | 1.84529 -4.04825 | -399.815 -416.031
29.296 -53.1689 | 1.98692 -3.68847 | -234.762 329.57
29.7373 -53.4032 | 2.0502 -3.11424 | -508.925 -80.5814
30.1876 -53.6186 | 1.97796 -2.74898 | -465.116 -544.443
30.6462 -53.8153 | 1.86621 -2.52101 | -447.01 -292.272
31.1128 -53.9912 | 1.79351 -2.48271 | -334.595 434.28
31.5872 -54.1436 | 1.9369 -2.49904 | 123.283 250.239
32.0689 -54.2716 | 2.19916 -2.67979 | 567.477 458.026
32.5565 -54.3762 | 2.43969 -2.97539 | 601.79 893.633
33.0482 -54.4618 | 2.51941 -3.68337 | 336.167 -1034.67
33.542 -54.5373 | 2.66678 -3.85689 | 202.402 -1834.8
34.037 -54.6085 | 2.98619 -3.69271 | 524.698 -1855.04
34.5336 -54.6746 | 3.25667 -3.89514 | 1335.51 19.8854
35.0328 -54.728 | 3.35678 -3.54832 | 883.789 1589.58
35.5344 -54.7622 | 3.35472 -2.29321 | -36.6017 1638.93
36.037 -54.777 | 3.32348 -1.40788 | 33.907 -186.448
36.54 -54.7786 | 3.25556 -1.14567 | 769.994 -943.839
37.0436 -54.7725 | 3.11964 -0.979274 | 1135.76 32.1551
37.5481 -54.7603 | 3.05715 -0.92366 | 408.05 1672.06
38.0527 -54.7433 | 3.07865 -0.798339 | -599.702 526.166
38.557 -54.7292 | 2.94669 -0.567572 | -1158.04 -860.848
39.0605 -54.728 | 2.50071 -0.388699 | -814.316 -743.715
39.563 -54.7463 | 1.88129 -0.315212 | 477.694 -1141.43
40.0646 -54.788 | 1.38569 -0.00702234 | 1124.48 -396.855
40.5647 -54.8527 | 1.04877 0.0805309 | 670.512 393.182
41.0621 -54.9391 | 0.763465 -0.00898181 | 27.8676 397.137
41.555 -55.0481 | 0.484503 -0.146407 | -397.447 281.382
42.0413 -55.1823 | -0.127564 -1.07475 | -201.083 715.133
42.5182 -55.3454 | -0.74476 -1.54929 | -764.989 -350.75
42.9811 -55.5431 | -0.69492 -0.822171 | -1455.38 -1571.49
43.4251 -55.7792 | -0.25267 -0.204819 | -524.938 -1484.26
43.8491 -56.0502 | 0.0693764 -0.2858 | 880.314 -924.308
44.256 -56.3483 | 0.141291 -0.975906 | 1544.15 342.926
44.6495 -56.6652 | 0.24786 -2.01383 | 841.199 1042.48
45.0306 -56.997 | 0.730788 -2.75687 | 263.145 1005.29
45.3972 -57.3441 | 1.81059 -2.38401 | -834.609 229.1
