11.2537 5.75541 | -2.46134 -4.65662 | 8604 -948.8
11.7332 5.91879 | -1.62547 -3.34896 | -8868.41 5349.25
12.2039 6.0929 | -3.12096 -4.17874 | -868.491 -4574.44
12.6721 6.26714 | -5.37326 -1.53649 | 255.47 -1482.34
13.1389 6.44593 | -1.49669 -2.3038 | 7544.34 6738.62
13.6058 6.64006 | 2.77837 -4.65942 | -5308.09 -2848.45
14.0649 6.84181 | 1.547 -1.91886 | -9794.91 -7764.25
14.5145 7.04795 | 1.32815 -0.40089 | 16358.8 8791.21
14.9674 7.27532 | 1.29061 -1.75355 | 4588.69 2029.59
15.4131 7.52638 | -0.00625254 0.199975 | -2574.53 -4142.26
15.8388 7.80447 | 0.168031 1.25785 | -7943.47 3555.56
16.2294 8.12335 | 2.67001 0.318098 | -8010.31 -4043.1
16.5856 8.47311 | 4.3639 0.0630746 | 8896.24 6093.65
16.9261 8.84805 | -0.286159 1.77956 | 8108.06 2112.67
17.255 9.24097 | -1.34398 -0.512842 | 568.64 -1230.38
17.559 9.65406 | 1.06694 -1.89839 | -9233.34 7022.02
17.8207 10.0953 | 1.65021 0.129701 | 2704.8 -5771.47
18.0567 10.5477 | 2.97061 1.16752 | 3214.12 -3307.09
18.2671 11.01 | 3.11033 -0.528173 | -8848.17 -2386.63
18.4334 11.4855 | 3.98469 -1.16479 | 1157.97 124.456
18.5646 11.9713 | 2.00639 0.563163 | -2471.29 -112.856
18.6642 12.4637 | -1.0232 3.10237 | 2163.68 -5000.43
18.7452 12.9568 | -0.0746496 4.43251 | 2963.9 5356.87
18.81 13.4557 | 0.676006 2.63255 | -6105.52 -366.756
18.8513 13.9569 | -3.02794 1.28979 | 360.097 -602.46
18.8862 14.4584 | -4.77854 0.589778 | 6613.8 2670.11
18.93 14.9603 | -1.77359 -1.84541 | -5238.43 -8329.11
18.9726 15.4566 | 0.0381639 -1.73896 | 5378.69 -629.712
19.0225 15.9515 | -3.19966 -0.296788 | -5598.78 2585.66
19.0667 16.4496 | -1.00655 -0.107945 | 2094.69 9219.01
19.1153 16.9553 | 0.527291 -0.404198 | 4413.52 11227.5
19.1736 17.4678 | -0.70182 -0.368122 | -12170.2 -11592.9
19.2323 17.9723 | -0.563201 0.513248 | 5631.18 -3699.25
19.3263 18.4679 | 0.00914487 0.684994 | 11316.1 -904.191
19.4673 18.9524 | -1.11463 0.321544 | -14963.1 -2226.88
19.6229 19.4281 | -0.879417 -1.14063 | 1129.26 3288.38
19.8156 19.8913 | -1.77617 -0.762783 | 8370.12 -6325.89
20.0634 20.326 | -2.63401 1.15336 | 540.273 329.029
20.3484 20.7374 | -2.1941 0.662499 | -6053.31 -2999.5
20.6506 21.1317 | -0.761721 1.07305 | -5013.96 6167.65
20.9667 21.518 | -2.49545 1.61001 | 16929.8 6364.81
21.3186 21.887 | -1.03809 -1.37343 | -4796.25 -2654.14
21.6885 22.2347 | -0.277733 0.427016 | -4112.83 -2282.17
22.0721 22.5625 | 0.451989 0.282856 | 5199.59 2713.21
22.4738 22.8722 | 0.186299 0.242004 | -7144.01 -2518.95
22.8852 23.1608 | 1.69314 -1.35111 | 633.366 -2592.67
23.3116 23.4241 | -0.671654 0.315774 | 1161.31 505.209
23.7513 23.6652 | 2.02781 1.03292 | -3894.62 696.04
24.1996 23.8863 | 5.00565 -1.4263 | 8382.27 -4734.46
24.6617 24.0841 | 3.47743 0.151887 | -9359.86 3311.69
25.1199 24.2789 | 2.49429 0.560882 | -814.65 -2058.4
25.5771 24.4712 | 0.961301 0.163237 | 691.238 -2812.53
26.0322 24.6665 | 3.38256 -0.340005 | -2738.84 1258.61
26.4789 24.8804 | 3.30241 -1.16073 | 11985.4 7973.93
26.9212 25.1225 | 2.4823 -0.99926 | -7402.06 557.079
27.347 25.3865 | 3.07824 1.24365 | -1119.16 -12088.9
27.7621 25.6569 | 2.76486 1.27763 | 1757.28 776.31
28.1582 25.9544 | -0.317651 2.90769 | -7379.1 9327.33
28.5191 26.2942 | 0.799038 1.99355 | 2103.91 -6986.81
28.8601 26.6521 | 1.56664 1.61155 | 7708 -257.33
29.1864 27.0286 | -1.20691 4.80794 | -1281.67 9190.58
29.4831 27.4352 | -2.34016 2.72922 | 4429.49 -335.528
29.7528 27.8615 | -2.4218 0.686503 | -3654.78 -10671.9
29.9833 28.302 | -3.57266 2.9939 | -4282.82 3299.36
30.1623 28.7665 | -2.4698 0.827004 | 6788.81 8415.38
30.2964 29.2527 | 0.405993 -1.10194 | -4545.57 -2690.14
30.3741 29.7496 | 1.72187 -0.406268 | -3035.28 -734.247
30.4008 30.2511 | 0.43739 0.165616 | -190.442 -1901.45
30.394 30.7527 | -2.0819 0.164889 | -449.779 8454.99
30.3717 31.2584 | -1.03673 -1.89617 | 9728.2 -8088.19
30.3533 31.7587 | -0.949336 -0.705195 | 705.495 -6183.95
30.3217 32.254 | -3.54041 1.72921 | -13155.4 5499.76
30.2575 32.7506 | -2.49825 1.72801 | 9651.67 6371.3
30.1931 33.2506 | 1.45282 2.14679 | 3988.38 -7263.07
30.1206 33.7455 | -4.6581 1.7836 | -9036.19 4641.99
30.019 34.2391 | -5.02613 2.20843 | -38.674 2549.16
29.9002 34.7313 | -3.08224 3.46271 | 149.427 1715.1
29.7734 35.2221 | -1.78563 2.89245 | 4583.24 -4944.3
29.6466 35.7067 | -1.54764 2.47268 | -2332.06 -17572
29.5148 36.1774 | -0.709304 0.492133 | 7289.58 542.943
29.3951 36.65 | -3.47563 -0.687675 | -6867.76 9616.03
29.2763 37.1322 | -5.84469 0.360564 | -399.9 17297.8
29.1655 37.6291 | -0.906041 3.5505 | -3065.96 -5379.91
29.06 38.1255 | -0.611021 3.21368 | 2728.02 -6795.2
28.9699 38.6206 | -1.88175 2.65819 | -5540.49 8754.94
28.8981 39.1238 | 0.273312 2.78177 | 7155.75 -4244.99
28.8673 39.6278 | 2.59034 3.14169 | -702.996 -5462.38
28.8738 40.1282 | 1.26708 2.2493 | -4292.4 -2622.03
28.9171 40.6238 | 1.0013 1.57663 | 3109.66 -872.53
29.0124 41.1114 | 0.344969 2.14619 | -2150.72 2368.95
29.1599 41.5875 | 1.35998 3.16289 | 2265.27 6871.42
29.3681 42.0452 | 1.526 1.6483 | 7573.86 -7443.7
29.641 42.466 | -0.529778 1.68991 | -4994.87 -1606.85
29.9498 42.8574 | -0.964063 1.33423 | -4945.57 -1474.86
30.2798 43.2276 | -2.20438 1.43597 | 2735.39 6641.35
30.63 43.5844 | -0.429099 0.170919 | -430.586 -1963.1
30.9988 43.9216 | 0.152257 0.991928 | 1450.16 382.524
31.3852 44.2405 | 2.04775 0.534014 | 1929.57 3871.21
31.7867 44.545 | 0.847699 2.08586 | 1894.28 -3433.41
32.2019 44.8306 | -0.862783 2.50149 | -4465.31 -670.828


18.6392 -46.5697 | 2.172 -5.10184 | -656.485 1469.66
19.0748 -46.3231 | 0.185457 -2.73636 | -362.829 5521.57
19.5037 -46.0623 | 0.583463 -3.12615 | 4399.59 -6453.45
19.9399 -45.8141 | -1.93192 -3.99734 | -4841.37 -2477.68
20.3793 -45.5801 | -1.70614 -5.20416 | -3905.17 523.085
20.8232 -45.3602 | -2.22954 -2.27394 | 3998.08 -261.223
21.2792 -45.1609 | -1.98983 0.819699 | 2163.91 -515.844
21.7461 -44.9835 | -0.546084 0.238053 | -1644.76 3227.17
22.2203 -44.8242 | -1.87317 1.86734 | 5967.69 616.364
22.7072 -44.6916 | -0.148184 -0.346175 | 4883.35 -5285.73
23.2039 -44.5922 | -0.276535 -4.07072 | -12183.6 2036.46
23.696 -44.5107 | -2.19456 -2.4167 | -2923.95 6514.54
24.1878 -44.4448 | -1.4962 -2.26998 | 1133.87 -7311.18
24.6832 -44.42 | -1.75369 -1.0383 | 588.672 1533.99
25.1795 -44.4308 | -1.33762 -3.19152 | 80.0872 321.738
25.6734 -44.4762 | -1.98189 -1.05692 | -5229.73 4571
26.1599 -44.5542 | -3.76962 1.38821 | 6481.13 -3963.78
26.641 -44.6776 | -3.13984 1.3142 | -1921.41 623.916
27.1079 -44.8436 | -4.20314 2.91155 | -5354.95 1395.85
27.5558 -45.0481 | -4.65424 2.86663 | 6382.48 59.0218
27.9915 -45.2853 | -3.91014 0.104074 | 382.622 -4315.65
28.411 -45.5552 | -2.23337 -1.21767 | 4714.2 1787.12
28.8195 -45.845 | -1.0491 -0.0605185 | -2932.27 -1524.26
29.2116 -46.153 | -1.725 -0.459784 | -12171.3 8719.35
29.5874 -46.4655 | -2.66907 -2.20298 | 7616.34 -1576.85
29.967 -46.7793 | -1.05948 -1.7202 | 7617.26 -867.287
30.3518 -47.0952 | 0.423736 -0.747838 | -2808.77 -2409.56
30.7286 -47.4233 | 1.29217 0.0157846 | 8094.91 -7369.07
31.1006 -47.7675 | 1.15842 2.42349 | -4367.04 1411.55
31.4596 -48.1208 | 0.537075 -0.976775 | -6722.24 10131.7
31.8068 -48.4745 | 2.12841 -0.728 | 1088.21 -2174.67
32.1469 -48.8367 | 3.07443 2.54646 | 1790.27 -13286.3
32.4847 -49.2112 | 1.72486 1.51439 | 5235.76 7741.5
32.8376 -49.57 | -0.669645 -1.28263 | -7864.43 4162.02
33.1997 -49.913 | 1.80117 2.20972 | 7458.93 -6397.61
33.5826 -50.2429 | 3.24836 3.22728 | 7320.16 -5353.06
33.9883 -50.5542 | 2.05135 0.410383 | -7732.2 10169.6
34.4078 -50.8337 | 1.91903 1.68089 | -4693.77 -6180.64
34.8401 -51.0909 | 0.210492 1.92692 | 9738.3 4581.8
35.299 -51.3071 | 0.539307 3.82626 | 519.144 183.583
35.7735 -51.4879 | 1.51299 0.98158 | -5478.66 2001.27
36.2541 -51.6399 | 1.03534 3.18664 | 65.7087 -1642.45
36.7402 -51.7728 | 1.49259 6.63059 | 2654.14 -2616.82
37.2319 -51.8891 | 1.54783 1.13828 | -6938.55 -184.866
37.7231 -51.9828 | 1.87972 2.58203 | -7209.6 2702.02
38.2138 -52.0429 | 0.235759 2.00062 | 3948.11 -1350.31
38.7096 -52.0667 | -1.35035 0.598693 | 3323.71 5659.08
39.2076 -52.0482 | 1.20721 0.37405 | -5428.17 -7135.23
39.6998 -52.0062 | 1.84803 0.895916 | -4771.49 -4890.61
40.184 -51.9337 | -1.01529 2.76844 | 285.589 10736
40.6582 -51.8088 | -1.21039 -0.350141 | -1784.36 -3064.3
41.1237 -51.6566 | -0.563183 -0.380708 | 6982.28 -2435.4
41.5901 -51.4925 | 2.00555 -0.346632 | 7720.74 983.095
42.0576 -51.3164 | 0.50978 -0.629332 | -7749.18 727.491
42.5146 -51.1266 | -2.16374 -1.45282 | -5975.45 -4574.24
42.964 -50.9317 | -1.21863 -0.552566 | 3179.92 1971.49
43.4141 -50.73 | 1.66872 0.253711 | 14738.1 4436.59
43.8736 -50.5226 | 1.86466 2.95265 | -1146.03 753.297
44.3318 -50.3108 | 1.54731 2.00289 | -5138.57 -1560.12
44.7855 -50.097 | 2.27719 -0.80764 | 2922.82 992.71
45.2398 -49.883 | 1.85862 1.324 | -7832.64 -1239.2
45.6905 -49.673 | 0.54521 -0.463832 | 749.675 -307.552
46.1466 -49.4744 | 0.100771 -0.725309 | 5487.43 2017.57
46.6139 -49.293 | 0.945906 1.19341 | -1387.83 -1908.53
47.0895 -49.1369 | 1.4241 0.744576 | -94.6143 1107.92
47.5734 -49.0068 | 2.96503 1.09432 | 2671.84 -1822.26
48.0663 -48.9075 | 3.57028 1.8926 | 3026.32 -1512.47
48.5654 -48.8349 | 1.62367 2.80267 | -3980.82 3329.02
49.0631 -48.7772 | -0.554284 3.55436 | -10106 3654.76
49.5554 -48.7366 | -0.825353 1.41305 | 1077.93 -3070.67
50.0488 -48.7322 | 0.687175 3.27991 | 1519.16 -628.974
50.5415 -48.769 | 1.67746 -0.659654 | -3615.53 73.2778
51.0279 -48.8467 | 1.97886 -1.39668 | 7308.12 2474.24
51.5116 -48.9615 | 1.77242 0.568502 | 1653.9 -5112.25
51.985 -49.1215 | 0.420481 2.31777 | -1351.89 1510.2
52.4446 -49.3151 | 0.796847 3.46081 | -3188.5 -1777.09
52.8904 -49.535 | 1.30906 2.02906 | 480.818 5475.4
53.3309 -49.764 | 1.38254 -0.0615977 | 8855.73 -2684.2
53.7717 -50.0056 | 0.777229 0.721201 | -1583.5 -6951.7
54.2045 -50.2639 | 0.307067 1.87418 | -5839.27 10741.8
