48.1936 -86.7099 | 0.128512 3.93746 | 9118.97 -5656.37
48.6971 -86.6842 | 2.89163 -2.72598 | -27735.5 -1089.63
49.1764 -86.603 | 4.50697 -1.56927 | 11880.8 7821.17
49.6443 -86.4487 | -1.10575 0.807568 | -1578.06 5522.61
50.0926 -86.235 | -1.62715 -2.22113 | 18146.8 -11374.6
50.5382 -85.9938 | -0.203096 -0.527676 | 9442.33 17838.2
50.9614 -85.6936 | -6.65637 1.77388 | -10130 1504.27
51.3411 -85.3465 | -0.0817108 -0.570898 | -11328.7 -14357
51.681 -84.9769 | 1.6934 -1.39948 | 3381.25 7012.39
51.9953 -84.5831 | 0.412488 0.406805 | -5117.71 -15798.1
52.2899 -84.1849 | -1.36662 -1.20638 | 5630.3 15686.9
52.5709 -83.7648 | 4.71621 -1.09051 | 1908.31 4128.82
52.8453 -83.335 | -0.461311 1.32228 | 7026.45 -6886.89
53.1232 -82.908 | -1.78039 0.517714 | -4001.19 7470.86
53.3862 -82.4713 | -4.98879 -6.35121 | -6614.35 -17399.7
53.6317 -82.0414 | 2.77722 -5.34494 | -17802.5 -18277.1
53.8543 -81.616 | 1.80656 3.62067 | 26285.7 22516.1
54.0917 -81.1726 | -9.03055 3.50244 | 4388.62 39423.5
54.3196 -80.6973 | -3.50735 -5.52975 | -13588.6 -48516.7
54.5375 -80.2464 | -1.78686 -5.47299 | 1598.19 37047.3
54.7537 -79.7776 | -0.952402 2.04728 | 7515.85 -30725.7
54.9957 -79.3406 | 5.55678 3.01204 | -13985.9 -23348.4
55.2314 -78.9229 | 13.8212 -3.87646 | -7586.77 19104
55.4469 -78.4858 | 2.58958 2.35688 | 21159.4 10436.7
55.6773 -78.042 | 3.40619 -0.226026 | -22134.5 -2048.28
55.8944 -77.5997 | -2.25198 -3.85854 | 7406.41 -21445.9
56.1433 -77.1866 | -1.07975 0.527142 | 1905.16 14542.2
56.4152 -76.7805 | 3.51864 -3.08824 | -7771.25 -11454.4
56.7053 -76.3931 | 0.319364 -2.54968 | 19610.3 23046.9
57.0268 -76.005 | 1.58853 -3.34013 | -4444.56 5998.32
57.3632 -75.6248 | -4.23895 0.697503 | -1784.44 -11282.7
57.724 -75.2733 | 1.04406 0.538382 | 13591.2 11251.5
58.1148 -74.9397 | -1.09393 0.0718241 | -5191.77 -6495.44
58.5185 -74.6315 | -1.63559 -1.17167 | -28659.3 -434.179
58.9208 -74.3443 | -3.42335 1.03914 | 42698.5 -4078.97
59.377 -74.107 | -4.56204 2.3849 | -8353.83 3571.14
59.8407 -73.8926 | -6.2939 -0.163519 | -31709 -2410.57
60.2898 -73.6918 | -1.36197 2.64699 | 18006.5 -351.231
60.7601 -73.5178 | 5.53111 3.65318 | 12436.8 6670.37
61.2492 -73.3684 | 4.4344 0.510605 | -3270.43 -14129.4
61.7441 -73.2553 | -1.3526 -0.720369 | -7845.05 3503.71
62.2315 -73.1395 | -6.05653 6.79537 | -20546.5 10783.9
62.7041 -73.0014 | -8.85002 0.510179 | 45049.1 -2078.9
63.2043 -72.8742 | 2.15073 -0.222912 | -34714.8 -17201
63.6853 -72.7585 | 5.91821 -7.01102 | -2290.21 19511.7
64.1556 -72.6073 | 7.95592 -2.23159 | 10855.6 -3946.78
64.6307 -72.4537 | -2.43284 11.1832 | -5812.28 -7629.54
65.1038 -72.3089 | -3.73337 -0.182942 | 240.197 -7192.43
65.5744 -72.1588 | -6.95201 -1.68812 | 769.952 13885.9
66.0359 -71.9625 | 1.63373 1.65838 | 33914.5 21677.5
66.505 -71.7248 | -4.78283 3.83059 | -20970.8 -40609.9
66.9521 -71.4938 | -2.6421 0.803315 | -20079.7 16452.2
67.3499 -71.1999 | 3.27826 2.8977 | 16285.3 5838.11
67.7188 -70.8588 | -0.853056 -0.887512 | -20378.8 -16188.9
68.0404 -70.4912 | -3.24901 -1.29976 | 24982.3 4701.71
68.3422 -70.0935 | 1.48263 0.246391 | -13053.9 15325.7
68.5788 -69.6504 | 2.23126 3.27803 | -13793.3 -22567.4
68.7653 -69.1997 | 0.320248 2.41863 | 24020.4 10844.2
68.9518 -68.7371 | -1.51019 -0.460786 | -11476.4 8038.14
69.1091 -68.26 | 0.15432 -4.76488 | 11344.3 -12734.1
69.2598 -67.7856 | 0.501552 -3.91642 | -14700.5 10324.1
