17.9753 32.2353 | 0.542175 -4.75077 | 2015.21 186.595
18.4698 32.1491 | 0.147651 -1.9497 | -2041.18 -3810.06
18.9648 32.0679 | -0.925802 -1.83915 | 5774.54 -4042.25
19.4648 31.9979 | 1.42324 1.31744 | -4414.57 14726.2
19.9646 31.9562 | 0.170835 5.11662 | 548.283 -10443.3
20.4638 31.9026 | -0.488451 3.02123 | -790.158 -7218.83
20.9608 31.8388 | 1.02243 -1.27244 | -6102.29 17831
21.4549 31.7957 | 1.19966 -3.84085 | 3047.4 -8685.81
21.9492 31.7349 | 1.17295 -1.17418 | 634.193 -2088.75
22.4416 31.6529 | 0.700903 2.25612 | 2310.01 1798.09
22.9321 31.5542 | -0.674215 -3.22553 | -2914.12 3127.48
23.4159 31.4361 | 0.374305 0.663227 | -2822.19 -394.311
23.89 31.2865 | -0.102371 4.40707 | 10626 -10938.6
24.3583 31.0965 | 1.32078 1.875 | -5222.58 8974.57
24.814 30.8904 | 4.05601 1.50747 | -8207.22 3553.68
25.2534 30.6652 | 4.9097 3.08238 | 4261.1 -3509.8
25.6824 30.4159 | 4.02718 1.1755 | 1705.99 4978.47
26.0995 30.1479 | 4.12869 1.47175 | -6056.34 -5504.55
26.4946 29.8491 | 3.39707 0.103289 | 8955.26 606.965
26.8821 29.5316 | -0.373992 2.4538 | 7546.33 -6403.84
27.2586 29.1913 | -1.61971 1.43569 | -8570.15 3462.57
27.6108 28.8328 | 0.66757 0.828155 | 1164.8 5084.33
27.9449 28.4612 | 2.38678 -0.876723 | -3482.94 -3620.23
28.2547 28.0687 | -2.06358 -4.13445 | 5939.16 -173.06
28.5487 27.6601 | -2.19228 -1.69649 | -2379.92 -10138.8
28.818 27.23 | 0.886956 0.725586 | -1399.67 10439
29.0712 26.7976 | 3.62274 -1.97568 | -6596.11 3606.59
29.3084 26.3614 | 4.78509 1.18933 | -2460.47 -10092.5
29.5471 25.9206 | -1.20559 1.96109 | 15052.2 2500.21
29.8238 25.4977 | -2.30658 1.56324 | -1565.98 1908.96
30.1236 25.0924 | -0.00393681 2.22685 | -5057.97 3660.17
30.4356 24.7021 | -0.801156 1.10121 | -3776.14 -498.409
30.7578 24.3234 | 0.149023 0.819815 | 788.714 3192.13
31.097 23.9624 | 2.70419 0.56052 | -875.033 2139.55
31.4506 23.6175 | 2.33697 1.01738 | 938.095 -2286.61
31.8148 23.2819 | -2.1067 -1.72624 | -2657.86 -5042.22
32.1857 22.9528 | -0.437293 0.415833 | -3343.62 3224.05
32.571 22.6456 | 3.51867 0.768619 | 486.44 1904.19
32.979 22.3709 | 4.92328 -1.30016 | 1651.03 -2218.67
33.411 22.1317 | 1.1165 -3.90959 | 1554.42 -2833.24
33.8658 21.9339 | 0.635536 -1.79645 | 1569.33 6153.11
34.3408 21.7888 | 0.685807 1.91523 | 4026.98 -6194.14
34.8304 21.6793 | -0.546755 -0.746661 | 8335.22 -3863.59
35.3331 21.6069 | 0.670378 2.18729 | -4743.98 8785.5
35.8372 21.5842 | -1.85365 3.03869 | -2004.99 -1651.05
36.3388 21.5909 | -2.76739 -2.59988 | -11419.5 -6384.5
36.8318 21.6131 | 2.30359 -0.745049 | 1844.35 8971.5
37.3238 21.6611 | 4.05207 2.07364 | 6680.6 -10004.7
37.8191 21.7084 | 1.43338 1.66445 | -6502.88 647.398
38.3087 21.7694 | -0.155006 0.705987 | -2359.63 3029.97
38.7924 21.8529 | -1.79982 -0.343035 | -4355.14 -2782.63
39.2697 21.9523 | 0.278985 -1.69948 | -655.176 5390.15
39.7449 22.0685 | 0.02225 -0.497677 | 17947.9 -3608.11
40.2326 22.1806 | -0.68747 2.26818 | -3963.47 1088.61
40.719 22.2927 | -0.311844 2.06375 | -7765.9 886.613
41.2013 22.4035 | -0.431888 1.366 | 9073.24 -1179.88
41.6913 22.5044 | -0.0785343 0.955635 | 186.464 2393.26
42.1846 22.5959 | -0.52323 2.40441 | 2197.45 -1555.79
42.6824 22.6708 | -1.68383 0.971337 | -128.33 -1599.22
