-76.1968 0.869383 | -0.52265 -4.55778 | 2524.34 3744
-75.7084 0.985379 | -1.26236 -0.0470191 | -7483.04 -2860.44
-75.2164 1.05466 | -2.58263 1.86596 | 4539.1 -1047.37
-74.7177 1.06994 | -0.908495 0.152507 | 13.8068 -1187.33
-74.2202 1.03038 | 2.31572 -1.29609 | -1558.79 3827.46
-73.7313 0.941754 | 3.2479 0.297422 | -7967.74 -4577.67
-73.2604 0.797969 | -0.401773 -2.03928 | 2896.26 6933.13
-72.8008 0.618444 | -0.81638 0.865212 | 10361.7 -7136.91
-72.352 0.395312 | 1.44596 2.8112 | -7632.78 -1078.47
-71.9252 0.138445 | -1.76164 -2.14403 | 2031.14 8336.97
-71.5094 -0.131683 | -3.46901 -0.714855 | -2023.61 -2281.71
-71.1088 -0.422751 | 1.90483 0.817732 | -728.081 450.24
-70.7206 -0.730849 | 3.37617 0.0892492 | 11108.6 -2202.33
-70.3368 -1.05453 | 0.577895 0.271811 | -6619.94 -2668.55
-69.9738 -1.39922 | -0.933388 0.949134 | -1157.31 2068.88
-69.6251 -1.75576 | 0.0688999 1.53248 | -101.143 1416.46
-69.285 -2.11806 | -0.827501 -1.04287 | -6787.48 2454.32
-68.9511 -2.48091 | -0.293831 -1.77078 | 10830.6 -1358.63
-68.6044 -2.83756 | -1.3217 -2.40319 | -10525.3 774.074
-68.258 -3.18856 | -1.15579 -2.92918 | 2949.81 -1548.76
-67.8947 -3.52552 | -1.14755 -3.514 | 6946.23 -5979.55
-67.5045 -3.84014 | -1.5048 -5.31187 | -1436.83 6560.09
-67.0888 -4.11521 | -2.72619 -3.40589 | -3619.62 -1863.7
-66.6539 -4.35324 | -4.22479 -2.5955 | -6478.96 1884.53
-66.2022 -4.54495 | -1.95353 -1.19175 | -1011.23 -486.874
-65.731 -4.68221 | -2.59213 0.117887 | 15283.1 4494.55
-65.2367 -4.75875 | -1.62327 2.43997 | -5683.23 1209.51
-64.7399 -4.79793 | 1.06793 1.84618 | -709.568 -11835
-64.2426 -4.82918 | 0.708021 -2.12708 | 1338.94 6793.29
-63.7431 -4.8351 | 0.158966 -0.81634 | 4276.76 -2774.69
-63.2407 -4.82622 | -2.28455 0.670405 | 1777.81 -6475.63
-62.7392 -4.80254 | -2.24229 0.611868 | -19706.8 5330.51
-62.2533 -4.73972 | -0.855357 3.19094 | 10048.8 2467.7
-61.768 -4.6407 | -1.12874 1.6911 | 3715.64 -4881.57
-61.2859 -4.51634 | -0.960319 1.9499 | -4369.48 5846.38
-60.8145 -4.35746 | -1.0058 1.56455 | 9923.53 -599.411
-60.3439 -4.17951 | 1.0165 1.10603 | -1970.96 -7832.46
-59.8816 -3.98816 | 3.53808 -0.915984 | -8546.86 9814.1
-59.4383 -3.76285 | 0.220518 -1.77062 | 5365.64 -6429.81
-59.0005 -3.52759 | 2.03128 -2.71028 | -12000.1 -1669.69
-58.5763 -3.28139 | 0.307684 2.41213 | 11158.5 1560.48
-58.1478 -3.02986 | -0.10112 1.01374 | 785.624 4891.18
-57.7194 -2.77196 | -1.81189 0.471111 | -2613.16 418.849
-57.2876 -2.51998 | -2.56779 -1.33303 | 9129.69 123.719
-56.8392 -2.28831 | 0.771119 -1.08254 | -4040.56 -6456.17
-56.3807 -2.08315 | 1.88135 -0.011762 | 7005.89 6398.26
-55.9118 -1.88994 | -0.421926 3.34566 | -8344.37 5261.8
-55.4414 -1.71208 | 0.426617 2.54039 | -5389 -14422.9
-54.9627 -1.58057 | -1.1752 1.23058 | 6467.07 4533.1
-54.4732 -1.47689 | -0.165923 2.67143 | -2446.96 5680.18
-53.98 -1.39602 | 2.15128 -1.1737 | -3437.4 -11365.6
-53.4835 -1.35534 | 0.558987 -0.743692 | 14453.7 10020.2
-52.9769 -1.32731 | 0.829033 -0.372658 | -6457.22 6755.06
-52.4722 -1.32144 | -1.39306 -2.13741 | -1333.82 -13768.3
-51.9705 -1.37441 | -1.07733 1.63055 | 6628.38 993.465
-51.4698 -1.46956 | 2.38951 0.155866 | 4923.56 -3685.63
-50.9724 -1.59919 | 1.23468 1.16477 | -1802.39 3490.39
-50.4823 -1.7469 | 1.94024 4.31976 | -6273.24 9725.36
-50.0033 -1.90883 | 0.0375682 4.28126 | -3713.44 -16317.6
-49.54 -2.11251 | -0.0813058 4.03538 | 4068.5 11576.5
-49.0806 -2.32285 | 1.97381 1.22181 | -2834.48 295.041
-48.6308 -2.55015 | 0.171263 -1.45108 | 3735.95 -6873.08
-48.1908 -2.80358 | -1.12251 -0.904569 | 1109.38 6344.92
-47.7627 -3.07284 | -0.924701 1.26117 | -12642.7 -5585.78
-47.36 -3.36901 | -1.41266 -1.07704 | 440.74 8804.33
-46.9654 -3.66826 | 1.99837 -0.251725 | -2642.07 3468.41
-46.577 -3.97177 | 1.21322 2.00841 | 6301.95 -10125.8
-46.1905 -4.28995 | 1.54291 2.15974 | -818.649 -6230.14
-45.8046 -4.61396 | -0.559507 -1.13684 | 4838.83 11690.5
-45.4067 -4.92007 | 1.10363 1.08443 | -2541.8 -5522.95
-45.0088 -5.22716 | 1.42299 0.658763 | -4388.13 -5536.84
-44.611 -5.53371 | -0.209236 1.95683 | 108.483 4401.93
-44.1978 -5.8149 | 2.02982 3.31742 | -311.368 7840.29
