48.7441 -86.8477 | -3.13326 -1.43909 | 19759.3 1266.16
49.2391 -86.7053 | 1.37095 -2.18468 | -23182.6 -3860.34
49.7012 -86.52 | -5.41046 -4.15075 | -7475.61 -8148.85
50.1319 -86.2863 | -0.811183 -1.19677 | 14115 19444.6
50.5323 -85.9826 | 4.2282 -2.93545 | -6215.43 -14845.2
50.8915 -85.6405 | -4.51396 -3.74577 | -6072.19 11615.9
51.2057 -85.2506 | -3.41853 -2.07807 | 23180.2 15268
51.5098 -84.835 | -3.53064 -2.46738 | -25574.4 -35062.9
51.7838 -84.4295 | -4.41648 1.6129 | 19831.5 370.428
52.0526 -84.0136 | 4.55158 2.68359 | -2493.53 34351.1
52.2715 -83.5503 | 7.08423 -0.113225 | -20642.5 -23839.6
52.4382 -83.0821 | 0.767454 5.6791 | 23660.3 6528.05
52.6106 -82.6091 | 2.52296 5.09673 | -12457 -1579.16
52.7612 -82.1312 | -3.94169 -0.877678 | 13278.5 -67.8687
52.9094 -81.6517 | 2.92105 -0.205573 | -12788.5 -6257.87
53.0226 -81.1712 | 1.20621 3.18781 | -11074.9 -15280.3
53.1118 -80.6971 | -4.11294 0.0993829 | 11351.2 8349.19
53.225 -80.2195 | -5.78294 -2.14917 | 12997.4 29664.4
53.3693 -79.7274 | -1.98179 -1.81741 | -8975.55 -13517.5
53.5232 -79.2444 | -0.156781 1.87671 | 3566.26 10512.4
53.6943 -78.764 | -3.58333 2.15572 | -11810.8 -28813.2
53.8806 -78.3102 | 0.321049 7.38957 | 16301.3 4735.92
54.099 -77.8648 | -2.57765 2.40041 | -10722.4 18606.7
54.3097 -77.407 | -1.50638 -0.442351 | -2535.75 -10723.6
54.5288 -76.961 | 4.03024 2.54867 | -4566.43 -7198.34
54.7688 -76.5346 | -0.145737 -1.68112 | 7172.18 -14017
55.0433 -76.1344 | 0.203172 0.0930864 | -3735.7 28453.4
55.3268 -75.7213 | 4.30516 1.71961 | 21290.3 9509.27
55.6454 -75.3177 | 0.094452 0.278201 | -20274.4 -19950.4
55.9692 -74.9426 | 0.822695 2.6327 | -14304.7 -6785.73
56.3015 -74.591 | -2.0977 2.54158 | 8490.98 7049.95
56.6693 -74.2667 | -9.71926 -3.67835 | 10483.6 4398.41
57.0801 -73.9819 | -6.13723 2.0606 | 14983.8 -4758.85
57.5271 -73.7409 | -1.99543 1.3656 | -18276.8 4213.47
57.9728 -73.5103 | 2.39667 0.300883 | 14330.9 12146.1
58.4347 -73.2833 | 4.77263 6.87663 | 21205.6 -4447.95
58.9178 -73.0801 | -0.18296 0.675457 | -40663.1 -4130.17
59.3778 -72.8892 | -0.679522 0.49571 | -6730.71 -790.094
59.837 -72.7213 | -9.51069 3.31721 | 1301.17 -6330.43
60.3091 -72.5977 | 1.48083 3.83435 | 8218.97 -11322.2
60.7973 -72.5118 | -0.72908 2.99234 | 30737.1 26987
61.3038 -72.402 | -3.0896 0.317924 | -23092.7 -13297
61.7967 -72.2955 | -1.8837 2.0333 | -2829.07 3871.74
62.2817 -72.1775 | -3.9997 2.20918 | -13575.4 -11076.8
62.7552 -72.0536 | 1.5903 3.50424 | 13301.5 12648.4
63.2301 -71.8951 | -0.172463 0.561037 | 12412.2 6870.84
63.7081 -71.7123 | -2.32947 1.82145 | 1381.2 -13320.9
64.1839 -71.5272 | 1.83994 -3.21665 | -1071.33 3687.59
64.6416 -71.3108 | 0.221895 -4.74551 | -39288.4 -5428.33
65.0508 -71.0565 | -3.65761 3.22275 | 15712.6 -6919.82
65.4547 -70.7846 | 4.71896 -2.65455 | 13204.5 17544.8
65.8523 -70.4768 | 1.62024 0.0747056 | 1028 2619.07
66.2414 -70.1495 | 5.43488 1.42005 | 21664.6 -2572.65
66.6354 -69.8139 | -2.53256 10.8798 | -21912.9 2279.22
66.9878 -69.4499 | -3.60551 1.37543 | -9493.04 -21396.9
67.3054 -69.0761 | -0.0820574 -2.96239 | -14562.7 14257.2
67.5898 -68.6734 | 2.64257 0.68351 | 48991.2 3390.59
67.9106 -68.2684 | 2.72196 -9.05651 | -18255 28185.7
68.1983 -67.8268 | 3.30193 -4.83106 | 1236.38 -19757.3
68.4756 -67.3922 | 2.37641 2.62147 | -14463.3 -18497.1
