-40.0475 85.6364 | -1.4435 -3.89575 | -1223.76 -2838.56
-39.696 85.9927 | -1.85339 2.59899 | 14145 22166.2
-39.3361 86.3602 | 4.55477 0.359764 | -21402.6 -24801.9
-38.9765 86.699 | 3.82917 3.24091 | -4878.56 -1715.23
-38.5983 87.0113 | 1.37038 -1.13948 | 27217.7 13723.9
-38.1757 87.2967 | -0.0854905 -2.17741 | -6543.49 -2499.3
-37.7307 87.5457 | 1.14537 1.93511 | 17366.7 -5999.55
-37.2583 87.7567 | 0.294563 -1.83533 | -14117.8 7001.74
-36.7935 87.9621 | 1.35375 -1.28677 | -32848.7 -10651.4
-36.3469 88.1545 | 1.80458 -2.06176 | 25813.7 9306.27
-35.8785 88.3329 | -0.0312093 3.80041 | 3727.68 -3886.74
-35.398 88.4809 | 1.74188 3.82896 | -24327.6 -13028.6
-34.9254 88.6016 | -0.53887 -3.60155 | 21157.1 37834.9
-34.4378 88.7352 | -2.5579 -0.969875 | 5771.28 -31546.2
-33.9323 88.7869 | -5.32305 2.62378 | 5.3309 4810.27
-33.4233 88.7869 | -2.39962 -1.06421 | -2344.99 -1695.28
-32.9185 88.7446 | -0.148918 1.34561 | -12278.2 7218.36
-32.4238 88.6755 | -1.43059 -1.31318 | 17781.7 -990.925
-31.9242 88.5683 | 0.714923 -2.59663 | 10049.3 -12144.5
-31.4319 88.4063 | -5.27528 0.417774 | -30859.5 -1324.05
-30.9725 88.2103 | -4.55921 3.99521 | -453.338 22840.7
-30.5152 88.0301 | 2.86541 5.11418 | 12691.5 -2641.76
-30.0564 87.834 | -1.75322 -1.46831 | -5869.07 -22163.5
-29.6176 87.5914 | -3.70742 0.0405997 | -12505.6 11155.3
-29.1869 87.3561 | -6.02832 -7.78522 | 9159.67 20807.4
-28.7381 87.157 | -0.985451 1.44386 | 15713.2 -22945
-28.2827 86.9369 | -0.444678 1.82739 | -19733.9 -5878.42
-27.8419 86.706 | -6.65643 -0.10314 | 8708.27 23890.9
-27.3869 86.5125 | -1.17293 2.67529 | -11088.8 -15893.1
-26.9365 86.3131 | 1.75095 -3.29643 | 12850 -1026.35
-26.4716 86.1316 | 1.17451 -4.04276 | -14995.2 6217.7
-26.0024 85.9854 | -2.79099 0.92541 | 21625.8 1054.59
-25.5094 85.876 | -2.93746 -6.12346 | 4698.21 -10641.5
-25.0072 85.7864 | -2.93802 -0.648941 | -16366.7 8743.76
-24.5089 85.7375 | -2.86521 -6.15533 | 14980.2 -4274.84
-24.001 85.722 | -3.31747 -2.92642 | -13329.1 3900.8
-23.5 85.7481 | 1.84839 3.25593 | 12363.2 -809.185
-22.9957 85.8093 | -0.518509 2.16797 | -6261.67 916.687
-22.5015 85.9049 | -4.12428 -1.54397 | -13252.9 -3463.14
-22.0234 86.0277 | -5.57516 -5.47097 | 2613.33 2899.89
-21.5517 86.175 | -0.562413 -1.12759 | -758.27 -4417.22
-21.0837 86.3325 | 1.45023 -5.02331 | 10161.6 647.597
-20.6135 86.5029 | -4.27774 -0.0626802 | -2932.61 -981.666
-20.1527 86.6931 | -3.26189 0.543826 | -5841.47 1241.07
-19.7078 86.9104 | -2.66891 4.92523 | 5495.21 -1265.24
-19.2741 87.15 | 4.23265 1.58943 | -18853.9 -3307.19
-18.8667 87.4117 | 3.76419 -5.93164 | 10750.1 -5556.62
-18.4618 87.6842 | -5.33363 -3.49283 | 5836.43 13884.2
-18.0662 87.9871 | 0.923188 3.15145 | 4525.43 2281.38
-17.677 88.3091 | 7.78443 -3.6487 | 10839.7 14001.9
-17.2897 88.6487 | 1.40849 2.55117 | -8774.35 -28009.5
-16.9148 88.9779 | -5.73429 2.39818 | -22226.9 19891
-16.5775 89.341 | 0.692595 -3.27163 | 16346.7 -3496.64
-16.2257 89.6946 | -2.19054 3.58167 | -14781.3 -13330.5
-15.8653 90.02 | -2.53868 -2.80981 | 3143.12 -9023.2
-15.484 90.3162 | -3.85329 -3.6853 | 2296.95 14942.1
-15.093 90.6147 | -2.30394 0.407148 | 15094 11069
-14.6833 90.9099 | -4.57927 3.25159 | -9109.81 -5368.29
-14.2657 91.1835 | 2.35507 2.72891 | -2220.85 -7458.74
-13.8348 91.426 | -4.97187 -0.764885 | -6940.81 7856.3
-13.3931 91.6488 | -3.65528 1.16719 | 26747.8 1188.55
-12.9162 91.8318 | 0.121426 -5.75945 | -7003.01 -2462.64
-12.4286 91.9755 | 0.520349 -4.76438 | -5667.31 4353.22
-11.9357 92.0864 | 0.703936 6.00697 | 6781.14 -15646.9
-11.4321 92.1494 | -1.10874 -1.42176 | -1305.82 21731.7
-10.9273 92.2118 | -1.20118 2.73061 | -1070.14 -15940.2
-10.4213 92.2354 | 1.58482 -2.37566 | -5352.21 11768.2
-9.91816 92.2438 | -0.876572 -6.66025 | 1544.58 -11854.8
-9.41473 92.2129 | -1.63511 -2.76529 | 6861.07 9158.47
-8.9091 92.1647 | -2.95768 -2.90955 | -7122.81 -5139.37
-8.41219 92.0837 | -2.36227 -0.645064 | -5290.37 8677.11
-7.92455 91.9764 | 2.43747 -0.419397 | 4340.63 -23125.8
-7.44245 91.8178 | 0.594471 -3.61206 | 23847.4 19344.3
-6.94657 91.6647 | -1.93257 -1.88019 | -12148.2 -6400.51
-6.46776 91.4839 | -2.9573 -0.1297 | -23714.8 -3205.38
-6.01715 91.2747 | -0.101158 -4.11417 | 2081.19 9432.3
-5.56591 91.0706 | 4.54261 1.35104 | 24280.4 -3126.16
-5.09892 90.8696 | -0.305873 0.413147 | -27616.9 -5347.31
-4.64999 90.661 | -4.31731 -6.07489 | -2760.15 154.528
-4.19177 90.4769 | 1.03342 -1.85816 | 37949 4449.77
-3.69288 90.3511 | 1.05269 -1.65639 | -20769.8 9595.73
-3.19625 90.276 | -4.87457 2.12545 | -15798.9 -5260.35
-2.70804 90.2162 | -2.62124 1.77799 | 14101.7 -14439.2
-2.21066 90.163 | -0.101665 2.13197 | -2428.87 20197.6
-1.71188 90.1616 | -2.01389 2.76765 | -5281.4 -22286.1
-1.2161 90.1752 | 1.31594 -3.09534 | 11095.6 13494
-0.719123 90.2556 | -0.496928 1.19167 | -1311.79 17402.6
-0.235233 90.402 | -3.08391 1.95656 | -3381.36 -31661.3
0.239163 90.5474 | 2.63251 -0.397567 | -21942.8 21591.6
0.68669 90.7389 | 3.71605 1.25728 | 18808.4 -16400.7
1.14445 90.9218 | -2.13327 1.08617 | -1533.84 4429.33
1.59924 91.1188 | 1.15141 1.25003 | 7154.75 10567
2.05226 91.3371 | 2.26971 4.0499 | -481.328 -10045.5
2.50368 91.553 | 3.47892 -3.33321 | -1025.19 -7582.55
2.94755 91.7779 | 5.21194 1.99332 | 122.123 17441.1
3.36924 92.0466 | 5.47746 -2.69534 | -18543.4 -19128.4
3.76266 92.3278 | -4.1484 1.45504 | 5288.02 -2347.56
4.1438 92.6287 | -2.65905 0.264553 | 11676.4 22966
4.51508 92.969 | 1.4237 -4.06275 | 13231.1 3028.79
4.88898 93.3225 | -6.48306 2.68072 | -13223.7 -11223.2


-39.1209 70.0077 | -1.92314 0.131403 | -1957.82 -2044.77
-38.7635 70.3546 | -2.19229 -1.97683 | 4048.82 3352.73
-38.4125 70.7124 | -0.980461 -1.40373 | 536.486 -4787.91
-38.0696 71.0765 | -0.465112 -0.0792942 | -2381.88 7004.68
-37.7416 71.4578 | -0.425295 1.02398 | 6497.62 1294.64
-37.4182 71.8479 | -0.915886 -0.277289 | -5267.3 982.123
-37.1057 72.2455 | -3.50877 0.835733 | -363.104 3232.94
-36.7917 72.6427 | -2.28603 0.656527 | 2096.87 -11649.9
-36.4621 73.02 | -0.919045 -0.961488 | -3024.05 189.402
-36.1246 73.3881 | -1.42189 -2.6748 | -1935.35 8240.15
-35.7786 73.7521 | -0.582785 -4.52677 | 740.106 -2225.82
-35.4091 74.0921 | 0.131934 -3.24998 | 4004.19 -493.397
-35.0059 74.395 | 1.87724 -2.03518 | 4182.65 608.863
-34.5693 74.6536 | 1.7575 -3.25126 | 3343.32 -2301.15
-34.1056 74.8637 | -0.355266 -2.58133 | -2757.12 -1673.52
-33.6275 75.0314 | -0.977714 -1.61879 | -6287.84 -474.669
-33.1437 75.1649 | 0.708516 -2.74503 | -1261.19 -1736.36
-32.6546 75.2691 | 0.0237258 -3.35515 | -1276.43 4206.1
-32.1618 75.354 | -3.35134 -1.76474 | 5669.66 -1774.29
-31.6616 75.4133 | -3.93456 -2.24563 | 1223.33 -1763.84
-31.1585 75.4499 | -1.43693 -2.99978 | -5425.47 6251.55
-30.6585 75.4745 | 0.91908 -3.79997 | -4253.52 -3509.1
-30.1616 75.4724 | 0.830748 -2.87122 | 111.764 -1667.04
-29.666 75.4431 | -1.36088 -1.22875 | 502.352 2004.71
-29.1718 75.394 | -1.06212 -0.450274 | 138.203 924.532
-28.6801 75.325 | 0.291396 -2.56971 | -2099.01 244.65
-28.1923 75.2336 | 1.61974 -2.01295 | 10379.2 -4693.84
-27.7024 75.1169 | 2.20526 -0.0972478 | -951.143 -1338.55
-27.2169 74.9852 | 1.89191 -0.968959 | -11460 2541.46
-26.7399 74.8542 | 1.52278 -3.45256 | -2246.88 2011.01
-26.2616 74.7383 | 2.66941 -0.836821 | 6208.45 3287.3
-25.7739 74.6457 | 1.92661 -0.287433 | 7756.99 -1509.68
-25.2775 74.5668 | 1.74992 -0.576097 | 761.805 -3270.76
-24.7794 74.4937 | 1.21016 0.983261 | -9039.65 631.635
-24.2863 74.4302 | 1.24806 -1.47289 | -2375.68 49.7522
-23.7942 74.3811 | 2.4143 -1.88479 | 615.446 809.567
-23.3 74.3512 | 2.59881 3.01915 | 4129.64 -5240.23
-22.8018 74.3411 | 1.97226 3.00677 | 3573.83 1286.34
-22.3019 74.3711 | 2.04478 1.56959 | -5313.17 9936.88
-21.8106 74.455 | 1.00417 1.83023 | 457.735 -6304.12
-21.3249 74.5649 | -0.589191 2.00036 | 4620.27 -5686.54
-20.8425 74.6973 | -0.84575 0.234152 | -1156.92 5373.28
-20.3731 74.8726 | -0.31007 -1.66315 | 856.181 5300.04
-19.9188 75.0896 | 0.27544 -1.49189 | 1115.47 -3949.75
-19.4761 75.3302 | 0.936929 1.40843 | 6412.07 -749.931
-19.0423 75.5938 | 2.74409 -0.334183 | 2801.54 1125.36
-18.6292 75.8897 | 4.35011 -3.12631 | -17914.2 144.26
-18.2592 76.2241 | 2.69322 -0.662884 | -1292.76 -1534.97
-17.9125 76.5797 | 2.45865 -1.77018 | 7298.6 2043.97
-17.5675 76.9416 | 0.362273 -2.69732 | -2856.89 -6201.63
-17.2209 77.2972 | 0.428742 -3.24839 | 4866.72 -1101.12
-16.8674 77.6485 | 0.00538272 -0.904647 | 1201.84 6364.69
-16.5163 78.0068 | 0.402203 0.103812 | -5326.69 -5042.08
-16.1729 78.3663 | -1.86138 -2.36698 | -1807.74 532.292
-15.8335 78.7288 | -2.74365 -3.72811 | 5642.25 3189.62
-15.4882 79.0917 | -0.37166 -4.46098 | 3208.9 1060.96
-15.1375 79.452 | -1.63099 -1.96979 | -7275.34 -2445.84
-14.7888 79.808 | -1.29152 0.0577652 | -1387.15 -3055.48
-14.4333 80.1543 | -0.478731 0.26457 | 4387.71 6084.36
-14.0627 80.4912 | -0.176223 -0.655598 | 2707.28 -3376.26
-13.6731 80.8074 | 0.447905 -1.16324 | 2363.27 410.6
-13.2689 81.1072 | 1.11977 -0.911332 | -4105.01 3407.12
-12.8592 81.3971 | 0.632925 0.924161 | -3200.74 -5319.3
-12.4411 81.6679 | -0.525945 1.96304 | 592.419 3610.44
-12.0121 81.9229 | -0.109509 0.792091 | -1882.94 1311.32
-11.5694 82.1532 | 0.162022 2.60549 | 5894.51 -2158.37
-11.1047 82.3446 | -1.97023 5.48578 | 7170.37 -2212.31
-10.6222 82.4968 | -3.78299 5.62611 | -11993.6 2280.94
-10.1403 82.6239 | -5.07962 1.16623 | -6271.77 839.17
-9.65711 82.7238 | -4.79037 -0.283258 | 1067.73 -1488.3
-9.16693 82.787 | -3.55787 0.350728 | 10011.3 -1777.14
-8.66567 82.8121 | -2.79349 -0.067068 | 6941.48 1880.06
-8.15832 82.8087 | 0.508695 0.938025 | -5474.95 -983.802
-7.65475 82.7795 | 1.94098 -0.319511 | -796.729 1525.75
-7.15405 82.7314 | 0.756266 1.88103 | -1628.71 635.951
-6.65735 82.6651 | -0.137431 2.05849 | -3196.83 1008.31
-6.16667 82.5799 | -0.21844 1.54364 | -2853.62 -1048.06
-5.68328 82.4731 | 2.28054 0.183122 | -7261.08 -3017.86
-5.20822 82.3492 | 3.31118 0.163494 | 6935.22 5247.31
-4.72857 82.2296 | 1.61981 0.362175 | 2543.19 -5310.23
-4.24592 82.111 | 2.4903 0.418392 | -3804.7 1650.09
-3.76188 82.0086 | 2.26328 1.83617 | 2244.11 5748.67
-3.27242 81.9326 | 1.66815 3.73961 | 195.469 -4536.17
-2.78067 81.8687 | 1.25643 0.374716 | -1548.37 949.327
-2.28824 81.8196 | -0.372153 -1.85491 | -547.119 2734.79
-1.79477 81.7838 | 0.530154 0.601024 | 5051.21 -4430.01
-1.29732 81.748 | 0.257015 3.51061 | 4538.97 -2492.3
-0.796557 81.7154 | 0.354341 -0.0151575 | -6633.97 -1088.26
-0.299723 81.6974 | 1.04756 -2.20778 | -5622.16 3409.05
0.192193 81.7096 | 1.54978 0.543127 | -3706.84 556.142
0.67918 81.7521 | 3.24939 -2.04726 | 831.375 -4878.42
1.16364 81.8195 | 2.43048 -0.819577 | 5975.21 978.489
1.64564 81.9237 | -0.323044 1.52152 | -1987.72 3661.36
2.1162 82.0717 | -0.680353 1.96845 | 2606.66 -2553.73
2.57596 82.2527 | 0.576459 0.251834 | -4057.74 -904.113
3.01987 82.4647 | 1.22566 1.17672 | 4222.15 -1436
3.45275 82.7041 | 2.82401 0.688549 | 5707.74 8667.22
3.87309 82.9763 | 3.1445 -0.321433 | -3652.9 -6338.36
4.27889 83.2635 | 2.11378 -1.39685 | -588.499 -1670.03
4.67221 83.565 | -2.20333 -0.370818 | 3041.17 3953.02


-26.5022 77.3518 | -4.25825 -0.845057 | 2370.11 1212.2
-26.0018 77.4003 | 2.08788 -1.03307 | 483.24 1376.13
-25.4991 77.4277 | 0.158419 -0.750092 | 6305.96 -315.747
-24.9925 77.4289 | -2.45226 -3.23045 | -12350.8 -15153.7
-24.4936 77.3993 | 2.92574 3.52059 | 9172.64 20772.2
-23.9901 77.3952 | 1.27055 -1.58435 | -7554.81 -11094.6
-23.4919 77.3898 | 3.96984 1.48087 | -7143.07 14233.5
-22.9999 77.4003 | 0.767913 -3.13611 | -2807.16 -17158.6
-22.51 77.3866 | 4.56168 -0.646244 | 9662.66 10163.9
-22.015 77.3786 | 0.132922 -0.408704 | -11614.5 -19096.2
-21.5268 77.3645 | 1.13609 -4.8415 | 2743.46 30747.8
-21.0392 77.4095 | -0.591281 3.02786 | -3796.08 -18507.3
-20.5521 77.4505 | 0.994905 0.756583 | 22033.5 -9072.41
-20.0507 77.4989 | -1.97865 -4.54061 | 8448.45 15495.9
-19.5532 77.6075 | 0.316714 0.953787 | -37230.7 -6326.01
-19.0928 77.7693 | -8.3013 -1.44509 | 26765.3 9461.05
-18.635 77.9791 | 0.670887 -0.924376 | -4459.56 -2389.44
-18.1925 78.2163 | 0.382736 -2.87961 | -3679.72 -10854.5
-17.7628 78.4671 | -7.13804 4.19864 | 13157.1 7588.05
-17.3449 78.752 | 0.44112 2.83123 | -12883.9 4088.48
-16.9645 79.0771 | 5.23279 -4.73231 | -8697.54 -15783.1
-16.6123 79.4187 | 3.97794 -3.40944 | 7322.05 23287.5
-16.2713 79.7908 | -4.25524 3.23181 | 17759 -509.356
-15.9129 80.1577 | -3.90158 -2.53013 | -5868.11 -18842.5
-15.5533 80.5088 | -3.08166 2.46321 | -5938.95 8218.87
-15.2161 80.8769 | -1.30393 2.6778 | -23864.2 -19949.7
-14.9114 81.2509 | -1.17487 -1.66273 | 30872.8 29861.5
-14.5968 81.6489 | 0.942968 -0.384816 | -10837.2 -6755.14
-14.29 82.0476 | 2.0613 0.38022 | 4363.15 -8861.63
-13.9755 82.437 | -1.23109 -5.41644 | 8240.43 10980.2
-13.6611 82.8349 | -2.88942 -0.308085 | -28036.6 -5466.09
-13.3711 83.2351 | 1.67048 6.97267 | 23974.4 -11435.8
-13.0497 83.6127 | -2.94452 -0.614897 | -13789.6 5309.07
-12.7338 83.9939 | -4.58331 -2.58066 | 7958.39 15148.7
-12.4069 84.3817 | 2.16994 1.77355 | 12566.6 3683.36
-12.0533 84.7552 | 0.851785 0.448484 | -19076 -12107.7
-11.6885 85.0981 | 2.82469 -0.946203 | 9454.68 -9643.87
-11.2912 85.4023 | -4.32349 4.36691 | 8753.41 9186.56
-10.8781 85.6969 | -5.27921 -0.671471 | -23164.5 10126.2
-10.4754 85.9941 | 0.222242 -6.09466 | 19772.9 -21700.2
-10.0418 86.2482 | 0.812108 -2.70843 | -6736.21 19917.9
-9.6079 86.5046 | -1.87538 -2.34221 | -18060.2 -6897.72
-9.17172 86.734 | 2.81265 -1.57935 | 22426.3 -6015.62
-8.70211 86.9116 | 3.17619 2.53798 | -8283.4 -4121.3
-8.22563 87.0526 | 3.83001 -1.51504 | -13336 21110.8
-7.7522 87.1853 | 3.33259 -5.19362 | 7478.75 -25334.6
-7.26097 87.2477 | -0.913116 -0.531395 | 27663.5 12088.5
-6.74921 87.2847 | -3.7428 3.15329 | -24452.8 10355.3
-6.25001 87.3012 | 5.24259 -0.209348 | -697.842 -22045.8
-5.75483 87.2588 | 3.94493 2.54504 | -3651.21 6526.95
-5.26131 87.2082 | -0.699458 -1.21824 | 22721.5 8407.58
-4.75225 87.1737 | -0.405736 -1.51704 | -4850.29 2798.97
-4.24495 87.1424 | -4.59414 -2.69414 | -8787.81 229.961
-3.74662 87.0919 | -3.15829 2.72747 | -8519.6 -15284.8
-3.25954 87.0008 | 2.03556 -5.20689 | -378.464 10237.4
-2.77233 86.9124 | -1.62619 1.9765 | 21612.8 693.488
-2.27296 86.8291 | -2.48775 5.70632 | -28696.5 1032.05
-1.79202 86.7427 | 0.874157 3.54548 | -2948.33 2223.73
-1.31474 86.653 | -2.88966 6.81089 | 17184.4 -7277.03
-0.825717 86.5533 | 0.473944 2.22022 | 16297.2 4905.97
-0.325373 86.457 | -4.83714 1.67337 | -17225.1 -15485.8
0.162255 86.3482 | -3.54674 -3.63104 | -20634.5 19649.2
0.641396 86.2795 | 2.26447 -7.50467 | 18416.5 -12452.1
1.13515 86.2345 | -0.961994 -1.73533 | 10773.1 5364.63
1.63847 86.2399 | 2.09833 -6.90205 | -14821 -2941.24
2.13118 86.2976 | 1.76887 -1.90282 | 16635.3 12567.5
2.62216 86.4185 | -1.0342 -1.71776 | -17246.6 -19996.4
3.09279 86.5694 | 1.07492 -2.19875 | 14138.5 18809.7
3.54943 86.7834 | 0.629457 3.3215 | -11642.4 -12721.3
3.9791 87.0316 | 1.63994 -1.67472 | 6963.42 2272.52
4.38876 87.321 | -2.72077 -2.43539 | 12041.2 18079.3
4.77473 87.6601 | -1.74852 -1.6905 | -19215.8 -17513.1
5.12371 88.0171 | -1.81818 -0.853692 | 7104.93 3842.53
5.45813 88.3919 | -1.09398 0.454185 | 1519.2 1684.66
5.78081 88.7792 | -4.08229 -2.01628 | -4353.28 1051.38
6.09388 89.173 | -3.93504 -0.192627 | 17919.4 -9587.53
6.4152 89.5608 | 1.14836 5.22624 | -28034.9 -162.112
6.69201 89.968 | 1.53486 2.85601 | 4520.71 -2243.16
6.95721 90.3842 | -1.10567 -3.92291 | 19959.5 14489
7.22921 90.8122 | -1.49553 -2.74776 | -21477.9 -10901.8
7.47619 91.2427 | -1.4731 -2.68563 | 10834.2 2354.34
7.73005 91.6739 | 0.333379 -3.13258 | -849.36 6657.57
7.98724 92.1078 | 5.6463 -3.05899 | 5243.93 -3430.09
8.25582 92.5341 | -3.06987 1.02272 | -12916 -6083.68
8.52179 92.9544 | 2.67033 0.905452 | 10636.2 13339
8.80881 93.372 | 1.20923 -2.96123 | -5308.73 -7843.3
9.11803 93.7675 | -0.45279 1.61471 | 7693.15 -3428.36
9.46006 94.1362 | 1.30313 -2.50782 | -6237.35 8724.16
9.81759 94.4898 | -0.621427 3.09859 | -6882.1 -10408.8
10.1973 94.8052 | -3.05821 0.676244 | -5478.22 -3925.09
10.6034 95.0761 | -5.0395 4.56896 | 7394.79 382.232
11.0409 95.3012 | -0.0939236 1.01436 | -4273.66 9236.37
11.497 95.4904 | -0.320852 0.133999 | 13847.4 -13568.9
11.9796 95.6217 | 0.011904 -5.03965 | 955.641 20182.3
12.4673 95.739 | 0.153151 -2.63418 | -35068.5 -15902.4
12.9405 95.81 | 0.316709 -1.50725 | 20170.2 -152.094
13.4276 95.8515 | -3.42494 -3.49025 | 1218.78 9845.37
13.9198 95.8888 | -5.80166 -1.75727 | 16502.3 6321.55
14.4239 95.9104 | -1.67001 -1.64853 | -12973.8 -13961.2
14.9208 95.8836 | -0.34126 -5.34481 | 4250.48 4899.89


31.1563 -9.46389 | 3.04875 5.50275 | -6584.6 3476.78
31.6492 -9.46286 | 2.08728 2.18076 | -3122.24 -5222.43
32.1406 -9.46727 | 1.35758 3.14241 | 4952.49 -5080.68
32.6347 -9.47439 | 0.483029 0.596446 | -2483.52 9302.84
33.1274 -9.46119 | 0.815008 -2.37294 | -1648.93 502.92
33.6195 -9.44297 | 1.23288 1.39638 | 6267.16 -5296.24
34.1161 -9.43739 | 1.88124 -0.725903 | 369.042 3695.07
34.6144 -9.43987 | -0.0744072 0.776274 | 5396.93 -1074.46
35.116 -9.46031 | -1.55597 3.236 | -1313.73 3067.31
