48.9524 -86.0852 | 7.11877 -2.13667 | -28489 -8772.78
49.3788 -85.8709 | 1.53499 2.65826 | 37787.7 9981.71
49.8228 -85.632 | 9.60376 0.486491 | 10498.3 1184.2
50.2593 -85.3621 | 1.86855 -5.10006 | -21228.3 448.995
50.6498 -85.0442 | 2.26929 -0.912198 | 5496.41 5522.11
51.006 -84.6845 | -0.401659 -1.86152 | -8755.72 -11497
51.3265 -84.3017 | -5.01063 -0.356491 | 10450 13605
51.6262 -83.8882 | 1.15185 1.81836 | -3896.23 15932.9
51.9058 -83.4525 | -0.294618 5.21199 | 20916.9 -32619.5
52.199 -83.0403 | 5.57591 -3.14102 | -33107 -3379.16
52.4314 -82.61 | -2.19293 3.99829 | -86.8099 -9198.96
52.625 -82.1676 | -9.92109 5.84842 | 8980.32 15689.8
52.7956 -81.7041 | -7.15311 0.985405 | 3644.08 -3153.65
52.9427 -81.232 | 7.69891 0.865778 | 581.948 -3759.65
53.0541 -80.7503 | 0.118101 1.23617 | -6793.83 26497.3
53.1168 -80.2437 | -1.5563 0.151187 | -1318.86 -12883.2
53.1557 -79.7391 | -4.60306 -4.81056 | 12551.8 16470.3
53.1987 -79.227 | -5.81782 -2.12956 | -9609.1 -31201.6
53.2261 -78.7327 | -0.963851 2.73132 | -5668.09 14754.6
53.2513 -78.2316 | 3.80621 0.30889 | -461.742 -136.407
53.3112 -77.7319 | -4.26916 0.211887 | 29119.3 7705.54
53.4461 -77.2376 | -0.237359 -1.91601 | -17451.6 -1159.39
53.5904 -76.7486 | -4.59318 -0.0840138 | -8292.93 -6466.71
53.7463 -76.2682 | 0.811369 2.46741 | 12992.8 15580.4
53.9439 -75.7941 | -2.45832 1.38592 | 1241.46 -38307.6
54.1739 -75.3566 | 0.120189 7.96527 | -10737.2 31281
54.3917 -74.9 | 5.1367 -3.716 | 953.262 -2532.34
54.6178 -74.4504 | -0.183591 -2.48902 | -14218.9 -28475.8
54.8605 -74.0352 | -0.805004 1.97261 | -7304.33 -4373.29
55.1389 -73.647 | 1.68765 0.731812 | 51657.6 30968.9
55.4891 -73.2711 | -1.42744 2.3431 | -45331.8 11986.8
55.8311 -72.9012 | 0.708815 1.77254 | 20405.6 -31297.2
56.2346 -72.6064 | -5.02231 1.56611 | 11447.5 15573.4
56.674 -72.3456 | -4.76609 -2.62163 | -11312.7 -2550.52
57.12 -72.1126 | -0.952648 5.75255 | -20825.6 1277.04
57.5624 -71.9044 | 1.10128 4.08418 | -4527.46 -8436.13
58.0222 -71.7483 | 0.835013 7.93499 | 40211.1 3302.81
58.5224 -71.6395 | -3.93385 4.26396 | -5680.25 3577.56
59.0279 -71.5567 | -2.85841 -3.69645 | -8625.17 2973.56
59.5299 -71.4926 | -1.81231 -4.65158 | -3510.88 -8472.36
60.0307 -71.4561 | -3.12317 4.74895 | 3552.7 6208.69
60.5309 -71.4245 | -5.41446 3.92654 | -29883.6 -7779.98
61.0136 -71.4001 | -1.32449 -7.21335 | 27635.5 7900.69
61.5109 -71.3579 | 5.0202 2.35932 | -4357.43 3354.32
62.0062 -71.3014 | 2.67628 -2.62567 | -6028.04 -7523.25
62.4988 -71.248 | -6.04726 -2.50762 | 15958 3676.17
62.9995 -71.1864 | 0.600773 -5.64291 | -13271.9 -512.583
63.4916 -71.1158 | 0.5649 5.43758 | -1846.63 3040.86
63.9819 -71.0381 | 0.404887 -2.98502 | 20599.9 -20230.4
64.4831 -70.9673 | 2.19647 -2.78333 | -22251.3 27480
64.9607 -70.8323 | -0.663748 5.2281 | -3197.46 -10039.7
65.4296 -70.6809 | 4.92491 2.5768 | 24702.3 -16702.9
65.9077 -70.5238 | 6.15657 6.75385 | -17511.7 16583.1
66.3505 -70.2944 | -5.16916 -2.1991 | 6036.88 4978.09
66.7618 -70.0019 | -1.75639 -6.05087 | 4650.74 2427.78
67.1432 -69.6622 | -2.62412 -0.361527 | 17915.4 5946.34
67.4967 -69.283 | 0.234726 3.36936 | -31405.2 -22202.4
67.7718 -68.8745 | 6.37726 4.09515 | -15902 -11108.3
67.9781 -68.4396 | -8.79652 -0.78207 | 24690.4 28705.2
68.174 -67.9743 | -0.243708 -0.902168 | 3545 -733.497
68.3599 -67.5006 | -0.969984 -1.27012 | -1498.75 -1812.75
68.53 -67.0226 | 0.406981 -2.07084 | 1302.88 -498.455
68.6821 -66.5431 | 6.75816 -1.69424 | -21239.4 -33444.2
68.8036 -66.0802 | -2.35659 -0.646925 | 13853.8 17034.7
68.9417 -65.6106 | 4.33869 1.30098 | 6331.91 6839.94
69.0971 -65.1362 | 0.473106 0.274857 | 1519.82 20924.9
69.2566 -64.6493 | -3.57586 3.95571 | -11505.7 -18413.9
69.4174 -64.1765 | 2.11852 3.10096 | 8445.01 -8202.43
69.6069 -63.721 | 1.44885 2.86218 | -8323.8 -1033.84
69.8092 -63.2749 | -3.09531 -1.58626 | 21955.2 -9236.34
70.0345 -62.8395 | 0.360325 -2.93259 | -35659.8 17440.3
70.2045 -62.3757 | -1.47176 1.37844 | 26252.5 15247.2
70.3942 -61.9012 | 0.978973 6.01803 | -4831.29 -3249.03
70.5972 -61.4327 | -0.870014 -7.44465 | 7555.77 -649.806
70.8256 -60.9766 | -2.3702 -5.5948 | -7719.44 -16439.8
71.0614 -60.539 | -0.750525 -2.95777 | -17439.9 800.635
71.2942 -60.1045 | -1.11384 -3.01218 | 25377.9 21391.3
71.5757 -59.6779 | 0.649771 3.87535 | -7536.89 -17645.2
71.8912 -59.29 | 0.740852 0.724337 | -16805.9 -7425.69
72.2293 -58.9364 | -3.28818 -5.78366 | 24556.8 8656.04
72.616 -58.6153 | -6.00903 -0.851827 | -12068.3 -5863.12
73.0177 -58.3202 | -2.32513 -1.96602 | 15242.9 13317.8
73.4376 -58.0294 | 2.11022 -2.98967 | -11662.6 10567.2
73.8594 -57.7448 | 4.27117 -2.02724 | 434.584 -32913.2
74.3039 -57.5152 | 0.612396 2.44958 | 18278.8 34747.8
74.7621 -57.2775 | -0.49176 -0.587548 | -37105.2 -17259.1
75.2099 -57.0759 | -2.79781 2.51684 | 4834.82 -971.962
75.6776 -56.9299 | 2.7256 -0.370904 | 9464.28 -2224.03
76.1694 -56.854 | -2.81267 -5.23151 | 19379.2 -20149
76.6808 -56.8428 | -2.0534 -1.12313 | -368.847 23148.2
77.1901 -56.8061 | 0.845393 0.46036 | -31021.6 9297.24
77.6753 -56.7428 | -1.78202 -1.96451 | -11898 -18948
78.1526 -56.6979 | 1.61053 2.95386 | 26544.5 10587.5
78.646 -56.643 | -1.18366 2.57261 | -3282.35 9543.26
79.1408 -56.5861 | -2.12158 1.40765 | 6828.64 -19647.8
79.6427 -56.5724 | 3.19001 3.93656 | 572.065 -6190.44
80.1472 -56.5674 | 2.63622 4.45595 | 7570.13 17558.9
80.6549 -56.5121 | 0.707459 2.61027 | -1004.75 13579.4
81.1584 -56.4138 | 2.40056 4.12309 | 5047.23 -24968.7
81.665 -56.329 | -1.74239 -3.29673 | -15710.2 7395.21


-36.0703 25.6502 | 3.08998 4.11769 | 8728.76 -188.208
