-76.8227 1.24941 | -3.31112 4.5012 | 3533.38 6321.04
-76.3211 1.30243 | -3.02606 0.635573 | 4353.94 -14559.3
-75.8149 1.29642 | 1.06862 -1.50733 | -6505.52 11082
-75.3149 1.26285 | 0.54652 -1.04196 | -5094.88 -287.524
-74.8241 1.1902 | 0.453907 -0.504344 | -5619.68 -3251.8
-74.3465 1.07157 | 0.761712 -0.773657 | 1903.99 7823.5
-73.8787 0.918831 | 0.80248 -0.200877 | 7723.37 -7688.43
-73.4241 0.714987 | 2.6535 -2.13816 | -7786.76 -3349.49
-72.9945 0.468404 | -0.0459462 -2.50409 | -247.54 6682.62
-72.5769 0.207267 | 1.3976 2.187 | 1086.84 1634.82
-72.1641 -0.0613999 | 1.3634 1.89153 | 4347.59 -965.786
-71.7524 -0.336892 | -1.23221 1.15484 | 751.254 -686.818
-71.3455 -0.620281 | -1.70681 0.484995 | -8374.16 890.704
-70.9485 -0.909842 | -2.79758 1.49967 | 3636.34 1641.94
-70.5471 -1.19651 | -0.951787 2.44171 | 14605.1 -2672.22
-70.1348 -1.48288 | 2.15657 0.65217 | -13679.1 -5797.42
-69.7359 -1.7803 | -1.04495 -3.53031 | -2601.64 8437.64
-69.3338 -2.06639 | 0.463486 -1.72068 | 11887.7 -4126.78
-68.9156 -2.34308 | 0.0715379 -0.461436 | 7673.91 2116.2
-68.4893 -2.61406 | 1.0554 3.18248 | -15857.5 -6956.99
-68.0813 -2.89987 | 1.46633 3.29147 | -6024.38 10785.1
-67.6775 -3.17875 | 2.00609 3.80835 | 11055 -778.632
-67.2646 -3.45491 | 2.58858 3.9017 | -2589.14 -16387.5
-66.8533 -3.7435 | 1.67604 1.99298 | 3401.48 5583.51
-66.4261 -4.00703 | -0.247069 0.271158 | -7452.12 8321.36
-65.9838 -4.22828 | -0.0390526 1.33851 | -1240.43 -1579.25
-65.5247 -4.40964 | -0.642405 0.31776 | 4777.8 718.225
-65.0473 -4.54746 | -1.05336 -4.13418 | 3970.11 -3012.85
-64.5568 -4.64752 | -2.56415 -2.67977 | -2567.5 -6342.91
-64.0609 -4.70856 | -2.32183 -3.24733 | -335.801 11028.7
-63.5618 -4.70443 | 0.766886 -0.463133 | 1769.12 -648.184
-63.0636 -4.65408 | 0.754983 -1.24841 | 3693.99 -6082.02
-62.5683 -4.57432 | 1.19023 -1.19547 | -12318.5 3781.32
-62.0882 -4.45821 | 0.0438158 0.795628 | -647.881 -4754.3
-61.6156 -4.32138 | -2.45746 -0.905682 | 3820.44 6440.01
-61.1461 -4.16315 | -3.03664 -1.91371 | 1991.1 -6950.64
-60.6765 -4.00569 | -1.6542 -1.21508 | -2119.11 -1449.22
-60.2102 -3.84417 | -1.49174 2.48058 | -4962.54 2311.33
