19.2599 5.58947 | 1.48602 -2.0551 | 5760.26 3488
19.6252 5.94001 | -0.583914 0.688291 | -2525.64 475.611
19.9821 6.29743 | -1.30041 -2.5033 | -522.471 -856.293
20.3288 6.6635 | -1.3504 -1.01983 | 476.492 -427.872
20.6625 7.04074 | 2.87139 2.45625 | -1274.87 -2179.19
20.9762 7.43146 | 1.22547 2.21803 | -3624.82 -3387.51
21.2614 7.83825 | -2.06683 1.80069 | -1418.52 -6561.08
21.5136 8.26217 | -1.3028 2.967 | 4776.53 11864.6
21.7268 8.71676 | 4.21499 4.11714 | -3569.63 8847.86
21.8929 9.19762 | 0.691072 2.21525 | 5514.46 -647.424
22.027 9.69039 | -1.4143 -0.705008 | 3532.43 684.148
22.1236 10.1919 | -0.696558 -2.7782 | -9039.39 -7895.67
22.1608 10.6947 | 0.0563422 -1.70344 | -1288.27 -2089.41
22.1471 11.1966 | 1.93953 0.439715 | 4254.99 1755.83
22.0953 11.6971 | 2.50151 1.8827 | -2405.07 452.418
22.0006 12.1928 | 2.06629 2.82899 | -1398.58 7775.27
21.8662 12.6851 | 2.54246 2.40218 | -375.735 686.832
21.6944 13.166 | 1.00426 -0.0395126 | 2304.98 -8059.07
21.4869 13.6256 | 1.68641 -0.748595 | 1550.91 -4280.79
21.2443 14.0626 | 3.79453 1.43212 | 1443.01 -2621.66
20.9688 14.4768 | 0.984869 1.42204 | -6904.93 1071.2
20.6614 14.8719 | -0.242119 1.51857 | 2951.78 -305.579
20.3434 15.2587 | 2.28343 1.16036 | -3944.81 7181.7
20.0235 15.6506 | 0.415653 -1.94273 | 2752.42 3563.33
19.7129 16.0491 | 1.06145 -1.33887 | 12637.4 -14969
19.4138 16.4403 | 0.35532 -1.16956 | -5564.89 -459.865
19.1099 16.8285 | 1.49227 0.7638 | -4192.04 4872.07
18.8056 17.2223 | 3.20141 -0.321963 | 473.746 785.23
18.5109 17.625 | 1.05054 -0.0994535 | -1263.69 4162.71
18.2306 18.0405 | 0.924483 -0.35392 | 4141.53 -5051.96
17.9693 18.4632 | 0.120527 -1.51201 | -884.379 -4257.4
17.7239 18.8923 | -1.75817 -1.98098 | -3290.1 2700.17
17.4997 19.3347 | -0.958182 -2.17576 | 7623.79 -2146.55
17.3113 19.7903 | -0.430831 -2.96302 | -5708.68 711.802
17.1458 20.2558 | -2.57692 -2.66422 | -3173.79 -6036.66
17.0096 20.7288 | -4.3295 -2.53252 | 3476.29 12704.2
16.9229 21.2214 | -3.14242 -1.75408 | -207.58 2887.34
16.8833 21.7233 | 1.94105 -1.04849 | -2363.23 -1115.01
16.8864 22.227 | 1.66722 1.24984 | 576.509 4362.71
16.9375 22.7301 | -4.01151 1.50567 | -2206.84 -7552.6
17.0404 23.2199 | 0.941872 -1.16749 | 711.492 469.241
17.2042 23.6923 | 1.93693 -0.753539 | 12835.5 -588.436
17.4339 24.1391 | -2.48338 2.25349 | -17714.9 -2425.83
17.6871 24.5657 | 0.392885 1.17842 | 3363.33 2031.66
17.9799 24.9676 | 0.287938 2.76802 | 5747.1 -2603.43
18.316 25.336 | -2.42836 4.49216 | -4943.67 1562.8
18.6785 25.6786 | -5.02358 5.62656 | 5645.09 14940.8
19.0716 25.9992 | -5.73264 3.46475 | 6380.57 -16952.3
19.502 26.2634 | -3.40949 1.73351 | -5135.4 102.66
19.9462 26.4982 | 0.544424 1.12026 | -3060.3 5838.54
20.394 26.7253 | -0.540157 1.63035 | 2136.19 -2974.53
20.847 26.9428 | -3.57313 2.54647 | 1268.12 -1044.69
21.3 27.161 | -4.09185 0.668195 | -5894.07 5672.05
21.7437 27.3951 | -3.38537 -0.872671 | 8016.99 -1.15726
22.1879 27.6354 | -1.85008 0.706571 | -6968.06 -4951.56
22.6226 27.8785 | -0.0146147 -0.446107 | -12518.8 -8414.57
23.0418 28.1269 | 2.13732 -1.82515 | 3163.96 408.338
23.4516 28.3937 | 0.382077 -0.534526 | 7908.89 11689.1
23.8514 28.6925 | 0.240352 -0.532599 | 6457.93 2818.59
24.243 29.0119 | 2.21768 -2.0587 | 4950.7 -7091.7
24.6227 29.3443 | 1.23253 -0.823171 | -13955.6 -136.761
24.9644 29.707 | -0.861918 0.248016 | 4011.95 6174.16
25.278 30.0987 | -0.231062 0.184566 | 5049.83 -7453.72
25.568 30.5052 | 1.14033 -0.430394 | -12255 -3238.02
25.8137 30.9327 | 1.42158 -0.86564 | 4474.65 2949.59
26.0309 31.3781 | 1.21703 -0.893451 | 4113.31 -852.725
26.2247 31.8354 | 1.8504 0.539193 | -4854.76 4920.77
26.3873 32.3062 | -0.0953616 1.59882 | 5370.65 -9637.25
26.5339 32.7776 | -2.18611 1.09555 | -1137.85 3055.18
26.654 33.2582 | -1.01831 -0.552169 | -5871.61 7597.08
26.7443 33.7499 | -1.30689 -0.589688 | 9075.67 -292.318
26.8304 34.2436 | -0.351485 1.98858 | -504.483 -5568.57
26.9031 34.7361 | 0.659158 2.28112 | -8288.13 3336.26
26.9537 35.2333 | 3.98828 0.258536 | 8524.52 6203.76
27.0074 35.7353 | 1.63427 0.153415 | 1634.78 1472.52
27.0581 36.2387 | -0.232404 -0.395941 | -6496.72 -7679.78
27.0936 36.7382 | 1.38868 0.114832 | 1545.09 1649.79
27.1255 37.2386 | 1.28948 -0.0975266 | -1641.39 3374.83
27.1591 37.7406 | -0.816708 -1.90013 | 15.3741 -5185.33
27.2069 38.2385 | -4.33503 -0.349494 | 1729.09 1720.19
27.2799 38.7344 | 0.726429 -0.693566 | 4223.18 1115.69
27.3828 39.2274 | -0.313036 0.592237 | -698.16 7667.93
27.5053 39.7209 | -1.30857 1.34831 | -2385.33 -2325.37
27.6448 40.2074 | -1.20399 -0.87701 | -1841.35 -11449.2
27.8054 40.6791 | -3.96468 -0.969139 | 240.194 4934.32
27.9891 41.1441 | -3.1332 -1.40414 | -2299.23 437.502
