-78.5204 1.06351 | 2.41898 3.12684 | -5239.42 -736.965
-78.0263 1.11158 | -0.476417 2.23788 | 12116.7 432.285
-77.5228 1.12464 | -1.69821 -2.50117 | -10078.1 1988.3
-77.0256 1.1033 | 0.324924 -1.19812 | -595.418 2348.72
-76.5339 1.04172 | -0.0673645 0.478383 | -5773.62 -8316.49
-76.0543 0.92725 | 0.467586 -0.172648 | 6301.48 5776.28
-75.5787 0.785003 | -0.915684 -3.39473 | 8412.28 5143.45
-75.1088 0.614492 | -2.45882 -0.969678 | -15723.9 -6247.58
-74.6681 0.392741 | -1.24469 -1.149 | 12622.4 2818.34
-74.2409 0.13436 | -1.74224 -0.272498 | 1382.55 -6725.11
-73.8394 -0.168029 | -1.30848 -0.62256 | -11715.8 366.787
-73.4697 -0.501751 | 1.26189 -1.61198 | 11467.6 -1247.33
-73.1029 -0.845164 | 0.346285 0.536008 | -6374.61 9737.95
-72.7414 -1.18453 | 0.485167 2.00272 | -1633.05 -2709.84
-72.3814 -1.5266 | 0.0210083 0.54938 | 12503.6 -6747.73
-72.0103 -1.8694 | 0.133365 1.20307 | -6819.88 4623.12
-71.6403 -2.20726 | -2.29179 0.424484 | -1171.86 -1241.62
-71.2683 -2.54163 | -2.98228 2.229 | 133.81 2414.08
-70.8897 -2.86645 | -2.34924 -0.457498 | 1377.65 2308
-70.5043 -3.18193 | 1.05842 -0.366421 | -6039.08 -4804.94
-70.1201 -3.49589 | -1.04293 -2.38354 | -6821.11 3087.55
-69.7271 -3.79233 | -0.666615 -2.4595 | 11484 -4437.13
-69.303 -4.05723 | -2.72518 -2.58808 | 8212.31 354.717
-68.8475 -4.2767 | -2.91657 -2.55563 | -4929.02 6878.95
-68.3756 -4.44841 | -2.76096 -2.38741 | -203.778 -4530.83
-67.8931 -4.59234 | -2.1325 0.446358 | 5128.26 -6048.45
-67.399 -4.71188 | -2.45428 1.01152 | 3867.99 7714.56
-66.8949 -4.79044 | -2.43104 -0.983825 | -5458.98 -7202.55
-66.3904 -4.84194 | -0.10781 2.05484 | -2344.22 3021.63
-65.885 -4.84915 | -0.277194 -1.62219 | 6517.58 4547.15
-65.3777 -4.80464 | -0.717296 -1.52963 | -3774.58 5042.71
-64.8784 -4.7166 | 0.560663 -1.13398 | -6119.62 -13294.8
-64.3883 -4.61294 | 1.68824 -0.607525 | -76.9507 6220.87
-63.9075 -4.4729 | 3.0406 -0.776292 | -951.026 6121.48
-63.4368 -4.30079 | 1.06106 0.655384 | 823.173 -8836.73
-62.9703 -4.12486 | -1.12885 -1.65114 | -7903.5 -2731.3
-62.5136 -3.94188 | -0.000831737 -1.28874 | -4851.24 1697.42
-62.0651 -3.74801 | 0.0853024 -2.57981 | 2711.54 1792.07
-61.6163 -3.55234 | 0.694817 -5.43086 | -2341.04 -2105.52
-61.1644 -3.36941 | -1.91033 -0.481488 | -611.247 -10155.8
-60.7062 -3.20783 | -3.20089 1.84201 | 7339.21 9162.94
-60.2429 -3.03585 | -2.98323 0.157087 | 13105.3 7459.22
-59.7742 -2.84792 | -2.39091 -3.23762 | -3648.29 -2904.04
-59.3116 -2.65279 | 0.729846 -4.9445 | -13185.8 -5108.64
-58.8624 -2.45116 | -0.532766 0.332802 | 583.912 7748.27
-58.4161 -2.23855 | -1.84552 -0.280827 | 10425.6 -3581.16
-57.958 -2.03929 | -2.54778 -2.3742 | -3952.45 -65.6032
-57.4969 -1.85417 | -4.13951 -0.436958 | -8857.91 -5597.34
-57.0364 -1.68681 | -3.73909 -1.35396 | 2437.55 5281.48
-56.5701 -1.5271 | -2.53607 -5.49612 | 9936.19 5728.55
-56.0909 -1.38209 | -6.16398 -3.24534 | -2167.31 -1334.13
-55.6036 -1.27149 | -2.63099 -1.20321 | -3509.56 -7513.79
-55.1106 -1.20989 | 1.10873 -0.504887 | 4608.18 3666.98
-54.6115 -1.18257 | -0.205733 2.40295 | -1805.59 1634.63
-54.1118 -1.18724 | -1.34695 2.4357 | 5779.94 -1316.56
-53.6103 -1.22739 | 1.45905 3.81219 | -4362.11 -3035.91
-53.1154 -1.30133 | 0.789731 2.15479 | -5540.71 6837.94
-52.6273 -1.39341 | -0.435268 4.86305 | 10719.6 -2062.51
-52.1382 -1.5128 | -0.561621 3.3497 | -642.172 -5607.79
-51.6576 -1.66563 | -1.00413 0.264215 | -3728.15 8897.61
-51.1886 -1.83643 | -3.53306 1.06427 | -8170.51 135.067
-50.7388 -2.03814 | -4.21003 1.101 | 565.104 1340.43
-50.3056 -2.27369 | -1.51893 -0.66764 | 8028.64 -13062.3
-49.887 -2.54988 | 1.33923 -1.48921 | -3924.26 9133.53
-49.4829 -2.83784 | 2.17876 -0.835093 | -8258.12 7991.95
-49.0931 -3.1334 | 1.33962 1.12506 | 7910.34 -12779.9
-48.7068 -3.44714 | 0.826309 0.722078 | 1389.57 1328.93
-48.3173 -3.75893 | 0.997077 0.0320199 | 322.148 3432.03
-47.9195 -4.0572 | 1.3459 0.651081 | -4104.19 4230.68
-47.5158 -4.33999 | -0.00809105 1.92058 | 1627.56 4244.79
-47.1061 -4.61305 | -0.115672 3.73015 | -1876.68 -17499.7
-46.6988 -4.89875 | 2.02368 3.37748 | -1991.35 3932.8
-46.2781 -5.16068 | 5.12394 3.49594 | 7092.12 9230.97
-45.8298 -5.37343 | 2.46431 -0.144029 | -4316.85 -1703.89
-45.3685 -5.55135 | 0.262302 -1.65646 | -31.3381 -661.883
-44.8974 -5.70175 | -0.535495 0.422321 | 869.183 -3862.56
-44.4191 -5.83135 | 0.0658974 1.874 | -5145.66 -901.737
-43.9363 -5.93411 | 2.15172 0.117673 | 10161.3 -1735.61
-43.4398 -5.99971 | 1.95238 1.43342 | 6488.18 5145.01
-42.9351 -6.01666 | 0.692059 4.71982 | -10664.8 -5435.3
-42.4366 -5.99619 | 0.43531 3.95697 | 5589.58 5353.54
-41.9398 -5.92834 | 0.551861 -1.59215 | -4864.23 -3001.15
-41.453 -5.82426 | 0.0979924 -0.580458 | -4375.24 -2828.84
-40.9777 -5.68668 | -0.707572 1.90727 | 6669.53 6763.27
-40.5095 -5.51107 | 0.408602 1.23172 | 1781.94 -580.911
-40.0489 -5.31411 | 3.96216 2.08201 | -6193.97 -9551.29
-39.5989 -5.10928 | 0.764425 2.22886 | -1893.61 1599.84
-39.1609 -4.88291 | 0.349824 -2.8089 | 1978.46 3787.34
-38.7336 -4.6314 | 1.5755 -1.44847 | 4372.43 280.971
-38.3127 -4.36286 | 1.201 -0.691357 | 1610.3 -2813.43
-37.8935 -4.09063 | -2.00085 0.830216 | 6424.18 -2982.42
-37.4726 -3.81757 | -5.75572 1.19163 | -10942.3 5845.59
-37.066 -3.53047 | -4.19056 -0.684469 | -3026.63 -2802.22
-36.6585 -3.24811 | 2.34759 -2.09769 | 16369.8 -1474.45
-36.23 -2.98297 | 1.72302 -1.70657 | -4358.67 4313.23
-35.7992 -2.7239 | 0.37369 -1.45105 | -12441.8 -5513.51
-35.3713 -2.47859 | 0.305677 -3.10584 | 1203.84 -3694.86
-34.9349 -2.25159 | -1.87625 -2.65361 | 3058.73 8661.85
-34.4892 -2.03449 | -0.359731 -1.49024 | -1458.72 -4320.39
-34.0323 -1.84573 | -1.73375 1.1851 | 5521.99 2372.42


-57.391 -34.6773 | -4.37056 -1.04913 | 2929.82 -5366.57
-57.0557 -35.0557 | -5.1775 -0.887748 | 1827.8 3340.39
-56.7282 -35.4392 | -6.33627 -0.802946 | -3573.45 -534.858
-56.4129 -35.8298 | -4.20432 0.45179 | -5837.9 7062.7
-56.1065 -36.2198 | -3.6678 -0.286711 | 7158.81 -1065.61
-55.7964 -36.6118 | -3.12528 0.0390423 | 2121.75 -12612
-55.4895 -37.016 | -2.12425 -0.875268 | -4422.08 1309.71
-55.1819 -37.417 | -0.177633 -3.9095 | 695.206 10015.7
-54.8584 -37.7974 | 1.08088 -3.20116 | -5280.57 1475.12
-54.5218 -38.1606 | -0.338651 -1.66584 | -3256.66 -3285.85
-54.1654 -38.5035 | -2.80335 -0.680198 | 8223.4 8686.35
-53.7741 -38.8078 | -2.82164 -0.394777 | 3953.27 -4347.36
-53.3637 -39.0944 | -1.20292 0.0790583 | -2147.3 -12515.6
-52.948 -39.381 | 0.363769 0.0990372 | -277.582 5354.82
-52.519 -39.645 | 0.0929244 -2.06214 | 2320.63 903.123
-52.0729 -39.8821 | 1.89908 0.0740966 | 4402.49 -5742.83
-51.6099 -40.0933 | -0.208183 -0.163994 | -6166.19 8852.17
-51.1352 -40.2625 | -1.32409 -1.41331 | 5028.74 -3606.64
-50.6473 -40.4 | -0.284407 1.41116 | 10.0349 837.416
-50.1527 -40.5048 | -1.88197 1.13473 | -15023.1 -3544.65
-49.6628 -40.5781 | -0.789336 1.32551 | -327.686 1937.59
-49.17 -40.6 | 2.29238 0.0908673 | 2702.35 5104.49
-48.6764 -40.5599 | 1.52199 -1.04887 | 3669.23 1017.96
-48.1859 -40.4711 | -1.05576 0.369682 | -64.4039 -1762.89
-47.7019 -40.3511 | -1.15811 -2.50337 | -2074.27 -5266.4
-47.2248 -40.2111 | -1.93557 -1.12279 | 6194.83 7112.23
-46.7518 -40.0432 | -1.60922 -0.940409 | -3490.46 -1746.83
-46.2861 -39.8623 | -0.956028 1.28026 | -1508.69 -8449.44
-45.8248 -39.6799 | -2.16256 3.55209 | -1557.24 5229.61
-45.3723 -39.4788 | -3.27585 0.446588 | -6139.52 1047.46
-44.9294 -39.2646 | -1.03748 -2.95431 | 3645.86 -3473.04
-44.4834 -39.0534 | 2.33056 -3.99056 | 4826.45 5273
-44.0308 -38.8445 | 1.87237 -3.54505 | 682.492 4664.31
-43.5695 -38.6495 | -0.446105 -2.42382 | 3706.07 -8672.03
-43.0936 -38.4955 | -1.71043 0.170868 | -9888.26 -601.976
-42.615 -38.3754 | -3.20203 -0.700448 | -2079.1 -3035.24
-42.1322 -38.2857 | -0.698937 -0.932087 | 1896.69 8516.87
-41.6445 -38.2107 | 0.279975 0.508875 | 3375.55 -6218.54
-41.1502 -38.166 | -1.65604 0.873811 | 6583.38 4032.16
-40.65 -38.1395 | 0.70297 -1.93693 | -5008 4172.74
-40.1515 -38.1327 | 1.43522 -2.76286 | 1488.72 -2899.4
-39.6536 -38.1632 | -0.703341 -1.82976 | -1370.78 -6764.06
-39.1612 -38.2358 | -1.70528 -1.20533 | -6824.61 8322.46
-38.677 -38.3266 | -2.20447 -2.49229 | 5071.55 -2437.23
