18.9178 30.2589 | 1.75347 -0.280264 | -11385 -3249.46
19.3887 30.3925 | 0.0869268 -2.24329 | 7997.44 -985.376
19.8653 30.5266 | 1.40613 -1.52648 | 4809.98 2247.4
20.3434 30.6684 | 1.78683 1.49131 | -6958.51 -1729.44
20.8139 30.82 | 1.37485 2.27993 | -1928.77 7038.22
21.2797 30.9857 | 0.977814 -0.50449 | 1209.47 -1807.52
21.7513 31.1407 | 0.466607 1.86734 | 14673.8 -28.9872
22.241 31.2702 | -1.6603 4.2129 | 2001.72 -2310.16
22.7396 31.3704 | -4.15344 0.0659683 | -7391.45 1514.6
23.2381 31.4481 | -3.20878 -3.69203 | 4058.92 3760.18
23.7418 31.5006 | -0.881863 -4.36765 | -1781.06 -4523.65
24.2456 31.5105 | -2.09524 -0.994942 | -12890.9 1491.4
24.7408 31.4773 | -1.64412 -3.42608 | 13728.6 -703.216
25.2389 31.3957 | -2.04332 -4.99408 | 3318.38 -9123.98
25.7288 31.2591 | 0.660983 -0.767146 | -9291.98 5151.06
26.2023 31.0933 | 2.13247 -1.59433 | -2372.92 9157.36
26.6643 30.911 | 1.58333 -1.25166 | -3945.9 -3393.41
27.1105 30.6957 | -1.09734 0.105699 | 8402.98 -6413.39
27.5476 30.4476 | -4.26225 -0.469178 | 5935.71 3515.6
27.9752 30.1796 | -2.49918 2.11439 | -9314.14 3660.72
28.3768 29.8867 | 0.194465 0.24063 | -8727.96 6428.88
28.7477 29.5677 | -0.407816 -0.804692 | -479.205 -9070.07
29.0953 29.2164 | 2.57125 2.46648 | 20046.5 -6013.07
29.4457 28.8504 | -0.000941537 -2.85982 | -3609.16 2785.73
29.7815 28.4746 | -0.316336 -3.01479 | -17374.9 5113.23
30.0921 28.0913 | 3.61648 0.109129 | 7718.3 6964.17
30.4093 27.7141 | 2.10674 -0.947676 | 6697.28 -11224.2
30.7324 27.3303 | -0.143457 0.80195 | 1227.24 -1949.7
31.0569 26.9445 | 1.04395 2.00482 | -7668.95 1262.82
31.3796 26.5617 | 1.3114 1.31749 | 448.846 562.062
31.7184 26.1927 | -0.752806 0.199594 | 12847 -2409.79
32.0896 25.8465 | -0.787617 0.798872 | -6651.25 783.675
32.4767 25.5236 | -0.235813 0.639236 | -5965.14 4461.83
32.8797 25.2309 | 1.27254 -0.258296 | 174.891 7210.17
33.302 24.9729 | 2.9205 1.58543 | -875.278 -8386.04
33.7359 24.7307 | 3.29062 1.76701 | 2850.56 817.395
34.1841 24.5135 | 2.88883 -2.92597 | -7274.35 1696.35
34.6406 24.3245 | 4.39701 -1.95274 | 4960.31 -5380.43
35.1132 24.165 | 2.05079 -4.35169 | 10805 6472.31
35.6056 24.0514 | -0.438119 -2.42262 | -1501.28 -1924.53
36.1034 23.9662 | 1.29413 -2.02393 | -6355.35 -933.923
36.5996 23.8993 | 3.40921 0.619878 | -3461.41 -286.263
37.0963 23.8464 | 3.02992 2.39365 | 17348.5 -4443.13
37.6053 23.8055 | 1.56698 0.846619 | -4933.71 6394.49
38.1121 23.7881 | -0.323031 0.710496 | -16308.5 -521.377
38.6087 23.7807 | -1.85115 0.871976 | 9246.57 -8355.56
39.1112 23.7732 | -4.17254 -0.959696 | 8979.09 8189.19
39.6213 23.789 | -4.73055 -0.437433 | 5655.47 -3493.98
40.1359 23.8197 | -1.6579 -2.07521 | 1969.5 2881.71
40.6495 23.8726 | 0.0342205 0.550467 | -10265.3 -2653.76
41.1521 23.946 | 1.09545 -1.10794 | -10392 7049.34
41.6422 24.0467 | -0.082963 -1.73851 | -2524.38 -355.314
42.1297 24.1489 | -2.35593 -0.516274 | 7569.96 -7725.62
42.6261 24.2268 | 1.08981 -1.0274 | 7163.98 -1557.27
43.1289 24.2881 | 0.807086 -2.34707 | -13135.2 4322
43.624 24.3492 | -3.34934 -4.01029 | -23.0134 4875.13
44.1192 24.4057 | -3.60833 -0.894871 | 6524.44 -6549.1
44.6198 24.4333 | -0.452321 -0.735789 | -9911.49 -2150.35
45.1155 24.4358 | -0.0498515 -2.05003 | 4229.55 7988.67
45.614 24.4253 | -1.19558 -2.9638 | 7996.31 -7662.43
46.1173 24.3823 | 1.30562 -1.93778 | 1795.12 -2228.01
46.6202 24.3165 | 1.67991 -0.0612725 | 659.371 13729.3
47.1212 24.2454 | 1.49926 -0.134856 | -7319.12 -4195.26
47.6096 24.1332 | 0.313157 -1.65238 | -2804.86 -14551.6
48.0813 23.9648 | -0.275798 0.343573 | -681.002 16814.4
48.5439 23.7833 | 1.5201 -1.91483 | 2781.93 -3314.05
48.9952 23.5703 | 1.66679 0.533381 | -1747.26 -8240.15
49.4284 23.3186 | 2.38215 1.9959 | 5613.92 7845.08
49.8519 23.0504 | 3.96035 1.74161 | -5157.2 293.869
50.2536 22.7566 | -0.120345 0.234422 | -2812.55 4094.06
50.6299 22.4362 | -0.486654 -0.478001 | 1095.65 -5031.33
50.978 22.0817 | -1.21757 -3.21766 | 4144.37 -1677.98
51.3006 21.6996 | -1.76976 0.682459 | -5607.25 -2427.21
51.5933 21.2941 | -2.84987 0.0436751 | 5009.07 -2502.55
51.8758 20.8776 | -2.30253 -0.145323 | 3788.41 7192.89
52.1556 20.4616 | 2.04911 0.258632 | -5098.18 -4887.62
52.4207 20.0356 | -0.548469 -1.81084 | -762.741 315.517
52.6807 19.6062 | -2.66902 0.223741 | -1191.57 -3841.89
52.9487 19.1783 | -1.37128 1.36226 | 14591.9 -5202.57
53.248 18.7633 | -1.52166 2.2135 | -8795.02 14653.5
53.5605 18.3716 | -1.48452 -0.115301 | -5264.03 1849.54
53.8776 17.9897 | -0.371445 -1.83425 | 756.843 -6948.79
54.2006 17.61 | 1.47677 0.133096 | -7298.14 6800.71
54.5329 17.2462 | 0.074009 -0.291932 | 8432.76 2056.26
54.8895 16.9028 | 1.10003 0.117526 | -5674.64 -10181.1
55.2573 16.5681 | 4.32147 1.21976 | 3708.65 4182
55.6516 16.2642 | 0.611876 -0.646692 | 423.976 -1553.33
56.0716 15.9955 | 1.12699 3.1707 | -1287.44 2576.06
