-77.2608 -39.4947 | 0.916443 0.627751 | -9966.25 6153
-76.7755 -39.5631 | 3.25249 -0.126727 | 876.883 -12806.7
-76.2939 -39.6714 | 0.340914 -0.427045 | 13790 8160.28
-75.8044 -39.7838 | -2.83826 -1.4437 | -1739.95 -1378.6
-75.3163 -39.9046 | -2.46704 0.443563 | -392.812 -2254.22
-74.8294 -40.0324 | -1.59574 -0.771158 | 4342.26 3776.97
-74.3396 -40.1578 | -0.625758 -3.66513 | -2999.04 -6784.37
-73.8517 -40.2884 | 0.501811 -2.17243 | 1479.92 5622.73
-73.3604 -40.4043 | 1.68441 -2.40332 | -640.243 3435.67
-72.8682 -40.5073 | 0.286831 -3.80756 | -9355.17 -4475.43
-72.3818 -40.6111 | -2.11987 -0.448266 | 2229.02 -2461.1
-71.8919 -40.7075 | -0.620089 -2.25338 | 10522.4 421.952
-71.3917 -40.7796 | 0.319163 -0.120867 | -8613.29 5086.71
-70.8937 -40.8163 | -2.12646 1.26888 | -9247.86 803.864
-70.4002 -40.8246 | 0.220615 -0.876813 | 13048.2 -5880.99
-69.8992 -40.8147 | 2.12473 -2.31039 | -744.71 4025.49
-69.4006 -40.7733 | 2.08736 -2.54324 | -15757.6 5007.09
-68.9154 -40.706 | 1.89425 -2.35257 | 4148.03 -20665.9
-68.4296 -40.6456 | 1.03972 -3.05948 | 2060.74 9164.76
-67.9484 -40.5444 | 1.92696 -1.57126 | -2906.53 9743.67
-67.4795 -40.3963 | 1.92493 -1.92877 | 3048.62 -15233.2
-67.0151 -40.2394 | 3.23645 -3.14851 | -4885.52 -1062.96
-66.5633 -40.0551 | 3.6799 0.552372 | 11267.3 7599.41
-66.1219 -39.8273 | 2.73525 -3.23649 | 76.0186 1751.96
-65.7017 -39.5594 | -1.81266 -2.15756 | -7255.64 906.753
-65.3059 -39.2601 | -0.118735 -0.0977464 | 7677.68 3545.54
-64.9134 -38.9465 | 6.64538 1.68766 | 16707.8 -6635.09
-64.5125 -38.6335 | 3.54872 3.81916 | -11882.3 4679.99
-64.1386 -38.2956 | -0.931447 -0.734952 | -14670.4 -1826.67
-63.7959 -37.938 | -0.132237 -1.95216 | 10247.6 -10599.3
-63.4531 -37.5818 | 1.53394 -1.55041 | 2906.01 7141.18
-63.1227 -37.2078 | -1.65071 0.196441 | -8726.57 9325.71
-62.8152 -36.8121 | 0.0321119 1.83013 | 5116.11 -1587.73
-62.5006 -36.4213 | 3.51604 0.385038 | -1370.82 -9931.38
-62.1687 -36.0543 | 3.04819 -2.59514 | -5784.78 -9095.5
-61.8222 -35.7108 | -2.05895 -1.16657 | 2870.14 10832
-61.462 -35.3737 | -1.66669 -0.995723 | -315.144 656.151
-61.085 -35.0526 | -0.131858 -0.0149002 | 11484.2 -4082.71
-60.683 -34.7547 | -0.762352 0.0348954 | -6016.72 11719.5
-60.2773 -34.4565 | 3.12077 -1.49793 | 4524.72 4713.74
-59.8554 -34.1737 | 3.46442 1.08428 | 5827.93 -15078.1
-59.4098 -33.9319 | 3.17114 -0.399742 | -2801.24 10729.5
-58.9587 -33.7 | 3.49701 -1.34422 | -9913.63 -5473.07
-58.5065 -33.4878 | 1.98165 -0.829345 | -840.267 1186.2
-58.0458 -33.2969 | 3.36042 -3.28706 | 2770.88 6042.26
-57.5709 -33.1355 | 2.40483 -2.30794 | 5956.51 -12902.8
-57.0785 -33.0325 | 1.05157 1.25911 | -6563.77 2333.87
-56.5833 -32.9629 | 0.431478 2.27411 | 5436.78 11266.2
-56.0829 -32.9127 | -0.977808 -1.6247 | -7236.55 -10148.6
-55.5868 -32.9109 | -2.25389 0.232769 | -15582.2 5958.88
-55.1025 -32.9457 | 0.351811 0.989808 | 12239 -4670.66
-54.6175 -33.0251 | 3.03968 0.421493 | -9105.78 -4989.96
-54.1432 -33.1368 | 2.60543 -0.126819 | 1340.42 16105.3
-53.6683 -33.2421 | 2.19122 2.31522 | 10071.1 -14271.2
-53.1889 -33.3673 | 3.31672 -1.00207 | 2800.83 6434.76
-52.7068 -33.488 | 2.9865 -2.90953 | -5124.28 1904.05
-52.2285 -33.6072 | 3.6529 1.57985 | -7340.76 1947.41
-51.756 -33.7314 | 2.01964 -1.43674 | 9789.83 -8842.44
-51.2787 -33.87 | 0.188473 0.430747 | 11815.6 693.119
-50.7921 -34.0055 | 0.27679 3.48419 | -7956.85 519.134
-50.3077 -34.132 | -0.213534 -0.0532547 | -4833.35 3110.59
-49.8234 -34.2413 | -1.08028 -0.0413412 | 2919.02 459.911
-49.3343 -34.3342 | -1.24998 -0.465602 | -143.695 -6213.09
-48.8416 -34.4147 | -0.077752 -3.29124 | 5339.46 3371.83
-48.3413 -34.4635 | 3.22102 2.38168 | -657.256 3020.5
-47.8392 -34.4763 | 2.63861 1.87881 | -2521.46 -1185.63
-47.3392 -34.4616 | -2.29182 1.33961 | -4441.79 -2484.5
-46.8433 -34.4233 | -2.96548 3.76209 | 5207.71 1806.73
-46.3464 -34.3567 | -1.16753 -0.923694 | 6189.12 -1805.72
-45.8494 -34.2627 | 1.48189 -1.55793 | -3536.48 11344.9
-45.3605 -34.1327 | 1.53548 0.0436068 | 4934.33 -17818
-44.8718 -34.002 | 2.37697 -1.59452 | -3819.51 6211.88
-44.3953 -33.8356 | -1.58942 -3.42147 | -429.869 5074.98
-43.9349 -33.6242 | -5.3933 -0.268684 | 8725.79 6277.56
-43.4868 -33.3748 | -1.7043 0.648141 | -7818.79 -11386.2
-43.0593 -33.1058 | 0.212623 0.142764 | -911.832 459.458
-42.6564 -32.8051 | -1.62396 -0.933901 | -5327.28 1063.06
-42.287 -32.4673 | -4.17643 -5.98275 | 1286.54 5427.2
-41.9453 -32.0959 | -2.75798 -5.01047 | 10773.2 5918.32
-41.6187 -31.7036 | 0.910031 -0.105389 | -20535.5 -14853.1
-41.3218 -31.3074 | 0.401502 -0.906446 | 2694.02 -1816.57
-41.0251 -30.9123 | -0.85692 -1.23732 | 9770.2 10336.9
-40.7125 -30.5194 | 1.33525 -0.0824912 | -8025.23 -7375.32
-40.3877 -30.1457 | 0.750456 -2.99873 | -780.389 -8655.9
-40.0409 -29.8 | 1.45244 -1.76196 | -3282.54 3881.66
-39.6762 -29.4717 | 2.87336 0.490946 | 8762.8 11006.6
-39.2834 -29.1618 | 5.15075 -2.05484 | 7461.88 -6019.21
-38.8595 -28.8902 | 4.43005 0.75992 | -5735.4 -4553.76
-38.4222 -28.6457 | 1.90594 1.59854 | 8953.71 16401.6
-37.9727 -28.4035 | 3.10761 -1.98049 | -3452.04 -4415.76
-37.514 -28.1853 | -1.32564 0.407051 | -8468.69 -2280.58
-37.0461 -28.0012 | -1.99697 -2.95062 | 14547.2 -4085.72
-36.5554 -27.8625 | 1.87023 -0.971733 | -7055.62 2405.66
-36.059 -27.7567 | 1.8915 -1.5005 | 6825.54 1350.55
-35.5534 -27.6844 | -1.46679 -6.40413 | -6976.44 -1083.19
-35.0502 -27.6504 | -0.112394 -1.24787 | -18375.2 -1657.81
-34.5588 -27.6585 | 1.45534 3.75143 | 7381.79 2259.86
-34.0666 -27.7061 | 1.01347 0.149814 | 1431.88 -1384.5
-33.578 -27.7986 | -0.655353 1.5935 | 9016.8 -5545.56
-33.0923 -27.9352 | -1.74352 1.90865 | -5322.11 4648.35


25.7547 -72.5539 | -0.179855 1.56045 | -8186.7 -8015.19
26.1895 -72.3246 | -1.44364 -1.98677 | 13675 7963.95
26.6332 -72.0889 | -3.78637 -3.21752 | -3167.57 8894.1
27.0757 -71.8474 | -0.0426926 -0.506919 | -3397.29 -15859.5
27.5248 -71.6327 | 2.4395 -0.263318 | 111.31 8294.17
27.9791 -71.4253 | 1.47773 -0.981865 | -2335.71 6212.37
28.4423 -71.2361 | 1.50632 -2.57532 | 12133.4 -9874.8
28.9286 -71.1001 | -0.382731 -1.40209 | -9226.12 3872.45
29.419 -71.0075 | 0.148205 2.09453 | -12743.7 -3810.87
29.9086 -70.9681 | -0.652267 1.51727 | 17436.4 -4272.74
30.4113 -70.979 | 0.988757 0.685079 | 7948.9 4269.34
30.9187 -71.0178 | 2.16596 4.83221 | -9991.87 3205.95
31.4174 -71.0796 | 0.578934 2.77938 | -4684.52 2675.55
31.9081 -71.1693 | -1.08862 -1.5824 | 7164.79 -9923.58
32.3949 -71.3008 | -0.598648 -3.08555 | -1608.02 1363.89
32.874 -71.4527 | 1.23899 -2.68377 | -8664.21 5918.78
33.3454 -71.6074 | 0.237062 -0.578445 | 4098.94 -823.882
33.8199 -71.7631 | -2.25442 -1.50052 | 15376.1 1941.43
34.304 -71.9191 | 2.45603 1.54098 | -7713.65 -1477.97
34.7772 -72.0929 | 1.89311 0.158268 | -10770.8 3062.68
35.2319 -72.2893 | -1.73007 -3.96276 | -3933.65 4012.33
35.6699 -72.5116 | -1.37198 1.64462 | 7688.56 -9188.37
36.0951 -72.7712 | -0.231783 1.2836 | 995.154 -1043.33
36.5069 -73.0554 | -1.53607 -1.7044 | -5406.63 -2140.68
36.9085 -73.3516 | -1.20149 -2.46248 | 6150.36 3116.35
37.3212 -73.636 | 1.02542 -3.5682 | 3511.28 2699.08
37.7488 -73.9021 | 1.29576 -2.99449 | 9008.2 -1938.42
38.1888 -74.1588 | 0.832694 -0.133502 | -9490.08 -7539.32
38.6229 -74.419 | -1.12329 1.44846 | -7407.74 6243.45
39.0594 -74.6599 | -3.26029 -0.230751 | -3836.15 2915.64
39.5085 -74.8675 | 1.31906 2.55 | 10583.2 4516.44
39.9798 -75.0331 | 2.60532 2.72692 | -4351.26 -9003.46
40.4582 -75.1742 | 0.937023 -1.88998 | -7490.76 4088.4
40.9422 -75.2731 | 2.46252 -0.667721 | 10577.4 4218.43
41.4406 -75.3247 | -1.14379 4.67456 | 8133.03 -5882.17
41.947 -75.3461 | -0.67373 6.12885 | -8972.08 -2204.57
42.4475 -75.3335 | -0.282272 6.60618 | -10768.2 5172.55
42.9374 -75.2747 | 0.153864 2.06594 | 7785.85 -3788.28
43.4262 -75.1814 | -0.797067 0.503804 | 5356.34 3060.81
43.9101 -75.0489 | -1.38481 0.25744 | -1445.74 -8202.9
44.3797 -74.8824 | 0.657327 -1.11394 | -10956.3 1748.2
44.8178 -74.6602 | -0.360413 -1.13814 | 2020.32 1728.48
45.2246 -74.383 | 0.115016 -0.542357 | 4783.01 2416.71
45.6001 -74.059 | 4.39617 1.76914 | -3346.88 -1157.57
45.9398 -73.6998 | 1.11103 1.13758 | 2248.67 -6033.26
46.251 -73.3178 | -1.72763 1.45158 | -7794.94 13376.1
46.5304 -72.907 | -2.87342 4.23139 | 10195 -8053.24
46.8184 -72.5012 | 1.26235 2.6815 | 927.975 4468.18
47.117 -72.0988 | -2.47876 1.90515 | 4987.07 1367.56
47.433 -71.7045 | -4.13576 -0.672091 | 6968 3120.34
47.7634 -71.3166 | -0.0103977 0.669439 | -13512.9 -1885.24
48.0887 -70.9332 | 3.45906 -1.24575 | -1523.76 -5571.42
48.426 -70.5653 | 0.618822 -4.00871 | 10364.4 4202.55
48.7879 -70.2134 | -1.57702 -4.99982 | -5035.12 -3343
49.1614 -69.8793 | -3.29471 -5.33133 | -5738.69 -3796.55
